,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,0.0,COD,2018
1,COD,Growing maize industry,XAM,0.0,COD,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,COD,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,0.0,COD,2018
4,COD,Growing rice industry,XAM,0.0,COD,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.0,COD,2018
6,COD,Growing sugar beet and cane industry,XAM,0.0,COD,2018
7,COD,Growing tobacco industry,XAM,0.0,COD,2018
8,COD,Growing fibre crops industry,XAM,0.0,COD,2018
9,COD,Growing crops n.e.c. industry,XAM,0.0,COD,2018
10,COD,Growing grapes industry,XAM,0.0,COD,2018
11,COD,Growing fruits and nuts industry,XAM,0.0,COD,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,COD,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,COD,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,COD,2018
15,COD,Raising of cattle industry,XAM,0.0,COD,2018
16,COD,Growing wheat industry,XEU,0.0,COD,2018
17,COD,Growing maize industry,XEU,0.0,COD,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,COD,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,0.0,COD,2018
20,COD,Growing rice industry,XEU,0.0,COD,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,0.0,COD,2018
22,COD,Growing sugar beet and cane industry,XEU,0.0,COD,2018
23,COD,Growing tobacco industry,XEU,0.0,COD,2018
24,COD,Growing fibre crops industry,XEU,0.0,COD,2018
25,COD,Growing crops n.e.c. industry,XEU,0.0,COD,2018
26,COD,Growing grapes industry,XEU,0.0,COD,2018
27,COD,Growing fruits and nuts industry,XEU,0.0,COD,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,COD,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,COD,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,COD,2018
31,COD,Raising of cattle industry,XEU,0.0,COD,2018
32,COD,Growing wheat industry,XAF,0.0,COD,2018
33,COD,Growing maize industry,XAF,0.0,COD,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,COD,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,0.0,COD,2018
36,COD,Growing rice industry,XAF,0.0,COD,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.0,COD,2018
38,COD,Growing sugar beet and cane industry,XAF,0.0,COD,2018
39,COD,Growing tobacco industry,XAF,0.0,COD,2018
40,COD,Growing fibre crops industry,XAF,0.0,COD,2018
41,COD,Growing crops n.e.c. industry,XAF,0.0,COD,2018
42,COD,Growing grapes industry,XAF,0.0,COD,2018
43,COD,Growing fruits and nuts industry,XAF,0.0,COD,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,COD,2018
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,COD,2018
46,COD,Seeds and plant propagation industry,XAF,0.0,COD,2018
47,COD,Raising of cattle industry,XAF,0.0,COD,2018
48,COD,Growing wheat industry,XAS,0.0,COD,2018
49,COD,Growing maize industry,XAS,0.0,COD,2018
50,COD,Growing cereals n.e.c industry,XAS,0.0,COD,2018
51,COD,Growing leguminous crops and oil seeds industry,XAS,0.0,COD,2018
