,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,9.26120048167474e-08,ISL,2018
1,COD,Growing maize industry,XAM,1.5244075681905628e-06,ISL,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,ISL,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.757723951179213e-07,ISL,2018
4,COD,Growing rice industry,XAM,3.4276403854444087e-07,ISL,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,6.583491927691281e-07,ISL,2018
6,COD,Growing sugar beet and cane industry,XAM,1.7930378765574374e-07,ISL,2018
7,COD,Growing tobacco industry,XAM,9.191927519361295e-10,ISL,2018
8,COD,Growing fibre crops industry,XAM,1.1561160750840939e-07,ISL,2018
9,COD,Growing crops n.e.c. industry,XAM,4.568963205719363e-07,ISL,2018
10,COD,Growing grapes industry,XAM,0.0,ISL,2018
11,COD,Growing fruits and nuts industry,XAM,2.436826890549397e-07,ISL,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,6.020412518859004e-07,ISL,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.5418390517787624e-09,ISL,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,ISL,2018
15,COD,Raising of cattle industry,XAM,1.6810308720397475e-05,ISL,2018
16,COD,Growing wheat industry,XEU,5.957430057053631e-07,ISL,2018
17,COD,Growing maize industry,XEU,1.0154619710833457e-05,ISL,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,ISL,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.2599516297161455e-06,ISL,2018
20,COD,Growing rice industry,XEU,2.1946550492445674e-06,ISL,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,5.442463958002755e-06,ISL,2018
22,COD,Growing sugar beet and cane industry,XEU,1.0478148537946178e-06,ISL,2018
23,COD,Growing tobacco industry,XEU,5.1923199333881574e-09,ISL,2018
24,COD,Growing fibre crops industry,XEU,1.0216867272751457e-06,ISL,2018
25,COD,Growing crops n.e.c. industry,XEU,2.692885242149684e-06,ISL,2018
26,COD,Growing grapes industry,XEU,0.0,ISL,2018
27,COD,Growing fruits and nuts industry,XEU,1.8407918271526935e-06,ISL,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,3.862829806664706e-06,ISL,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.0910570683603943e-08,ISL,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,ISL,2018
31,COD,Raising of cattle industry,XEU,0.00010059353229410019,ISL,2018
32,COD,Growing wheat industry,XAF,3.043083638843831e-08,ISL,2018
33,COD,Growing maize industry,XAF,3.8574454636106763e-07,ISL,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,ISL,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.0294226459631394e-07,ISL,2018
36,COD,Growing rice industry,XAF,1.1920388843299421e-07,ISL,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.574311877461445e-07,ISL,2018
