,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.119272503639644e-06,NOR,2018
1,COD,Growing maize industry,XAM,3.953557561848281e-05,NOR,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,NOR,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,5.325708987863689e-06,NOR,2018
4,COD,Growing rice industry,XAM,1.806365894517259e-06,NOR,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.4264499771179156e-05,NOR,2018
6,COD,Growing sugar beet and cane industry,XAM,3.522146227974724e-06,NOR,2018
7,COD,Growing tobacco industry,XAM,2.121614793194548e-08,NOR,2018
8,COD,Growing fibre crops industry,XAM,2.474128341058259e-06,NOR,2018
9,COD,Growing crops n.e.c. industry,XAM,5.578791167699259e-06,NOR,2018
10,COD,Growing grapes industry,XAM,0.0,NOR,2018
11,COD,Growing fruits and nuts industry,XAM,7.286581795662464e-06,NOR,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,8.265022946883264e-05,NOR,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.158513667585609e-08,NOR,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,NOR,2018
15,COD,Raising of cattle industry,XAM,7.321360475036917e-05,NOR,2018
16,COD,Growing wheat industry,XEU,3.6254957429177016e-06,NOR,2018
17,COD,Growing maize industry,XEU,0.0001417280719640353,NOR,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,NOR,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.692246838023686e-05,NOR,2018
20,COD,Growing rice industry,XEU,8.837182868703734e-06,NOR,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,0.00010412770057144241,NOR,2018
22,COD,Growing sugar beet and cane industry,XEU,7.922592793913354e-06,NOR,2018
23,COD,Growing tobacco industry,XEU,9.125363995656162e-08,NOR,2018
24,COD,Growing fibre crops industry,XEU,9.04400316524289e-06,NOR,2018
25,COD,Growing crops n.e.c. industry,XEU,1.2592109355166548e-05,NOR,2018
26,COD,Growing grapes industry,XEU,0.0,NOR,2018
27,COD,Growing fruits and nuts industry,XEU,2.6727449200968326e-05,NOR,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,0.00036660045792519475,NOR,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.4001711723688364e-07,NOR,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,NOR,2018
31,COD,Raising of cattle industry,XEU,0.0003575528269269297,NOR,2018
32,COD,Growing wheat industry,XAF,1.331073067035221e-07,NOR,2018
33,COD,Growing maize industry,XAF,4.464697596574196e-06,NOR,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,NOR,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,7.0916220056932e-07,NOR,2018
36,COD,Growing rice industry,XAF,2.199928490026586e-07,NOR,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.873568744477451e-06,NOR,2018
38,COD,Growing sugar beet and cane industry,XAF,3.858096713888197e-07,NOR,2018
39,COD,Growing tobacco industry,XAF,3.0295293462838396e-09,NOR,2018
40,COD,Growing fibre crops industry,XAF,2.2713829479593996e-07,NOR,2018
41,COD,Growing crops n.e.c. industry,XAF,5.438321515133499e-07,NOR,2018
42,COD,Growing grapes industry,XAF,0.0,NOR,2018
43,COD,Growing fruits and nuts industry,XAF,7.915898124049299e-07,NOR,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,8.371274234385226e-06,NOR,2018
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.483431252895626e-09,NOR,2018
46,COD,Seeds and plant propagation industry,XAF,0.0,NOR,2018
47,COD,Raising of cattle industry,XAF,9.540300208509546e-06,NOR,2018
48,COD,Growing wheat industry,XAS,2.1381042744802748e-07,NOR,2018
49,COD,Growing maize industry,XAS,7.377992075047031e-06,NOR,2018
50,COD,Growing cereals n.e.c industry,XAS,0.0,NOR,2018
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.1816373360670138e-06,NOR,2018
52,COD,Growing rice industry,XAS,3.5241350672804544e-07,NOR,2018
53,COD,"Growing vegetables, roots, tubers industry",XAS,5.5660504057337e-06,NOR,2018
54,COD,Growing sugar beet and cane industry,XAS,6.28006145771695e-07,NOR,2018
55,COD,Growing tobacco industry,XAS,4.4290906637253635e-09,NOR,2018
56,COD,Growing fibre crops industry,XAS,4.7095380803642714e-07,NOR,2018
57,COD,Growing crops n.e.c. industry,XAS,8.450133189580394e-07,NOR,2018
58,COD,Growing grapes industry,XAS,0.0,NOR,2018
59,COD,Growing fruits and nuts industry,XAS,1.2656331093427332e-06,NOR,2018
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.3023926573656872e-05,NOR,2018
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.4118946794191867e-08,NOR,2018
62,COD,Seeds and plant propagation industry,XAS,0.0,NOR,2018
63,COD,Raising of cattle industry,XAS,1.4560367916422755e-05,NOR,2018
64,COD,Growing wheat industry,AFG,5.085758753603046e-08,NOR,2018
65,COD,Growing maize industry,AFG,1.506348321670438e-06,NOR,2018
66,COD,Growing cereals n.e.c industry,AFG,0.0,NOR,2018
67,COD,Growing leguminous crops and oil seeds industry,AFG,2.492299183788389e-07,NOR,2018
68,COD,Growing rice industry,AFG,7.88518486849333e-08,NOR,2018
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.4092752513334924e-06,NOR,2018
70,COD,Growing sugar beet and cane industry,AFG,1.4133018115196317e-07,NOR,2018
71,COD,Growing tobacco industry,AFG,1.0604643366343582e-09,NOR,2018
72,COD,Growing fibre crops industry,AFG,1.8561764369450435e-07,NOR,2018
73,COD,Growing crops n.e.c. industry,AFG,1.9508328966681752e-07,NOR,2018
74,COD,Growing grapes industry,AFG,0.0,NOR,2018
75,COD,Growing fruits and nuts industry,AFG,2.79879634472141e-07,NOR,2018
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,2.8508529251125583e-06,NOR,2018
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,3.350128506497528e-09,NOR,2018
78,COD,Seeds and plant propagation industry,AFG,0.0,NOR,2018
79,COD,Raising of cattle industry,AFG,3.3161371574681025e-06,NOR,2018
80,COD,Growing wheat industry,AGO,2.8621414415377905e-06,NOR,2018
81,COD,Growing maize industry,AGO,8.67381791264412e-05,NOR,2018
82,COD,Growing cereals n.e.c industry,AGO,0.0,NOR,2018
83,COD,Growing leguminous crops and oil seeds industry,AGO,1.3278655619675818e-05,NOR,2018
84,COD,Growing rice industry,AGO,4.175558690331575e-06,NOR,2018
85,COD,"Growing vegetables, roots, tubers industry",AGO,6.548774918913393e-05,NOR,2018
86,COD,Growing sugar beet and cane industry,AGO,9.138253309230265e-06,NOR,2018
87,COD,Growing tobacco industry,AGO,5.6260618548864625e-08,NOR,2018
88,COD,Growing fibre crops industry,AGO,4.4721390985369055e-06,NOR,2018
89,COD,Growing crops n.e.c. industry,AGO,1.3629208591631992e-05,NOR,2018
90,COD,Growing grapes industry,AGO,0.0,NOR,2018
91,COD,Growing fruits and nuts industry,AGO,1.730305838709201e-05,NOR,2018
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,0.00015915218879063533,NOR,2018
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.7437053301974875e-07,NOR,2018
94,COD,Seeds and plant propagation industry,AGO,0.0,NOR,2018
95,COD,Raising of cattle industry,AGO,0.00018519549691938108,NOR,2018
96,COD,Growing wheat industry,ALB,7.820533860189011e-08,NOR,2018
97,COD,Growing maize industry,ALB,2.856910633057684e-06,NOR,2018
98,COD,Growing cereals n.e.c industry,ALB,0.0,NOR,2018
99,COD,Growing leguminous crops and oil seeds industry,ALB,4.937910503668718e-07,NOR,2018
100,COD,Growing rice industry,ALB,1.4076234656945388e-07,NOR,2018
101,COD,"Growing vegetables, roots, tubers industry",ALB,2.7390113073628287e-06,NOR,2018
102,COD,Growing sugar beet and cane industry,ALB,2.1915632948454116e-07,NOR,2018
103,COD,Growing tobacco industry,ALB,2.1472862887738823e-09,NOR,2018
104,COD,Growing fibre crops industry,ALB,1.6612317021868786e-07,NOR,2018
105,COD,Growing crops n.e.c. industry,ALB,3.1190157050543204e-07,NOR,2018
106,COD,Growing grapes industry,ALB,0.0,NOR,2018
107,COD,Growing fruits and nuts industry,ALB,5.233634203308682e-07,NOR,2018
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,5.19248627777865e-06,NOR,2018
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,6.240818115321163e-09,NOR,2018
110,COD,Seeds and plant propagation industry,ALB,0.0,NOR,2018
111,COD,Raising of cattle industry,ALB,5.995013233201364e-06,NOR,2018
112,COD,Growing wheat industry,ARE,1.8725827243569684e-06,NOR,2018
113,COD,Growing maize industry,ARE,6.715260279000287e-05,NOR,2018
114,COD,Growing cereals n.e.c industry,ARE,0.0,NOR,2018
115,COD,Growing leguminous crops and oil seeds industry,ARE,1.4070357977271275e-05,NOR,2018
116,COD,Growing rice industry,ARE,3.7026999524453504e-06,NOR,2018
117,COD,"Growing vegetables, roots, tubers industry",ARE,5.342213579122868e-05,NOR,2018
118,COD,Growing sugar beet and cane industry,ARE,5.005749169434809e-06,NOR,2018
119,COD,Growing tobacco industry,ARE,4.244465532491082e-08,NOR,2018
120,COD,Growing fibre crops industry,ARE,3.834635344999853e-06,NOR,2018
121,COD,Growing crops n.e.c. industry,ARE,6.989429133854234e-06,NOR,2018
122,COD,Growing grapes industry,ARE,0.0,NOR,2018
123,COD,Growing fruits and nuts industry,ARE,1.2198907835523755e-05,NOR,2018
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,0.00012063592274816289,NOR,2018
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.2564596015075352e-07,NOR,2018
126,COD,Seeds and plant propagation industry,ARE,0.0,NOR,2018
127,COD,Raising of cattle industry,ARE,0.00015084999870347614,NOR,2018
128,COD,Growing wheat industry,ARG,9.263368180121396e-07,NOR,2018
129,COD,Growing maize industry,ARG,3.428241297859038e-05,NOR,2018
130,COD,Growing cereals n.e.c industry,ARG,0.0,NOR,2018
131,COD,Growing leguminous crops and oil seeds industry,ARG,5.562850585243116e-06,NOR,2018
132,COD,Growing rice industry,ARG,1.6290955996455696e-06,NOR,2018
133,COD,"Growing vegetables, roots, tubers industry",ARG,2.6832557365934022e-05,NOR,2018
134,COD,Growing sugar beet and cane industry,ARG,2.5130095218930726e-06,NOR,2018
135,COD,Growing tobacco industry,ARG,2.2063624050391215e-08,NOR,2018
136,COD,Growing fibre crops industry,ARG,2.127003525438834e-06,NOR,2018
137,COD,Growing crops n.e.c. industry,ARG,3.6808313891217295e-06,NOR,2018
138,COD,Growing grapes industry,ARG,0.0,NOR,2018
139,COD,Growing fruits and nuts industry,ARG,5.8841828463741795e-06,NOR,2018
140,COD,"Growing beverage crops (coffee, tea etc) industry",ARG,9.739184810706394e-05,NOR,2018
141,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,7.193297703382676e-08,NOR,2018
142,COD,Seeds and plant propagation industry,ARG,0.0,NOR,2018
143,COD,Raising of cattle industry,ARG,6.763757652017123e-05,NOR,2018
144,COD,Growing wheat industry,ARM,5.195660152051952e-08,NOR,2018
145,COD,Growing maize industry,ARM,3.2987438462318963e-06,NOR,2018
146,COD,Growing cereals n.e.c industry,ARM,0.0,NOR,2018
147,COD,Growing leguminous crops and oil seeds industry,ARM,3.071507562636002e-07,NOR,2018
148,COD,Growing rice industry,ARM,9.26725227598597e-08,NOR,2018
149,COD,"Growing vegetables, roots, tubers industry",ARM,1.7385447207903264e-06,NOR,2018
150,COD,Growing sugar beet and cane industry,ARM,1.6199421868231938e-07,NOR,2018
151,COD,Growing tobacco industry,ARM,1.4300247219853914e-09,NOR,2018
152,COD,Growing fibre crops industry,ARM,1.4606116227867866e-07,NOR,2018
153,COD,Growing crops n.e.c. industry,ARM,2.2040402524723502e-07,NOR,2018
154,COD,Growing grapes industry,ARM,0.0,NOR,2018
