,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.0460656690977634e-05,HKG,2019
1,COD,Growing maize industry,XAM,0.0,HKG,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,HKG,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,0.00039734124621450555,HKG,2019
4,COD,Growing rice industry,XAM,5.813788885161297e-06,HKG,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.00016492349036517352,HKG,2019
6,COD,Growing sugar beet and cane industry,XAM,4.377956860277674e-06,HKG,2019
7,COD,Growing tobacco industry,XAM,5.6917257676199946e-08,HKG,2019
8,COD,Growing fibre crops industry,XAM,3.605421649213743e-05,HKG,2019
9,COD,Growing crops n.e.c. industry,XAM,2.418683212164935e-05,HKG,2019
10,COD,Growing grapes industry,XAM,0.0,HKG,2019
11,COD,Growing fruits and nuts industry,XAM,3.136657118047954e-05,HKG,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00014420015338437425,HKG,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.073134634676616e-07,HKG,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,HKG,2019
15,COD,Raising of cattle industry,XAM,0.0002390622564974705,HKG,2019
16,COD,Growing wheat industry,XEU,5.999360732402522e-06,HKG,2019
17,COD,Growing maize industry,XEU,0.0,HKG,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,HKG,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,0.0002862670326828122,HKG,2019
20,COD,Growing rice industry,XEU,3.995328620881136e-06,HKG,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,8.39795344400887e-05,HKG,2019
22,COD,Growing sugar beet and cane industry,XEU,1.5658610322774224e-06,HKG,2019
23,COD,Growing tobacco industry,XEU,2.8406506469083493e-08,HKG,2019
24,COD,Growing fibre crops industry,XEU,1.694656465893269e-05,HKG,2019
25,COD,Growing crops n.e.c. industry,XEU,7.883405558676456e-06,HKG,2019
26,COD,Growing grapes industry,XEU,0.0,HKG,2019
27,COD,Growing fruits and nuts industry,XEU,1.5623151169756755e-05,HKG,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.348790145103469e-05,HKG,2019
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.3736800084130404e-07,HKG,2019
30,COD,Seeds and plant propagation industry,XEU,0.0,HKG,2019
31,COD,Raising of cattle industry,XEU,9.522171500871939e-05,HKG,2019
32,COD,Growing wheat industry,XAF,6.44495339581806e-06,HKG,2019
33,COD,Growing maize industry,XAF,0.0,HKG,2019
34,COD,Growing cereals n.e.c industry,XAF,0.0,HKG,2019
35,COD,Growing leguminous crops and oil seeds industry,XAF,0.00020890010018495867,HKG,2019
36,COD,Growing rice industry,XAF,3.1112455551211902e-06,HKG,2019
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.00012387574512806978,HKG,2019
38,COD,Growing sugar beet and cane industry,XAF,3.5925263741585613e-06,HKG,2019
39,COD,Growing tobacco industry,XAF,4.1341515507496715e-08,HKG,2019
40,COD,Growing fibre crops industry,XAF,3.481766933879679e-05,HKG,2019
41,COD,Growing crops n.e.c. industry,XAF,2.0254296438906472e-05,HKG,2019
42,COD,Growing grapes industry,XAF,0.0,HKG,2019
43,COD,Growing fruits and nuts industry,XAF,1.842407712764146e-05,HKG,2019
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,8.2751279769144e-05,HKG,2019
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.396160459735043e-07,HKG,2019
46,COD,Seeds and plant propagation industry,XAF,0.0,HKG,2019
47,COD,Raising of cattle industry,XAF,0.0001777404176721958,HKG,2019
48,COD,Growing wheat industry,XAS,9.274129757584602e-06,HKG,2019
49,COD,Growing maize industry,XAS,0.0,HKG,2019
50,COD,Growing cereals n.e.c industry,XAS,0.0,HKG,2019
51,COD,Growing leguminous crops and oil seeds industry,XAS,0.00031855133014207945,HKG,2019
52,COD,Growing rice industry,XAS,4.718611992762099e-06,HKG,2019
53,COD,"Growing vegetables, roots, tubers industry",XAS,0.00014945450759248541,HKG,2019
54,COD,Growing sugar beet and cane industry,XAS,5.959078889782651e-06,HKG,2019
55,COD,Growing tobacco industry,XAS,5.448434937097923e-08,HKG,2019
56,COD,Growing fibre crops industry,XAS,3.602681514786976e-05,HKG,2019
57,COD,Growing crops n.e.c. industry,XAS,2.425541825077892e-05,HKG,2019
58,COD,Growing grapes industry,XAS,0.0,HKG,2019
59,COD,Growing fruits and nuts industry,XAS,2.898898028671115e-05,HKG,2019
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,0.00011401071133972813,HKG,2019
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,6.284764160909868e-07,HKG,2019
62,COD,Seeds and plant propagation industry,XAS,0.0,HKG,2019
63,COD,Raising of cattle industry,XAS,0.00023406864106774005,HKG,2019
64,COD,Growing wheat industry,AFG,1.4626846879396363e-06,HKG,2019
65,COD,Growing maize industry,AFG,0.0,HKG,2019
66,COD,Growing cereals n.e.c industry,AFG,0.0,HKG,2019
67,COD,Growing leguminous crops and oil seeds industry,AFG,5.597759771807247e-05,HKG,2019
68,COD,Growing rice industry,AFG,8.118228873623157e-07,HKG,2019
69,COD,"Growing vegetables, roots, tubers industry",AFG,2.376529664438938e-05,HKG,2019
