,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,9.168634595741737e-08,MRT,2019
1,COD,Growing maize industry,XAM,0.0,MRT,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,MRT,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.6693586520311704e-07,MRT,2019
4,COD,Growing rice industry,XAM,2.830795129435056e-08,MRT,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.8765302956435806e-07,MRT,2019
6,COD,Growing sugar beet and cane industry,XAM,3.230209766179758e-08,MRT,2019
7,COD,Growing tobacco industry,XAM,3.460812815113631e-10,MRT,2019
8,COD,Growing fibre crops industry,XAM,4.99222247893147e-08,MRT,2019
9,COD,Growing crops n.e.c. industry,XAM,2.1377908444876558e-07,MRT,2019
10,COD,Growing grapes industry,XAM,0.0,MRT,2019
11,COD,Growing fruits and nuts industry,XAM,1.0598970055093172e-08,MRT,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.265613869753577e-07,MRT,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.8107683252522434e-09,MRT,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,MRT,2019
15,COD,Raising of cattle industry,XAM,8.27506483119448e-06,MRT,2019
16,COD,Growing wheat industry,XEU,7.924884752237328e-08,MRT,2019
17,COD,Growing maize industry,XEU,0.0,MRT,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,MRT,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.4861724401852741e-07,MRT,2019
20,COD,Growing rice industry,XEU,3.0274864751577953e-08,MRT,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,9.951215709520077e-08,MRT,2019
22,COD,Growing sugar beet and cane industry,XEU,3.064873895488836e-08,MRT,2019
23,COD,Growing tobacco industry,XEU,2.647261721326489e-10,MRT,2019
24,COD,Growing fibre crops industry,XEU,3.7530852101563346e-08,MRT,2019
25,COD,Growing crops n.e.c. industry,XEU,2.1807020493665562e-07,MRT,2019
26,COD,Growing grapes industry,XEU,0.0,MRT,2019
27,COD,Growing fruits and nuts industry,XEU,4.874004106513833e-09,MRT,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.076026319621117e-08,MRT,2019
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.2030592557808666e-09,MRT,2019
30,COD,Seeds and plant propagation industry,XEU,0.0,MRT,2019
31,COD,Raising of cattle industry,XEU,8.076738762298996e-06,MRT,2019
