,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.6497797525698985e-06,NGA,2019
1,COD,Growing maize industry,XAM,0.0,NGA,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,NGA,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,0.00024418316105265713,NGA,2019
4,COD,Growing rice industry,XAM,3.8771391638394663e-07,NGA,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.0004688578054984527,NGA,2019
6,COD,Growing sugar beet and cane industry,XAM,4.802851339484934e-06,NGA,2019
7,COD,Growing tobacco industry,XAM,1.2326030416958998e-06,NGA,2019
8,COD,Growing fibre crops industry,XAM,1.4591970279101306e-06,NGA,2019
9,COD,Growing crops n.e.c. industry,XAM,7.055405683944288e-06,NGA,2019
10,COD,Growing grapes industry,XAM,0.0,NGA,2019
11,COD,Growing fruits and nuts industry,XAM,7.3977468274812e-06,NGA,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,8.651725335219487e-05,NGA,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.570506287728869e-06,NGA,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,NGA,2019
15,COD,Raising of cattle industry,XAM,0.00022138620640360234,NGA,2019
16,COD,Growing wheat industry,XEU,3.4441593539964664e-07,NGA,2019
17,COD,Growing maize industry,XEU,0.0,NGA,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,NGA,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,4.853781136003695e-05,NGA,2019
20,COD,Growing rice industry,XEU,6.126424520760718e-08,NGA,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.917265530931741e-05,NGA,2019
22,COD,Growing sugar beet and cane industry,XEU,8.253820496408414e-07,NGA,2019
23,COD,Growing tobacco industry,XEU,2.4851000768267247e-07,NGA,2019
24,COD,Growing fibre crops industry,XEU,3.4526163307322695e-07,NGA,2019
25,COD,Growing crops n.e.c. industry,XEU,1.1492559641576166e-06,NGA,2019
26,COD,Growing grapes industry,XEU,0.0,NGA,2019
27,COD,Growing fruits and nuts industry,XEU,5.691424751046678e-07,NGA,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.9918021848898284e-06,NGA,2019
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.823347646574704e-07,NGA,2019
30,COD,Seeds and plant propagation industry,XEU,0.0,NGA,2019
31,COD,Raising of cattle industry,XEU,2.2133563893817233e-05,NGA,2019
32,COD,Growing wheat industry,XAF,7.654049851176619e-07,NGA,2019
33,COD,Growing maize industry,XAF,0.0,NGA,2019
34,COD,Growing cereals n.e.c industry,XAF,0.0,NGA,2019
