,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,8.345010211024177e-07,TUR,2019
1,COD,Growing maize industry,XAM,0.0,TUR,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,TUR,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,4.234703775861775e-06,TUR,2019
4,COD,Growing rice industry,XAM,1.499776272661281e-07,TUR,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,9.321491343485076e-06,TUR,2019
6,COD,Growing sugar beet and cane industry,XAM,7.515160855682279e-07,TUR,2019
7,COD,Growing tobacco industry,XAM,9.7752138068055e-08,TUR,2019
8,COD,Growing fibre crops industry,XAM,3.0168206340866123e-06,TUR,2019
9,COD,Growing crops n.e.c. industry,XAM,5.102605073169852e-06,TUR,2019
10,COD,Growing grapes industry,XAM,0.0,TUR,2019
11,COD,Growing fruits and nuts industry,XAM,1.5900824255005568e-06,TUR,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,9.112454398507831e-06,TUR,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.001895763988251e-08,TUR,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,TUR,2019
15,COD,Raising of cattle industry,XAM,4.515186599654819e-05,TUR,2019
16,COD,Growing wheat industry,XEU,1.9704987550597728e-07,TUR,2019
17,COD,Growing maize industry,XEU,0.0,TUR,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,TUR,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.1108424426867053e-06,TUR,2019
20,COD,Growing rice industry,XEU,3.734830870703317e-08,TUR,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.5889881294683865e-06,TUR,2019
22,COD,Growing sugar beet and cane industry,XEU,1.5811929561708918e-07,TUR,2019
23,COD,Growing tobacco industry,XEU,2.8944584943881565e-08,TUR,2019
24,COD,Growing fibre crops industry,XEU,7.813929075647204e-07,TUR,2019
25,COD,Growing crops n.e.c. industry,XEU,6.90249672882765e-07,TUR,2019
26,COD,Growing grapes industry,XEU,0.0,TUR,2019
27,COD,Growing fruits and nuts industry,XEU,3.7230164449096147e-07,TUR,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.1901761870990363e-06,TUR,2019
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,7.953508343118983e-09,TUR,2019
30,COD,Seeds and plant propagation industry,XEU,0.0,TUR,2019
31,COD,Raising of cattle industry,XEU,1.1376140137482428e-05,TUR,2019
32,COD,Growing wheat industry,XAF,3.127333163816582e-07,TUR,2019
33,COD,Growing maize industry,XAF,0.0,TUR,2019
34,COD,Growing cereals n.e.c industry,XAF,0.0,TUR,2019
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.6234382959758748e-06,TUR,2019
36,COD,Growing rice industry,XAF,5.781667107221479e-08,TUR,2019
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.7192171159930574e-06,TUR,2019
38,COD,Growing sugar beet and cane industry,XAF,2.7387704057042886e-07,TUR,2019
39,COD,Growing tobacco industry,XAF,4.6839536092778515e-08,TUR,2019
40,COD,Growing fibre crops industry,XAF,1.3452213051785234e-06,TUR,2019
41,COD,Growing crops n.e.c. industry,XAF,1.290142040173387e-06,TUR,2019
42,COD,Growing grapes industry,XAF,0.0,TUR,2019
43,COD,Growing fruits and nuts industry,XAF,6.137392114350526e-07,TUR,2019
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.6621855655566822e-06,TUR,2019
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.186347757280056e-08,TUR,2019
46,COD,Seeds and plant propagation industry,XAF,0.0,TUR,2019
47,COD,Raising of cattle industry,XAF,1.8214313419519035e-05,TUR,2019
48,COD,Growing wheat industry,XAS,4.1049911058926624e-07,TUR,2019
49,COD,Growing maize industry,XAS,0.0,TUR,2019
50,COD,Growing cereals n.e.c industry,XAS,0.0,TUR,2019
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.9456728443235713e-06,TUR,2019
52,COD,Growing rice industry,XAS,7.853774128739676e-08,TUR,2019
53,COD,"Growing vegetables, roots, tubers industry",XAS,4.4427720248764455e-06,TUR,2019
54,COD,Growing sugar beet and cane industry,XAS,3.008920488817602e-07,TUR,2019
55,COD,Growing tobacco industry,XAS,5.1333260609900837e-08,TUR,2019
56,COD,Growing fibre crops industry,XAS,1.2810512187751446e-06,TUR,2019
57,COD,Growing crops n.e.c. industry,XAS,1.6581094563316757e-06,TUR,2019
58,COD,Growing grapes industry,XAS,0.0,TUR,2019
59,COD,Growing fruits and nuts industry,XAS,6.671126416468375e-07,TUR,2019
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,4.697523855960413e-06,TUR,2019
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.4490930824345156e-08,TUR,2019
62,COD,Seeds and plant propagation industry,XAS,0.0,TUR,2019
63,COD,Raising of cattle industry,XAS,2.5512676545815022e-05,TUR,2019
64,COD,Growing wheat industry,AFG,1.4713304961713377e-06,TUR,2019
65,COD,Growing maize industry,AFG,0.0,TUR,2019
66,COD,Growing cereals n.e.c industry,AFG,0.0,TUR,2019
67,COD,Growing leguminous crops and oil seeds industry,AFG,6.4366104507669925e-06,TUR,2019
68,COD,Growing rice industry,AFG,2.93311511015979e-07,TUR,2019
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.4788852735984141e-05,TUR,2019
70,COD,Growing sugar beet and cane industry,AFG,9.541277650124456e-07,TUR,2019
71,COD,Growing tobacco industry,AFG,1.8669320898324202e-07,TUR,2019
72,COD,Growing fibre crops industry,AFG,3.7285904293966372e-06,TUR,2019
73,COD,Growing crops n.e.c. industry,AFG,6.077823742180674e-06,TUR,2019
74,COD,Growing grapes industry,AFG,0.0,TUR,2019
75,COD,Growing fruits and nuts industry,AFG,1.922729765105242e-06,TUR,2019
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,1.3579075304992324e-05,TUR,2019
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,4.773571933987159e-08,TUR,2019
78,COD,Seeds and plant propagation industry,AFG,0.0,TUR,2019
79,COD,Raising of cattle industry,AFG,0.00010458471905039316,TUR,2019
80,COD,Growing wheat industry,AGO,2.5403176906188186e-06,TUR,2019
81,COD,Growing maize industry,AGO,0.0,TUR,2019
82,COD,Growing cereals n.e.c industry,AGO,0.0,TUR,2019
83,COD,Growing leguminous crops and oil seeds industry,AGO,1.2885047876410086e-05,TUR,2019
84,COD,Growing rice industry,AGO,4.850815129469559e-07,TUR,2019
85,COD,"Growing vegetables, roots, tubers industry",AGO,3.0333652127908757e-05,TUR,2019
86,COD,Growing sugar beet and cane industry,AGO,2.0971906955108225e-06,TUR,2019
87,COD,Growing tobacco industry,AGO,3.284436065383696e-07,TUR,2019
88,COD,Growing fibre crops industry,AGO,8.795214241304667e-06,TUR,2019
89,COD,Growing crops n.e.c. industry,AGO,1.048338859286745e-05,TUR,2019
90,COD,Growing grapes industry,AGO,0.0,TUR,2019
91,COD,Growing fruits and nuts industry,AGO,4.7671746983463825e-06,TUR,2019
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,2.8947548345064402e-05,TUR,2019
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,9.679764795733871e-08,TUR,2019
94,COD,Seeds and plant propagation industry,AGO,0.0,TUR,2019
95,COD,Raising of cattle industry,AGO,0.0001454631889657611,TUR,2019
96,COD,Growing wheat industry,ALB,6.640409085872571e-07,TUR,2019
97,COD,Growing maize industry,ALB,0.0,TUR,2019
98,COD,Growing cereals n.e.c industry,ALB,0.0,TUR,2019
99,COD,Growing leguminous crops and oil seeds industry,ALB,3.4927886352566914e-06,TUR,2019
100,COD,Growing rice industry,ALB,1.1555616908089172e-07,TUR,2019
101,COD,"Growing vegetables, roots, tubers industry",ALB,8.324477300177777e-06,TUR,2019
102,COD,Growing sugar beet and cane industry,ALB,8.918834912946175e-07,TUR,2019
103,COD,Growing tobacco industry,ALB,1.1561527126577142e-07,TUR,2019
104,COD,Growing fibre crops industry,ALB,3.869768396394324e-06,TUR,2019
105,COD,Growing crops n.e.c. industry,ALB,2.379372888932778e-06,TUR,2019
106,COD,Growing grapes industry,ALB,0.0,TUR,2019
107,COD,Growing fruits and nuts industry,ALB,1.539388667212129e-06,TUR,2019
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,8.060093557404353e-06,TUR,2019
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,2.5969010202584876e-08,TUR,2019
110,COD,Seeds and plant propagation industry,ALB,0.0,TUR,2019
111,COD,Raising of cattle industry,ALB,3.753717576759718e-05,TUR,2019
112,COD,Growing wheat industry,ARE,3.0835180720412303e-06,TUR,2019
113,COD,Growing maize industry,ARE,0.0,TUR,2019
114,COD,Growing cereals n.e.c industry,ARE,0.0,TUR,2019
115,COD,Growing leguminous crops and oil seeds industry,ARE,1.698277885636922e-05,TUR,2019
116,COD,Growing rice industry,ARE,5.252288223312101e-07,TUR,2019
117,COD,"Growing vegetables, roots, tubers industry",ARE,4.0731647691438595e-05,TUR,2019
118,COD,Growing sugar beet and cane industry,ARE,3.0276953535667623e-06,TUR,2019
119,COD,Growing tobacco industry,ARE,4.5597600539233036e-07,TUR,2019
120,COD,Growing fibre crops industry,ARE,1.3710749923229597e-05,TUR,2019
121,COD,Growing crops n.e.c. industry,ARE,1.2128819577546583e-05,TUR,2019
122,COD,Growing grapes industry,ARE,0.0,TUR,2019
123,COD,Growing fruits and nuts industry,ARE,7.143814272623338e-06,TUR,2019
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,4.067976419396108e-05,TUR,2019
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.3186361667800586e-07,TUR,2019
126,COD,Seeds and plant propagation industry,ARE,0.0,TUR,2019
127,COD,Raising of cattle industry,ARE,0.00015860448126265068,TUR,2019
128,COD,Growing wheat industry,ARG,2.1894874105301073e-06,TUR,2019
129,COD,Growing maize industry,ARG,0.0,TUR,2019
130,COD,Growing cereals n.e.c industry,ARG,0.0,TUR,2019
131,COD,Growing leguminous crops and oil seeds industry,ARG,1.1398441911920131e-05,TUR,2019
132,COD,Growing rice industry,ARG,3.6467944094176854e-07,TUR,2019
133,COD,"Growing vegetables, roots, tubers industry",ARG,2.6754326726044208e-05,TUR,2019
134,COD,Growing sugar beet and cane industry,ARG,2.050944553948942e-06,TUR,2019
135,COD,Growing tobacco industry,ARG,3.675332088935233e-07,TUR,2019
136,COD,Growing fibre crops industry,ARG,1.3011856384318409e-05,TUR,2019
137,COD,Growing crops n.e.c. industry,ARG,8.643818531080636e-06,TUR,2019
138,COD,Growing grapes industry,ARG,0.0,TUR,2019
139,COD,Growing fruits and nuts industry,ARG,4.805439407102575e-06,TUR,2019
140,COD,"Growing beverage crops (coffee, tea etc) industry",ARG,2.5378411581642886e-05,TUR,2019
141,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,8.266045583764311e-08,TUR,2019
142,COD,Seeds and plant propagation industry,ARG,0.0,TUR,2019
143,COD,Raising of cattle industry,ARG,0.00011441240160281876,TUR,2019
144,COD,Growing wheat industry,ARM,6.402843668740455e-07,TUR,2019
145,COD,Growing maize industry,ARM,0.0,TUR,2019
146,COD,Growing cereals n.e.c industry,ARM,0.0,TUR,2019
147,COD,Growing leguminous crops and oil seeds industry,ARM,3.534880295278767e-06,TUR,2019
148,COD,Growing rice industry,ARM,1.066734069476727e-07,TUR,2019
149,COD,"Growing vegetables, roots, tubers industry",ARM,8.914090290681303e-06,TUR,2019
150,COD,Growing sugar beet and cane industry,ARM,7.044593734607109e-07,TUR,2019
151,COD,Growing tobacco industry,ARM,6.950251240809785e-08,TUR,2019
152,COD,Growing fibre crops industry,ARM,3.620671290036493e-06,TUR,2019
153,COD,Growing crops n.e.c. industry,ARM,2.4604829920618856e-06,TUR,2019
154,COD,Growing grapes industry,ARM,0.0,TUR,2019
155,COD,Growing fruits and nuts industry,ARM,1.4171600219368298e-06,TUR,2019
156,COD,"Growing beverage crops (coffee, tea etc) industry",ARM,7.741915898585763e-06,TUR,2019
157,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,2.7872340164535616e-08,TUR,2019
158,COD,Seeds and plant propagation industry,ARM,0.0,TUR,2019
159,COD,Raising of cattle industry,ARM,3.0349731767818856e-05,TUR,2019
160,COD,Growing wheat industry,AUS,7.062778867737544e-06,TUR,2019
