,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.6008548719044479e-06,URY,2019
1,COD,Growing maize industry,XAM,0.0,URY,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,URY,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.3770173145507446e-06,URY,2019
4,COD,Growing rice industry,XAM,4.555537980615003e-07,URY,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.778378482275382e-05,URY,2019
6,COD,Growing sugar beet and cane industry,XAM,4.831004799001943e-07,URY,2019
7,COD,Growing tobacco industry,XAM,8.673192082967394e-09,URY,2019
8,COD,Growing fibre crops industry,XAM,3.4782793546560494e-07,URY,2019
9,COD,Growing crops n.e.c. industry,XAM,2.088442337596322e-06,URY,2019
10,COD,Growing grapes industry,XAM,0.0,URY,2019
11,COD,Growing fruits and nuts industry,XAM,7.878013561984525e-07,URY,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,7.674366843807926e-06,URY,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.103713522295615e-08,URY,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,URY,2019
15,COD,Raising of cattle industry,XAM,6.612656538943966e-05,URY,2019
16,COD,Growing wheat industry,XEU,1.6149728351641174e-07,URY,2019
17,COD,Growing maize industry,XEU,0.0,URY,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,URY,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,4.5816891179298944e-07,URY,2019
20,COD,Growing rice industry,XEU,3.536561207687425e-08,URY,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.4101860495211934e-06,URY,2019
22,COD,Growing sugar beet and cane industry,XEU,9.194265522264597e-08,URY,2019
23,COD,Growing tobacco industry,XEU,9.965478341709791e-10,URY,2019
24,COD,Growing fibre crops industry,XEU,1.0375527234148757e-07,URY,2019
25,COD,Growing crops n.e.c. industry,XEU,2.524172941102844e-07,URY,2019
26,COD,Growing grapes industry,XEU,0.0,URY,2019
27,COD,Growing fruits and nuts industry,XEU,1.1978282707455639e-07,URY,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,8.682885300416547e-07,URY,2019
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.681300528899194e-09,URY,2019
30,COD,Seeds and plant propagation industry,XEU,0.0,URY,2019
31,COD,Raising of cattle industry,XEU,5.954931445280263e-06,URY,2019
32,COD,Growing wheat industry,XAF,6.109578259271293e-07,URY,2019
33,COD,Growing maize industry,XAF,0.0,URY,2019
34,COD,Growing cereals n.e.c industry,XAF,0.0,URY,2019
35,COD,Growing leguminous crops and oil seeds industry,XAF,7.70402860186517e-07,URY,2019
36,COD,Growing rice industry,XAF,1.0262611486143184e-07,URY,2019
37,COD,"Growing vegetables, roots, tubers industry",XAF,2.0542770604048197e-06,URY,2019
38,COD,Growing sugar beet and cane industry,XAF,9.852951186772426e-08,URY,2019
