,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,HTI,2012
1,IDN,Growing maize industry,XAM,5.8880737567232125e-06,HTI,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,HTI,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0012134877845151539,HTI,2012
4,IDN,Growing rice industry,XAM,3.052531558878182e-08,HTI,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,HTI,2012
6,IDN,Growing sugar beet and cane industry,XAM,5.73603238572313e-06,HTI,2012
7,IDN,Growing tobacco industry,XAM,2.8391174971226604e-06,HTI,2012
8,IDN,Growing fibre crops industry,XAM,2.1669726305108462e-10,HTI,2012
9,IDN,Growing crops n.e.c. industry,XAM,1.1087247829767342e-05,HTI,2012
10,IDN,Growing grapes industry,XAM,0.0,HTI,2012
11,IDN,Growing fruits and nuts industry,XAM,3.855451012649619e-05,HTI,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.4696673885420185e-06,HTI,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.9787375226734216e-05,HTI,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,HTI,2012
15,IDN,Raising of cattle industry,XAM,4.1338442282482756e-06,HTI,2012
16,IDN,Growing wheat industry,XEU,0.0,HTI,2012
17,IDN,Growing maize industry,XEU,8.060925428089979e-07,HTI,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,HTI,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00023829257652174227,HTI,2012
20,IDN,Growing rice industry,XEU,4.583065646516687e-09,HTI,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,HTI,2012
22,IDN,Growing sugar beet and cane industry,XEU,7.476412066245395e-07,HTI,2012
23,IDN,Growing tobacco industry,XEU,4.1317813818029416e-07,HTI,2012
24,IDN,Growing fibre crops industry,XEU,2.974625341936875e-11,HTI,2012
25,IDN,Growing crops n.e.c. industry,XEU,1.9009198971072127e-06,HTI,2012
26,IDN,Growing grapes industry,XEU,0.0,HTI,2012
27,IDN,Growing fruits and nuts industry,XEU,5.926953658392852e-06,HTI,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.1701409465667204e-07,HTI,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.852663136154416e-06,HTI,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,HTI,2012
31,IDN,Raising of cattle industry,XEU,6.535059816707188e-07,HTI,2012
32,IDN,Growing wheat industry,XAF,0.0,HTI,2012
33,IDN,Growing maize industry,XAF,4.89136306688928e-07,HTI,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,HTI,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00014252621590203849,HTI,2012
36,IDN,Growing rice industry,XAF,3.686262567065904e-09,HTI,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,HTI,2012
38,IDN,Growing sugar beet and cane industry,XAF,4.821764593087262e-07,HTI,2012
