,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,PSE,2012
1,IDN,Growing maize industry,XAM,1.838910408581357e-06,PSE,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,PSE,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,7.837641323848425e-05,PSE,2012
4,IDN,Growing rice industry,XAM,2.03591405463724e-08,PSE,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,PSE,2012
6,IDN,Growing sugar beet and cane industry,XAM,1.3456910292022508e-06,PSE,2012
7,IDN,Growing tobacco industry,XAM,5.13113935635405e-07,PSE,2012
8,IDN,Growing fibre crops industry,XAM,4.377296394123428e-11,PSE,2012
9,IDN,Growing crops n.e.c. industry,XAM,2.9389544230927506e-06,PSE,2012
10,IDN,Growing grapes industry,XAM,0.0,PSE,2012
11,IDN,Growing fruits and nuts industry,XAM,1.0436561551475384e-05,PSE,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,9.316445714838439e-07,PSE,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.0980217864866085e-06,PSE,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,PSE,2012
15,IDN,Raising of cattle industry,XAM,1.481825014494228e-06,PSE,2012
16,IDN,Growing wheat industry,XEU,0.0,PSE,2012
17,IDN,Growing maize industry,XEU,8.456278301690094e-07,PSE,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,PSE,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,3.243048595244093e-05,PSE,2012
20,IDN,Growing rice industry,XEU,1.965146736634579e-08,PSE,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,PSE,2012
22,IDN,Growing sugar beet and cane industry,XEU,5.996323614679289e-07,PSE,2012
23,IDN,Growing tobacco industry,XEU,1.7890577468236138e-07,PSE,2012
24,IDN,Growing fibre crops industry,XEU,1.7013930807816025e-11,PSE,2012
25,IDN,Growing crops n.e.c. industry,XEU,1.0702990208957837e-06,PSE,2012
26,IDN,Growing grapes industry,XEU,0.0,PSE,2012
27,IDN,Growing fruits and nuts industry,XEU,4.6859715105171576e-06,PSE,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,5.127520337567168e-07,PSE,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.3412505161188554e-06,PSE,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,PSE,2012
31,IDN,Raising of cattle industry,XEU,5.626825141815886e-07,PSE,2012
32,IDN,Growing wheat industry,XAF,0.0,PSE,2012
33,IDN,Growing maize industry,XAF,1.1724017404985873e-05,PSE,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,PSE,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00010614495075263934,PSE,2012
36,IDN,Growing rice industry,XAF,6.822159348551278e-07,PSE,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,PSE,2012
38,IDN,Growing sugar beet and cane industry,XAF,5.953497916413824e-06,PSE,2012
39,IDN,Growing tobacco industry,XAF,4.879315750659889e-07,PSE,2012
40,IDN,Growing fibre crops industry,XAF,4.226893519082718e-11,PSE,2012
41,IDN,Growing crops n.e.c. industry,XAF,3.537390668982987e-06,PSE,2012
42,IDN,Growing grapes industry,XAF,0.0,PSE,2012
43,IDN,Growing fruits and nuts industry,XAF,2.5031750415294226e-05,PSE,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,6.333501930564792e-07,PSE,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.781047988402213e-05,PSE,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,PSE,2012
47,IDN,Raising of cattle industry,XAF,2.1590530039699744e-06,PSE,2012
48,IDN,Growing wheat industry,XAS,0.0,PSE,2012
49,IDN,Growing maize industry,XAS,1.3929381259599358e-06,PSE,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,PSE,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,5.8462008019104746e-05,PSE,2012
52,IDN,Growing rice industry,XAS,1.4812609139880018e-08,PSE,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,PSE,2012
54,IDN,Growing sugar beet and cane industry,XAS,1.0076777514169354e-06,PSE,2012
55,IDN,Growing tobacco industry,XAS,3.929270682327714e-07,PSE,2012
56,IDN,Growing fibre crops industry,XAS,3.1469513834879705e-11,PSE,2012
57,IDN,Growing crops n.e.c. industry,XAS,2.2607705343532505e-06,PSE,2012
58,IDN,Growing grapes industry,XAS,0.0,PSE,2012
59,IDN,Growing fruits and nuts industry,XAS,7.607471919656331e-06,PSE,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,6.721964647913711e-07,PSE,2012
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.737592014913733e-06,PSE,2012
62,IDN,Seeds and plant propagation industry,XAS,0.0,PSE,2012
