,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,QAT,2012
1,IDN,Growing maize industry,XAM,0.0009789950686668774,QAT,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,QAT,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.003999870343996641,QAT,2012
4,IDN,Growing rice industry,XAM,2.479022470318372e-07,QAT,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,QAT,2012
6,IDN,Growing sugar beet and cane industry,XAM,0.0007991578527657331,QAT,2012
7,IDN,Growing tobacco industry,XAM,3.9808828157676146e-05,QAT,2012
8,IDN,Growing fibre crops industry,XAM,4.698605514195905e-09,QAT,2012
9,IDN,Growing crops n.e.c. industry,XAM,0.00038708867391285445,QAT,2012
10,IDN,Growing grapes industry,XAM,0.0,QAT,2012
11,IDN,Growing fruits and nuts industry,XAM,0.00037077946044377085,QAT,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.7018069385458307e-05,QAT,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00020271928956139143,QAT,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,QAT,2012
15,IDN,Raising of cattle industry,XAM,0.0001543387255416551,QAT,2012
16,IDN,Growing wheat industry,XEU,0.0,QAT,2012
17,IDN,Growing maize industry,XEU,0.0002272855031921283,QAT,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,QAT,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0011293028932790976,QAT,2012
20,IDN,Growing rice industry,XEU,6.817881900704096e-08,QAT,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,QAT,2012
22,IDN,Growing sugar beet and cane industry,XEU,0.00019546071063038746,QAT,2012
23,IDN,Growing tobacco industry,XEU,9.491164556489098e-06,QAT,2012
24,IDN,Growing fibre crops industry,XEU,8.110462182170493e-10,QAT,2012
25,IDN,Growing crops n.e.c. industry,XEU,9.253795318901483e-05,QAT,2012
26,IDN,Growing grapes industry,XEU,0.0,QAT,2012
27,IDN,Growing fruits and nuts industry,XEU,0.00012478888451239445,QAT,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,8.39020629720714e-06,QAT,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.9129823521196714e-05,QAT,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,QAT,2012
31,IDN,Raising of cattle industry,XEU,4.4692250780465484e-05,QAT,2012
32,IDN,Growing wheat industry,XAF,0.0,QAT,2012
33,IDN,Growing maize industry,XAF,0.0010609747780098593,QAT,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,QAT,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.003418744849405655,QAT,2012
36,IDN,Growing rice industry,XAF,2.3389339762687865e-07,QAT,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,QAT,2012
38,IDN,Growing sugar beet and cane industry,XAF,0.0008365955411866133,QAT,2012
39,IDN,Growing tobacco industry,XAF,3.093922622840182e-05,QAT,2012
40,IDN,Growing fibre crops industry,XAF,3.090753861799088e-09,QAT,2012
41,IDN,Growing crops n.e.c. industry,XAF,0.00026524164104097106,QAT,2012
42,IDN,Growing grapes industry,XAF,0.0,QAT,2012
43,IDN,Growing fruits and nuts industry,XAF,0.0003788108297783607,QAT,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.3846655038741844e-05,QAT,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.00018322718870147374,QAT,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,QAT,2012
47,IDN,Raising of cattle industry,XAF,0.00011277653871190724,QAT,2012
48,IDN,Growing wheat industry,XAS,0.0,QAT,2012
49,IDN,Growing maize industry,XAS,0.0018966338379398583,QAT,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,QAT,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00972887594718143,QAT,2012
52,IDN,Growing rice industry,XAS,6.038281091341511e-07,QAT,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,QAT,2012
54,IDN,Growing sugar beet and cane industry,XAS,0.0015323944369410249,QAT,2012
55,IDN,Growing tobacco industry,XAS,0.00011329195647426417,QAT,2012
56,IDN,Growing fibre crops industry,XAS,1.1407823237075094e-08,QAT,2012
57,IDN,Growing crops n.e.c. industry,XAS,0.0008006346874309771,QAT,2012
58,IDN,Growing grapes industry,XAS,0.0,QAT,2012
59,IDN,Growing fruits and nuts industry,XAS,0.0008400895528992157,QAT,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,8.338286329476931e-05,QAT,2012
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.00046888361974157947,QAT,2012
62,IDN,Seeds and plant propagation industry,XAS,0.0,QAT,2012
63,IDN,Raising of cattle industry,XAS,0.0003293847529139844,QAT,2012
64,IDN,Growing wheat industry,AFG,0.0,QAT,2012
65,IDN,Growing maize industry,AFG,0.00047365241730337943,QAT,2012
66,IDN,Growing cereals n.e.c industry,AFG,0.0,QAT,2012
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0017561638253806317,QAT,2012
68,IDN,Growing rice industry,AFG,1.1636232057101976e-07,QAT,2012
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,QAT,2012
70,IDN,Growing sugar beet and cane industry,AFG,0.0003880469070054171,QAT,2012
71,IDN,Growing tobacco industry,AFG,1.5348250195296165e-05,QAT,2012
72,IDN,Growing fibre crops industry,AFG,2.35326773901866e-09,QAT,2012
73,IDN,Growing crops n.e.c. industry,AFG,0.00011647760236233741,QAT,2012
74,IDN,Growing grapes industry,AFG,0.0,QAT,2012
75,IDN,Growing fruits and nuts industry,AFG,0.00019381000965107574,QAT,2012
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.1790013124090482e-05,QAT,2012
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,8.590615033547743e-05,QAT,2012
78,IDN,Seeds and plant propagation industry,AFG,0.0,QAT,2012
79,IDN,Raising of cattle industry,AFG,5.8410772177602606e-05,QAT,2012
80,IDN,Growing wheat industry,AGO,0.0,QAT,2012
81,IDN,Growing maize industry,AGO,0.003812186566282051,QAT,2012
82,IDN,Growing cereals n.e.c industry,AGO,0.0,QAT,2012
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.015132194791421716,QAT,2012
84,IDN,Growing rice industry,AGO,1.00714452183087e-06,QAT,2012
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,QAT,2012
86,IDN,Growing sugar beet and cane industry,AGO,0.0030063269176198587,QAT,2012
87,IDN,Growing tobacco industry,AGO,0.00015334534192368383,QAT,2012
88,IDN,Growing fibre crops industry,AGO,1.2903634040297427e-08,QAT,2012
89,IDN,Growing crops n.e.c. industry,AGO,0.0012011551069575984,QAT,2012
90,IDN,Growing grapes industry,AGO,0.0,QAT,2012
91,IDN,Growing fruits and nuts industry,AGO,0.0015214472165746638,QAT,2012
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,0.00010048590891545418,QAT,2012
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0007376350617448593,QAT,2012
94,IDN,Seeds and plant propagation industry,AGO,0.0,QAT,2012
95,IDN,Raising of cattle industry,AGO,0.0004681270875061387,QAT,2012
96,IDN,Growing wheat industry,ALB,0.0,QAT,2012
97,IDN,Growing maize industry,ALB,0.00036609002737706,QAT,2012
98,IDN,Growing cereals n.e.c industry,ALB,0.0,QAT,2012
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.0012539878885979299,QAT,2012
100,IDN,Growing rice industry,ALB,8.557541041952347e-08,QAT,2012
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,QAT,2012
102,IDN,Growing sugar beet and cane industry,ALB,0.0002852936805466895,QAT,2012
103,IDN,Growing tobacco industry,ALB,1.0813601366877371e-05,QAT,2012
104,IDN,Growing fibre crops industry,ALB,9.56258530230353e-10,QAT,2012
105,IDN,Growing crops n.e.c. industry,ALB,9.700426944284928e-05,QAT,2012
106,IDN,Growing grapes industry,ALB,0.0,QAT,2012
107,IDN,Growing fruits and nuts industry,ALB,0.00013867211853537976,QAT,2012
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,6.913296837536636e-06,QAT,2012
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,6.22515665872592e-05,QAT,2012
110,IDN,Seeds and plant propagation industry,ALB,0.0,QAT,2012
111,IDN,Raising of cattle industry,ALB,3.7041255515060756e-05,QAT,2012
112,IDN,Growing wheat industry,ARE,0.0,QAT,2012
113,IDN,Growing maize industry,ARE,0.0240679786525707,QAT,2012
114,IDN,Growing cereals n.e.c industry,ARE,0.0,QAT,2012
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.1746613668226195,QAT,2012
116,IDN,Growing rice industry,ARE,9.46235766947476e-06,QAT,2012
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,QAT,2012
118,IDN,Growing sugar beet and cane industry,ARE,0.019705644818440723,QAT,2012
119,IDN,Growing tobacco industry,ARE,0.0017407962912740446,QAT,2012
120,IDN,Growing fibre crops industry,ARE,1.5878593762383718e-07,QAT,2012
121,IDN,Growing crops n.e.c. industry,ARE,0.01561460904248862,QAT,2012
122,IDN,Growing grapes industry,ARE,0.0,QAT,2012
123,IDN,Growing fruits and nuts industry,ARE,0.01614763889593039,QAT,2012
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,0.001639142636289075,QAT,2012
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.007359764647939768,QAT,2012
126,IDN,Seeds and plant propagation industry,ARE,0.0,QAT,2012
127,IDN,Raising of cattle industry,ARE,0.005801666934535891,QAT,2012
128,IDN,Growing wheat industry,ARG,0.0,QAT,2012
129,IDN,Growing maize industry,ARG,0.0058087164928569395,QAT,2012
130,IDN,Growing cereals n.e.c industry,ARG,0.0,QAT,2012
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.018188248373160968,QAT,2012
132,IDN,Growing rice industry,ARG,1.2455957635690306e-06,QAT,2012
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,QAT,2012
134,IDN,Growing sugar beet and cane industry,ARG,0.00454816331631954,QAT,2012
135,IDN,Growing tobacco industry,ARG,0.0001646597135080808,QAT,2012
136,IDN,Growing fibre crops industry,ARG,1.6779660564455387e-08,QAT,2012
137,IDN,Growing crops n.e.c. industry,ARG,0.0020490284889268726,QAT,2012
138,IDN,Growing grapes industry,ARG,0.0,QAT,2012
139,IDN,Growing fruits and nuts industry,ARG,0.0019953060655466333,QAT,2012
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,0.00011056185782673502,QAT,2012
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,0.0010681852922658085,QAT,2012
142,IDN,Seeds and plant propagation industry,ARG,0.0,QAT,2012
143,IDN,Raising of cattle industry,ARG,0.0007321580382606495,QAT,2012
144,IDN,Growing wheat industry,ARM,0.0,QAT,2012
145,IDN,Growing maize industry,ARM,0.0003654185981094861,QAT,2012
146,IDN,Growing cereals n.e.c industry,ARM,0.0,QAT,2012
147,IDN,Growing leguminous crops and oil seeds industry,ARM,0.0011882442047440117,QAT,2012
148,IDN,Growing rice industry,ARM,8.042362706026045e-08,QAT,2012
149,IDN,"Growing vegetables, roots, tubers industry",ARM,0.0,QAT,2012
150,IDN,Growing sugar beet and cane industry,ARM,0.0002884888086692441,QAT,2012
151,IDN,Growing tobacco industry,ARM,9.10746360576319e-06,QAT,2012
152,IDN,Growing fibre crops industry,ARM,1.0600872962042772e-09,QAT,2012
153,IDN,Growing crops n.e.c. industry,ARM,7.557091967310924e-05,QAT,2012
154,IDN,Growing grapes industry,ARM,0.0,QAT,2012
155,IDN,Growing fruits and nuts industry,ARM,0.000139736875863118,QAT,2012
156,IDN,"Growing beverage crops (coffee, tea etc) industry",ARM,7.49289138009955e-06,QAT,2012
157,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,5.671440516069084e-05,QAT,2012
158,IDN,Seeds and plant propagation industry,ARM,0.0,QAT,2012
159,IDN,Raising of cattle industry,ARM,3.396639792517252e-05,QAT,2012
160,IDN,Growing wheat industry,AUS,0.0,QAT,2012
161,IDN,Growing maize industry,AUS,0.063845231732261,QAT,2012
162,IDN,Growing cereals n.e.c industry,AUS,0.0,QAT,2012
163,IDN,Growing leguminous crops and oil seeds industry,AUS,0.22816459825037694,QAT,2012
164,IDN,Growing rice industry,AUS,1.5046110608033128e-05,QAT,2012
165,IDN,"Growing vegetables, roots, tubers industry",AUS,0.0,QAT,2012
166,IDN,Growing sugar beet and cane industry,AUS,0.05039120691801201,QAT,2012
167,IDN,Growing tobacco industry,AUS,0.0023575828805310456,QAT,2012
168,IDN,Growing fibre crops industry,AUS,2.2809478951332082e-07,QAT,2012
169,IDN,Growing crops n.e.c. industry,AUS,0.027008288559092777,QAT,2012
170,IDN,Growing grapes industry,AUS,0.0,QAT,2012
171,IDN,Growing fruits and nuts industry,AUS,0.022868434637071996,QAT,2012
172,IDN,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0015582468037202942,QAT,2012
173,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.012676697360473683,QAT,2012
174,IDN,Seeds and plant propagation industry,AUS,0.0,QAT,2012
175,IDN,Raising of cattle industry,AUS,0.009522805143002949,QAT,2012
176,IDN,Growing wheat industry,AUT,0.0,QAT,2012
177,IDN,Growing maize industry,AUT,0.004151612283255255,QAT,2012
178,IDN,Growing cereals n.e.c industry,AUT,0.0,QAT,2012
179,IDN,Growing leguminous crops and oil seeds industry,AUT,0.019365082860892998,QAT,2012
180,IDN,Growing rice industry,AUT,1.0905909966988894e-06,QAT,2012
181,IDN,"Growing vegetables, roots, tubers industry",AUT,0.0,QAT,2012
182,IDN,Growing sugar beet and cane industry,AUT,0.0036917496049580097,QAT,2012
183,IDN,Growing tobacco industry,AUT,0.00016658296739015244,QAT,2012
184,IDN,Growing fibre crops industry,AUT,3.3473470397907566e-08,QAT,2012
185,IDN,Growing crops n.e.c. industry,AUT,0.0016418940154111386,QAT,2012
186,IDN,Growing grapes industry,AUT,0.0,QAT,2012
187,IDN,Growing fruits and nuts industry,AUT,0.0016758826978837706,QAT,2012
188,IDN,"Growing beverage crops (coffee, tea etc) industry",AUT,0.000124765503682101,QAT,2012
189,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.0008754975826214932,QAT,2012
190,IDN,Seeds and plant propagation industry,AUT,0.0,QAT,2012
191,IDN,Raising of cattle industry,AUT,0.0007987872028114948,QAT,2012
192,IDN,Growing wheat industry,AZE,0.0,QAT,2012
193,IDN,Growing maize industry,AZE,0.0005538603222263492,QAT,2012
194,IDN,Growing cereals n.e.c industry,AZE,0.0,QAT,2012
195,IDN,Growing leguminous crops and oil seeds industry,AZE,0.0022252761406192276,QAT,2012
196,IDN,Growing rice industry,AZE,1.4700337097286732e-07,QAT,2012
197,IDN,"Growing vegetables, roots, tubers industry",AZE,0.0,QAT,2012
198,IDN,Growing sugar beet and cane industry,AZE,0.00045436422491025434,QAT,2012
199,IDN,Growing tobacco industry,AZE,1.958939351875374e-05,QAT,2012
200,IDN,Growing fibre crops industry,AZE,2.5495721659156756e-09,QAT,2012
201,IDN,Growing crops n.e.c. industry,AZE,0.00016729724914820934,QAT,2012
202,IDN,Growing grapes industry,AZE,0.0,QAT,2012
203,IDN,Growing fruits and nuts industry,AZE,0.0002932799254683498,QAT,2012
204,IDN,"Growing beverage crops (coffee, tea etc) industry",AZE,1.4674131506645702e-05,QAT,2012
205,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,0.00010520093179481585,QAT,2012
206,IDN,Seeds and plant propagation industry,AZE,0.0,QAT,2012
207,IDN,Raising of cattle industry,AZE,7.618313783440363e-05,QAT,2012
208,IDN,Growing wheat industry,BDI,0.0,QAT,2012
209,IDN,Growing maize industry,BDI,8.696546349256654e-05,QAT,2012
210,IDN,Growing cereals n.e.c industry,BDI,0.0,QAT,2012
211,IDN,Growing leguminous crops and oil seeds industry,BDI,0.0002788387317358245,QAT,2012
212,IDN,Growing rice industry,BDI,1.9320797954660384e-08,QAT,2012
213,IDN,"Growing vegetables, roots, tubers industry",BDI,0.0,QAT,2012
