,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,SEN,2012
1,IDN,Growing maize industry,XAM,4.283928002684619e-05,SEN,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,SEN,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0008754216964968984,SEN,2012
4,IDN,Growing rice industry,XAM,6.149584731928428e-08,SEN,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,SEN,2012
6,IDN,Growing sugar beet and cane industry,XAM,3.552487618169532e-05,SEN,2012
7,IDN,Growing tobacco industry,XAM,5.043660715495423e-06,SEN,2012
8,IDN,Growing fibre crops industry,XAM,6.315286064182959e-10,SEN,2012
9,IDN,Growing crops n.e.c. industry,XAM,3.626173223982635e-05,SEN,2012
10,IDN,Growing grapes industry,XAM,0.0,SEN,2012
11,IDN,Growing fruits and nuts industry,XAM,4.986484772391584e-05,SEN,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,4.092163583752361e-06,SEN,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.761163377093554e-05,SEN,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,SEN,2012
15,IDN,Raising of cattle industry,XAM,3.1605557226168405e-05,SEN,2012
16,IDN,Growing wheat industry,XEU,0.0,SEN,2012
17,IDN,Growing maize industry,XEU,3.6993141135775487e-06,SEN,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,SEN,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0001272593246705491,SEN,2012
20,IDN,Growing rice industry,XEU,8.132514852317954e-09,SEN,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,SEN,2012
22,IDN,Growing sugar beet and cane industry,XEU,4.2008063639248185e-06,SEN,2012
23,IDN,Growing tobacco industry,XEU,1.1779920890931819e-06,SEN,2012
24,IDN,Growing fibre crops industry,XEU,1.1933929690134245e-10,SEN,2012
25,IDN,Growing crops n.e.c. industry,XEU,4.884683629021821e-06,SEN,2012
26,IDN,Growing grapes industry,XEU,0.0,SEN,2012
27,IDN,Growing fruits and nuts industry,XEU,7.224541784184983e-06,SEN,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,9.232166289664235e-07,SEN,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.273264823510474e-06,SEN,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,SEN,2012
31,IDN,Raising of cattle industry,XEU,3.2606411945951307e-06,SEN,2012
32,IDN,Growing wheat industry,XAF,0.0,SEN,2012
33,IDN,Growing maize industry,XAF,0.0001210662916899818,SEN,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,SEN,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.005245241189650343,SEN,2012
36,IDN,Growing rice industry,XAF,3.0522452316166156e-07,SEN,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,SEN,2012
38,IDN,Growing sugar beet and cane industry,XAF,0.00011508029558686499,SEN,2012
39,IDN,Growing tobacco industry,XAF,3.242943892732012e-05,SEN,2012
40,IDN,Growing fibre crops industry,XAF,3.031307032821483e-09,SEN,2012
41,IDN,Growing crops n.e.c. industry,XAF,0.00020460757395578607,SEN,2012
42,IDN,Growing grapes industry,XAF,0.0,SEN,2012
43,IDN,Growing fruits and nuts industry,XAF,0.0003207867506208318,SEN,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,3.126045287995885e-05,SEN,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.00025047354378679584,SEN,2012
