,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BDI,2013
1,IDN,Growing maize industry,XAM,1.2830382158317072e-07,BDI,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BDI,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,4.809857161472644e-06,BDI,2013
4,IDN,Growing rice industry,XAM,4.706533333499673e-10,BDI,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BDI,2013
6,IDN,Growing sugar beet and cane industry,XAM,4.850152305877604e-08,BDI,2013
7,IDN,Growing tobacco industry,XAM,2.3356519739697227e-08,BDI,2013
8,IDN,Growing fibre crops industry,XAM,0.0,BDI,2013
9,IDN,Growing crops n.e.c. industry,XAM,1.6049526669101347e-07,BDI,2013
10,IDN,Growing grapes industry,XAM,0.0,BDI,2013
11,IDN,Growing fruits and nuts industry,XAM,1.5870163718473858e-08,BDI,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.038635694126263e-08,BDI,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.5142835198170515e-07,BDI,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,BDI,2013
15,IDN,Raising of cattle industry,XAM,1.3523578088508315e-07,BDI,2013
16,IDN,Growing wheat industry,XEU,0.0,BDI,2013
17,IDN,Growing maize industry,XEU,9.274027351610805e-08,BDI,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BDI,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,3.1389122878468444e-06,BDI,2013
20,IDN,Growing rice industry,XEU,2.3250568830645367e-10,BDI,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BDI,2013
22,IDN,Growing sugar beet and cane industry,XEU,3.4161514368731245e-08,BDI,2013
23,IDN,Growing tobacco industry,XEU,1.5647024720528575e-08,BDI,2013
24,IDN,Growing fibre crops industry,XEU,0.0,BDI,2013
25,IDN,Growing crops n.e.c. industry,XEU,1.1972677669702696e-07,BDI,2013
26,IDN,Growing grapes industry,XEU,0.0,BDI,2013
27,IDN,Growing fruits and nuts industry,XEU,9.947526929531679e-09,BDI,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.8089638879884477e-08,BDI,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.0261236386390063e-07,BDI,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,BDI,2013
31,IDN,Raising of cattle industry,XEU,1.1241599424975489e-07,BDI,2013
32,IDN,Growing wheat industry,XAF,0.0,BDI,2013
33,IDN,Growing maize industry,XAF,4.4242604530468196e-07,BDI,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BDI,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,1.840279592285678e-05,BDI,2013
36,IDN,Growing rice industry,XAF,9.846808366462613e-09,BDI,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BDI,2013
38,IDN,Growing sugar beet and cane industry,XAF,1.7680870541632413e-07,BDI,2013
39,IDN,Growing tobacco industry,XAF,4.964124705428533e-08,BDI,2013
40,IDN,Growing fibre crops industry,XAF,0.0,BDI,2013
41,IDN,Growing crops n.e.c. industry,XAF,4.475105349824034e-07,BDI,2013
42,IDN,Growing grapes industry,XAF,0.0,BDI,2013
43,IDN,Growing fruits and nuts industry,XAF,5.0049872316245356e-08,BDI,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,3.8436735630298855e-08,BDI,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.806674689683812e-07,BDI,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,BDI,2013
47,IDN,Raising of cattle industry,XAF,3.830597763642435e-07,BDI,2013
48,IDN,Growing wheat industry,XAS,0.0,BDI,2013
49,IDN,Growing maize industry,XAS,2.2143203771017587e-07,BDI,2013
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BDI,2013
51,IDN,Growing leguminous crops and oil seeds industry,XAS,7.88021554962399e-06,BDI,2013
52,IDN,Growing rice industry,XAS,6.422587982015107e-10,BDI,2013
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BDI,2013
54,IDN,Growing sugar beet and cane industry,XAS,8.879685212147113e-08,BDI,2013
55,IDN,Growing tobacco industry,XAS,4.381182458649451e-08,BDI,2013
56,IDN,Growing fibre crops industry,XAS,0.0,BDI,2013
57,IDN,Growing crops n.e.c. industry,XAS,3.9086817069149947e-07,BDI,2013
58,IDN,Growing grapes industry,XAS,0.0,BDI,2013
59,IDN,Growing fruits and nuts industry,XAS,2.7699602352151435e-08,BDI,2013
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,3.807844950785113e-08,BDI,2013
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.3445202747647446e-07,BDI,2013
62,IDN,Seeds and plant propagation industry,XAS,0.0,BDI,2013
63,IDN,Raising of cattle industry,XAS,3.21721363492443e-07,BDI,2013
