,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BLZ,2013
1,IDN,Growing maize industry,XAM,3.3987949523442415e-05,BLZ,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BLZ,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0010518733285432163,BLZ,2013
4,IDN,Growing rice industry,XAM,7.921586907144943e-08,BLZ,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BLZ,2013
6,IDN,Growing sugar beet and cane industry,XAM,1.6792220781713744e-05,BLZ,2013
7,IDN,Growing tobacco industry,XAM,6.0328347760350765e-06,BLZ,2013
8,IDN,Growing fibre crops industry,XAM,0.0,BLZ,2013
9,IDN,Growing crops n.e.c. industry,XAM,4.163045291618126e-05,BLZ,2013
10,IDN,Growing grapes industry,XAM,0.0,BLZ,2013
11,IDN,Growing fruits and nuts industry,XAM,2.3169322494981083e-05,BLZ,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.5173353639178463e-06,BLZ,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0001901566978494162,BLZ,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,BLZ,2013
15,IDN,Raising of cattle industry,XAM,4.2155273653832815e-05,BLZ,2013
16,IDN,Growing wheat industry,XEU,0.0,BLZ,2013
17,IDN,Growing maize industry,XEU,3.145379699581718e-06,BLZ,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BLZ,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0001041502085032976,BLZ,2013
20,IDN,Growing rice industry,XEU,7.055248823785434e-09,BLZ,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BLZ,2013
22,IDN,Growing sugar beet and cane industry,XEU,1.7351828387706695e-06,BLZ,2013
23,IDN,Growing tobacco industry,XEU,7.258084172656827e-07,BLZ,2013
24,IDN,Growing fibre crops industry,XEU,0.0,BLZ,2013
25,IDN,Growing crops n.e.c. industry,XEU,5.613516706681438e-06,BLZ,2013
26,IDN,Growing grapes industry,XEU,0.0,BLZ,2013
27,IDN,Growing fruits and nuts industry,XEU,1.1356491569806939e-06,BLZ,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.8977993252913792e-07,BLZ,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.8408968320525177e-05,BLZ,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,BLZ,2013
31,IDN,Raising of cattle industry,XEU,4.2191044033704574e-06,BLZ,2013
32,IDN,Growing wheat industry,XAF,0.0,BLZ,2013
33,IDN,Growing maize industry,XAF,3.493674988472132e-07,BLZ,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BLZ,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,1.1090901374407054e-05,BLZ,2013
36,IDN,Growing rice industry,XAF,7.606210057772979e-10,BLZ,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BLZ,2013
38,IDN,Growing sugar beet and cane industry,XAF,2.0238352929189767e-07,BLZ,2013
39,IDN,Growing tobacco industry,XAF,1.0923035630248478e-07,BLZ,2013
40,IDN,Growing fibre crops industry,XAF,0.0,BLZ,2013
41,IDN,Growing crops n.e.c. industry,XAF,5.747358405824198e-07,BLZ,2013
42,IDN,Growing grapes industry,XAF,0.0,BLZ,2013
43,IDN,Growing fruits and nuts industry,XAF,1.3474818127447052e-07,BLZ,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.7195749501335045e-08,BLZ,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.1406523786094113e-06,BLZ,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,BLZ,2013
47,IDN,Raising of cattle industry,XAF,5.458664094125771e-07,BLZ,2013
48,IDN,Growing wheat industry,XAS,0.0,BLZ,2013
49,IDN,Growing maize industry,XAS,9.231988364124728e-07,BLZ,2013
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BLZ,2013
51,IDN,Growing leguminous crops and oil seeds industry,XAS,2.670008794017096e-05,BLZ,2013
52,IDN,Growing rice industry,XAS,2.0778479402315743e-09,BLZ,2013
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BLZ,2013
54,IDN,Growing sugar beet and cane industry,XAS,5.13736102445295e-07,BLZ,2013
