,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,IRQ,2013
1,IDN,Growing maize industry,XAM,3.974495985010617e-05,IRQ,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,IRQ,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00045693868301980445,IRQ,2013
4,IDN,Growing rice industry,XAM,2.50965065262747e-08,IRQ,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,IRQ,2013
6,IDN,Growing sugar beet and cane industry,XAM,2.284798492724983e-05,IRQ,2013
7,IDN,Growing tobacco industry,XAM,4.957866920369976e-06,IRQ,2013
8,IDN,Growing fibre crops industry,XAM,0.0,IRQ,2013
9,IDN,Growing crops n.e.c. industry,XAM,3.951551292648717e-05,IRQ,2013
10,IDN,Growing grapes industry,XAM,0.0,IRQ,2013
11,IDN,Growing fruits and nuts industry,XAM,2.566997368560344e-06,IRQ,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.4866748469857127e-06,IRQ,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00013466036950268405,IRQ,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,IRQ,2013
15,IDN,Raising of cattle industry,XAM,3.062587865371187e-05,IRQ,2013
16,IDN,Growing wheat industry,XEU,0.0,IRQ,2013
17,IDN,Growing maize industry,XEU,1.604616445555214e-05,IRQ,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,IRQ,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0002261918301965774,IRQ,2013
20,IDN,Growing rice industry,XEU,1.0875241060126558e-08,IRQ,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,IRQ,2013
22,IDN,Growing sugar beet and cane industry,XEU,9.379733512235261e-06,IRQ,2013
23,IDN,Growing tobacco industry,XEU,1.829324781905073e-06,IRQ,2013
24,IDN,Growing fibre crops industry,XEU,0.0,IRQ,2013
25,IDN,Growing crops n.e.c. industry,XEU,2.0705115140068862e-05,IRQ,2013
26,IDN,Growing grapes industry,XEU,0.0,IRQ,2013
27,IDN,Growing fruits and nuts industry,XEU,1.369270675654887e-06,IRQ,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,8.247501683223726e-07,IRQ,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.352003211942909e-05,IRQ,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,IRQ,2013
31,IDN,Raising of cattle industry,XEU,1.5530835687135356e-05,IRQ,2013
32,IDN,Growing wheat industry,XAF,0.0,IRQ,2013
33,IDN,Growing maize industry,XAF,6.137971891736438e-05,IRQ,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,IRQ,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0006338164973859889,IRQ,2013
36,IDN,Growing rice industry,XAF,3.620280427466208e-08,IRQ,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,IRQ,2013
38,IDN,Growing sugar beet and cane industry,XAF,3.512900208887486e-05,IRQ,2013
