,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,MWI,2013
1,IDN,Growing maize industry,XAM,5.150355791332802e-06,MWI,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,MWI,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0003387609724397358,MWI,2013
4,IDN,Growing rice industry,XAM,1.4693953704486256e-08,MWI,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,MWI,2013
6,IDN,Growing sugar beet and cane industry,XAM,2.729931070738497e-06,MWI,2013
7,IDN,Growing tobacco industry,XAM,6.342178718652454e-06,MWI,2013
8,IDN,Growing fibre crops industry,XAM,0.0,MWI,2013
9,IDN,Growing crops n.e.c. industry,XAM,6.2097665364729374e-06,MWI,2013
10,IDN,Growing grapes industry,XAM,0.0,MWI,2013
11,IDN,Growing fruits and nuts industry,XAM,8.428677547135721e-07,MWI,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.3540623589301902e-07,MWI,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.712193636643438e-05,MWI,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,MWI,2013
15,IDN,Raising of cattle industry,XAM,6.554107149832208e-05,MWI,2013
16,IDN,Growing wheat industry,XEU,0.0,MWI,2013
17,IDN,Growing maize industry,XEU,1.0007383685171016e-06,MWI,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,MWI,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,4.6543556360438864e-05,MWI,2013
20,IDN,Growing rice industry,XEU,2.44064162547306e-09,MWI,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,MWI,2013
22,IDN,Growing sugar beet and cane industry,XEU,5.26652855668691e-07,MWI,2013
23,IDN,Growing tobacco industry,XEU,6.971388293975247e-07,MWI,2013
24,IDN,Growing fibre crops industry,XEU,0.0,MWI,2013
25,IDN,Growing crops n.e.c. industry,XEU,9.59249621886353e-07,MWI,2013
26,IDN,Growing grapes industry,XEU,0.0,MWI,2013
27,IDN,Growing fruits and nuts industry,XEU,1.3195761148526334e-07,MWI,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,3.366669469239501e-08,MWI,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.198148636785787e-06,MWI,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,MWI,2013
31,IDN,Raising of cattle industry,XEU,6.993837005544851e-06,MWI,2013
32,IDN,Growing wheat industry,XAF,0.0,MWI,2013
33,IDN,Growing maize industry,XAF,3.0552067692596233e-05,MWI,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,MWI,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.002282955517143835,MWI,2013
36,IDN,Growing rice industry,XAF,8.821143294823102e-08,MWI,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,MWI,2013
38,IDN,Growing sugar beet and cane industry,XAF,1.719249802539973e-05,MWI,2013
39,IDN,Growing tobacco industry,XAF,4.64234693149183e-05,MWI,2013
40,IDN,Growing fibre crops industry,XAF,0.0,MWI,2013
41,IDN,Growing crops n.e.c. industry,XAF,3.6315793509600144e-05,MWI,2013
42,IDN,Growing grapes industry,XAF,0.0,MWI,2013
43,IDN,Growing fruits and nuts industry,XAF,5.445825666828884e-06,MWI,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,6.5118253595641e-07,MWI,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0001132613705277546,MWI,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,MWI,2013
47,IDN,Raising of cattle industry,XAF,0.0003283279057294833,MWI,2013
48,IDN,Growing wheat industry,XAS,0.0,MWI,2013
49,IDN,Growing maize industry,XAS,3.1703324619740886e-06,MWI,2013
50,IDN,Growing cereals n.e.c industry,XAS,0.0,MWI,2013
