,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,YEM,2013
1,IDN,Growing maize industry,XAM,7.391258203274801e-06,YEM,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,YEM,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,5.523109177154116e-05,YEM,2013
4,IDN,Growing rice industry,XAM,2.9617560468284356e-09,YEM,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,YEM,2013
6,IDN,Growing sugar beet and cane industry,XAM,5.363756285678208e-06,YEM,2013
7,IDN,Growing tobacco industry,XAM,4.4637378305754414e-07,YEM,2013
8,IDN,Growing fibre crops industry,XAM,0.0,YEM,2013
9,IDN,Growing crops n.e.c. industry,XAM,5.092141076725701e-06,YEM,2013
10,IDN,Growing grapes industry,XAM,0.0,YEM,2013
11,IDN,Growing fruits and nuts industry,XAM,3.43056599113298e-07,YEM,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.4388260118701693e-07,YEM,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.559351877901298e-06,YEM,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,YEM,2013
15,IDN,Raising of cattle industry,XAM,4.13899953505218e-06,YEM,2013
16,IDN,Growing wheat industry,XEU,0.0,YEM,2013
17,IDN,Growing maize industry,XEU,3.5920363059372093e-06,YEM,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,YEM,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,3.39157438138433e-05,YEM,2013
20,IDN,Growing rice industry,XEU,2.0332418271659506e-09,YEM,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,YEM,2013
22,IDN,Growing sugar beet and cane industry,XEU,2.208726545238057e-06,YEM,2013
23,IDN,Growing tobacco industry,XEU,3.028523570174545e-07,YEM,2013
24,IDN,Growing fibre crops industry,XEU,0.0,YEM,2013
25,IDN,Growing crops n.e.c. industry,XEU,2.139391244500347e-06,YEM,2013
26,IDN,Growing grapes industry,XEU,0.0,YEM,2013
27,IDN,Growing fruits and nuts industry,XEU,2.4280040503351976e-07,YEM,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,8.658074863643619e-08,YEM,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.6608974860517696e-06,YEM,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,YEM,2013
31,IDN,Raising of cattle industry,XEU,1.9007242419101399e-06,YEM,2013
32,IDN,Growing wheat industry,XAF,0.0,YEM,2013
33,IDN,Growing maize industry,XAF,7.716975733877252e-05,YEM,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,YEM,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.000892085790998025,YEM,2013
36,IDN,Growing rice industry,XAF,5.3588732275932475e-08,YEM,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,YEM,2013
