,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,ERI,2015
1,IDN,Growing maize industry,XAM,1.325098270382064e-05,ERI,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,ERI,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,3.209909127822064e-05,ERI,2015
4,IDN,Growing rice industry,XAM,0.0,ERI,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,ERI,2015
6,IDN,Growing sugar beet and cane industry,XAM,6.440976829336769e-09,ERI,2015
7,IDN,Growing tobacco industry,XAM,0.0,ERI,2015
8,IDN,Growing fibre crops industry,XAM,3.9298768601528023e-08,ERI,2015
9,IDN,Growing crops n.e.c. industry,XAM,1.0588406622309766e-06,ERI,2015
10,IDN,Growing grapes industry,XAM,0.0,ERI,2015
11,IDN,Growing fruits and nuts industry,XAM,4.7905061387252294e-08,ERI,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.121353815367887e-08,ERI,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.0180510987403933e-06,ERI,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,ERI,2015
15,IDN,Raising of cattle industry,XAM,4.3343296502312463e-07,ERI,2015
16,IDN,Growing wheat industry,XEU,0.0,ERI,2015
17,IDN,Growing maize industry,XEU,1.992645479995469e-06,ERI,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,ERI,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,5.469581252010517e-06,ERI,2015
20,IDN,Growing rice industry,XEU,0.0,ERI,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,ERI,2015
22,IDN,Growing sugar beet and cane industry,XEU,1.0665790792236555e-09,ERI,2015
23,IDN,Growing tobacco industry,XEU,0.0,ERI,2015
24,IDN,Growing fibre crops industry,XEU,6.380634693341915e-09,ERI,2015
25,IDN,Growing crops n.e.c. industry,XEU,1.4022779673059086e-07,ERI,2015
26,IDN,Growing grapes industry,XEU,0.0,ERI,2015
27,IDN,Growing fruits and nuts industry,XEU,7.953763532510258e-09,ERI,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,4.4838549838608095e-09,ERI,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.4175809617200697e-07,ERI,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,ERI,2015
31,IDN,Raising of cattle industry,XEU,6.248960956232636e-08,ERI,2015
32,IDN,Growing wheat industry,XAF,0.0,ERI,2015
33,IDN,Growing maize industry,XAF,4.745426665906048e-06,ERI,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,ERI,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,1.009310685264158e-05,ERI,2015
36,IDN,Growing rice industry,XAF,0.0,ERI,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,ERI,2015
38,IDN,Growing sugar beet and cane industry,XAF,2.235888140424458e-09,ERI,2015
39,IDN,Growing tobacco industry,XAF,0.0,ERI,2015
40,IDN,Growing fibre crops industry,XAF,1.3816816963356495e-08,ERI,2015
41,IDN,Growing crops n.e.c. industry,XAF,4.029709322950609e-07,ERI,2015
42,IDN,Growing grapes industry,XAF,0.0,ERI,2015
43,IDN,Growing fruits and nuts industry,XAF,1.4606580460646388e-08,ERI,2015
