,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,KGZ,2015
1,IDN,Growing maize industry,XAM,1.3938152787128531e-05,KGZ,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,KGZ,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,1.634430963344002e-05,KGZ,2015
4,IDN,Growing rice industry,XAM,0.0,KGZ,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,KGZ,2015
6,IDN,Growing sugar beet and cane industry,XAM,3.6518953140981503e-09,KGZ,2015
7,IDN,Growing tobacco industry,XAM,0.0,KGZ,2015
8,IDN,Growing fibre crops industry,XAM,2.5311026051806374e-08,KGZ,2015
9,IDN,Growing crops n.e.c. industry,XAM,8.073470131392729e-07,KGZ,2015
10,IDN,Growing grapes industry,XAM,0.0,KGZ,2015
11,IDN,Growing fruits and nuts industry,XAM,2.987701995155095e-08,KGZ,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,4.773905330114122e-08,KGZ,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.274518660448261e-06,KGZ,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,KGZ,2015
15,IDN,Raising of cattle industry,XAM,2.2097213954922419e-07,KGZ,2015
16,IDN,Growing wheat industry,XEU,0.0,KGZ,2015
17,IDN,Growing maize industry,XEU,3.4191829341825114e-06,KGZ,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,KGZ,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,3.969196004490367e-06,KGZ,2015
20,IDN,Growing rice industry,XEU,0.0,KGZ,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,KGZ,2015
22,IDN,Growing sugar beet and cane industry,XEU,8.943019605326593e-10,KGZ,2015
23,IDN,Growing tobacco industry,XEU,0.0,KGZ,2015
24,IDN,Growing fibre crops industry,XEU,6.338832847066384e-09,KGZ,2015
25,IDN,Growing crops n.e.c. industry,XEU,1.9005592844601192e-07,KGZ,2015
26,IDN,Growing grapes industry,XEU,0.0,KGZ,2015
27,IDN,Growing fruits and nuts industry,XEU,7.200198980504762e-09,KGZ,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.144040958347299e-08,KGZ,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.3845956898425328e-06,KGZ,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,KGZ,2015
31,IDN,Raising of cattle industry,XEU,5.07683946201237e-08,KGZ,2015
32,IDN,Growing wheat industry,XAF,0.0,KGZ,2015
33,IDN,Growing maize industry,XAF,5.2315056546746314e-06,KGZ,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,KGZ,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,6.429344427930617e-06,KGZ,2015
36,IDN,Growing rice industry,XAF,0.0,KGZ,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,KGZ,2015
38,IDN,Growing sugar beet and cane industry,XAF,1.555147764030991e-09,KGZ,2015
39,IDN,Growing tobacco industry,XAF,0.0,KGZ,2015
40,IDN,Growing fibre crops industry,XAF,1.2068547754612042e-08,KGZ,2015
41,IDN,Growing crops n.e.c. industry,XAF,3.2602805520077275e-07,KGZ,2015
42,IDN,Growing grapes industry,XAF,0.0,KGZ,2015
43,IDN,Growing fruits and nuts industry,XAF,1.277415958689628e-08,KGZ,2015
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.8482867130845022e-08,KGZ,2015
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.446569965090888e-06,KGZ,2015
46,IDN,Seeds and plant propagation industry,XAF,0.0,KGZ,2015
47,IDN,Raising of cattle industry,XAF,9.34819687006448e-08,KGZ,2015
48,IDN,Growing wheat industry,XAS,0.0,KGZ,2015
49,IDN,Growing maize industry,XAS,6.834635092952517e-06,KGZ,2015
50,IDN,Growing cereals n.e.c industry,XAS,0.0,KGZ,2015
51,IDN,Growing leguminous crops and oil seeds industry,XAS,8.103600292740331e-06,KGZ,2015
52,IDN,Growing rice industry,XAS,0.0,KGZ,2015
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,KGZ,2015
54,IDN,Growing sugar beet and cane industry,XAS,1.8862427121515362e-09,KGZ,2015
55,IDN,Growing tobacco industry,XAS,0.0,KGZ,2015
56,IDN,Growing fibre crops industry,XAS,1.3067101276156272e-08,KGZ,2015
57,IDN,Growing crops n.e.c. industry,XAS,4.1713557924590594e-07,KGZ,2015
58,IDN,Growing grapes industry,XAS,0.0,KGZ,2015
59,IDN,Growing fruits and nuts industry,XAS,1.660948939177244e-08,KGZ,2015
