,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,XAM,2015
1,IDN,Growing maize industry,XAM,0.0,XAM,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,XAM,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0,XAM,2015
4,IDN,Growing rice industry,XAM,0.0,XAM,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,XAM,2015
6,IDN,Growing sugar beet and cane industry,XAM,0.0,XAM,2015
7,IDN,Growing tobacco industry,XAM,0.0,XAM,2015
8,IDN,Growing fibre crops industry,XAM,0.0,XAM,2015
9,IDN,Growing crops n.e.c. industry,XAM,0.0,XAM,2015
10,IDN,Growing grapes industry,XAM,0.0,XAM,2015
11,IDN,Growing fruits and nuts industry,XAM,0.0,XAM,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,XAM,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,XAM,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,XAM,2015
15,IDN,Raising of cattle industry,XAM,0.0,XAM,2015
16,IDN,Growing wheat industry,XEU,0.0,XAM,2015
17,IDN,Growing maize industry,XEU,0.02390067977477068,XAM,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,XAM,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.03249960592551286,XAM,2015
20,IDN,Growing rice industry,XEU,0.0,XAM,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,XAM,2015
22,IDN,Growing sugar beet and cane industry,XEU,2.124127418608703e-05,XAM,2015
23,IDN,Growing tobacco industry,XEU,0.0,XAM,2015
24,IDN,Growing fibre crops industry,XEU,0.0008758829847680399,XAM,2015
25,IDN,Growing crops n.e.c. industry,XEU,0.0019510913317414896,XAM,2015
26,IDN,Growing grapes industry,XEU,0.0,XAM,2015
27,IDN,Growing fruits and nuts industry,XEU,8.270000213880554e-05,XAM,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,4.8530419522197564e-05,XAM,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.002751512137720089,XAM,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,XAM,2015
31,IDN,Raising of cattle industry,XEU,0.0014714740821094466,XAM,2015
32,IDN,Growing wheat industry,XAF,0.0,XAM,2015
33,IDN,Growing maize industry,XAF,0.0001884649920594497,XAM,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,XAM,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00020860613367591844,XAM,2015
36,IDN,Growing rice industry,XAF,0.0,XAM,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,XAM,2015
38,IDN,Growing sugar beet and cane industry,XAF,8.017521642158324e-08,XAM,2015
39,IDN,Growing tobacco industry,XAF,0.0,XAM,2015
40,IDN,Growing fibre crops industry,XAF,1.1392422976907887e-06,XAM,2015
41,IDN,Growing crops n.e.c. industry,XAF,1.6089542211374843e-05,XAM,2015
42,IDN,Growing grapes industry,XAF,0.0,XAM,2015
43,IDN,Growing fruits and nuts industry,XAF,8.376648556379942e-07,XAM,2015
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,3.6611071357593786e-07,XAM,2015
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.300990642951247e-05,XAM,2015
46,IDN,Seeds and plant propagation industry,XAF,0.0,XAM,2015
47,IDN,Raising of cattle industry,XAF,7.478793219792886e-06,XAM,2015
48,IDN,Growing wheat industry,XAS,0.0,XAM,2015
49,IDN,Growing maize industry,XAS,0.0004977723782379882,XAM,2015
50,IDN,Growing cereals n.e.c industry,XAS,0.0,XAM,2015
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0006050622972535881,XAM,2015
52,IDN,Growing rice industry,XAS,0.0,XAM,2015
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,XAM,2015
54,IDN,Growing sugar beet and cane industry,XAS,2.036078889665745e-07,XAM,2015
55,IDN,Growing tobacco industry,XAS,0.0,XAM,2015
56,IDN,Growing fibre crops industry,XAS,4.08651189885214e-06,XAM,2015
57,IDN,Growing crops n.e.c. industry,XAS,3.8860015556190854e-05,XAM,2015
58,IDN,Growing grapes industry,XAS,0.0,XAM,2015
59,IDN,Growing fruits and nuts industry,XAS,2.096852082897126e-06,XAM,2015
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,8.794455634457139e-07,XAM,2015
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.99118910625103e-05,XAM,2015
62,IDN,Seeds and plant propagation industry,XAS,0.0,XAM,2015
63,IDN,Raising of cattle industry,XAS,1.9157210711951854e-05,XAM,2015
64,IDN,Growing wheat industry,AFG,0.0,XAM,2015
65,IDN,Growing maize industry,AFG,0.0001585863923710103,XAM,2015
66,IDN,Growing cereals n.e.c industry,AFG,0.0,XAM,2015
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.00019176853673230675,XAM,2015
68,IDN,Growing rice industry,AFG,0.0,XAM,2015
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,XAM,2015
70,IDN,Growing sugar beet and cane industry,AFG,5.974967569552872e-08,XAM,2015
71,IDN,Growing tobacco industry,AFG,0.0,XAM,2015
72,IDN,Growing fibre crops industry,AFG,4.913481412721822e-07,XAM,2015
73,IDN,Growing crops n.e.c. industry,AFG,1.2910127097690615e-05,XAM,2015
74,IDN,Growing grapes industry,AFG,0.0,XAM,2015
75,IDN,Growing fruits and nuts industry,AFG,4.2244276291185736e-07,XAM,2015
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.999232256323807e-07,XAM,2015
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.1497242903352073e-05,XAM,2015
78,IDN,Seeds and plant propagation industry,AFG,0.0,XAM,2015
79,IDN,Raising of cattle industry,AFG,6.2566008562707745e-06,XAM,2015
80,IDN,Growing wheat industry,AGO,0.0,XAM,2015
81,IDN,Growing maize industry,AGO,0.0009550838476971992,XAM,2015
82,IDN,Growing cereals n.e.c industry,AGO,0.0,XAM,2015
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.0010964868793756962,XAM,2015
84,IDN,Growing rice industry,AGO,0.0,XAM,2015
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,XAM,2015
86,IDN,Growing sugar beet and cane industry,AGO,3.89216622998364e-07,XAM,2015
87,IDN,Growing tobacco industry,AGO,0.0,XAM,2015
88,IDN,Growing fibre crops industry,AGO,5.249264214474603e-06,XAM,2015
89,IDN,Growing crops n.e.c. industry,AGO,8.39378069831835e-05,XAM,2015
90,IDN,Growing grapes industry,AGO,0.0,XAM,2015
91,IDN,Growing fruits and nuts industry,AGO,2.585234549772672e-06,XAM,2015
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,2.2292335880535224e-06,XAM,2015
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.00010968262081434084,XAM,2015
94,IDN,Seeds and plant propagation industry,AGO,0.0,XAM,2015
95,IDN,Raising of cattle industry,AGO,3.514179228861782e-05,XAM,2015
96,IDN,Growing wheat industry,ALB,0.0,XAM,2015
97,IDN,Growing maize industry,ALB,0.0007711466314878321,XAM,2015
98,IDN,Growing cereals n.e.c industry,ALB,0.0,XAM,2015
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.0005390883155054686,XAM,2015
100,IDN,Growing rice industry,ALB,0.0,XAM,2015
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,XAM,2015
102,IDN,Growing sugar beet and cane industry,ALB,3.1415767705113717e-07,XAM,2015
103,IDN,Growing tobacco industry,ALB,0.0,XAM,2015
104,IDN,Growing fibre crops industry,ALB,1.8243732920352607e-06,XAM,2015
105,IDN,Growing crops n.e.c. industry,ALB,7.393958338979125e-05,XAM,2015
106,IDN,Growing grapes industry,ALB,0.0,XAM,2015
107,IDN,Growing fruits and nuts industry,ALB,1.4547796375868835e-06,XAM,2015
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,1.0065812559364736e-06,XAM,2015
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,5.8212034051030954e-05,XAM,2015
110,IDN,Seeds and plant propagation industry,ALB,0.0,XAM,2015
111,IDN,Raising of cattle industry,ALB,1.90680102367093e-05,XAM,2015
112,IDN,Growing wheat industry,ARE,0.0,XAM,2015
113,IDN,Growing maize industry,ARE,0.0030276136003937705,XAM,2015
114,IDN,Growing cereals n.e.c industry,ARE,0.0,XAM,2015
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.0037581724299639015,XAM,2015
116,IDN,Growing rice industry,ARE,0.0,XAM,2015
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,XAM,2015
118,IDN,Growing sugar beet and cane industry,ARE,1.2443960340007216e-06,XAM,2015
119,IDN,Growing tobacco industry,ARE,0.0,XAM,2015
120,IDN,Growing fibre crops industry,ARE,1.5154513310532869e-05,XAM,2015
121,IDN,Growing crops n.e.c. industry,ARE,0.0002808985010901127,XAM,2015
122,IDN,Growing grapes industry,ARE,0.0,XAM,2015
123,IDN,Growing fruits and nuts industry,ARE,9.133061880451166e-06,XAM,2015
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,5.75772428546357e-06,XAM,2015
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0005929511517146847,XAM,2015
126,IDN,Seeds and plant propagation industry,ARE,0.0,XAM,2015
127,IDN,Raising of cattle industry,ARE,0.0001332859304876618,XAM,2015
128,IDN,Growing wheat industry,ARG,0.0,XAM,2015
129,IDN,Growing maize industry,ARG,0.0025787026065936165,XAM,2015
130,IDN,Growing cereals n.e.c industry,ARG,0.0,XAM,2015
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.0027146698809155704,XAM,2015
132,IDN,Growing rice industry,ARG,0.0,XAM,2015
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,XAM,2015
134,IDN,Growing sugar beet and cane industry,ARG,1.0382238681529365e-06,XAM,2015
135,IDN,Growing tobacco industry,ARG,0.0,XAM,2015
136,IDN,Growing fibre crops industry,ARG,1.2291155302120747e-05,XAM,2015
137,IDN,Growing crops n.e.c. industry,ARG,0.00023865926491170459,XAM,2015
138,IDN,Growing grapes industry,ARG,0.0,XAM,2015
139,IDN,Growing fruits and nuts industry,ARG,6.512793075970989e-06,XAM,2015
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,5.6589478142875534e-06,XAM,2015
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,0.00034156481814715163,XAM,2015
142,IDN,Seeds and plant propagation industry,ARG,0.0,XAM,2015
143,IDN,Raising of cattle industry,ARG,0.00018911650149164118,XAM,2015
144,IDN,Growing wheat industry,ARM,0.0,XAM,2015
145,IDN,Growing maize industry,ARM,0.0005107144691562042,XAM,2015
146,IDN,Growing cereals n.e.c industry,ARM,0.0,XAM,2015
147,IDN,Growing leguminous crops and oil seeds industry,ARM,0.000950514219074609,XAM,2015
148,IDN,Growing rice industry,ARM,0.0,XAM,2015
149,IDN,"Growing vegetables, roots, tubers industry",ARM,0.0,XAM,2015
150,IDN,Growing sugar beet and cane industry,ARM,1.789058354034363e-07,XAM,2015
151,IDN,Growing tobacco industry,ARM,0.0,XAM,2015
152,IDN,Growing fibre crops industry,ARM,1.593381525525922e-06,XAM,2015
153,IDN,Growing crops n.e.c. industry,ARM,5.021014744903995e-05,XAM,2015
154,IDN,Growing grapes industry,ARM,0.0,XAM,2015
155,IDN,Growing fruits and nuts industry,ARM,1.5885661298961407e-06,XAM,2015
156,IDN,"Growing beverage crops (coffee, tea etc) industry",ARM,8.165402469320958e-07,XAM,2015
157,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,0.00010293356317832997,XAM,2015
158,IDN,Seeds and plant propagation industry,ARM,0.0,XAM,2015
159,IDN,Raising of cattle industry,ARM,2.036290064283008e-05,XAM,2015
160,IDN,Growing wheat industry,AUS,0.0,XAM,2015
161,IDN,Growing maize industry,AUS,0.01299901753692741,XAM,2015
162,IDN,Growing cereals n.e.c industry,AUS,0.0,XAM,2015
163,IDN,Growing leguminous crops and oil seeds industry,AUS,0.014869265739197514,XAM,2015
164,IDN,Growing rice industry,AUS,0.0,XAM,2015
165,IDN,"Growing vegetables, roots, tubers industry",AUS,0.0,XAM,2015
166,IDN,Growing sugar beet and cane industry,AUS,5.6745171251008094e-06,XAM,2015
167,IDN,Growing tobacco industry,AUS,0.0,XAM,2015
168,IDN,Growing fibre crops industry,AUS,7.275034634678019e-05,XAM,2015
169,IDN,Growing crops n.e.c. industry,AUS,0.002511965548271269,XAM,2015
170,IDN,Growing grapes industry,AUS,0.0,XAM,2015
171,IDN,Growing fruits and nuts industry,AUS,3.273665483727725e-05,XAM,2015
172,IDN,"Growing beverage crops (coffee, tea etc) industry",AUS,2.7077532948349096e-05,XAM,2015
173,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.0018771629129392257,XAM,2015
174,IDN,Seeds and plant propagation industry,AUS,0.0,XAM,2015
175,IDN,Raising of cattle industry,AUS,0.0006067845385552424,XAM,2015
176,IDN,Growing wheat industry,AUT,0.0,XAM,2015
177,IDN,Growing maize industry,AUT,0.00950967023281889,XAM,2015
178,IDN,Growing cereals n.e.c industry,AUT,0.0,XAM,2015
179,IDN,Growing leguminous crops and oil seeds industry,AUT,0.009059504195958034,XAM,2015
180,IDN,Growing rice industry,AUT,0.0,XAM,2015
181,IDN,"Growing vegetables, roots, tubers industry",AUT,0.0,XAM,2015
182,IDN,Growing sugar beet and cane industry,AUT,4.371496657769479e-06,XAM,2015
183,IDN,Growing tobacco industry,AUT,0.0,XAM,2015
184,IDN,Growing fibre crops industry,AUT,6.257640501387489e-05,XAM,2015
185,IDN,Growing crops n.e.c. industry,AUT,0.0009067264555375897,XAM,2015
186,IDN,Growing grapes industry,AUT,0.0,XAM,2015
187,IDN,Growing fruits and nuts industry,AUT,2.2407423401597207e-05,XAM,2015
188,IDN,"Growing beverage crops (coffee, tea etc) industry",AUT,2.2373968340145754e-05,XAM,2015
189,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.0009714964332049787,XAM,2015
190,IDN,Seeds and plant propagation industry,AUT,0.0,XAM,2015
191,IDN,Raising of cattle industry,AUT,0.0003668671454042544,XAM,2015
192,IDN,Growing wheat industry,AZE,0.0,XAM,2015
193,IDN,Growing maize industry,AZE,0.0005662460324608646,XAM,2015
194,IDN,Growing cereals n.e.c industry,AZE,0.0,XAM,2015
195,IDN,Growing leguminous crops and oil seeds industry,AZE,0.00056941968872604,XAM,2015
196,IDN,Growing rice industry,AZE,0.0,XAM,2015
197,IDN,"Growing vegetables, roots, tubers industry",AZE,0.0,XAM,2015
198,IDN,Growing sugar beet and cane industry,AZE,2.396634281222654e-07,XAM,2015
199,IDN,Growing tobacco industry,AZE,0.0,XAM,2015
200,IDN,Growing fibre crops industry,AZE,3.0845256625358805e-06,XAM,2015
201,IDN,Growing crops n.e.c. industry,AZE,5.2893097211938704e-05,XAM,2015
202,IDN,Growing grapes industry,AZE,0.0,XAM,2015
203,IDN,Growing fruits and nuts industry,AZE,1.3954713928043624e-06,XAM,2015
204,IDN,"Growing beverage crops (coffee, tea etc) industry",AZE,1.152672372555539e-06,XAM,2015
205,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,5.644890266106029e-05,XAM,2015
206,IDN,Seeds and plant propagation industry,AZE,0.0,XAM,2015
207,IDN,Raising of cattle industry,AZE,1.8472557813123903e-05,XAM,2015
208,IDN,Growing wheat industry,BDI,0.0,XAM,2015
209,IDN,Growing maize industry,BDI,5.393930026124887e-05,XAM,2015
210,IDN,Growing cereals n.e.c industry,BDI,0.0,XAM,2015
211,IDN,Growing leguminous crops and oil seeds industry,BDI,7.86518607907437e-05,XAM,2015
212,IDN,Growing rice industry,BDI,0.0,XAM,2015
213,IDN,"Growing vegetables, roots, tubers industry",BDI,0.0,XAM,2015
214,IDN,Growing sugar beet and cane industry,BDI,3.533088591214673e-08,XAM,2015
215,IDN,Growing tobacco industry,BDI,0.0,XAM,2015
216,IDN,Growing fibre crops industry,BDI,1.315617388058455e-06,XAM,2015
217,IDN,Growing crops n.e.c. industry,BDI,4.075615249838616e-06,XAM,2015
218,IDN,Growing grapes industry,BDI,0.0,XAM,2015
219,IDN,Growing fruits and nuts industry,BDI,1.591590243320585e-07,XAM,2015
220,IDN,"Growing beverage crops (coffee, tea etc) industry",BDI,7.918621954011181e-08,XAM,2015
221,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",BDI,6.100968972884889e-06,XAM,2015
222,IDN,Seeds and plant propagation industry,BDI,0.0,XAM,2015
223,IDN,Raising of cattle industry,BDI,3.149654155202779e-06,XAM,2015
224,IDN,Growing wheat industry,BEL,0.0,XAM,2015
225,IDN,Growing maize industry,BEL,0.010280644846959988,XAM,2015
226,IDN,Growing cereals n.e.c industry,BEL,0.0,XAM,2015
227,IDN,Growing leguminous crops and oil seeds industry,BEL,0.011413158963718358,XAM,2015
228,IDN,Growing rice industry,BEL,0.0,XAM,2015
229,IDN,"Growing vegetables, roots, tubers industry",BEL,0.0,XAM,2015
230,IDN,Growing sugar beet and cane industry,BEL,4.411455452897451e-06,XAM,2015
231,IDN,Growing tobacco industry,BEL,0.0,XAM,2015
