,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,ZAF,2015
1,IDN,Growing maize industry,XAM,0.005071596606930488,ZAF,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,ZAF,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.008139380619949585,ZAF,2015
4,IDN,Growing rice industry,XAM,0.0,ZAF,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,ZAF,2015
6,IDN,Growing sugar beet and cane industry,XAM,2.06084375327467e-06,ZAF,2015
7,IDN,Growing tobacco industry,XAM,0.0,ZAF,2015
8,IDN,Growing fibre crops industry,XAM,5.472875685128471e-05,ZAF,2015
9,IDN,Growing crops n.e.c. industry,XAM,0.0009673955358479812,ZAF,2015
10,IDN,Growing grapes industry,XAM,0.0,ZAF,2015
11,IDN,Growing fruits and nuts industry,XAM,3.0276448725932865e-05,ZAF,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,5.491433683847151e-06,ZAF,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0010151276826701017,ZAF,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,ZAF,2015
15,IDN,Raising of cattle industry,XAM,0.00018207738052083806,ZAF,2015
16,IDN,Growing wheat industry,XEU,0.0,ZAF,2015
17,IDN,Growing maize industry,XEU,0.0021714548996053925,ZAF,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,ZAF,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.003738077817244435,ZAF,2015
20,IDN,Growing rice industry,XEU,0.0,ZAF,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,ZAF,2015
22,IDN,Growing sugar beet and cane industry,XEU,1.3600051596320817e-06,ZAF,2015
23,IDN,Growing tobacco industry,XEU,0.0,ZAF,2015
24,IDN,Growing fibre crops industry,XEU,0.0002565472948588035,ZAF,2015
25,IDN,Growing crops n.e.c. industry,XEU,0.00017003441628975357,ZAF,2015
26,IDN,Growing grapes industry,XEU,0.0,ZAF,2015
27,IDN,Growing fruits and nuts industry,XEU,8.076559121811027e-06,ZAF,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.299289238332296e-06,ZAF,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0002301004939506946,ZAF,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,ZAF,2015
31,IDN,Raising of cattle industry,XEU,6.126567100318642e-05,ZAF,2015
32,IDN,Growing wheat industry,XAF,0.0,ZAF,2015
33,IDN,Growing maize industry,XAF,0.2952477239115396,ZAF,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,ZAF,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.5596022257981237,ZAF,2015
36,IDN,Growing rice industry,XAF,0.0,ZAF,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,ZAF,2015
38,IDN,Growing sugar beet and cane industry,XAF,0.0001361065787010334,ZAF,2015
39,IDN,Growing tobacco industry,XAF,0.0,ZAF,2015
40,IDN,Growing fibre crops industry,XAF,0.01139986616281604,ZAF,2015
41,IDN,Growing crops n.e.c. industry,XAF,0.016927614856148458,ZAF,2015
42,IDN,Growing grapes industry,XAF,0.0,ZAF,2015
43,IDN,Growing fruits and nuts industry,XAF,0.0017620500570303729,ZAF,2015
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,0.00032489454773302153,ZAF,2015
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0556224908861001,ZAF,2015
46,IDN,Seeds and plant propagation industry,XAF,0.0,ZAF,2015
47,IDN,Raising of cattle industry,XAF,0.00522318528541528,ZAF,2015
48,IDN,Growing wheat industry,XAS,0.0,ZAF,2015
49,IDN,Growing maize industry,XAS,0.005030463868450704,ZAF,2015
50,IDN,Growing cereals n.e.c industry,XAS,0.0,ZAF,2015
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.008815240476868219,ZAF,2015
52,IDN,Growing rice industry,XAS,0.0,ZAF,2015
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,ZAF,2015
54,IDN,Growing sugar beet and cane industry,XAS,1.9407876808220365e-06,ZAF,2015
55,IDN,Growing tobacco industry,XAS,0.0,ZAF,2015
56,IDN,Growing fibre crops industry,XAS,5.459647924227836e-05,ZAF,2015
57,IDN,Growing crops n.e.c. industry,XAS,0.00035587270185761995,ZAF,2015
58,IDN,Growing grapes industry,XAS,0.0,ZAF,2015
59,IDN,Growing fruits and nuts industry,XAS,2.2931849362900648e-05,ZAF,2015
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,3.5643267565087187e-06,ZAF,2015
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0006624650770130948,ZAF,2015
62,IDN,Seeds and plant propagation industry,XAS,0.0,ZAF,2015
63,IDN,Raising of cattle industry,XAS,9.085723059963122e-05,ZAF,2015
64,IDN,Growing wheat industry,AFG,0.0,ZAF,2015
65,IDN,Growing maize industry,AFG,0.0015010550915192386,ZAF,2015
66,IDN,Growing cereals n.e.c industry,AFG,0.0,ZAF,2015
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.002305109934737154,ZAF,2015
68,IDN,Growing rice industry,AFG,0.0,ZAF,2015
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,ZAF,2015
70,IDN,Growing sugar beet and cane industry,AFG,6.797315428502235e-07,ZAF,2015
71,IDN,Growing tobacco industry,AFG,0.0,ZAF,2015
72,IDN,Growing fibre crops industry,AFG,3.2270696076160275e-05,ZAF,2015
73,IDN,Growing crops n.e.c. industry,AFG,0.0004469013114015977,ZAF,2015
74,IDN,Growing grapes industry,AFG,0.0,ZAF,2015
75,IDN,Growing fruits and nuts industry,AFG,4.658216050958082e-06,ZAF,2015
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.6561148034141044e-06,ZAF,2015
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.0001550027478737078,ZAF,2015
78,IDN,Seeds and plant propagation industry,AFG,0.0,ZAF,2015
79,IDN,Raising of cattle industry,AFG,7.765843798957013e-05,ZAF,2015
80,IDN,Growing wheat industry,AGO,0.0,ZAF,2015
81,IDN,Growing maize industry,AGO,0.1618520694075121,ZAF,2015
82,IDN,Growing cereals n.e.c industry,AGO,0.0,ZAF,2015
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.24464531855808866,ZAF,2015
84,IDN,Growing rice industry,AGO,0.0,ZAF,2015
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,ZAF,2015
86,IDN,Growing sugar beet and cane industry,AGO,6.40029366013263e-05,ZAF,2015
87,IDN,Growing tobacco industry,AGO,0.0,ZAF,2015
88,IDN,Growing fibre crops industry,AGO,0.0020140493040023875,ZAF,2015
89,IDN,Growing crops n.e.c. industry,AGO,0.012562429519338726,ZAF,2015
90,IDN,Growing grapes industry,AGO,0.0,ZAF,2015
91,IDN,Growing fruits and nuts industry,AGO,0.0010198277474106287,ZAF,2015
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,0.00024353142513504653,ZAF,2015
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.04449933167316514,ZAF,2015
94,IDN,Seeds and plant propagation industry,AGO,0.0,ZAF,2015
95,IDN,Raising of cattle industry,AGO,0.0033058812994343134,ZAF,2015
96,IDN,Growing wheat industry,ALB,0.0,ZAF,2015
97,IDN,Growing maize industry,ALB,0.0012837316585993625,ZAF,2015
98,IDN,Growing cereals n.e.c industry,ALB,0.0,ZAF,2015
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.0019220015365217884,ZAF,2015
100,IDN,Growing rice industry,ALB,0.0,ZAF,2015
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,ZAF,2015
102,IDN,Growing sugar beet and cane industry,ALB,4.884801789467069e-07,ZAF,2015
103,IDN,Growing tobacco industry,ALB,0.0,ZAF,2015
104,IDN,Growing fibre crops industry,ALB,1.4171099563568934e-05,ZAF,2015
105,IDN,Growing crops n.e.c. industry,ALB,0.00011758732892508362,ZAF,2015
106,IDN,Growing grapes industry,ALB,0.0,ZAF,2015
107,IDN,Growing fruits and nuts industry,ALB,3.776024188609085e-06,ZAF,2015
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,1.100258929459715e-06,ZAF,2015
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,0.00011238574056681886,ZAF,2015
110,IDN,Seeds and plant propagation industry,ALB,0.0,ZAF,2015
111,IDN,Raising of cattle industry,ALB,3.0965942419425477e-05,ZAF,2015
112,IDN,Growing wheat industry,ARE,0.0,ZAF,2015
113,IDN,Growing maize industry,ARE,0.027191038853616865,ZAF,2015
114,IDN,Growing cereals n.e.c industry,ARE,0.0,ZAF,2015
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.03709543446241158,ZAF,2015
116,IDN,Growing rice industry,ARE,0.0,ZAF,2015
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,ZAF,2015
118,IDN,Growing sugar beet and cane industry,ARE,1.0421252376567945e-05,ZAF,2015
119,IDN,Growing tobacco industry,ARE,0.0,ZAF,2015
120,IDN,Growing fibre crops industry,ARE,0.00022528821146408092,ZAF,2015
