,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,AFG,2016
1,IDN,Growing maize industry,XAM,7.14013602554001e-05,AFG,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,AFG,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00014254800318086133,AFG,2016
4,IDN,Growing rice industry,XAM,2.941834927815354e-08,AFG,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,AFG,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,AFG,2016
7,IDN,Growing tobacco industry,XAM,8.809749104374756e-07,AFG,2016
8,IDN,Growing fibre crops industry,XAM,5.347105971666609e-08,AFG,2016
9,IDN,Growing crops n.e.c. industry,XAM,1.2936088275049571e-07,AFG,2016
10,IDN,Growing grapes industry,XAM,0.0,AFG,2016
11,IDN,Growing fruits and nuts industry,XAM,7.3757207149944894e-06,AFG,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,4.812224438983369e-07,AFG,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,9.272691258170398e-05,AFG,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,AFG,2016
15,IDN,Raising of cattle industry,XAM,3.762882862048917e-06,AFG,2016
16,IDN,Growing wheat industry,XEU,0.0,AFG,2016
17,IDN,Growing maize industry,XEU,2.4415031446775352e-05,AFG,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,AFG,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,6.648802697323452e-05,AFG,2016
20,IDN,Growing rice industry,XEU,1.1236877532383551e-08,AFG,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,AFG,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,AFG,2016
23,IDN,Growing tobacco industry,XEU,3.898850812892232e-07,AFG,2016
24,IDN,Growing fibre crops industry,XEU,3.041739660346549e-08,AFG,2016
25,IDN,Growing crops n.e.c. industry,XEU,4.200168040795228e-08,AFG,2016
26,IDN,Growing grapes industry,XEU,0.0,AFG,2016
27,IDN,Growing fruits and nuts industry,XEU,5.280081491369243e-07,AFG,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.1919325443868886e-07,AFG,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.2899346600508318e-06,AFG,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,AFG,2016
31,IDN,Raising of cattle industry,XEU,1.4997376220096398e-06,AFG,2016
32,IDN,Growing wheat industry,XAF,0.0,AFG,2016
33,IDN,Growing maize industry,XAF,5.5582122261891336e-05,AFG,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,AFG,2016
