,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,CRI,2016
1,IDN,Growing maize industry,XAM,0.006431352190446721,CRI,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,CRI,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.014601820768099126,CRI,2016
4,IDN,Growing rice industry,XAM,5.029855127278202e-06,CRI,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,CRI,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,CRI,2016
7,IDN,Growing tobacco industry,XAM,0.00035615070533429906,CRI,2016
8,IDN,Growing fibre crops industry,XAM,1.2525446423142845e-05,CRI,2016
9,IDN,Growing crops n.e.c. industry,XAM,1.7522598124452994e-05,CRI,2016
10,IDN,Growing grapes industry,XAM,0.0,CRI,2016
11,IDN,Growing fruits and nuts industry,XAM,0.0002913408636293227,CRI,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.100824784025235e-05,CRI,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.004899389990844721,CRI,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,CRI,2016
15,IDN,Raising of cattle industry,XAM,0.0005672711896517556,CRI,2016
16,IDN,Growing wheat industry,XEU,0.0,CRI,2016
17,IDN,Growing maize industry,XEU,0.0003228599333773075,CRI,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,CRI,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0007823245061449824,CRI,2016
20,IDN,Growing rice industry,XEU,2.2359130949599554e-07,CRI,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,CRI,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,CRI,2016
23,IDN,Growing tobacco industry,XEU,2.0621289316398392e-05,CRI,2016
24,IDN,Growing fibre crops industry,XEU,8.841100829096811e-07,CRI,2016
25,IDN,Growing crops n.e.c. industry,XEU,1.1790365817994342e-06,CRI,2016
26,IDN,Growing grapes industry,XEU,0.0,CRI,2016
27,IDN,Growing fruits and nuts industry,XEU,1.0171894999961839e-05,CRI,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,4.0113921317936315e-06,CRI,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0001306508682528177,CRI,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,CRI,2016
31,IDN,Raising of cattle industry,XEU,3.6071903696599236e-05,CRI,2016
32,IDN,Growing wheat industry,XAF,0.0,CRI,2016
33,IDN,Growing maize industry,XAF,6.440710741461897e-05,CRI,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,CRI,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00017521584610684065,CRI,2016
36,IDN,Growing rice industry,XAF,4.388878799722206e-08,CRI,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,CRI,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,CRI,2016
39,IDN,Growing tobacco industry,XAF,8.780382972598288e-06,CRI,2016
40,IDN,Growing fibre crops industry,XAF,1.6595584006808558e-07,CRI,2016
41,IDN,Growing crops n.e.c. industry,XAF,2.441002674344014e-07,CRI,2016
42,IDN,Growing grapes industry,XAF,0.0,CRI,2016
43,IDN,Growing fruits and nuts industry,XAF,1.4718604304233933e-06,CRI,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,9.40075072059094e-07,CRI,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.5285702465400166e-05,CRI,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,CRI,2016
47,IDN,Raising of cattle industry,XAF,6.935717441050106e-06,CRI,2016
48,IDN,Growing wheat industry,XAS,0.0,CRI,2016
49,IDN,Growing maize industry,XAS,0.00033259374897675134,CRI,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,CRI,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0007851954165171002,CRI,2016
52,IDN,Growing rice industry,XAS,2.8972635487821916e-07,CRI,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,CRI,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,CRI,2016
55,IDN,Growing tobacco industry,XAS,1.9393855361323826e-05,CRI,2016
56,IDN,Growing fibre crops industry,XAS,5.652196232688677e-07,CRI,2016
