,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,GNQ,2016
1,IDN,Growing maize industry,XAM,0.00012876504280015015,GNQ,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,GNQ,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0011765976619423813,GNQ,2016
4,IDN,Growing rice industry,XAM,1.5198349902280316e-07,GNQ,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,GNQ,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,GNQ,2016
7,IDN,Growing tobacco industry,XAM,4.603286828098507e-06,GNQ,2016
8,IDN,Growing fibre crops industry,XAM,2.43245718107973e-07,GNQ,2016
9,IDN,Growing crops n.e.c. industry,XAM,4.1159012601711015e-07,GNQ,2016
10,IDN,Growing grapes industry,XAM,0.0,GNQ,2016
11,IDN,Growing fruits and nuts industry,XAM,1.9568630248506913e-06,GNQ,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.6819027184744772e-06,GNQ,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.466101399225358e-05,GNQ,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,GNQ,2016
15,IDN,Raising of cattle industry,XAM,1.2771431656435725e-05,GNQ,2016
16,IDN,Growing wheat industry,XEU,0.0,GNQ,2016
17,IDN,Growing maize industry,XEU,4.2511532684914834e-05,GNQ,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,GNQ,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.000271831332411078,GNQ,2016
20,IDN,Growing rice industry,XEU,4.199183930180672e-08,GNQ,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,GNQ,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,GNQ,2016
23,IDN,Growing tobacco industry,XEU,1.6104646768737298e-06,GNQ,2016
24,IDN,Growing fibre crops industry,XEU,8.336746350355646e-08,GNQ,2016
25,IDN,Growing crops n.e.c. industry,XEU,1.1437195399655631e-07,GNQ,2016
26,IDN,Growing grapes industry,XEU,0.0,GNQ,2016
27,IDN,Growing fruits and nuts industry,XEU,5.522307848929563e-07,GNQ,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,7.107681214152216e-07,GNQ,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,9.404034387338956e-06,GNQ,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,GNQ,2016
31,IDN,Raising of cattle industry,XEU,4.657566955943886e-06,GNQ,2016
32,IDN,Growing wheat industry,XAF,0.0,GNQ,2016
33,IDN,Growing maize industry,XAF,0.0001272291690821897,GNQ,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,GNQ,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0006594537527650538,GNQ,2016
36,IDN,Growing rice industry,XAF,1.2701787221565635e-07,GNQ,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,GNQ,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,GNQ,2016
39,IDN,Growing tobacco industry,XAF,4.291310818363754e-06,GNQ,2016
40,IDN,Growing fibre crops industry,XAF,1.8386628972332855e-07,GNQ,2016
41,IDN,Growing crops n.e.c. industry,XAF,2.768947822312359e-07,GNQ,2016
42,IDN,Growing grapes industry,XAF,0.0,GNQ,2016
43,IDN,Growing fruits and nuts industry,XAF,2.955431069069806e-06,GNQ,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.2502139404858957e-06,GNQ,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.0274684599115515e-05,GNQ,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,GNQ,2016
47,IDN,Raising of cattle industry,XAF,9.765302721165977e-06,GNQ,2016
48,IDN,Growing wheat industry,XAS,0.0,GNQ,2016
49,IDN,Growing maize industry,XAS,5.396317367890324e-05,GNQ,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,GNQ,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00034153965093910196,GNQ,2016
52,IDN,Growing rice industry,XAS,5.30952472978664e-08,GNQ,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,GNQ,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,GNQ,2016
55,IDN,Growing tobacco industry,XAS,1.9249204265392747e-06,GNQ,2016
56,IDN,Growing fibre crops industry,XAS,1.0442765926197398e-07,GNQ,2016
57,IDN,Growing crops n.e.c. industry,XAS,1.5125375775643396e-07,GNQ,2016
58,IDN,Growing grapes industry,XAS,0.0,GNQ,2016
59,IDN,Growing fruits and nuts industry,XAS,6.970194844108408e-07,GNQ,2016
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,1.0017813585660995e-06,GNQ,2016
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.488189431301589e-06,GNQ,2016
62,IDN,Seeds and plant propagation industry,XAS,0.0,GNQ,2016
63,IDN,Raising of cattle industry,XAS,5.127929036231751e-06,GNQ,2016
64,IDN,Growing wheat industry,AFG,0.0,GNQ,2016
65,IDN,Growing maize industry,AFG,1.814598278165623e-05,GNQ,2016
66,IDN,Growing cereals n.e.c industry,AFG,0.0,GNQ,2016
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.00011535661388496994,GNQ,2016
68,IDN,Growing rice industry,AFG,1.9969412528945014e-08,GNQ,2016
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,GNQ,2016
70,IDN,Growing sugar beet and cane industry,AFG,0.0,GNQ,2016
71,IDN,Growing tobacco industry,AFG,4.463832238353127e-07,GNQ,2016
72,IDN,Growing fibre crops industry,AFG,2.892971962699811e-08,GNQ,2016
73,IDN,Growing crops n.e.c. industry,AFG,4.564289156136034e-08,GNQ,2016
74,IDN,Growing grapes industry,AFG,0.0,GNQ,2016
75,IDN,Growing fruits and nuts industry,AFG,2.51068084027875e-07,GNQ,2016
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,2.1883596583635736e-07,GNQ,2016
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,3.8057513311196614e-06,GNQ,2016
78,IDN,Seeds and plant propagation industry,AFG,0.0,GNQ,2016
79,IDN,Raising of cattle industry,AFG,1.6119515294900245e-06,GNQ,2016
80,IDN,Growing wheat industry,AGO,0.0,GNQ,2016
81,IDN,Growing maize industry,AGO,0.002693649772635125,GNQ,2016
82,IDN,Growing cereals n.e.c industry,AGO,0.0,GNQ,2016
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.020117669189034723,GNQ,2016
84,IDN,Growing rice industry,AGO,3.3368914311581696e-06,GNQ,2016
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,GNQ,2016
86,IDN,Growing sugar beet and cane industry,AGO,0.0,GNQ,2016
87,IDN,Growing tobacco industry,AGO,6.666395623022038e-05,GNQ,2016
88,IDN,Growing fibre crops industry,AGO,4.99761033282168e-06,GNQ,2016
89,IDN,Growing crops n.e.c. industry,AGO,8.443558534753687e-06,GNQ,2016
90,IDN,Growing grapes industry,AGO,0.0,GNQ,2016
91,IDN,Growing fruits and nuts industry,AGO,3.5616242856325774e-05,GNQ,2016
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,2.3574656241083764e-05,GNQ,2016
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0005757374335909204,GNQ,2016
94,IDN,Seeds and plant propagation industry,AGO,0.0,GNQ,2016
95,IDN,Raising of cattle industry,AGO,0.0002609808312238054,GNQ,2016
96,IDN,Growing wheat industry,ALB,0.0,GNQ,2016
97,IDN,Growing maize industry,ALB,0.00010357972328016543,GNQ,2016
98,IDN,Growing cereals n.e.c industry,ALB,0.0,GNQ,2016
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.000538881401641769,GNQ,2016
100,IDN,Growing rice industry,ALB,1.0962728311926952e-07,GNQ,2016
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,GNQ,2016
102,IDN,Growing sugar beet and cane industry,ALB,0.0,GNQ,2016
103,IDN,Growing tobacco industry,ALB,1.9148889767861253e-06,GNQ,2016
104,IDN,Growing fibre crops industry,ALB,2.446005393353066e-07,GNQ,2016
105,IDN,Growing crops n.e.c. industry,ALB,2.4155041577075473e-07,GNQ,2016
106,IDN,Growing grapes industry,ALB,0.0,GNQ,2016
107,IDN,Growing fruits and nuts industry,ALB,1.5061455502092836e-06,GNQ,2016
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,3.108314940007868e-06,GNQ,2016
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,3.189361187899986e-05,GNQ,2016
110,IDN,Seeds and plant propagation industry,ALB,0.0,GNQ,2016
111,IDN,Raising of cattle industry,ALB,1.5698741961685767e-05,GNQ,2016
112,IDN,Growing wheat industry,ARE,0.0,GNQ,2016
113,IDN,Growing maize industry,ARE,0.0008221535478681892,GNQ,2016
114,IDN,Growing cereals n.e.c industry,ARE,0.0,GNQ,2016
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.004775601440249003,GNQ,2016
116,IDN,Growing rice industry,ARE,7.611818870659208e-07,GNQ,2016
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,GNQ,2016
118,IDN,Growing sugar beet and cane industry,ARE,0.0,GNQ,2016
119,IDN,Growing tobacco industry,ARE,2.93444810887788e-05,GNQ,2016
120,IDN,Growing fibre crops industry,ARE,1.4865496857095548e-06,GNQ,2016
121,IDN,Growing crops n.e.c. industry,ARE,2.330382363074719e-06,GNQ,2016
122,IDN,Growing grapes industry,ARE,0.0,GNQ,2016
123,IDN,Growing fruits and nuts industry,ARE,9.615031187849544e-06,GNQ,2016
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,9.66354519400749e-06,GNQ,2016
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.00013309286724026947,GNQ,2016
126,IDN,Seeds and plant propagation industry,ARE,0.0,GNQ,2016
127,IDN,Raising of cattle industry,ARE,7.496991146942045e-05,GNQ,2016
128,IDN,Growing wheat industry,ARG,0.0,GNQ,2016
129,IDN,Growing maize industry,ARG,0.00024332835202209944,GNQ,2016
130,IDN,Growing cereals n.e.c industry,ARG,0.0,GNQ,2016
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.001917788186185551,GNQ,2016
132,IDN,Growing rice industry,ARG,2.628062941529938e-07,GNQ,2016
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,GNQ,2016
134,IDN,Growing sugar beet and cane industry,ARG,0.0,GNQ,2016
135,IDN,Growing tobacco industry,ARG,9.04285686682967e-06,GNQ,2016
136,IDN,Growing fibre crops industry,ARG,4.4385524861315706e-07,GNQ,2016
137,IDN,Growing crops n.e.c. industry,ARG,7.404126659559367e-07,GNQ,2016
138,IDN,Growing grapes industry,ARG,0.0,GNQ,2016
139,IDN,Growing fruits and nuts industry,ARG,3.39117282236716e-06,GNQ,2016
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,3.230458603008232e-06,GNQ,2016
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,5.297311637457004e-05,GNQ,2016
142,IDN,Seeds and plant propagation industry,ARG,0.0,GNQ,2016
143,IDN,Raising of cattle industry,ARG,2.3094605484919353e-05,GNQ,2016
144,IDN,Growing wheat industry,ARM,0.0,GNQ,2016
145,IDN,Growing maize industry,ARM,2.7929661225008866e-05,GNQ,2016
146,IDN,Growing cereals n.e.c industry,ARM,0.0,GNQ,2016
147,IDN,Growing leguminous crops and oil seeds industry,ARM,0.00014434382427725223,GNQ,2016
148,IDN,Growing rice industry,ARM,4.222079324780271e-08,GNQ,2016
149,IDN,"Growing vegetables, roots, tubers industry",ARM,0.0,GNQ,2016
150,IDN,Growing sugar beet and cane industry,ARM,0.0,GNQ,2016
151,IDN,Growing tobacco industry,ARM,4.911766314054617e-07,GNQ,2016
152,IDN,Growing fibre crops industry,ARM,4.5523373400736555e-08,GNQ,2016
153,IDN,Growing crops n.e.c. industry,ARM,6.282440383240768e-08,GNQ,2016
154,IDN,Growing grapes industry,ARM,0.0,GNQ,2016
155,IDN,Growing fruits and nuts industry,ARM,4.16954269137289e-07,GNQ,2016
156,IDN,"Growing beverage crops (coffee, tea etc) industry",ARM,4.953425952004089e-07,GNQ,2016
157,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,6.32114384386337e-06,GNQ,2016
158,IDN,Seeds and plant propagation industry,ARM,0.0,GNQ,2016
159,IDN,Raising of cattle industry,ARM,2.970252754656086e-06,GNQ,2016
160,IDN,Growing wheat industry,AUS,0.0,GNQ,2016
161,IDN,Growing maize industry,AUS,0.003917047697395337,GNQ,2016
162,IDN,Growing cereals n.e.c industry,AUS,0.0,GNQ,2016
163,IDN,Growing leguminous crops and oil seeds industry,AUS,0.02859132865698717,GNQ,2016
164,IDN,Growing rice industry,AUS,3.6528344571017095e-06,GNQ,2016
165,IDN,"Growing vegetables, roots, tubers industry",AUS,0.0,GNQ,2016
166,IDN,Growing sugar beet and cane industry,AUS,0.0,GNQ,2016
167,IDN,Growing tobacco industry,AUS,0.00012704035389206106,GNQ,2016
168,IDN,Growing fibre crops industry,AUS,7.760870199903455e-06,GNQ,2016
169,IDN,Growing crops n.e.c. industry,AUS,1.1053551063247289e-05,GNQ,2016
170,IDN,Growing grapes industry,AUS,0.0,GNQ,2016
171,IDN,Growing fruits and nuts industry,AUS,5.376828494659102e-05,GNQ,2016
172,IDN,"Growing beverage crops (coffee, tea etc) industry",AUS,7.262572804783073e-05,GNQ,2016
173,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.0011047751442482393,GNQ,2016
174,IDN,Seeds and plant propagation industry,AUS,0.0,GNQ,2016
175,IDN,Raising of cattle industry,AUS,0.0004219977544403113,GNQ,2016
176,IDN,Growing wheat industry,AUT,0.0,GNQ,2016
177,IDN,Growing maize industry,AUT,0.0004273036525470114,GNQ,2016
178,IDN,Growing cereals n.e.c industry,AUT,0.0,GNQ,2016
179,IDN,Growing leguminous crops and oil seeds industry,AUT,0.004640271990344522,GNQ,2016
180,IDN,Growing rice industry,AUT,5.192575242934056e-07,GNQ,2016
181,IDN,"Growing vegetables, roots, tubers industry",AUT,0.0,GNQ,2016
182,IDN,Growing sugar beet and cane industry,AUT,0.0,GNQ,2016
183,IDN,Growing tobacco industry,AUT,1.1566590607207907e-05,GNQ,2016
184,IDN,Growing fibre crops industry,AUT,1.0605009543169224e-06,GNQ,2016
185,IDN,Growing crops n.e.c. industry,AUT,1.3896594892615753e-06,GNQ,2016
186,IDN,Growing grapes industry,AUT,0.0,GNQ,2016
187,IDN,Growing fruits and nuts industry,AUT,7.680157029075782e-06,GNQ,2016
188,IDN,"Growing beverage crops (coffee, tea etc) industry",AUT,1.240615582368279e-05,GNQ,2016
189,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.0001419415966948247,GNQ,2016
190,IDN,Seeds and plant propagation industry,AUT,0.0,GNQ,2016
191,IDN,Raising of cattle industry,AUT,4.981580584784869e-05,GNQ,2016
192,IDN,Growing wheat industry,AZE,0.0,GNQ,2016
193,IDN,Growing maize industry,AZE,0.00023975384203181457,GNQ,2016
194,IDN,Growing cereals n.e.c industry,AZE,0.0,GNQ,2016
195,IDN,Growing leguminous crops and oil seeds industry,AZE,0.0011963420852362614,GNQ,2016
196,IDN,Growing rice industry,AZE,2.123944364483794e-07,GNQ,2016
197,IDN,"Growing vegetables, roots, tubers industry",AZE,0.0,GNQ,2016
198,IDN,Growing sugar beet and cane industry,AZE,0.0,GNQ,2016
199,IDN,Growing tobacco industry,AZE,4.394737695472944e-06,GNQ,2016
200,IDN,Growing fibre crops industry,AZE,5.080221147166945e-07,GNQ,2016
201,IDN,Growing crops n.e.c. industry,AZE,4.805892766244287e-07,GNQ,2016
202,IDN,Growing grapes industry,AZE,0.0,GNQ,2016
203,IDN,Growing fruits and nuts industry,AZE,3.4911393715174407e-06,GNQ,2016
204,IDN,"Growing beverage crops (coffee, tea etc) industry",AZE,8.050882493377375e-06,GNQ,2016
205,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,8.07355652785523e-05,GNQ,2016
206,IDN,Seeds and plant propagation industry,AZE,0.0,GNQ,2016
207,IDN,Raising of cattle industry,AZE,3.7215689979434754e-05,GNQ,2016
208,IDN,Growing wheat industry,BDI,0.0,GNQ,2016
209,IDN,Growing maize industry,BDI,6.275043115394286e-06,GNQ,2016
210,IDN,Growing cereals n.e.c industry,BDI,0.0,GNQ,2016
211,IDN,Growing leguminous crops and oil seeds industry,BDI,3.462505995099054e-05,GNQ,2016
212,IDN,Growing rice industry,BDI,6.364596266688008e-09,GNQ,2016
213,IDN,"Growing vegetables, roots, tubers industry",BDI,0.0,GNQ,2016
214,IDN,Growing sugar beet and cane industry,BDI,0.0,GNQ,2016
215,IDN,Growing tobacco industry,BDI,1.3161500023595188e-07,GNQ,2016
216,IDN,Growing fibre crops industry,BDI,1.225638718199678e-08,GNQ,2016
