,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,MLI,2016
1,IDN,Growing maize industry,XAM,0.00029632816040230147,MLI,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,MLI,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0004092840182387364,MLI,2016
4,IDN,Growing rice industry,XAM,1.4633133279163744e-07,MLI,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,MLI,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,MLI,2016
7,IDN,Growing tobacco industry,XAM,1.0016793946259996e-06,MLI,2016
8,IDN,Growing fibre crops industry,XAM,5.291820168327955e-08,MLI,2016
9,IDN,Growing crops n.e.c. industry,XAM,1.736489268520128e-07,MLI,2016
10,IDN,Growing grapes industry,XAM,0.0,MLI,2016
11,IDN,Growing fruits and nuts industry,XAM,9.496075804736474e-07,MLI,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.000972113276521e-07,MLI,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.721572264741663e-06,MLI,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,MLI,2016
15,IDN,Raising of cattle industry,XAM,8.150555401758106e-06,MLI,2016
16,IDN,Growing wheat industry,XEU,0.0,MLI,2016
17,IDN,Growing maize industry,XEU,6.876832831308211e-05,MLI,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,MLI,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00012687490227341678,MLI,2016
20,IDN,Growing rice industry,XEU,4.749783059172722e-08,MLI,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,MLI,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,MLI,2016
23,IDN,Growing tobacco industry,XEU,3.037552788973965e-07,MLI,2016
24,IDN,Growing fibre crops industry,XEU,1.7846769100077902e-08,MLI,2016
25,IDN,Growing crops n.e.c. industry,XEU,5.135254814108072e-08,MLI,2016
26,IDN,Growing grapes industry,XEU,0.0,MLI,2016
27,IDN,Growing fruits and nuts industry,XEU,2.7568644958052873e-07,MLI,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.0218501063152261e-07,MLI,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.3398739545427093e-06,MLI,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,MLI,2016
31,IDN,Raising of cattle industry,XEU,2.763724817177276e-06,MLI,2016
32,IDN,Growing wheat industry,XAF,0.0,MLI,2016
33,IDN,Growing maize industry,XAF,0.0015754355576339636,MLI,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,MLI,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.002563072171295266,MLI,2016
36,IDN,Growing rice industry,XAF,1.0921613286513486e-06,MLI,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,MLI,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,MLI,2016
39,IDN,Growing tobacco industry,XAF,5.850814885637216e-06,MLI,2016
40,IDN,Growing fibre crops industry,XAF,3.4918128204691467e-07,MLI,2016
41,IDN,Growing crops n.e.c. industry,XAF,1.0829346744217407e-06,MLI,2016
42,IDN,Growing grapes industry,XAF,0.0,MLI,2016
43,IDN,Growing fruits and nuts industry,XAF,5.989468903205155e-06,MLI,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.9944877155000723e-06,MLI,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.777234522883245e-05,MLI,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,MLI,2016
47,IDN,Raising of cattle industry,XAF,5.513325482802725e-05,MLI,2016
48,IDN,Growing wheat industry,XAS,0.0,MLI,2016
49,IDN,Growing maize industry,XAS,0.00029334026290285097,MLI,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,MLI,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0005726178427454834,MLI,2016
52,IDN,Growing rice industry,XAS,2.549812259595107e-07,MLI,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,MLI,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,MLI,2016
55,IDN,Growing tobacco industry,XAS,1.2682720375327008e-06,MLI,2016
56,IDN,Growing fibre crops industry,XAS,5.847354718497324e-08,MLI,2016
57,IDN,Growing crops n.e.c. industry,XAS,2.0643487798018212e-07,MLI,2016
58,IDN,Growing grapes industry,XAS,0.0,MLI,2016
59,IDN,Growing fruits and nuts industry,XAS,1.2625169886895934e-06,MLI,2016
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,3.4517581313851787e-07,MLI,2016
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.0344942461097746e-05,MLI,2016
62,IDN,Seeds and plant propagation industry,XAS,0.0,MLI,2016
63,IDN,Raising of cattle industry,XAS,9.12186257279047e-06,MLI,2016
64,IDN,Growing wheat industry,AFG,0.0,MLI,2016
65,IDN,Growing maize industry,AFG,8.399550938673448e-05,MLI,2016
66,IDN,Growing cereals n.e.c industry,AFG,0.0,MLI,2016
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.00014710679556299288,MLI,2016
68,IDN,Growing rice industry,AFG,5.418840430811866e-08,MLI,2016
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,MLI,2016
70,IDN,Growing sugar beet and cane industry,AFG,0.0,MLI,2016
71,IDN,Growing tobacco industry,AFG,3.2863460927264724e-07,MLI,2016
72,IDN,Growing fibre crops industry,AFG,1.986679459109328e-08,MLI,2016
73,IDN,Growing crops n.e.c. industry,AFG,6.038568328357506e-08,MLI,2016
74,IDN,Growing grapes industry,AFG,0.0,MLI,2016
75,IDN,Growing fruits and nuts industry,AFG,3.2898744325161487e-07,MLI,2016
