,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,RWA,2016
1,IDN,Growing maize industry,XAM,2.692344332513324e-05,RWA,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,RWA,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00010603174122876584,RWA,2016
4,IDN,Growing rice industry,XAM,1.2966257860520977e-08,RWA,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,RWA,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,RWA,2016
7,IDN,Growing tobacco industry,XAM,3.029870253415601e-07,RWA,2016
8,IDN,Growing fibre crops industry,XAM,2.1815880058746572e-08,RWA,2016
9,IDN,Growing crops n.e.c. industry,XAM,1.1026093468003034e-07,RWA,2016
10,IDN,Growing grapes industry,XAM,0.0,RWA,2016
11,IDN,Growing fruits and nuts industry,XAM,1.5241410853587624e-07,RWA,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.0041290325060687e-07,RWA,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.604399303178258e-06,RWA,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,RWA,2016
15,IDN,Raising of cattle industry,XAM,2.1335441718760233e-06,RWA,2016
16,IDN,Growing wheat industry,XEU,0.0,RWA,2016
17,IDN,Growing maize industry,XEU,1.5702223409429733e-05,RWA,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,RWA,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,6.212208009028816e-05,RWA,2016
20,IDN,Growing rice industry,XEU,7.390064033778829e-09,RWA,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,RWA,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,RWA,2016
23,IDN,Growing tobacco industry,XEU,1.713230753539912e-07,RWA,2016
24,IDN,Growing fibre crops industry,XEU,1.2626140125890204e-08,RWA,2016
25,IDN,Growing crops n.e.c. industry,XEU,6.675577590616979e-08,RWA,2016
26,IDN,Growing grapes industry,XEU,0.0,RWA,2016
27,IDN,Growing fruits and nuts industry,XEU,8.777537983588548e-08,RWA,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,5.062310572749026e-08,RWA,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.650830210727861e-07,RWA,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,RWA,2016
31,IDN,Raising of cattle industry,XEU,1.2725121232093731e-06,RWA,2016
32,IDN,Growing wheat industry,XAF,0.0,RWA,2016
33,IDN,Growing maize industry,XAF,0.00017393666278657822,RWA,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,RWA,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00063162431953287,RWA,2016
36,IDN,Growing rice industry,XAF,1.0562047144898745e-07,RWA,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,RWA,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,RWA,2016
39,IDN,Growing tobacco industry,XAF,1.9543165918306062e-06,RWA,2016
