,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BEN,2018
1,IDN,Growing maize industry,XAM,0.00013923421271917703,BEN,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BEN,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0025609214143559153,BEN,2018
4,IDN,Growing rice industry,XAM,5.090686737632654e-07,BEN,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BEN,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,BEN,2018
7,IDN,Growing tobacco industry,XAM,4.432131545429615e-07,BEN,2018
8,IDN,Growing fibre crops industry,XAM,1.2527404658281305e-08,BEN,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,BEN,2018
10,IDN,Growing grapes industry,XAM,0.0,BEN,2018
11,IDN,Growing fruits and nuts industry,XAM,2.798540862910748e-05,BEN,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.722008200722135e-07,BEN,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.0712009619205904e-05,BEN,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,BEN,2018
15,IDN,Raising of cattle industry,XAM,2.173718303561349e-05,BEN,2018
16,IDN,Growing wheat industry,XEU,0.0,BEN,2018
17,IDN,Growing maize industry,XEU,7.690852270673393e-06,BEN,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BEN,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0001997390637589373,BEN,2018
20,IDN,Growing rice industry,XEU,4.7394198353020076e-08,BEN,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BEN,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,BEN,2018
23,IDN,Growing tobacco industry,XEU,7.423667192110615e-08,BEN,2018
24,IDN,Growing fibre crops industry,XEU,1.4763029609902979e-09,BEN,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,BEN,2018
26,IDN,Growing grapes industry,XEU,0.0,BEN,2018
27,IDN,Growing fruits and nuts industry,XEU,2.3351784877006425e-06,BEN,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,3.891341401636566e-08,BEN,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.2734334563451549e-06,BEN,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,BEN,2018
31,IDN,Raising of cattle industry,XEU,1.346676085946068e-06,BEN,2018
32,IDN,Growing wheat industry,XAF,0.0,BEN,2018
33,IDN,Growing maize industry,XAF,3.8071014650264856e-05,BEN,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BEN,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0007916203973356952,BEN,2018
36,IDN,Growing rice industry,XAF,1.7708723733212621e-07,BEN,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BEN,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,BEN,2018
39,IDN,Growing tobacco industry,XAF,4.0140646340485006e-07,BEN,2018
40,IDN,Growing fibre crops industry,XAF,7.711119058776784e-09,BEN,2018
41,IDN,Growing crops n.e.c. industry,XAF,0.0,BEN,2018
42,IDN,Growing grapes industry,XAF,0.0,BEN,2018
