,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BGD,2018
1,IDN,Growing maize industry,XAM,0.0003358714829738169,BGD,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BGD,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.02900188437033273,BGD,2018
4,IDN,Growing rice industry,XAM,5.1885362131943554e-06,BGD,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BGD,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,BGD,2018
7,IDN,Growing tobacco industry,XAM,3.0254627069292954e-05,BGD,2018
8,IDN,Growing fibre crops industry,XAM,8.343212479186187e-07,BGD,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,BGD,2018
10,IDN,Growing grapes industry,XAM,0.0,BGD,2018
11,IDN,Growing fruits and nuts industry,XAM,0.00041007767929431764,BGD,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,5.063438093947149e-06,BGD,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.192487874197534e-05,BGD,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,BGD,2018
15,IDN,Raising of cattle industry,XAM,0.0002630467519005646,BGD,2018
16,IDN,Growing wheat industry,XEU,0.0,BGD,2018
17,IDN,Growing maize industry,XEU,7.981400969877487e-05,BGD,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BGD,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.005955419887693479,BGD,2018
20,IDN,Growing rice industry,XEU,1.0099826342469567e-06,BGD,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BGD,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,BGD,2018
23,IDN,Growing tobacco industry,XEU,6.007769207467674e-06,BGD,2018
24,IDN,Growing fibre crops industry,XEU,4.2440620599002627e-07,BGD,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,BGD,2018
26,IDN,Growing grapes industry,XEU,0.0,BGD,2018
27,IDN,Growing fruits and nuts industry,XEU,7.490516538571755e-05,BGD,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.023009477299964e-06,BGD,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.645444263935843e-06,BGD,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,BGD,2018
31,IDN,Raising of cattle industry,XEU,0.0001062473467096943,BGD,2018
32,IDN,Growing wheat industry,XAF,0.0,BGD,2018
33,IDN,Growing maize industry,XAF,0.00019727613945663428,BGD,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BGD,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0183496185979577,BGD,2018
36,IDN,Growing rice industry,XAF,3.256430636668962e-06,BGD,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BGD,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,BGD,2018
39,IDN,Growing tobacco industry,XAF,1.535186545354333e-05,BGD,2018
40,IDN,Growing fibre crops industry,XAF,6.333580113309931e-07,BGD,2018
41,IDN,Growing crops n.e.c. industry,XAF,0.0,BGD,2018
42,IDN,Growing grapes industry,XAF,0.0,BGD,2018
43,IDN,Growing fruits and nuts industry,XAF,0.0003416991674781942,BGD,2018
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.5878042763004234e-06,BGD,2018
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.988041113282942e-05,BGD,2018
46,IDN,Seeds and plant propagation industry,XAF,0.0,BGD,2018
47,IDN,Raising of cattle industry,XAF,0.00017358582118129023,BGD,2018
48,IDN,Growing wheat industry,XAS,0.0,BGD,2018
49,IDN,Growing maize industry,XAS,0.0006093969260081441,BGD,2018
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BGD,2018
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.05516277548954159,BGD,2018
52,IDN,Growing rice industry,XAS,1.070938156517743e-05,BGD,2018
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BGD,2018
54,IDN,Growing sugar beet and cane industry,XAS,0.0,BGD,2018
55,IDN,Growing tobacco industry,XAS,4.08481604712947e-05,BGD,2018
56,IDN,Growing fibre crops industry,XAS,1.739457781163338e-06,BGD,2018
57,IDN,Growing crops n.e.c. industry,XAS,0.0,BGD,2018
58,IDN,Growing grapes industry,XAS,0.0,BGD,2018
59,IDN,Growing fruits and nuts industry,XAS,0.0010780203512322296,BGD,2018
