,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BIH,2018
1,IDN,Growing maize industry,XAM,0.00011921233047957902,BIH,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BIH,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0006531227192653675,BIH,2018
4,IDN,Growing rice industry,XAM,3.091837809414859e-07,BIH,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BIH,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,BIH,2018
7,IDN,Growing tobacco industry,XAM,5.009116434284114e-06,BIH,2018
8,IDN,Growing fibre crops industry,XAM,9.73613974163212e-08,BIH,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,BIH,2018
10,IDN,Growing grapes industry,XAM,0.0,BIH,2018
11,IDN,Growing fruits and nuts industry,XAM,1.4272613472026322e-05,BIH,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,5.4831274632973995e-06,BIH,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.2776884847259862e-05,BIH,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,BIH,2018
15,IDN,Raising of cattle industry,XAM,6.126785726294963e-05,BIH,2018
16,IDN,Growing wheat industry,XEU,0.0,BIH,2018
17,IDN,Growing maize industry,XEU,0.00022540636294545046,BIH,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BIH,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0009071233926524798,BIH,2018
20,IDN,Growing rice industry,XEU,3.4391902781551505e-07,BIH,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BIH,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,BIH,2018
23,IDN,Growing tobacco industry,XEU,7.494055751794437e-06,BIH,2018
24,IDN,Growing fibre crops industry,XEU,3.461655880724985e-07,BIH,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,BIH,2018
26,IDN,Growing grapes industry,XEU,0.0,BIH,2018
27,IDN,Growing fruits and nuts industry,XEU,2.1226817886418456e-05,BIH,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,4.0547031917023205e-06,BIH,2018
