,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,GAB,2018
1,IDN,Growing maize industry,XAM,0.00013277230940446344,GAB,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,GAB,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0012279281659661433,GAB,2018
4,IDN,Growing rice industry,XAM,4.0947730193519906e-07,GAB,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,GAB,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,GAB,2018
7,IDN,Growing tobacco industry,XAM,4.207788526208789e-06,GAB,2018
8,IDN,Growing fibre crops industry,XAM,9.816123284163746e-08,GAB,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,GAB,2018
10,IDN,Growing grapes industry,XAM,0.0,GAB,2018
11,IDN,Growing fruits and nuts industry,XAM,2.098588537728794e-05,GAB,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,4.281889439032601e-06,GAB,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.67923963708276e-05,GAB,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,GAB,2018
15,IDN,Raising of cattle industry,XAM,0.00010576056433599974,GAB,2018
16,IDN,Growing wheat industry,XEU,0.0,GAB,2018
17,IDN,Growing maize industry,XEU,6.15286360318414e-06,GAB,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,GAB,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,4.894691334048488e-05,GAB,2018
20,IDN,Growing rice industry,XEU,1.7504972937293342e-08,GAB,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,GAB,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,GAB,2018
23,IDN,Growing tobacco industry,XEU,2.0390295302687105e-07,GAB,2018
24,IDN,Growing fibre crops industry,XEU,6.64074780113482e-09,GAB,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,GAB,2018
26,IDN,Growing grapes industry,XEU,0.0,GAB,2018
27,IDN,Growing fruits and nuts industry,XEU,8.880258439914391e-07,GAB,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.785439071887154e-07,GAB,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.423222863266868e-07,GAB,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,GAB,2018
31,IDN,Raising of cattle industry,XEU,3.752928639848232e-06,GAB,2018
32,IDN,Growing wheat industry,XAF,0.0,GAB,2018
33,IDN,Growing maize industry,XAF,8.551259870077662e-05,GAB,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,GAB,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0005935237550303814,GAB,2018
36,IDN,Growing rice industry,XAF,2.7803862499564547e-07,GAB,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,GAB,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,GAB,2018
39,IDN,Growing tobacco industry,XAF,1.647570425941492e-06,GAB,2018
40,IDN,Growing fibre crops industry,XAF,5.208989726095176e-08,GAB,2018
41,IDN,Growing crops n.e.c. industry,XAF,0.0,GAB,2018
42,IDN,Growing grapes industry,XAF,0.0,GAB,2018
43,IDN,Growing fruits and nuts industry,XAF,1.3820207533307466e-05,GAB,2018
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.553375344137251e-06,GAB,2018
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.0194042580146202e-05,GAB,2018
46,IDN,Seeds and plant propagation industry,XAF,0.0,GAB,2018
47,IDN,Raising of cattle industry,XAF,2.415864558996188e-05,GAB,2018
48,IDN,Growing wheat industry,XAS,0.0,GAB,2018
49,IDN,Growing maize industry,XAS,8.741984054975218e-06,GAB,2018
50,IDN,Growing cereals n.e.c industry,XAS,0.0,GAB,2018
51,IDN,Growing leguminous crops and oil seeds industry,XAS,7.359652827891048e-05,GAB,2018
52,IDN,Growing rice industry,XAS,2.6092075279268196e-08,GAB,2018
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,GAB,2018
54,IDN,Growing sugar beet and cane industry,XAS,0.0,GAB,2018
55,IDN,Growing tobacco industry,XAS,3.33440459402981e-07,GAB,2018
56,IDN,Growing fibre crops industry,XAS,6.588725607837981e-09,GAB,2018
57,IDN,Growing crops n.e.c. industry,XAS,0.0,GAB,2018
58,IDN,Growing grapes industry,XAS,0.0,GAB,2018
59,IDN,Growing fruits and nuts industry,XAS,1.3566559847409758e-06,GAB,2018
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,2.824480506955936e-07,GAB,2018
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.977919808723617e-07,GAB,2018
62,IDN,Seeds and plant propagation industry,XAS,0.0,GAB,2018
63,IDN,Raising of cattle industry,XAS,4.623227557291459e-06,GAB,2018
64,IDN,Growing wheat industry,AFG,0.0,GAB,2018
65,IDN,Growing maize industry,AFG,3.0246490383633158e-06,GAB,2018
66,IDN,Growing cereals n.e.c industry,AFG,0.0,GAB,2018
67,IDN,Growing leguminous crops and oil seeds industry,AFG,2.6585021442580388e-05,GAB,2018
68,IDN,Growing rice industry,AFG,8.919257536054098e-09,GAB,2018
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,GAB,2018
70,IDN,Growing sugar beet and cane industry,AFG,0.0,GAB,2018
71,IDN,Growing tobacco industry,AFG,9.546955980242783e-08,GAB,2018
72,IDN,Growing fibre crops industry,AFG,2.165876892122135e-09,GAB,2018
73,IDN,Growing crops n.e.c. industry,AFG,0.0,GAB,2018
74,IDN,Growing grapes industry,AFG,0.0,GAB,2018
75,IDN,Growing fruits and nuts industry,AFG,4.6663350589966223e-07,GAB,2018
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,9.877795237712986e-08,GAB,2018
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,3.531985769634367e-07,GAB,2018
78,IDN,Seeds and plant propagation industry,AFG,0.0,GAB,2018
79,IDN,Raising of cattle industry,AFG,2.079096118940558e-06,GAB,2018
80,IDN,Growing wheat industry,AGO,0.0,GAB,2018
81,IDN,Growing maize industry,AGO,0.0002343763593044163,GAB,2018
82,IDN,Growing cereals n.e.c industry,AGO,0.0,GAB,2018
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.002412557992672045,GAB,2018
84,IDN,Growing rice industry,AGO,8.032233388092044e-07,GAB,2018
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,GAB,2018
86,IDN,Growing sugar beet and cane industry,AGO,0.0,GAB,2018
87,IDN,Growing tobacco industry,AGO,1.6812794793284712e-05,GAB,2018
88,IDN,Growing fibre crops industry,AGO,1.821580284416387e-07,GAB,2018
