,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,GHA,2018
1,IDN,Growing maize industry,XAM,0.0008753942551813735,GHA,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,GHA,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.007532952831324948,GHA,2018
4,IDN,Growing rice industry,XAM,5.396435283677161e-06,GHA,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,GHA,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,GHA,2018
7,IDN,Growing tobacco industry,XAM,1.2122207149150303e-05,GHA,2018
8,IDN,Growing fibre crops industry,XAM,1.402201619775674e-07,GHA,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,GHA,2018
10,IDN,Growing grapes industry,XAM,0.0,GHA,2018
11,IDN,Growing fruits and nuts industry,XAM,0.00013199962513082844,GHA,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.3341268123169316e-05,GHA,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.641306253084345e-05,GHA,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,GHA,2018
15,IDN,Raising of cattle industry,XAM,0.00011872198366749773,GHA,2018
16,IDN,Growing wheat industry,XEU,0.0,GHA,2018
17,IDN,Growing maize industry,XEU,0.00011640445888261412,GHA,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,GHA,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0011698943170494753,GHA,2018
20,IDN,Growing rice industry,XEU,4.010389417912912e-07,GHA,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,GHA,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,GHA,2018
23,IDN,Growing tobacco industry,XEU,2.4344181420862113e-06,GHA,2018
24,IDN,Growing fibre crops industry,XEU,2.7499685225520355e-08,GHA,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,GHA,2018
26,IDN,Growing grapes industry,XEU,0.0,GHA,2018
27,IDN,Growing fruits and nuts industry,XEU,1.7766362377437725e-05,GHA,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.5205278587271033e-05,GHA,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.1448274988446235e-05,GHA,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,GHA,2018
31,IDN,Raising of cattle industry,XEU,2.1842493514874703e-05,GHA,2018
32,IDN,Growing wheat industry,XAF,0.0,GHA,2018
33,IDN,Growing maize industry,XAF,0.0005483094629852367,GHA,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,GHA,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.005052677103370641,GHA,2018
36,IDN,Growing rice industry,XAF,8.491685368076993e-06,GHA,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,GHA,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,GHA,2018
39,IDN,Growing tobacco industry,XAF,8.38619237941057e-06,GHA,2018
40,IDN,Growing fibre crops industry,XAF,9.617038418225478e-08,GHA,2018
41,IDN,Growing crops n.e.c. industry,XAF,0.0,GHA,2018
42,IDN,Growing grapes industry,XAF,0.0,GHA,2018
43,IDN,Growing fruits and nuts industry,XAF,0.00010807930456611687,GHA,2018
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,3.966237959553091e-05,GHA,2018
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.793071172884643e-05,GHA,2018
46,IDN,Seeds and plant propagation industry,XAF,0.0,GHA,2018
47,IDN,Raising of cattle industry,XAF,7.935392408845538e-05,GHA,2018
48,IDN,Growing wheat industry,XAS,0.0,GHA,2018
49,IDN,Growing maize industry,XAS,0.00030101605725381023,GHA,2018
50,IDN,Growing cereals n.e.c industry,XAS,0.0,GHA,2018
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0018676945539695849,GHA,2018
52,IDN,Growing rice industry,XAS,9.900841595964522e-06,GHA,2018
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,GHA,2018
54,IDN,Growing sugar beet and cane industry,XAS,0.0,GHA,2018
