,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,LKA,2018
1,IDN,Growing maize industry,XAM,0.0007468769048518599,LKA,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,LKA,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.003193542074595562,LKA,2018
4,IDN,Growing rice industry,XAM,1.1510198086511127e-06,LKA,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,LKA,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,LKA,2018
7,IDN,Growing tobacco industry,XAM,3.0843259933510964e-05,LKA,2018
8,IDN,Growing fibre crops industry,XAM,3.782532393594871e-07,LKA,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,LKA,2018
10,IDN,Growing grapes industry,XAM,0.0,LKA,2018
11,IDN,Growing fruits and nuts industry,XAM,7.183073870619141e-05,LKA,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,5.904034522677704e-06,LKA,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.4529824579517095e-05,LKA,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,LKA,2018
15,IDN,Raising of cattle industry,XAM,0.00035119316404108196,LKA,2018
16,IDN,Growing wheat industry,XEU,0.0,LKA,2018
17,IDN,Growing maize industry,XEU,5.516348115300065e-05,LKA,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,LKA,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0002761428970258679,LKA,2018
20,IDN,Growing rice industry,XEU,1.414801956784796e-07,LKA,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,LKA,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,LKA,2018
23,IDN,Growing tobacco industry,XEU,4.528558213121373e-06,LKA,2018
24,IDN,Growing fibre crops industry,XEU,1.5693222038218457e-07,LKA,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,LKA,2018
26,IDN,Growing grapes industry,XEU,0.0,LKA,2018
27,IDN,Growing fruits and nuts industry,XEU,6.813364391154838e-06,LKA,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,8.174065059671177e-07,LKA,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.7459152759347096e-06,LKA,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,LKA,2018
31,IDN,Raising of cattle industry,XEU,4.883483178421695e-05,LKA,2018
32,IDN,Growing wheat industry,XAF,0.0,LKA,2018
33,IDN,Growing maize industry,XAF,0.0003236253724232972,LKA,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,LKA,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0014074486248184834,LKA,2018
