,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,NER,2018
1,IDN,Growing maize industry,XAM,0.0007464653518764299,NER,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,NER,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00011894067922042246,NER,2018
4,IDN,Growing rice industry,XAM,1.6063640603996632e-07,NER,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,NER,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,NER,2018
7,IDN,Growing tobacco industry,XAM,5.287321543100997e-07,NER,2018
8,IDN,Growing fibre crops industry,XAM,6.529800291463399e-09,NER,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,NER,2018
10,IDN,Growing grapes industry,XAM,0.0,NER,2018
11,IDN,Growing fruits and nuts industry,XAM,1.017556483146499e-05,NER,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.0421767771188524e-06,NER,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.189333438396677e-07,NER,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,NER,2018
15,IDN,Raising of cattle industry,XAM,7.045621805945401e-06,NER,2018
16,IDN,Growing wheat industry,XEU,0.0,NER,2018
17,IDN,Growing maize industry,XEU,7.64054263702052e-05,NER,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,NER,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,4.168676323105392e-05,NER,2018
20,IDN,Growing rice industry,XEU,2.681026922030723e-08,NER,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,NER,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,NER,2018
23,IDN,Growing tobacco industry,XEU,1.2598152530243425e-07,NER,2018
24,IDN,Growing fibre crops industry,XEU,2.195445283043675e-09,NER,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,NER,2018
26,IDN,Growing grapes industry,XEU,0.0,NER,2018
27,IDN,Growing fruits and nuts industry,XEU,1.5560761004329396e-06,NER,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.311248839108629e-07,NER,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.6610361185578683e-07,NER,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,NER,2018
31,IDN,Raising of cattle industry,XEU,1.7202531749087614e-06,NER,2018
32,IDN,Growing wheat industry,XAF,0.0,NER,2018
33,IDN,Growing maize industry,XAF,7.627895766221868e-05,NER,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,NER,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,7.988686708413386e-05,NER,2018
36,IDN,Growing rice industry,XAF,4.5912155319044854e-08,NER,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,NER,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,NER,2018
39,IDN,Growing tobacco industry,XAF,2.9516990148108615e-07,NER,2018
40,IDN,Growing fibre crops industry,XAF,3.912028505330387e-09,NER,2018
41,IDN,Growing crops n.e.c. industry,XAF,0.0,NER,2018
