,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,PAN,2018
1,IDN,Growing maize industry,XAM,0.011583221434466651,PAN,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,PAN,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.048476680148792826,PAN,2018
4,IDN,Growing rice industry,XAM,2.4652949896798284e-05,PAN,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,PAN,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,PAN,2018
7,IDN,Growing tobacco industry,XAM,0.0005766087858988809,PAN,2018
8,IDN,Growing fibre crops industry,XAM,9.554339943731546e-06,PAN,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,PAN,2018
10,IDN,Growing grapes industry,XAM,0.0,PAN,2018
11,IDN,Growing fruits and nuts industry,XAM,0.0009874463315579817,PAN,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00012956342769149856,PAN,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0008108303792081499,PAN,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,PAN,2018
15,IDN,Raising of cattle industry,XAM,0.006817585328896809,PAN,2018
16,IDN,Growing wheat industry,XEU,0.0,PAN,2018
17,IDN,Growing maize industry,XEU,0.00346664817113287,PAN,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,PAN,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.02102958834344807,PAN,2018
20,IDN,Growing rice industry,XEU,1.245189700613659e-05,PAN,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,PAN,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,PAN,2018
23,IDN,Growing tobacco industry,XEU,0.00016554419181544712,PAN,2018
24,IDN,Growing fibre crops industry,XEU,1.010225264732952e-05,PAN,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,PAN,2018
26,IDN,Growing grapes industry,XEU,0.0,PAN,2018
27,IDN,Growing fruits and nuts industry,XEU,0.0003720811688427489,PAN,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,3.4000086022628765e-05,PAN,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.00021897494730040588,PAN,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,PAN,2018
31,IDN,Raising of cattle industry,XEU,0.002585971483091465,PAN,2018
32,IDN,Growing wheat industry,XAF,0.0,PAN,2018
33,IDN,Growing maize industry,XAF,8.732555580382139e-05,PAN,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,PAN,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.000468268300196152,PAN,2018
36,IDN,Growing rice industry,XAF,2.3755185527369555e-07,PAN,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,PAN,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,PAN,2018
39,IDN,Growing tobacco industry,XAF,5.367655844914102e-06,PAN,2018
40,IDN,Growing fibre crops industry,XAF,8.179343496457512e-08,PAN,2018
41,IDN,Growing crops n.e.c. industry,XAF,0.0,PAN,2018
42,IDN,Growing grapes industry,XAF,0.0,PAN,2018
43,IDN,Growing fruits and nuts industry,XAF,9.152357401764101e-06,PAN,2018
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.2225360686747855e-06,PAN,2018
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.354667719666977e-06,PAN,2018
46,IDN,Seeds and plant propagation industry,XAF,0.0,PAN,2018
47,IDN,Raising of cattle industry,XAF,5.50923073623157e-05,PAN,2018
48,IDN,Growing wheat industry,XAS,0.0,PAN,2018
49,IDN,Growing maize industry,XAS,0.00023393324232850115,PAN,2018
50,IDN,Growing cereals n.e.c industry,XAS,0.0,PAN,2018
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0011369654870465541,PAN,2018
52,IDN,Growing rice industry,XAS,7.836823946630557e-07,PAN,2018
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,PAN,2018
54,IDN,Growing sugar beet and cane industry,XAS,0.0,PAN,2018
55,IDN,Growing tobacco industry,XAS,1.8020600197635282e-05,PAN,2018
56,IDN,Growing fibre crops industry,XAS,2.3053011794257873e-07,PAN,2018
57,IDN,Growing crops n.e.c. industry,XAS,0.0,PAN,2018
58,IDN,Growing grapes industry,XAS,0.0,PAN,2018
59,IDN,Growing fruits and nuts industry,XAS,2.7619003330125747e-05,PAN,2018
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,4.7008228523346215e-06,PAN,2018
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.1463723330454337e-05,PAN,2018
62,IDN,Seeds and plant propagation industry,XAS,0.0,PAN,2018
63,IDN,Raising of cattle industry,XAS,0.0003273723019154933,PAN,2018
64,IDN,Growing wheat industry,AFG,0.0,PAN,2018
65,IDN,Growing maize industry,AFG,2.4924836267540568e-05,PAN,2018
66,IDN,Growing cereals n.e.c industry,AFG,0.0,PAN,2018
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0001460106453222814,PAN,2018
68,IDN,Growing rice industry,AFG,6.771397106518956e-08,PAN,2018
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,PAN,2018
70,IDN,Growing sugar beet and cane industry,AFG,0.0,PAN,2018
71,IDN,Growing tobacco industry,AFG,1.4909785508683842e-06,PAN,2018
72,IDN,Growing fibre crops industry,AFG,2.4627828487995446e-08,PAN,2018
73,IDN,Growing crops n.e.c. industry,AFG,0.0,PAN,2018
74,IDN,Growing grapes industry,AFG,0.0,PAN,2018
75,IDN,Growing fruits and nuts industry,AFG,2.7342103634935547e-06,PAN,2018
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,3.4874173101343004e-07,PAN,2018
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.7026570805255632e-06,PAN,2018
78,IDN,Seeds and plant propagation industry,AFG,0.0,PAN,2018
79,IDN,Raising of cattle industry,AFG,1.557943795562877e-05,PAN,2018
80,IDN,Growing wheat industry,AGO,0.0,PAN,2018
81,IDN,Growing maize industry,AGO,0.0010215683568693473,PAN,2018
82,IDN,Growing cereals n.e.c industry,AGO,0.0,PAN,2018
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.005338510649262684,PAN,2018
84,IDN,Growing rice industry,AGO,2.7955644900708227e-06,PAN,2018
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,PAN,2018
86,IDN,Growing sugar beet and cane industry,AGO,0.0,PAN,2018
87,IDN,Growing tobacco industry,AGO,5.1179983972498884e-05,PAN,2018
88,IDN,Growing fibre crops industry,AGO,9.594712554761067e-07,PAN,2018
89,IDN,Growing crops n.e.c. industry,AGO,0.0,PAN,2018
90,IDN,Growing grapes industry,AGO,0.0,PAN,2018
91,IDN,Growing fruits and nuts industry,AGO,0.00010576623719433687,PAN,2018
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,1.3095831883149964e-05,PAN,2018
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,4.78080085328933e-05,PAN,2018
94,IDN,Seeds and plant propagation industry,AGO,0.0,PAN,2018
95,IDN,Raising of cattle industry,AGO,0.0005127748344033333,PAN,2018
96,IDN,Growing wheat industry,ALB,0.0,PAN,2018
97,IDN,Growing maize industry,ALB,5.89001637025008e-05,PAN,2018
98,IDN,Growing cereals n.e.c industry,ALB,0.0,PAN,2018
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.00034819401938498143,PAN,2018
