,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,EU27,2019
1,IDN,Growing maize industry,XAM,0.14279849005619666,EU27,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,EU27,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,1.4658189288549823,EU27,2019
4,IDN,Growing rice industry,XAM,0.002220629186338212,EU27,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,EU27,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,EU27,2019
7,IDN,Growing tobacco industry,XAM,0.010284515682464338,EU27,2019
8,IDN,Growing fibre crops industry,XAM,0.0007024414028896017,EU27,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,EU27,2019
10,IDN,Growing grapes industry,XAM,0.0,EU27,2019
11,IDN,Growing fruits and nuts industry,XAM,0.15309572257182916,EU27,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.05983287831920302,EU27,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.1455346563558422,EU27,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,EU27,2019
15,IDN,Raising of cattle industry,XAM,0.05960142686711386,EU27,2019
16,IDN,Growing wheat industry,XEU,0.0,EU27,2019
17,IDN,Growing maize industry,XEU,0.04733930770663667,EU27,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,EU27,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.39010366006278735,EU27,2019
20,IDN,Growing rice industry,XEU,0.0005912532570706801,EU27,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,EU27,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,EU27,2019
23,IDN,Growing tobacco industry,XEU,0.8652233139053775,EU27,2019
24,IDN,Growing fibre crops industry,XEU,0.0009894841019304186,EU27,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,EU27,2019
26,IDN,Growing grapes industry,XEU,0.0,EU27,2019
27,IDN,Growing fruits and nuts industry,XEU,0.04605774732094589,EU27,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,0.00797322615090294,EU27,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.012028815621030736,EU27,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,EU27,2019
31,IDN,Raising of cattle industry,XEU,0.07862043989935374,EU27,2019
32,IDN,Growing wheat industry,XAF,0.0,EU27,2019
33,IDN,Growing maize industry,XAF,0.05659042332532179,EU27,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,EU27,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.32472237083509425,EU27,2019
36,IDN,Growing rice industry,XAF,0.0006107010857710124,EU27,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,EU27,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,EU27,2019
39,IDN,Growing tobacco industry,XAF,0.004091234744658901,EU27,2019
40,IDN,Growing fibre crops industry,XAF,0.0005595850533788575,EU27,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,EU27,2019
42,IDN,Growing grapes industry,XAF,0.0,EU27,2019
