,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,ISR,2019
1,IDN,Growing maize industry,XAM,0.0002727070992290839,ISR,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,ISR,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0011300069579799738,ISR,2019
4,IDN,Growing rice industry,XAM,2.84393758340017e-06,ISR,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,ISR,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,ISR,2019
7,IDN,Growing tobacco industry,XAM,6.404281704195211e-05,ISR,2019
8,IDN,Growing fibre crops industry,XAM,2.0900508432277907e-06,ISR,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,ISR,2019
10,IDN,Growing grapes industry,XAM,0.0,ISR,2019
11,IDN,Growing fruits and nuts industry,XAM,0.0002107644015160983,ISR,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,4.712666324512914e-05,ISR,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0003003190071736602,ISR,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,ISR,2019
15,IDN,Raising of cattle industry,XAM,0.00023614459054069475,ISR,2019
16,IDN,Growing wheat industry,XEU,0.0,ISR,2019
17,IDN,Growing maize industry,XEU,0.0002606983966836382,ISR,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,ISR,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.001108628496303959,ISR,2019
20,IDN,Growing rice industry,XEU,3.3648341347241834e-06,ISR,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,ISR,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,ISR,2019
23,IDN,Growing tobacco industry,XEU,8.177643080917372e-05,ISR,2019
24,IDN,Growing fibre crops industry,XEU,1.8174337276538482e-06,ISR,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,ISR,2019
26,IDN,Growing grapes industry,XEU,0.0,ISR,2019
27,IDN,Growing fruits and nuts industry,XEU,0.00023024153955571297,ISR,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,4.2621695255462974e-05,ISR,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.00010523247671134161,ISR,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,ISR,2019
31,IDN,Raising of cattle industry,XEU,0.00019540197843086958,ISR,2019
32,IDN,Growing wheat industry,XAF,0.0,ISR,2019
33,IDN,Growing maize industry,XAF,9.922830571444369e-05,ISR,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,ISR,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00042202321857978735,ISR,2019
36,IDN,Growing rice industry,XAF,1.0181614086878789e-06,ISR,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,ISR,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,ISR,2019
39,IDN,Growing tobacco industry,XAF,2.2361347162390023e-05,ISR,2019
40,IDN,Growing fibre crops industry,XAF,6.675677181880697e-07,ISR,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,ISR,2019
42,IDN,Growing grapes industry,XAF,0.0,ISR,2019
43,IDN,Growing fruits and nuts industry,XAF,0.00017780766110795236,ISR,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.018739170494458e-05,ISR,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.165036990713062e-05,ISR,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,ISR,2019
47,IDN,Raising of cattle industry,XAF,8.246943320561675e-05,ISR,2019
48,IDN,Growing wheat industry,XAS,0.0,ISR,2019
49,IDN,Growing maize industry,XAS,0.00032706760623227174,ISR,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,ISR,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0013939031295249443,ISR,2019
52,IDN,Growing rice industry,XAS,4.899922117410525e-06,ISR,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,ISR,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,ISR,2019
55,IDN,Growing tobacco industry,XAS,0.0001080960700259215,ISR,2019
56,IDN,Growing fibre crops industry,XAS,2.10254471822717e-06,ISR,2019
57,IDN,Growing crops n.e.c. industry,XAS,0.0,ISR,2019
58,IDN,Growing grapes industry,XAS,0.0,ISR,2019
59,IDN,Growing fruits and nuts industry,XAS,0.0003252780251302298,ISR,2019
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,4.456201990368907e-05,ISR,2019
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0008472497894514608,ISR,2019
62,IDN,Seeds and plant propagation industry,XAS,0.0,ISR,2019
63,IDN,Raising of cattle industry,XAS,0.0002335621664957807,ISR,2019
64,IDN,Growing wheat industry,AFG,0.0,ISR,2019
65,IDN,Growing maize industry,AFG,2.5428534908714522e-05,ISR,2019
66,IDN,Growing cereals n.e.c industry,AFG,0.0,ISR,2019
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.00011570437634999035,ISR,2019
68,IDN,Growing rice industry,AFG,2.679183080187608e-07,ISR,2019
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,ISR,2019
70,IDN,Growing sugar beet and cane industry,AFG,0.0,ISR,2019
71,IDN,Growing tobacco industry,AFG,6.812581445096711e-06,ISR,2019
72,IDN,Growing fibre crops industry,AFG,1.7237947152214872e-07,ISR,2019
73,IDN,Growing crops n.e.c. industry,AFG,0.0,ISR,2019
74,IDN,Growing grapes industry,AFG,0.0,ISR,2019
75,IDN,Growing fruits and nuts industry,AFG,1.9750433063068972e-05,ISR,2019
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,3.0749364228832387e-06,ISR,2019
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.0032790027827247e-05,ISR,2019
78,IDN,Seeds and plant propagation industry,AFG,0.0,ISR,2019
79,IDN,Raising of cattle industry,AFG,2.0160555767260423e-05,ISR,2019
80,IDN,Growing wheat industry,AGO,0.0,ISR,2019
81,IDN,Growing maize industry,AGO,0.0009678840780574509,ISR,2019
82,IDN,Growing cereals n.e.c industry,AGO,0.0,ISR,2019
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.0040684603731889184,ISR,2019
84,IDN,Growing rice industry,AGO,9.351905065552003e-06,ISR,2019
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,ISR,2019
86,IDN,Growing sugar beet and cane industry,AGO,0.0,ISR,2019
87,IDN,Growing tobacco industry,AGO,0.00021149525057615455,ISR,2019
88,IDN,Growing fibre crops industry,AGO,6.395760121179189e-06,ISR,2019
89,IDN,Growing crops n.e.c. industry,AGO,0.0,ISR,2019
90,IDN,Growing grapes industry,AGO,0.0,ISR,2019
91,IDN,Growing fruits and nuts industry,AGO,0.0007294478354709379,ISR,2019
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0001304322955579663,ISR,2019
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0006280479933311585,ISR,2019
94,IDN,Seeds and plant propagation industry,AGO,0.0,ISR,2019
95,IDN,Raising of cattle industry,AGO,0.0008022131848843826,ISR,2019
96,IDN,Growing wheat industry,ALB,0.0,ISR,2019
97,IDN,Growing maize industry,ALB,0.0001863628368756702,ISR,2019
98,IDN,Growing cereals n.e.c industry,ALB,0.0,ISR,2019
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.0007146661363210973,ISR,2019
100,IDN,Growing rice industry,ALB,1.372607811730911e-06,ISR,2019
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,ISR,2019
102,IDN,Growing sugar beet and cane industry,ALB,0.0,ISR,2019
103,IDN,Growing tobacco industry,ALB,2.3922984641672612e-05,ISR,2019
104,IDN,Growing fibre crops industry,ALB,1.0846264009008246e-06,ISR,2019
105,IDN,Growing crops n.e.c. industry,ALB,0.0,ISR,2019
106,IDN,Growing grapes industry,ALB,0.0,ISR,2019
107,IDN,Growing fruits and nuts industry,ALB,0.0001119007278564484,ISR,2019
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,1.2532054101051773e-05,ISR,2019
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,0.0002786385270123361,ISR,2019
110,IDN,Seeds and plant propagation industry,ALB,0.0,ISR,2019
111,IDN,Raising of cattle industry,ALB,0.00019376932482657847,ISR,2019
112,IDN,Growing wheat industry,ARE,0.0,ISR,2019
113,IDN,Growing maize industry,ARE,0.0010544150532767612,ISR,2019
114,IDN,Growing cereals n.e.c industry,ARE,0.0,ISR,2019
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.004690202319122356,ISR,2019
