,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,MDG,2019
1,IDN,Growing maize industry,XAM,0.0006410464399372228,MDG,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,MDG,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0008685716222181161,MDG,2019
4,IDN,Growing rice industry,XAM,5.10068714474352e-05,MDG,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,MDG,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,MDG,2019
7,IDN,Growing tobacco industry,XAM,1.1213476913572004e-06,MDG,2019
8,IDN,Growing fibre crops industry,XAM,8.201797353615839e-08,MDG,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,MDG,2019
10,IDN,Growing grapes industry,XAM,0.0,MDG,2019
11,IDN,Growing fruits and nuts industry,XAM,0.00036658048472310793,MDG,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.5196385535914808e-06,MDG,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.893852228181795e-06,MDG,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,MDG,2019
15,IDN,Raising of cattle industry,XAM,2.1816410087908993e-05,MDG,2019
16,IDN,Growing wheat industry,XEU,0.0,MDG,2019
17,IDN,Growing maize industry,XEU,1.916347107124686e-05,MDG,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,MDG,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,4.3648414966764e-05,MDG,2019
20,IDN,Growing rice industry,XEU,2.200501430243494e-07,MDG,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,MDG,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,MDG,2019
23,IDN,Growing tobacco industry,XEU,1.743567197432199e-07,MDG,2019
24,IDN,Growing fibre crops industry,XEU,9.771491367545258e-08,MDG,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,MDG,2019
26,IDN,Growing grapes industry,XEU,0.0,MDG,2019
27,IDN,Growing fruits and nuts industry,XEU,5.552689851276333e-06,MDG,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.73720138677427e-07,MDG,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.434096090911183e-07,MDG,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,MDG,2019
31,IDN,Raising of cattle industry,XEU,4.7291371807294605e-06,MDG,2019
32,IDN,Growing wheat industry,XAF,0.0,MDG,2019
33,IDN,Growing maize industry,XAF,0.00252359505827497,MDG,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,MDG,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0034951048063445503,MDG,2019
36,IDN,Growing rice industry,XAF,3.337918506861128e-05,MDG,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,MDG,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,MDG,2019
39,IDN,Growing tobacco industry,XAF,1.616987600356035e-05,MDG,2019
40,IDN,Growing fibre crops industry,XAF,9.974197385962933e-06,MDG,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,MDG,2019
42,IDN,Growing grapes industry,XAF,0.0,MDG,2019
43,IDN,Growing fruits and nuts industry,XAF,0.0006344177508734852,MDG,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.3814002262114226e-05,MDG,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.945932659955329e-05,MDG,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,MDG,2019
47,IDN,Raising of cattle industry,XAF,0.000524611449942015,MDG,2019
48,IDN,Growing wheat industry,XAS,0.0,MDG,2019
49,IDN,Growing maize industry,XAS,8.737549017391693e-05,MDG,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,MDG,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0001637219025581299,MDG,2019
52,IDN,Growing rice industry,XAS,9.727652149461672e-07,MDG,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,MDG,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,MDG,2019
55,IDN,Growing tobacco industry,XAS,7.529372128573743e-07,MDG,2019
56,IDN,Growing fibre crops industry,XAS,7.380543309525483e-07,MDG,2019
57,IDN,Growing crops n.e.c. industry,XAS,0.0,MDG,2019
58,IDN,Growing grapes industry,XAS,0.0,MDG,2019
59,IDN,Growing fruits and nuts industry,XAS,2.265414201430541e-05,MDG,2019
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,5.66706930196098e-07,MDG,2019
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.77743498375861e-06,MDG,2019
62,IDN,Seeds and plant propagation industry,XAS,0.0,MDG,2019
63,IDN,Raising of cattle industry,XAS,3.3489850609659203e-05,MDG,2019
64,IDN,Growing wheat industry,AFG,0.0,MDG,2019
65,IDN,Growing maize industry,AFG,7.308881523864916e-05,MDG,2019
66,IDN,Growing cereals n.e.c industry,AFG,0.0,MDG,2019
67,IDN,Growing leguminous crops and oil seeds industry,AFG,5.082678647316352e-05,MDG,2019
68,IDN,Growing rice industry,AFG,3.1015039613939644e-07,MDG,2019
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,MDG,2019
70,IDN,Growing sugar beet and cane industry,AFG,0.0,MDG,2019
71,IDN,Growing tobacco industry,AFG,2.368687904812801e-07,MDG,2019
72,IDN,Growing fibre crops industry,AFG,1.9902433465662832e-08,MDG,2019
73,IDN,Growing crops n.e.c. industry,AFG,0.0,MDG,2019
74,IDN,Growing grapes industry,AFG,0.0,MDG,2019
75,IDN,Growing fruits and nuts industry,AFG,1.2439264191229363e-05,MDG,2019
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,2.5594800857922976e-07,MDG,2019
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.1380957418602192e-06,MDG,2019
78,IDN,Seeds and plant propagation industry,AFG,0.0,MDG,2019
79,IDN,Raising of cattle industry,AFG,2.804280173073717e-06,MDG,2019
80,IDN,Growing wheat industry,AGO,0.0,MDG,2019
81,IDN,Growing maize industry,AGO,0.00013823403860284465,MDG,2019
82,IDN,Growing cereals n.e.c industry,AGO,0.0,MDG,2019
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.00013708561888587964,MDG,2019
84,IDN,Growing rice industry,AGO,1.1234696281108443e-06,MDG,2019
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,MDG,2019
86,IDN,Growing sugar beet and cane industry,AGO,0.0,MDG,2019
87,IDN,Growing tobacco industry,AGO,7.35212701186824e-07,MDG,2019
88,IDN,Growing fibre crops industry,AGO,7.965059691996388e-08,MDG,2019
89,IDN,Growing crops n.e.c. industry,AGO,0.0,MDG,2019
90,IDN,Growing grapes industry,AGO,0.0,MDG,2019
91,IDN,Growing fruits and nuts industry,AGO,3.339250469543638e-05,MDG,2019
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,6.675977664520122e-07,MDG,2019
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.936767251588386e-06,MDG,2019
94,IDN,Seeds and plant propagation industry,AGO,0.0,MDG,2019
95,IDN,Raising of cattle industry,AGO,7.620769950055111e-06,MDG,2019
96,IDN,Growing wheat industry,ALB,0.0,MDG,2019
97,IDN,Growing maize industry,ALB,9.132858863763143e-06,MDG,2019
98,IDN,Growing cereals n.e.c industry,ALB,0.0,MDG,2019
99,IDN,Growing leguminous crops and oil seeds industry,ALB,1.6386961705927915e-05,MDG,2019
100,IDN,Growing rice industry,ALB,1.1344743742094842e-07,MDG,2019
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,MDG,2019
102,IDN,Growing sugar beet and cane industry,ALB,0.0,MDG,2019
103,IDN,Growing tobacco industry,ALB,9.172677262722324e-08,MDG,2019
104,IDN,Growing fibre crops industry,ALB,1.41692842895751e-08,MDG,2019
105,IDN,Growing crops n.e.c. industry,ALB,0.0,MDG,2019
106,IDN,Growing grapes industry,ALB,0.0,MDG,2019
107,IDN,Growing fruits and nuts industry,ALB,2.902194900199275e-06,MDG,2019
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,7.694942993312595e-08,MDG,2019
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,2.9562190045975594e-07,MDG,2019
110,IDN,Seeds and plant propagation industry,ALB,0.0,MDG,2019
111,IDN,Raising of cattle industry,ALB,9.637910729163982e-07,MDG,2019
112,IDN,Growing wheat industry,ARE,0.0,MDG,2019
113,IDN,Growing maize industry,ARE,0.003495488770743917,MDG,2019
114,IDN,Growing cereals n.e.c industry,ARE,0.0,MDG,2019
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.007388329228047463,MDG,2019
