,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,OMN,2019
1,IDN,Growing maize industry,XAM,0.00030536900281530056,OMN,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,OMN,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0005485718733753782,OMN,2019
4,IDN,Growing rice industry,XAM,9.777378342187535e-07,OMN,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,OMN,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,OMN,2019
7,IDN,Growing tobacco industry,XAM,1.481899288941237e-05,OMN,2019
8,IDN,Growing fibre crops industry,XAM,4.725806386243532e-07,OMN,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,OMN,2019
10,IDN,Growing grapes industry,XAM,0.0,OMN,2019
11,IDN,Growing fruits and nuts industry,XAM,7.696347526007815e-05,OMN,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,4.314293766642053e-06,OMN,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.911894696047714e-05,OMN,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,OMN,2019
15,IDN,Raising of cattle industry,XAM,6.755804993675686e-05,OMN,2019
16,IDN,Growing wheat industry,XEU,0.0,OMN,2019
17,IDN,Growing maize industry,XEU,6.034507017052816e-05,OMN,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,OMN,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00011984693887773771,OMN,2019
20,IDN,Growing rice industry,XEU,1.978545360681607e-07,OMN,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,OMN,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,OMN,2019
23,IDN,Growing tobacco industry,XEU,2.936401362084203e-06,OMN,2019
24,IDN,Growing fibre crops industry,XEU,9.257019007889777e-08,OMN,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,OMN,2019
26,IDN,Growing grapes industry,XEU,0.0,OMN,2019
27,IDN,Growing fruits and nuts industry,XEU,1.6426598747374504e-05,OMN,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.1633171608538883e-06,OMN,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.094943782787844e-06,OMN,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,OMN,2019
31,IDN,Raising of cattle industry,XEU,1.4457905957189544e-05,OMN,2019
32,IDN,Growing wheat industry,XAF,0.0,OMN,2019
33,IDN,Growing maize industry,XAF,0.0009118809503170148,OMN,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,OMN,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.001889318003200655,OMN,2019
36,IDN,Growing rice industry,XAF,3.47094228276272e-06,OMN,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,OMN,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,OMN,2019
39,IDN,Growing tobacco industry,XAF,3.447896425725118e-05,OMN,2019
40,IDN,Growing fibre crops industry,XAF,1.2705736359526585e-06,OMN,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,OMN,2019
42,IDN,Growing grapes industry,XAF,0.0,OMN,2019
43,IDN,Growing fruits and nuts industry,XAF,0.0003394002482176022,OMN,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.0603832569056752e-05,OMN,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,7.472917490152199e-05,OMN,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,OMN,2019
47,IDN,Raising of cattle industry,XAF,0.00019903964653814022,OMN,2019
48,IDN,Growing wheat industry,XAS,0.0,OMN,2019
49,IDN,Growing maize industry,XAS,0.0036212473682334873,OMN,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,OMN,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.006649244901895813,OMN,2019
52,IDN,Growing rice industry,XAS,1.8266109469050813e-05,OMN,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,OMN,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,OMN,2019
55,IDN,Growing tobacco industry,XAS,6.565720198969026e-05,OMN,2019
56,IDN,Growing fibre crops industry,XAS,4.000338679205643e-06,OMN,2019
57,IDN,Growing crops n.e.c. industry,XAS,0.0,OMN,2019
58,IDN,Growing grapes industry,XAS,0.0,OMN,2019
59,IDN,Growing fruits and nuts industry,XAS,0.0027708895895111963,OMN,2019
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,2.629306660685845e-05,OMN,2019
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0005916459772214246,OMN,2019
62,IDN,Seeds and plant propagation industry,XAS,0.0,OMN,2019
63,IDN,Raising of cattle industry,XAS,0.0006462846846734984,OMN,2019
64,IDN,Growing wheat industry,AFG,0.0,OMN,2019
65,IDN,Growing maize industry,AFG,0.0005075186836055588,OMN,2019
66,IDN,Growing cereals n.e.c industry,AFG,0.0,OMN,2019
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0012203838864255944,OMN,2019
68,IDN,Growing rice industry,AFG,1.7845167794889388e-06,OMN,2019
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,OMN,2019
70,IDN,Growing sugar beet and cane industry,AFG,0.0,OMN,2019
71,IDN,Growing tobacco industry,AFG,1.9238098517088985e-05,OMN,2019
72,IDN,Growing fibre crops industry,AFG,2.7544701838177557e-06,OMN,2019
73,IDN,Growing crops n.e.c. industry,AFG,0.0,OMN,2019
74,IDN,Growing grapes industry,AFG,0.0,OMN,2019
75,IDN,Growing fruits and nuts industry,AFG,0.00014901077779693318,OMN,2019
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,6.947077343934904e-06,OMN,2019
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,3.428489242466607e-05,OMN,2019
78,IDN,Seeds and plant propagation industry,AFG,0.0,OMN,2019
79,IDN,Raising of cattle industry,AFG,0.00021399584130357566,OMN,2019
80,IDN,Growing wheat industry,AGO,0.0,OMN,2019
81,IDN,Growing maize industry,AGO,0.0033435662034705604,OMN,2019
82,IDN,Growing cereals n.e.c industry,AGO,0.0,OMN,2019
