,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,PHL,2019
1,IDN,Growing maize industry,XAM,0.005491887302627566,PHL,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,PHL,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.015416024143555281,PHL,2019
4,IDN,Growing rice industry,XAM,2.5045489841792445e-05,PHL,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,PHL,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,PHL,2019
7,IDN,Growing tobacco industry,XAM,0.0003561700128955477,PHL,2019
8,IDN,Growing fibre crops industry,XAM,2.878388671422589e-05,PHL,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,PHL,2019
10,IDN,Growing grapes industry,XAM,0.0,PHL,2019
11,IDN,Growing fruits and nuts industry,XAM,0.0016962394113861849,PHL,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,5.098906736477637e-05,PHL,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00040132577530956607,PHL,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,PHL,2019
15,IDN,Raising of cattle industry,XAM,0.001135102707798279,PHL,2019
16,IDN,Growing wheat industry,XEU,0.0,PHL,2019
17,IDN,Growing maize industry,XEU,0.00035079463301411777,PHL,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,PHL,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0019496509605261899,PHL,2019
20,IDN,Growing rice industry,XEU,3.3008204286918267e-06,PHL,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,PHL,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,PHL,2019
23,IDN,Growing tobacco industry,XEU,2.17918721156526e-05,PHL,2019
24,IDN,Growing fibre crops industry,XEU,2.864069795988955e-06,PHL,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,PHL,2019
26,IDN,Growing grapes industry,XEU,0.0,PHL,2019
27,IDN,Growing fruits and nuts industry,XEU,0.00018262128548353864,PHL,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,8.268508971091928e-06,PHL,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.117709597207897e-05,PHL,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,PHL,2019
31,IDN,Raising of cattle industry,XEU,0.00023361443960888756,PHL,2019
32,IDN,Growing wheat industry,XAF,0.0,PHL,2019
33,IDN,Growing maize industry,XAF,0.003886847733714474,PHL,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,PHL,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.006996337470236844,PHL,2019
36,IDN,Growing rice industry,XAF,1.1447472778699313e-05,PHL,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,PHL,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,PHL,2019
39,IDN,Growing tobacco industry,XAF,5.4162658030648716e-05,PHL,2019
40,IDN,Growing fibre crops industry,XAF,1.9904261252040012e-05,PHL,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,PHL,2019
42,IDN,Growing grapes industry,XAF,0.0,PHL,2019
43,IDN,Growing fruits and nuts industry,XAF,0.0006239914868905602,PHL,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.2630916519541578e-05,PHL,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0002057399060757693,PHL,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,PHL,2019
47,IDN,Raising of cattle industry,XAF,0.0004871507841932859,PHL,2019
48,IDN,Growing wheat industry,XAS,0.0,PHL,2019
49,IDN,Growing maize industry,XAS,0.015604463569458271,PHL,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,PHL,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.056088447991032804,PHL,2019
52,IDN,Growing rice industry,XAS,9.175166146715744e-05,PHL,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,PHL,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,PHL,2019
55,IDN,Growing tobacco industry,XAS,0.0007077725948292285,PHL,2019
56,IDN,Growing fibre crops industry,XAS,5.702046855297325e-05,PHL,2019
57,IDN,Growing crops n.e.c. industry,XAS,0.0,PHL,2019
58,IDN,Growing grapes industry,XAS,0.0,PHL,2019
59,IDN,Growing fruits and nuts industry,XAS,0.006082687874935194,PHL,2019
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,0.00020778000845815783,PHL,2019
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0014900998961076824,PHL,2019
62,IDN,Seeds and plant propagation industry,XAS,0.0,PHL,2019
63,IDN,Raising of cattle industry,XAS,0.0038269645144029816,PHL,2019
64,IDN,Growing wheat industry,AFG,0.0,PHL,2019
65,IDN,Growing maize industry,AFG,0.001291081223047997,PHL,2019
66,IDN,Growing cereals n.e.c industry,AFG,0.0,PHL,2019
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.003921915058232646,PHL,2019
68,IDN,Growing rice industry,AFG,6.7887858049857395e-06,PHL,2019
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,PHL,2019
70,IDN,Growing sugar beet and cane industry,AFG,0.0,PHL,2019
71,IDN,Growing tobacco industry,AFG,0.00030134991511962414,PHL,2019
72,IDN,Growing fibre crops industry,AFG,3.5802804518632225e-06,PHL,2019
73,IDN,Growing crops n.e.c. industry,AFG,0.0,PHL,2019
74,IDN,Growing grapes industry,AFG,0.0,PHL,2019
75,IDN,Growing fruits and nuts industry,AFG,0.00040324318331125166,PHL,2019
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.6241531310059814e-05,PHL,2019
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.00010447325468998645,PHL,2019
78,IDN,Seeds and plant propagation industry,AFG,0.0,PHL,2019
79,IDN,Raising of cattle industry,AFG,0.0003242703916956245,PHL,2019
80,IDN,Growing wheat industry,AGO,0.0,PHL,2019
81,IDN,Growing maize industry,AGO,0.0031341037020424095,PHL,2019
82,IDN,Growing cereals n.e.c industry,AGO,0.0,PHL,2019
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.01679024220707409,PHL,2019
84,IDN,Growing rice industry,AGO,3.0440074973224386e-05,PHL,2019
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,PHL,2019
86,IDN,Growing sugar beet and cane industry,AGO,0.0,PHL,2019
87,IDN,Growing tobacco industry,AGO,0.0001556870906167501,PHL,2019
88,IDN,Growing fibre crops industry,AGO,1.540975447167011e-05,PHL,2019
89,IDN,Growing crops n.e.c. industry,AGO,0.0,PHL,2019
90,IDN,Growing grapes industry,AGO,0.0,PHL,2019
91,IDN,Growing fruits and nuts industry,AGO,0.0017116160469332065,PHL,2019
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,6.604858809280754e-05,PHL,2019
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0004966082608122514,PHL,2019
94,IDN,Seeds and plant propagation industry,AGO,0.0,PHL,2019
