,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,ALB,2017
1,IDN,Growing maize industry,XAM,6.055631367768321e-05,ALB,2017
2,IDN,Growing cereals n.e.c industry,XAM,0.0,ALB,2017
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00012537958127276303,ALB,2017
4,IDN,Growing rice industry,XAM,5.9052580240555105e-08,ALB,2017
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,ALB,2017
6,IDN,Growing sugar beet and cane industry,XAM,0.0,ALB,2017
7,IDN,Growing tobacco industry,XAM,6.420052125520113e-07,ALB,2017
8,IDN,Growing fibre crops industry,XAM,5.418986886685212e-08,ALB,2017
9,IDN,Growing crops n.e.c. industry,XAM,1.5622353930136186e-07,ALB,2017
10,IDN,Growing grapes industry,XAM,0.0,ALB,2017
11,IDN,Growing fruits and nuts industry,XAM,1.962588991057721e-06,ALB,2017
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,8.60110028953803e-07,ALB,2017
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.3496393566588405e-05,ALB,2017
14,IDN,Seeds and plant propagation industry,XAM,0.0,ALB,2017
15,IDN,Raising of cattle industry,XAM,4.207197977584843e-05,ALB,2017
16,IDN,Growing wheat industry,XEU,0.0,ALB,2017
17,IDN,Growing maize industry,XEU,3.594892761083439e-05,ALB,2017
18,IDN,Growing cereals n.e.c industry,XEU,0.0,ALB,2017
19,IDN,Growing leguminous crops and oil seeds industry,XEU,7.018787580312018e-05,ALB,2017
20,IDN,Growing rice industry,XEU,3.306897858608418e-08,ALB,2017
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,ALB,2017
22,IDN,Growing sugar beet and cane industry,XEU,0.0,ALB,2017
23,IDN,Growing tobacco industry,XEU,3.743021240995683e-07,ALB,2017
24,IDN,Growing fibre crops industry,XEU,3.404553673285382e-08,ALB,2017
25,IDN,Growing crops n.e.c. industry,XEU,9.234622816636162e-08,ALB,2017
26,IDN,Growing grapes industry,XEU,0.0,ALB,2017
27,IDN,Growing fruits and nuts industry,XEU,1.0309393400737835e-06,ALB,2017
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,5.057873810411863e-07,ALB,2017
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.032924831030879e-06,ALB,2017
30,IDN,Seeds and plant propagation industry,XEU,0.0,ALB,2017
31,IDN,Raising of cattle industry,XEU,2.515851489684614e-05,ALB,2017
32,IDN,Growing wheat industry,XAF,0.0,ALB,2017
33,IDN,Growing maize industry,XAF,2.5151560897424925e-05,ALB,2017
34,IDN,Growing cereals n.e.c industry,XAF,0.0,ALB,2017
35,IDN,Growing leguminous crops and oil seeds industry,XAF,6.961527621625082e-05,ALB,2017
36,IDN,Growing rice industry,XAF,2.9632005032004424e-08,ALB,2017
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,ALB,2017
38,IDN,Growing sugar beet and cane industry,XAF,0.0,ALB,2017
39,IDN,Growing tobacco industry,XAF,2.6758876136147177e-07,ALB,2017
40,IDN,Growing fibre crops industry,XAF,3.600451101584676e-08,ALB,2017
41,IDN,Growing crops n.e.c. industry,XAF,8.622398940099475e-08,ALB,2017
42,IDN,Growing grapes industry,XAF,0.0,ALB,2017
43,IDN,Growing fruits and nuts industry,XAF,9.62766211229667e-07,ALB,2017
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.2426461603354583e-07,ALB,2017
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.5202233025047982e-05,ALB,2017
46,IDN,Seeds and plant propagation industry,XAF,0.0,ALB,2017
47,IDN,Raising of cattle industry,XAF,1.5852380772663596e-05,ALB,2017
48,IDN,Growing wheat industry,XAS,0.0,ALB,2017
49,IDN,Growing maize industry,XAS,0.00013980341412998346,ALB,2017
50,IDN,Growing cereals n.e.c industry,XAS,0.0,ALB,2017
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00019097756281760914,ALB,2017
52,IDN,Growing rice industry,XAS,9.140465610679681e-08,ALB,2017
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,ALB,2017
54,IDN,Growing sugar beet and cane industry,XAS,0.0,ALB,2017
55,IDN,Growing tobacco industry,XAS,1.015612007790745e-06,ALB,2017
56,IDN,Growing fibre crops industry,XAS,8.983498457057545e-08,ALB,2017
57,IDN,Growing crops n.e.c. industry,XAS,2.2781657181318529e-07,ALB,2017
58,IDN,Growing grapes industry,XAS,0.0,ALB,2017
