,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BDI,2017
1,IDN,Growing maize industry,XAM,6.062039924286674e-07,BDI,2017
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BDI,2017
3,IDN,Growing leguminous crops and oil seeds industry,XAM,2.9640975066223153e-06,BDI,2017
4,IDN,Growing rice industry,XAM,2.4661181611729254e-09,BDI,2017
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BDI,2017
6,IDN,Growing sugar beet and cane industry,XAM,0.0,BDI,2017
7,IDN,Growing tobacco industry,XAM,7.362935085835497e-09,BDI,2017
8,IDN,Growing fibre crops industry,XAM,1.459508149261772e-10,BDI,2017
9,IDN,Growing crops n.e.c. industry,XAM,1.3117828148048907e-09,BDI,2017
10,IDN,Growing grapes industry,XAM,0.0,BDI,2017
11,IDN,Growing fruits and nuts industry,XAM,3.022331300838895e-08,BDI,2017
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.683942893062623e-08,BDI,2017
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.089049985694173e-08,BDI,2017
14,IDN,Seeds and plant propagation industry,XAM,0.0,BDI,2017
15,IDN,Raising of cattle industry,XAM,1.0632850430184047e-07,BDI,2017
16,IDN,Growing wheat industry,XEU,0.0,BDI,2017
17,IDN,Growing maize industry,XEU,4.3817497694679374e-07,BDI,2017
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BDI,2017
19,IDN,Growing leguminous crops and oil seeds industry,XEU,1.934369727325612e-06,BDI,2017
20,IDN,Growing rice industry,XEU,1.2182777851106817e-09,BDI,2017
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BDI,2017
22,IDN,Growing sugar beet and cane industry,XEU,0.0,BDI,2017
23,IDN,Growing tobacco industry,XEU,4.932585358935357e-09,BDI,2017
24,IDN,Growing fibre crops industry,XEU,1.1100349557552453e-10,BDI,2017
25,IDN,Growing crops n.e.c. industry,XEU,9.785679751260632e-10,BDI,2017
26,IDN,Growing grapes industry,XEU,0.0,BDI,2017
27,IDN,Growing fruits and nuts industry,XEU,1.8944178861913144e-08,BDI,2017
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.0024867044356187e-08,BDI,2017
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.093232323918592e-08,BDI,2017
30,IDN,Seeds and plant propagation industry,XEU,0.0,BDI,2017
31,IDN,Raising of cattle industry,XEU,8.838655309971434e-08,BDI,2017
