,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BRA,2017
1,IDN,Growing maize industry,XAM,0.02567509422646815,BRA,2017
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BRA,2017
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.07202008642066308,BRA,2017
4,IDN,Growing rice industry,XAM,6.0167571888111156e-05,BRA,2017
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BRA,2017
6,IDN,Growing sugar beet and cane industry,XAM,0.0,BRA,2017
7,IDN,Growing tobacco industry,XAM,0.001049498645476443,BRA,2017
8,IDN,Growing fibre crops industry,XAM,5.145943886631414e-06,BRA,2017
9,IDN,Growing crops n.e.c. industry,XAM,4.320013740890903e-05,BRA,2017
10,IDN,Growing grapes industry,XAM,0.0,BRA,2017
11,IDN,Growing fruits and nuts industry,XAM,0.014317596503709453,BRA,2017
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00031058470117802117,BRA,2017
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.009512409659428556,BRA,2017
14,IDN,Seeds and plant propagation industry,XAM,0.0,BRA,2017
15,IDN,Raising of cattle industry,XAM,0.0032156314081304756,BRA,2017
16,IDN,Growing wheat industry,XEU,0.0,BRA,2017
17,IDN,Growing maize industry,XEU,0.0015548150622141964,BRA,2017
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BRA,2017
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0038336874257530146,BRA,2017
20,IDN,Growing rice industry,XEU,3.99977863922219e-06,BRA,2017
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BRA,2017
22,IDN,Growing sugar beet and cane industry,XEU,0.0,BRA,2017
23,IDN,Growing tobacco industry,XEU,6.244893453671935e-05,BRA,2017
24,IDN,Growing fibre crops industry,XEU,4.4610569947852717e-07,BRA,2017
25,IDN,Growing crops n.e.c. industry,XEU,3.1039873558255177e-06,BRA,2017
26,IDN,Growing grapes industry,XEU,0.0,BRA,2017
27,IDN,Growing fruits and nuts industry,XEU,0.0015299839574495866,BRA,2017
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,3.0004447515546104e-05,BRA,2017
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0008926070584744667,BRA,2017
30,IDN,Seeds and plant propagation industry,XEU,0.0,BRA,2017
31,IDN,Raising of cattle industry,XEU,0.00028373858586982906,BRA,2017
32,IDN,Growing wheat industry,XAF,0.0,BRA,2017
33,IDN,Growing maize industry,XAF,0.003066889211353285,BRA,2017
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BRA,2017
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.007099400725936146,BRA,2017
36,IDN,Growing rice industry,XAF,8.916259836539628e-06,BRA,2017
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BRA,2017
38,IDN,Growing sugar beet and cane industry,XAF,0.0,BRA,2017
39,IDN,Growing tobacco industry,XAF,0.00010459687064530009,BRA,2017
40,IDN,Growing fibre crops industry,XAF,7.365827690115924e-07,BRA,2017
41,IDN,Growing crops n.e.c. industry,XAF,3.7747023883427614e-06,BRA,2017
42,IDN,Growing grapes industry,XAF,0.0,BRA,2017
43,IDN,Growing fruits and nuts industry,XAF,0.005162034078100233,BRA,2017
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.5266963558619394e-05,BRA,2017
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0012924803918936778,BRA,2017
46,IDN,Seeds and plant propagation industry,XAF,0.0,BRA,2017
47,IDN,Raising of cattle industry,XAF,0.0004241955873868317,BRA,2017
48,IDN,Growing wheat industry,XAS,0.0,BRA,2017
49,IDN,Growing maize industry,XAS,0.003376372154646633,BRA,2017
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BRA,2017
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.012696633181271814,BRA,2017
52,IDN,Growing rice industry,XAS,1.1189813461503971e-05,BRA,2017
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BRA,2017
54,IDN,Growing sugar beet and cane industry,XAS,0.0,BRA,2017
55,IDN,Growing tobacco industry,XAS,0.00014505496337758968,BRA,2017
56,IDN,Growing fibre crops industry,XAS,5.218942333999984e-07,BRA,2017
57,IDN,Growing crops n.e.c. industry,XAS,3.723481498665128e-06,BRA,2017
58,IDN,Growing grapes industry,XAS,0.0,BRA,2017
59,IDN,Growing fruits and nuts industry,XAS,0.0019649203077120887,BRA,2017
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,2.8043501241617757e-05,BRA,2017
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.000803835839078517,BRA,2017
62,IDN,Seeds and plant propagation industry,XAS,0.0,BRA,2017
63,IDN,Raising of cattle industry,XAS,0.00026701907649918525,BRA,2017
64,IDN,Growing wheat industry,AFG,0.0,BRA,2017
65,IDN,Growing maize industry,AFG,0.000503934388650646,BRA,2017
66,IDN,Growing cereals n.e.c industry,AFG,0.0,BRA,2017
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.001360288242984953,BRA,2017
68,IDN,Growing rice industry,AFG,1.1930590611440726e-06,BRA,2017
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,BRA,2017
70,IDN,Growing sugar beet and cane industry,AFG,0.0,BRA,2017
71,IDN,Growing tobacco industry,AFG,1.5454948648742326e-05,BRA,2017
72,IDN,Growing fibre crops industry,AFG,9.746727888506476e-08,BRA,2017
73,IDN,Growing crops n.e.c. industry,AFG,9.48103756353351e-07,BRA,2017
74,IDN,Growing grapes industry,AFG,0.0,BRA,2017
75,IDN,Growing fruits and nuts industry,AFG,0.0004893613991648716,BRA,2017
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,5.2449348654692394e-06,BRA,2017
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.00018352682653908725,BRA,2017
78,IDN,Seeds and plant propagation industry,AFG,0.0,BRA,2017
79,IDN,Raising of cattle industry,AFG,6.04789075075495e-05,BRA,2017
80,IDN,Growing wheat industry,AGO,0.0,BRA,2017
81,IDN,Growing maize industry,AGO,0.06175321266222245,BRA,2017
82,IDN,Growing cereals n.e.c industry,AGO,0.0,BRA,2017
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.17408259684716354,BRA,2017
84,IDN,Growing rice industry,AGO,0.0002283949764744003,BRA,2017
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,BRA,2017
86,IDN,Growing sugar beet and cane industry,AGO,0.0,BRA,2017
87,IDN,Growing tobacco industry,AGO,0.0010076323738514613,BRA,2017
88,IDN,Growing fibre crops industry,AGO,1.1916406411109169e-05,BRA,2017
89,IDN,Growing crops n.e.c. industry,AGO,6.783513539423474e-05,BRA,2017
90,IDN,Growing grapes industry,AGO,0.0,BRA,2017
91,IDN,Growing fruits and nuts industry,AGO,0.024598168732211285,BRA,2017
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,0.00039545903372487475,BRA,2017
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.07327786475133628,BRA,2017
94,IDN,Seeds and plant propagation industry,AGO,0.0,BRA,2017
95,IDN,Raising of cattle industry,AGO,0.0049786923376087715,BRA,2017
96,IDN,Growing wheat industry,ALB,0.0,BRA,2017
97,IDN,Growing maize industry,ALB,0.005408157230206449,BRA,2017
98,IDN,Growing cereals n.e.c industry,ALB,0.0,BRA,2017
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.016613827158908686,BRA,2017
100,IDN,Growing rice industry,ALB,1.4301301791777223e-05,BRA,2017
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,BRA,2017
102,IDN,Growing sugar beet and cane industry,ALB,0.0,BRA,2017
103,IDN,Growing tobacco industry,ALB,3.437413448543374e-05,BRA,2017
104,IDN,Growing fibre crops industry,ALB,4.698942161236426e-07,BRA,2017
105,IDN,Growing crops n.e.c. industry,ALB,2.5403957118515752e-06,BRA,2017
106,IDN,Growing grapes industry,ALB,0.0,BRA,2017
107,IDN,Growing fruits and nuts industry,ALB,0.0009943900315883291,BRA,2017
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,1.3263605117573467e-05,BRA,2017
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,0.00027403524295541,BRA,2017
110,IDN,Seeds and plant propagation industry,ALB,0.0,BRA,2017
111,IDN,Raising of cattle industry,ALB,0.00015277076371126165,BRA,2017
112,IDN,Growing wheat industry,ARE,0.0,BRA,2017
113,IDN,Growing maize industry,ARE,0.15575452036384774,BRA,2017
114,IDN,Growing cereals n.e.c industry,ARE,0.0,BRA,2017
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.7856586316638121,BRA,2017
116,IDN,Growing rice industry,ARE,0.0005563852867824547,BRA,2017
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,BRA,2017
118,IDN,Growing sugar beet and cane industry,ARE,0.0,BRA,2017
119,IDN,Growing tobacco industry,ARE,0.000757714090609638,BRA,2017
120,IDN,Growing fibre crops industry,ARE,1.3889145257630743e-05,BRA,2017
121,IDN,Growing crops n.e.c. industry,ARE,7.872171463345934e-05,BRA,2017
122,IDN,Growing grapes industry,ARE,0.0,BRA,2017
123,IDN,Growing fruits and nuts industry,ARE,0.08702106115264567,BRA,2017
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0003590674635407606,BRA,2017
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.003947161397896006,BRA,2017
126,IDN,Seeds and plant propagation industry,ARE,0.0,BRA,2017
127,IDN,Raising of cattle industry,ARE,0.006260734496346012,BRA,2017
128,IDN,Growing wheat industry,ARG,0.0,BRA,2017
129,IDN,Growing maize industry,ARG,0.31365815269112374,BRA,2017
130,IDN,Growing cereals n.e.c industry,ARG,0.0,BRA,2017
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.6081720506806396,BRA,2017
132,IDN,Growing rice industry,ARG,0.00035167513759039396,BRA,2017
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,BRA,2017
134,IDN,Growing sugar beet and cane industry,ARG,0.0,BRA,2017
135,IDN,Growing tobacco industry,ARG,0.0282348853634855,BRA,2017
136,IDN,Growing fibre crops industry,ARG,0.0001002972322892633,BRA,2017
137,IDN,Growing crops n.e.c. industry,ARG,0.0007645803986108517,BRA,2017
138,IDN,Growing grapes industry,ARG,0.0,BRA,2017
139,IDN,Growing fruits and nuts industry,ARG,0.10369641401884636,BRA,2017
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,0.008268202258677642,BRA,2017
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,1.1749749221862833,BRA,2017
142,IDN,Seeds and plant propagation industry,ARG,0.0,BRA,2017
143,IDN,Raising of cattle industry,ARG,0.05557126116199041,BRA,2017
144,IDN,Growing wheat industry,ARM,0.0,BRA,2017
145,IDN,Growing maize industry,ARM,0.0026358420819234596,BRA,2017
146,IDN,Growing cereals n.e.c industry,ARM,0.0,BRA,2017
147,IDN,Growing leguminous crops and oil seeds industry,ARM,0.007940216652539802,BRA,2017
148,IDN,Growing rice industry,ARM,1.0056322084293682e-05,BRA,2017
149,IDN,"Growing vegetables, roots, tubers industry",ARM,0.0,BRA,2017
150,IDN,Growing sugar beet and cane industry,ARM,0.0,BRA,2017
151,IDN,Growing tobacco industry,ARM,2.130435595031319e-05,BRA,2017
152,IDN,Growing fibre crops industry,ARM,2.9449708549382816e-07,BRA,2017
153,IDN,Growing crops n.e.c. industry,ARM,1.7989245256401682e-06,BRA,2017
154,IDN,Growing grapes industry,ARM,0.0,BRA,2017
155,IDN,Growing fruits and nuts industry,ARM,0.002688991311080744,BRA,2017
156,IDN,"Growing beverage crops (coffee, tea etc) industry",ARM,9.467831707173687e-06,BRA,2017
157,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,0.0002504476013044469,BRA,2017
158,IDN,Seeds and plant propagation industry,ARM,0.0,BRA,2017
159,IDN,Raising of cattle industry,ARM,0.00017430668678702807,BRA,2017
160,IDN,Growing wheat industry,AUS,0.0,BRA,2017
161,IDN,Growing maize industry,AUS,0.04114630742234016,BRA,2017
162,IDN,Growing cereals n.e.c industry,AUS,0.0,BRA,2017
163,IDN,Growing leguminous crops and oil seeds industry,AUS,0.11393166735370037,BRA,2017
164,IDN,Growing rice industry,AUS,0.00014344545701070672,BRA,2017
165,IDN,"Growing vegetables, roots, tubers industry",AUS,0.0,BRA,2017
166,IDN,Growing sugar beet and cane industry,AUS,0.0,BRA,2017
167,IDN,Growing tobacco industry,AUS,0.0014823866665360044,BRA,2017
168,IDN,Growing fibre crops industry,AUS,1.1648052587490734e-05,BRA,2017
169,IDN,Growing crops n.e.c. industry,AUS,8.23899121652377e-05,BRA,2017
170,IDN,Growing grapes industry,AUS,0.0,BRA,2017
171,IDN,Growing fruits and nuts industry,AUS,0.0935484300287636,BRA,2017
172,IDN,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0006895278376319612,BRA,2017
173,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.026070614688569773,BRA,2017
174,IDN,Seeds and plant propagation industry,AUS,0.0,BRA,2017
175,IDN,Raising of cattle industry,AUS,0.007635891151150525,BRA,2017
176,IDN,Growing wheat industry,AUT,0.0,BRA,2017
177,IDN,Growing maize industry,AUT,0.02029963099637041,BRA,2017
178,IDN,Growing cereals n.e.c industry,AUT,0.0,BRA,2017
179,IDN,Growing leguminous crops and oil seeds industry,AUT,0.04859893360941238,BRA,2017
180,IDN,Growing rice industry,AUT,8.412338880871143e-05,BRA,2017
181,IDN,"Growing vegetables, roots, tubers industry",AUT,0.0,BRA,2017
