,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,PRY,Growing wheat industry,XAM,0.0,EU27,2017
1,PRY,Growing maize industry,XAM,3.5573985467945026,EU27,2017
2,PRY,Growing cereals n.e.c industry,XAM,0.0,EU27,2017
3,PRY,Growing leguminous crops and oil seeds industry,XAM,4.215783986500192,EU27,2017
4,PRY,Growing rice industry,XAM,0.18074761244528864,EU27,2017
5,PRY,"Growing vegetables, roots, tubers industry",XAM,0.0005006640795295232,EU27,2017
6,PRY,Growing sugar beet and cane industry,XAM,0.0,EU27,2017
7,PRY,Growing tobacco industry,XAM,0.007585603776478564,EU27,2017
8,PRY,Growing fibre crops industry,XAM,0.0,EU27,2017
9,PRY,Growing crops n.e.c. industry,XAM,0.0,EU27,2017
10,PRY,Growing grapes industry,XAM,3.0741983502881406e-05,EU27,2017
11,PRY,Growing fruits and nuts industry,XAM,0.11132430294648224,EU27,2017
12,PRY,"Growing beverage crops (coffee, tea etc) industry",XAM,0.6144371972387872,EU27,2017
13,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.005172018372691131,EU27,2017
14,PRY,Seeds and plant propagation industry,XAM,0.0,EU27,2017
15,PRY,Raising of cattle industry,XAM,0.08052309744265188,EU27,2017
16,PRY,Growing wheat industry,XEU,0.0,EU27,2017
17,PRY,Growing maize industry,XEU,1.2198155049334696,EU27,2017
18,PRY,Growing cereals n.e.c industry,XEU,0.0,EU27,2017
19,PRY,Growing leguminous crops and oil seeds industry,XEU,1.4314328970560262,EU27,2017
20,PRY,Growing rice industry,XEU,0.015574381519870277,EU27,2017
21,PRY,"Growing vegetables, roots, tubers industry",XEU,0.0002501606464687284,EU27,2017
22,PRY,Growing sugar beet and cane industry,XEU,0.0,EU27,2017
23,PRY,Growing tobacco industry,XEU,0.0008700027511312305,EU27,2017
24,PRY,Growing fibre crops industry,XEU,0.0,EU27,2017
25,PRY,Growing crops n.e.c. industry,XEU,0.0,EU27,2017
26,PRY,Growing grapes industry,XEU,6.864512299317112e-06,EU27,2017
27,PRY,Growing fruits and nuts industry,XEU,0.0129276513970327,EU27,2017
28,PRY,"Growing beverage crops (coffee, tea etc) industry",XEU,0.05310468374913023,EU27,2017
29,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0033186076999571516,EU27,2017
30,PRY,Seeds and plant propagation industry,XEU,0.0,EU27,2017
31,PRY,Raising of cattle industry,XEU,0.0102347996150303,EU27,2017
32,PRY,Growing wheat industry,XAF,0.0,EU27,2017
33,PRY,Growing maize industry,XAF,1.3912384222702783,EU27,2017
34,PRY,Growing cereals n.e.c industry,XAF,0.0,EU27,2017
35,PRY,Growing leguminous crops and oil seeds industry,XAF,3.369719526735855,EU27,2017
36,PRY,Growing rice industry,XAF,0.013783910382566968,EU27,2017
37,PRY,"Growing vegetables, roots, tubers industry",XAF,0.0007068364666717478,EU27,2017
38,PRY,Growing sugar beet and cane industry,XAF,0.0,EU27,2017
39,PRY,Growing tobacco industry,XAF,0.0015448614364109092,EU27,2017
40,PRY,Growing fibre crops industry,XAF,0.0,EU27,2017
41,PRY,Growing crops n.e.c. industry,XAF,0.0,EU27,2017
42,PRY,Growing grapes industry,XAF,6.041799488333586e-06,EU27,2017
43,PRY,Growing fruits and nuts industry,XAF,0.018042608875151387,EU27,2017
44,PRY,"Growing beverage crops (coffee, tea etc) industry",XAF,0.09722374233432775,EU27,2017
45,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.012489788696106372,EU27,2017
46,PRY,Seeds and plant propagation industry,XAF,0.0,EU27,2017
47,PRY,Raising of cattle industry,XAF,0.011842466780445494,EU27,2017
48,PRY,Growing wheat industry,XAS,0.0,EU27,2017
49,PRY,Growing maize industry,XAS,0.7814079080694414,EU27,2017
50,PRY,Growing cereals n.e.c industry,XAS,0.0,EU27,2017
51,PRY,Growing leguminous crops and oil seeds industry,XAS,1.2907747003209917,EU27,2017
52,PRY,Growing rice industry,XAS,0.01583934066031057,EU27,2017
53,PRY,"Growing vegetables, roots, tubers industry",XAS,0.00014741196334066366,EU27,2017
54,PRY,Growing sugar beet and cane industry,XAS,0.0,EU27,2017
55,PRY,Growing tobacco industry,XAS,0.0017829367175135394,EU27,2017
56,PRY,Growing fibre crops industry,XAS,0.0,EU27,2017
57,PRY,Growing crops n.e.c. industry,XAS,0.0,EU27,2017
58,PRY,Growing grapes industry,XAS,4.764515240754631e-06,EU27,2017
59,PRY,Growing fruits and nuts industry,XAS,0.014669541735319452,EU27,2017
60,PRY,"Growing beverage crops (coffee, tea etc) industry",XAS,0.07032572285454473,EU27,2017
61,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0042931999898480535,EU27,2017
62,PRY,Seeds and plant propagation industry,XAS,0.0,EU27,2017
63,PRY,Raising of cattle industry,XAS,0.011502167063591178,EU27,2017
64,PRY,Growing wheat industry,AFG,0.0,EU27,2017
65,PRY,Growing maize industry,AFG,0.07888188833201568,EU27,2017
66,PRY,Growing cereals n.e.c industry,AFG,0.0,EU27,2017
67,PRY,Growing leguminous crops and oil seeds industry,AFG,0.13895879368215214,EU27,2017
68,PRY,Growing rice industry,AFG,0.0020352633268222414,EU27,2017
69,PRY,"Growing vegetables, roots, tubers industry",AFG,1.219503990433823e-05,EU27,2017
70,PRY,Growing sugar beet and cane industry,AFG,0.0,EU27,2017
71,PRY,Growing tobacco industry,AFG,0.00015339219582377015,EU27,2017
72,PRY,Growing fibre crops industry,AFG,0.0,EU27,2017
73,PRY,Growing crops n.e.c. industry,AFG,0.0,EU27,2017
74,PRY,Growing grapes industry,AFG,8.141678427134081e-07,EU27,2017
75,PRY,Growing fruits and nuts industry,AFG,0.001798108206339467,EU27,2017
76,PRY,"Growing beverage crops (coffee, tea etc) industry",AFG,0.003725016206235845,EU27,2017
77,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.0003171012366718438,EU27,2017
78,PRY,Seeds and plant propagation industry,AFG,0.0,EU27,2017
79,PRY,Raising of cattle industry,AFG,0.0013112375816074818,EU27,2017
80,PRY,Growing wheat industry,AGO,0.0,EU27,2017
81,PRY,Growing maize industry,AGO,7.963672087925467,EU27,2017
82,PRY,Growing cereals n.e.c industry,AGO,0.0,EU27,2017
83,PRY,Growing leguminous crops and oil seeds industry,AGO,26.434591386324083,EU27,2017
84,PRY,Growing rice industry,AGO,0.08821201860344298,EU27,2017
85,PRY,"Growing vegetables, roots, tubers industry",AGO,0.004999584996368881,EU27,2017
86,PRY,Growing sugar beet and cane industry,AGO,0.0,EU27,2017
87,PRY,Growing tobacco industry,AGO,0.00019328949194481062,EU27,2017
88,PRY,Growing fibre crops industry,AGO,0.0,EU27,2017
89,PRY,Growing crops n.e.c. industry,AGO,0.0,EU27,2017
90,PRY,Growing grapes industry,AGO,2.042366380013475e-05,EU27,2017
91,PRY,Growing fruits and nuts industry,AGO,0.06691095608511297,EU27,2017
92,PRY,"Growing beverage crops (coffee, tea etc) industry",AGO,0.5266533622797124,EU27,2017
93,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.03597131769032687,EU27,2017
94,PRY,Seeds and plant propagation industry,AGO,0.0,EU27,2017
95,PRY,Raising of cattle industry,AGO,0.08925501151746229,EU27,2017
96,PRY,Growing wheat industry,ALB,0.0,EU27,2017
97,PRY,Growing maize industry,ALB,2.48117787125989,EU27,2017
98,PRY,Growing cereals n.e.c industry,ALB,0.0,EU27,2017
99,PRY,Growing leguminous crops and oil seeds industry,ALB,3.774967303725433,EU27,2017
100,PRY,Growing rice industry,ALB,0.010265394245899282,EU27,2017
101,PRY,"Growing vegetables, roots, tubers industry",ALB,0.0001129005868498465,EU27,2017
102,PRY,Growing sugar beet and cane industry,ALB,0.0,EU27,2017
103,PRY,Growing tobacco industry,ALB,0.0010061842453798428,EU27,2017
104,PRY,Growing fibre crops industry,ALB,0.0,EU27,2017
105,PRY,Growing crops n.e.c. industry,ALB,0.0,EU27,2017
106,PRY,Growing grapes industry,ALB,4.244311113915117e-06,EU27,2017
107,PRY,Growing fruits and nuts industry,ALB,0.014237164583595427,EU27,2017
108,PRY,"Growing beverage crops (coffee, tea etc) industry",ALB,0.12165336987443338,EU27,2017
109,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,0.002683851332382425,EU27,2017
110,PRY,Seeds and plant propagation industry,ALB,0.0,EU27,2017
111,PRY,Raising of cattle industry,ALB,0.01204736631200236,EU27,2017
112,PRY,Growing wheat industry,ARE,0.0,EU27,2017
113,PRY,Growing maize industry,ARE,8.047043266722822,EU27,2017
114,PRY,Growing cereals n.e.c industry,ARE,0.0,EU27,2017
115,PRY,Growing leguminous crops and oil seeds industry,ARE,16.862271858177238,EU27,2017
116,PRY,Growing rice industry,ARE,0.3857659723829897,EU27,2017
117,PRY,"Growing vegetables, roots, tubers industry",ARE,0.0018273549655844854,EU27,2017
118,PRY,Growing sugar beet and cane industry,ARE,0.0,EU27,2017
119,PRY,Growing tobacco industry,ARE,0.012077675708666594,EU27,2017
120,PRY,Growing fibre crops industry,ARE,0.0,EU27,2017
121,PRY,Growing crops n.e.c. industry,ARE,0.0,EU27,2017
122,PRY,Growing grapes industry,ARE,0.00011259994975368806,EU27,2017
123,PRY,Growing fruits and nuts industry,ARE,0.16366569395697997,EU27,2017
124,PRY,"Growing beverage crops (coffee, tea etc) industry",ARE,0.2659358860912008,EU27,2017
125,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.016725970983347226,EU27,2017
126,PRY,Seeds and plant propagation industry,ARE,0.0,EU27,2017
127,PRY,Raising of cattle industry,ARE,0.19061989983038286,EU27,2017
128,PRY,Growing wheat industry,ARG,0.0,EU27,2017
129,PRY,Growing maize industry,ARG,4.851951473407264,EU27,2017
130,PRY,Growing cereals n.e.c industry,ARG,0.0,EU27,2017
131,PRY,Growing leguminous crops and oil seeds industry,ARG,6.187539349817872,EU27,2017
132,PRY,Growing rice industry,ARG,0.04416480106303041,EU27,2017
133,PRY,"Growing vegetables, roots, tubers industry",ARG,0.0007638175841496707,EU27,2017
134,PRY,Growing sugar beet and cane industry,ARG,0.0,EU27,2017
135,PRY,Growing tobacco industry,ARG,0.0012470323343648341,EU27,2017
136,PRY,Growing fibre crops industry,ARG,0.0,EU27,2017
137,PRY,Growing crops n.e.c. industry,ARG,0.0,EU27,2017
138,PRY,Growing grapes industry,ARG,2.3445289141483756e-05,EU27,2017
139,PRY,Growing fruits and nuts industry,ARG,0.06429230288222978,EU27,2017
140,PRY,"Growing beverage crops (coffee, tea etc) industry",ARG,0.26781396991803463,EU27,2017
141,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,0.028313548681015113,EU27,2017
142,PRY,Seeds and plant propagation industry,ARG,0.0,EU27,2017
143,PRY,Raising of cattle industry,ARG,0.03927153607132637,EU27,2017
144,PRY,Growing wheat industry,ARM,0.0,EU27,2017
145,PRY,Growing maize industry,ARM,0.35000436128857126,EU27,2017
146,PRY,Growing cereals n.e.c industry,ARM,0.0,EU27,2017
147,PRY,Growing leguminous crops and oil seeds industry,ARM,0.750286493149019,EU27,2017
148,PRY,Growing rice industry,ARM,0.006838886557421688,EU27,2017
149,PRY,"Growing vegetables, roots, tubers industry",ARM,5.9489294321394594e-05,EU27,2017
150,PRY,Growing sugar beet and cane industry,ARM,0.0,EU27,2017
151,PRY,Growing tobacco industry,ARM,0.0003683473144428428,EU27,2017
152,PRY,Growing fibre crops industry,ARM,0.0,EU27,2017
153,PRY,Growing crops n.e.c. industry,ARM,0.0,EU27,2017
154,PRY,Growing grapes industry,ARM,2.5033323714324574e-06,EU27,2017
155,PRY,Growing fruits and nuts industry,ARM,0.006149079270355405,EU27,2017
156,PRY,"Growing beverage crops (coffee, tea etc) industry",ARM,0.010074006762043513,EU27,2017
157,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,0.001399809178679991,EU27,2017
158,PRY,Seeds and plant propagation industry,ARM,0.0,EU27,2017
159,PRY,Raising of cattle industry,ARM,0.005679651640343711,EU27,2017
160,PRY,Growing wheat industry,AUS,0.0,EU27,2017
161,PRY,Growing maize industry,AUS,15.967481403567735,EU27,2017
162,PRY,Growing cereals n.e.c industry,AUS,0.0,EU27,2017
163,PRY,Growing leguminous crops and oil seeds industry,AUS,24.62545696721139,EU27,2017
164,PRY,Growing rice industry,AUS,0.28383729524748535,EU27,2017
165,PRY,"Growing vegetables, roots, tubers industry",AUS,0.0027715734014712467,EU27,2017
166,PRY,Growing sugar beet and cane industry,AUS,0.0,EU27,2017
167,PRY,Growing tobacco industry,AUS,0.011841168983384583,EU27,2017
168,PRY,Growing fibre crops industry,AUS,0.0,EU27,2017
169,PRY,Growing crops n.e.c. industry,AUS,0.0,EU27,2017
170,PRY,Growing grapes industry,AUS,0.00012579639667666156,EU27,2017
171,PRY,Growing fruits and nuts industry,AUS,0.21323358399835293,EU27,2017
172,PRY,"Growing beverage crops (coffee, tea etc) industry",AUS,1.5829466808872181,EU27,2017
173,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.04701403088953057,EU27,2017
174,PRY,Seeds and plant propagation industry,AUS,0.0,EU27,2017
175,PRY,Raising of cattle industry,AUS,0.22201355870371348,EU27,2017
176,PRY,Growing wheat industry,AUT,0.0,EU27,2017
177,PRY,Growing maize industry,AUT,0.0,EU27,2017
178,PRY,Growing cereals n.e.c industry,AUT,0.0,EU27,2017
179,PRY,Growing leguminous crops and oil seeds industry,AUT,0.0,EU27,2017
180,PRY,Growing rice industry,AUT,0.0,EU27,2017
181,PRY,"Growing vegetables, roots, tubers industry",AUT,0.0,EU27,2017
182,PRY,Growing sugar beet and cane industry,AUT,0.0,EU27,2017
183,PRY,Growing tobacco industry,AUT,0.0,EU27,2017
184,PRY,Growing fibre crops industry,AUT,0.0,EU27,2017
185,PRY,Growing crops n.e.c. industry,AUT,0.0,EU27,2017
186,PRY,Growing grapes industry,AUT,0.0,EU27,2017
187,PRY,Growing fruits and nuts industry,AUT,0.0,EU27,2017
188,PRY,"Growing beverage crops (coffee, tea etc) industry",AUT,0.0,EU27,2017
189,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.0,EU27,2017
190,PRY,Seeds and plant propagation industry,AUT,0.0,EU27,2017
191,PRY,Raising of cattle industry,AUT,0.0,EU27,2017
192,PRY,Growing wheat industry,AZE,0.0,EU27,2017
193,PRY,Growing maize industry,AZE,0.6452089940435258,EU27,2017
194,PRY,Growing cereals n.e.c industry,AZE,0.0,EU27,2017
195,PRY,Growing leguminous crops and oil seeds industry,AZE,1.1256274306699368,EU27,2017
196,PRY,Growing rice industry,AZE,0.016330597172052132,EU27,2017
197,PRY,"Growing vegetables, roots, tubers industry",AZE,0.00016710698758298385,EU27,2017
198,PRY,Growing sugar beet and cane industry,AZE,0.0,EU27,2017
199,PRY,Growing tobacco industry,AZE,0.0003480254038705976,EU27,2017
200,PRY,Growing fibre crops industry,AZE,0.0,EU27,2017
201,PRY,Growing crops n.e.c. industry,AZE,0.0,EU27,2017
202,PRY,Growing grapes industry,AZE,5.3730514763810674e-06,EU27,2017
203,PRY,Growing fruits and nuts industry,AZE,0.03274264904568891,EU27,2017
204,PRY,"Growing beverage crops (coffee, tea etc) industry",AZE,0.2270450583343484,EU27,2017
205,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,0.004682485372535245,EU27,2017
206,PRY,Seeds and plant propagation industry,AZE,0.0,EU27,2017
207,PRY,Raising of cattle industry,AZE,0.014363039840221695,EU27,2017
208,PRY,Growing wheat industry,BDI,0.0,EU27,2017
209,PRY,Growing maize industry,BDI,0.03477333580323352,EU27,2017
210,PRY,Growing cereals n.e.c industry,BDI,0.0,EU27,2017
211,PRY,Growing leguminous crops and oil seeds industry,BDI,0.05919725644609158,EU27,2017
212,PRY,Growing rice industry,BDI,0.0006510188137249675,EU27,2017
213,PRY,"Growing vegetables, roots, tubers industry",BDI,8.331879993216436e-06,EU27,2017
214,PRY,Growing sugar beet and cane industry,BDI,0.0,EU27,2017
215,PRY,Growing tobacco industry,BDI,7.951401788930384e-06,EU27,2017
216,PRY,Growing fibre crops industry,BDI,0.0,EU27,2017
217,PRY,Growing crops n.e.c. industry,BDI,0.0,EU27,2017
218,PRY,Growing grapes industry,BDI,2.023186883507677e-07,EU27,2017
219,PRY,Growing fruits and nuts industry,BDI,0.0005498690857089962,EU27,2017
220,PRY,"Growing beverage crops (coffee, tea etc) industry",BDI,0.005440989519996382,EU27,2017
221,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",BDI,0.00010463744007444137,EU27,2017
222,PRY,Seeds and plant propagation industry,BDI,0.0,EU27,2017
223,PRY,Raising of cattle industry,BDI,0.0005389763013263439,EU27,2017
224,PRY,Growing wheat industry,BEL,0.0,EU27,2017
225,PRY,Growing maize industry,BEL,0.0,EU27,2017
226,PRY,Growing cereals n.e.c industry,BEL,0.0,EU27,2017
227,PRY,Growing leguminous crops and oil seeds industry,BEL,0.0,EU27,2017
228,PRY,Growing rice industry,BEL,0.0,EU27,2017
229,PRY,"Growing vegetables, roots, tubers industry",BEL,0.0,EU27,2017
230,PRY,Growing sugar beet and cane industry,BEL,0.0,EU27,2017
231,PRY,Growing tobacco industry,BEL,0.0,EU27,2017
232,PRY,Growing fibre crops industry,BEL,0.0,EU27,2017
233,PRY,Growing crops n.e.c. industry,BEL,0.0,EU27,2017
234,PRY,Growing grapes industry,BEL,0.0,EU27,2017
235,PRY,Growing fruits and nuts industry,BEL,0.0,EU27,2017
236,PRY,"Growing beverage crops (coffee, tea etc) industry",BEL,0.0,EU27,2017
237,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",BEL,0.0,EU27,2017
238,PRY,Seeds and plant propagation industry,BEL,0.0,EU27,2017
239,PRY,Raising of cattle industry,BEL,0.0,EU27,2017
240,PRY,Growing wheat industry,BEN,0.0,EU27,2017
241,PRY,Growing maize industry,BEN,0.38073024061605815,EU27,2017
242,PRY,Growing cereals n.e.c industry,BEN,0.0,EU27,2017
243,PRY,Growing leguminous crops and oil seeds industry,BEN,0.29269581923460536,EU27,2017
244,PRY,Growing rice industry,BEN,0.006203501990957402,EU27,2017
245,PRY,"Growing vegetables, roots, tubers industry",BEN,4.0608880432346354e-05,EU27,2017
246,PRY,Growing sugar beet and cane industry,BEN,0.0,EU27,2017
247,PRY,Growing tobacco industry,BEN,8.49806376537047e-05,EU27,2017
248,PRY,Growing fibre crops industry,BEN,0.0,EU27,2017
249,PRY,Growing crops n.e.c. industry,BEN,0.0,EU27,2017
250,PRY,Growing grapes industry,BEN,1.731078917212653e-06,EU27,2017
251,PRY,Growing fruits and nuts industry,BEN,0.004984309842366236,EU27,2017
252,PRY,"Growing beverage crops (coffee, tea etc) industry",BEN,0.05768066846215747,EU27,2017
253,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",BEN,0.0008225995551856801,EU27,2017
254,PRY,Seeds and plant propagation industry,BEN,0.0,EU27,2017
255,PRY,Raising of cattle industry,BEN,0.004452352855292442,EU27,2017
256,PRY,Growing wheat industry,BFA,0.0,EU27,2017
257,PRY,Growing maize industry,BFA,1.276848239954136,EU27,2017
258,PRY,Growing cereals n.e.c industry,BFA,0.0,EU27,2017
259,PRY,Growing leguminous crops and oil seeds industry,BFA,0.395884148379844,EU27,2017
260,PRY,Growing rice industry,BFA,0.00473380735391917,EU27,2017
261,PRY,"Growing vegetables, roots, tubers industry",BFA,0.00014424875271260045,EU27,2017
262,PRY,Growing sugar beet and cane industry,BFA,0.0,EU27,2017
263,PRY,Growing tobacco industry,BFA,0.0002895610191898517,EU27,2017
264,PRY,Growing fibre crops industry,BFA,0.0,EU27,2017
265,PRY,Growing crops n.e.c. industry,BFA,0.0,EU27,2017
266,PRY,Growing grapes industry,BFA,2.7272403834024944e-06,EU27,2017
267,PRY,Growing fruits and nuts industry,BFA,0.013526963507544476,EU27,2017
268,PRY,"Growing beverage crops (coffee, tea etc) industry",BFA,0.2613499644216693,EU27,2017
269,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",BFA,0.0031186836445784476,EU27,2017
270,PRY,Seeds and plant propagation industry,BFA,0.0,EU27,2017
271,PRY,Raising of cattle industry,BFA,0.003321252211505761,EU27,2017
272,PRY,Growing wheat industry,BGD,0.0,EU27,2017
273,PRY,Growing maize industry,BGD,1.134354913898071,EU27,2017
274,PRY,Growing cereals n.e.c industry,BGD,0.0,EU27,2017
275,PRY,Growing leguminous crops and oil seeds industry,BGD,1.599829065467578,EU27,2017
276,PRY,Growing rice industry,BGD,0.02020364977866908,EU27,2017
277,PRY,"Growing vegetables, roots, tubers industry",BGD,0.0001322032018774596,EU27,2017
278,PRY,Growing sugar beet and cane industry,BGD,0.0,EU27,2017
279,PRY,Growing tobacco industry,BGD,0.000272133857228113,EU27,2017
280,PRY,Growing fibre crops industry,BGD,0.0,EU27,2017
281,PRY,Growing crops n.e.c. industry,BGD,0.0,EU27,2017
282,PRY,Growing grapes industry,BGD,9.353183267511103e-06,EU27,2017
283,PRY,Growing fruits and nuts industry,BGD,0.01800602129629747,EU27,2017
284,PRY,"Growing beverage crops (coffee, tea etc) industry",BGD,0.06871066674339948,EU27,2017
285,PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",BGD,0.004409156185595383,EU27,2017
286,PRY,Seeds and plant propagation industry,BGD,0.0,EU27,2017
287,PRY,Raising of cattle industry,BGD,0.013135523675015647,EU27,2017
288,PRY,Growing wheat industry,BGR,0.0,EU27,2017
289,PRY,Growing maize industry,BGR,0.0,EU27,2017
290,PRY,Growing cereals n.e.c industry,BGR,0.0,EU27,2017
291,PRY,Growing leguminous crops and oil seeds industry,BGR,0.0,EU27,2017
