,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,1.7795125281399473e-05,BLR,2012
1,BRA,Growing maize industry,XAM,0.0002912347342394093,BLR,2012
2,BRA,Growing cereals n.e.c industry,XAM,2.2224927576542244e-05,BLR,2012
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.001072550669361169,BLR,2012
4,BRA,Growing rice industry,XAM,3.739461071217986e-08,BLR,2012
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.152612944536555e-06,BLR,2012
6,BRA,Growing sugar beet and cane industry,XAM,0.00011346485222241782,BLR,2012
7,BRA,Growing tobacco industry,XAM,4.511450483224067e-07,BLR,2012
8,BRA,Growing fibre crops industry,XAM,0.00013481646427730966,BLR,2012
9,BRA,Growing crops n.e.c. industry,XAM,1.747981989936184e-06,BLR,2012
10,BRA,Growing grapes industry,XAM,3.1884431979074043e-09,BLR,2012
11,BRA,Growing fruits and nuts industry,XAM,9.067630379320576e-07,BLR,2012
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,BLR,2012
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,BLR,2012
14,BRA,Seeds and plant propagation industry,XAM,0.0,BLR,2012
15,BRA,Raising of cattle industry,XAM,0.00013457190310234808,BLR,2012
16,BRA,Growing wheat industry,XEU,5.616706465117745e-06,BLR,2012
17,BRA,Growing maize industry,XEU,8.533980742506031e-05,BLR,2012
18,BRA,Growing cereals n.e.c industry,XEU,8.33209551993827e-06,BLR,2012
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00038043734120997284,BLR,2012
20,BRA,Growing rice industry,XEU,1.064779948055771e-08,BLR,2012
21,BRA,"Growing vegetables, roots, tubers industry",XEU,3.4147009483474596e-07,BLR,2012
22,BRA,Growing sugar beet and cane industry,XEU,4.538181511138676e-05,BLR,2012
23,BRA,Growing tobacco industry,XEU,1.0098666862948617e-07,BLR,2012
24,BRA,Growing fibre crops industry,XEU,3.8829429274621306e-05,BLR,2012
25,BRA,Growing crops n.e.c. industry,XEU,6.011115613440342e-07,BLR,2012
26,BRA,Growing grapes industry,XEU,1.0013702448536777e-09,BLR,2012
27,BRA,Growing fruits and nuts industry,XEU,3.3365657407950913e-07,BLR,2012
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,BLR,2012
