,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.02172032989738669,GBR,2013
1,BRA,Growing maize industry,XAM,0.22152314914103172,GBR,2013
2,BRA,Growing cereals n.e.c industry,XAM,0.004925536898882332,GBR,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,1.5704187456095553,GBR,2013
4,BRA,Growing rice industry,XAM,0.0,GBR,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0003104275328828339,GBR,2013
6,BRA,Growing sugar beet and cane industry,XAM,0.02962847921956548,GBR,2013
7,BRA,Growing tobacco industry,XAM,3.5581649447896154e-05,GBR,2013
8,BRA,Growing fibre crops industry,XAM,0.004132725355861671,GBR,2013
9,BRA,Growing crops n.e.c. industry,XAM,0.0018591539007218542,GBR,2013
10,BRA,Growing grapes industry,XAM,3.665353580923171e-07,GBR,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,GBR,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,GBR,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.41314865271465e-06,GBR,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,GBR,2013
15,BRA,Raising of cattle industry,XAM,0.02022913115573975,GBR,2013
16,BRA,Growing wheat industry,XEU,0.012999298822585862,GBR,2013
17,BRA,Growing maize industry,XEU,0.03072578294556188,GBR,2013
18,BRA,Growing cereals n.e.c industry,XEU,0.0013850718637020017,GBR,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.4586619499568746,GBR,2013
20,BRA,Growing rice industry,XEU,0.0,GBR,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,8.060161037543698e-05,GBR,2013
22,BRA,Growing sugar beet and cane industry,XEU,0.004989146219352901,GBR,2013
23,BRA,Growing tobacco industry,XEU,1.976536472383852e-05,GBR,2013
24,BRA,Growing fibre crops industry,XEU,0.0024067381845276434,GBR,2013
25,BRA,Growing crops n.e.c. industry,XEU,0.0003958716928224215,GBR,2013
26,BRA,Growing grapes industry,XEU,1.410177940297347e-07,GBR,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,GBR,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,GBR,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.663363565237896e-07,GBR,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,GBR,2013
31,BRA,Raising of cattle industry,XEU,0.004767424474694298,GBR,2013
32,BRA,Growing wheat industry,XAF,0.003739473888140799,GBR,2013
33,BRA,Growing maize industry,XAF,0.013564160396785386,GBR,2013
34,BRA,Growing cereals n.e.c industry,XAF,0.0007592185789314451,GBR,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.24072102762106282,GBR,2013
36,BRA,Growing rice industry,XAF,0.0,GBR,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,4.572596785909967e-05,GBR,2013
38,BRA,Growing sugar beet and cane industry,XAF,0.0028828212389936155,GBR,2013
39,BRA,Growing tobacco industry,XAF,8.116093953337635e-06,GBR,2013
40,BRA,Growing fibre crops industry,XAF,0.0008797671294678986,GBR,2013
41,BRA,Growing crops n.e.c. industry,XAF,0.0002536426245399156,GBR,2013
42,BRA,Growing grapes industry,XAF,7.570012466768715e-08,GBR,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,GBR,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,GBR,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.529293288562919e-06,GBR,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,GBR,2013
47,BRA,Raising of cattle industry,XAF,0.002695461126259515,GBR,2013
48,BRA,Growing wheat industry,XAS,0.002997842442011486,GBR,2013
49,BRA,Growing maize industry,XAS,0.009992743286476055,GBR,2013
50,BRA,Growing cereals n.e.c industry,XAS,0.0005978800013469534,GBR,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.19169234553747747,GBR,2013
52,BRA,Growing rice industry,XAS,0.0,GBR,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,3.3484343047709854e-05,GBR,2013
54,BRA,Growing sugar beet and cane industry,XAS,0.0021446780703409545,GBR,2013
55,BRA,Growing tobacco industry,XAS,6.091545155779384e-06,GBR,2013
56,BRA,Growing fibre crops industry,XAS,0.0006603408782983181,GBR,2013
57,BRA,Growing crops n.e.c. industry,XAS,0.000224139507658435,GBR,2013
58,BRA,Growing grapes industry,XAS,5.5404830328260794e-08,GBR,2013
59,BRA,Growing fruits and nuts industry,XAS,0.0,GBR,2013
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,GBR,2013
