,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0018928217770388665,GHA,2013
1,BRA,Growing maize industry,XAM,0.0020839044129021705,GHA,2013
2,BRA,Growing cereals n.e.c industry,XAM,0.00019772184133841272,GHA,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.010398557313674195,GHA,2013
4,BRA,Growing rice industry,XAM,0.0,GHA,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,5.2848642931588966e-06,GHA,2013
6,BRA,Growing sugar beet and cane industry,XAM,0.001279929687135617,GHA,2013
7,BRA,Growing tobacco industry,XAM,1.6947900844208933e-06,GHA,2013
8,BRA,Growing fibre crops industry,XAM,0.0001649755531331459,GHA,2013
9,BRA,Growing crops n.e.c. industry,XAM,9.109091781487043e-05,GHA,2013
10,BRA,Growing grapes industry,XAM,8.706572443818474e-09,GHA,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,GHA,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,GHA,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.530930603834101e-08,GHA,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,GHA,2013
15,BRA,Raising of cattle industry,XAM,0.0004750087598991333,GHA,2013
16,BRA,Growing wheat industry,XEU,0.0010642690599404377,GHA,2013
17,BRA,Growing maize industry,XEU,0.0007465919548419478,GHA,2013
18,BRA,Growing cereals n.e.c industry,XEU,2.2988127305618125e-05,GHA,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0016799704161661606,GHA,2013
20,BRA,Growing rice industry,XEU,0.0,GHA,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,8.241775634698378e-07,GHA,2013
22,BRA,Growing sugar beet and cane industry,XEU,0.00013320835676639635,GHA,2013
23,BRA,Growing tobacco industry,XEU,3.348139911071978e-07,GHA,2013
24,BRA,Growing fibre crops industry,XEU,3.123700245125463e-05,GHA,2013
25,BRA,Growing crops n.e.c. industry,XEU,8.589598836040773e-06,GHA,2013
26,BRA,Growing grapes industry,XEU,1.4086885387999813e-09,GHA,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,GHA,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,GHA,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.897811281291898e-08,GHA,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,GHA,2013
31,BRA,Raising of cattle industry,XEU,6.362233578776495e-05,GHA,2013
32,BRA,Growing wheat industry,XAF,0.002733495412278463,GHA,2013
33,BRA,Growing maize industry,XAF,0.0018998584068403621,GHA,2013
34,BRA,Growing cereals n.e.c industry,XAF,0.00013642356079083615,GHA,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.00912296097322978,GHA,2013
36,BRA,Growing rice industry,XAF,0.0,GHA,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,3.089387350847025e-06,GHA,2013
38,BRA,Growing sugar beet and cane industry,XAF,0.0007509152853085252,GHA,2013
39,BRA,Growing tobacco industry,XAF,1.1673561462941491e-06,GHA,2013
40,BRA,Growing fibre crops industry,XAF,0.00011355599804616632,GHA,2013
41,BRA,Growing crops n.e.c. industry,XAF,5.0691500211624596e-05,GHA,2013
42,BRA,Growing grapes industry,XAF,5.678384779704935e-09,GHA,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,GHA,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,GHA,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.051068623445798e-08,GHA,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,GHA,2013
47,BRA,Raising of cattle industry,XAF,0.0003360085588683581,GHA,2013
48,BRA,Growing wheat industry,XAS,0.0015756592414898063,GHA,2013
49,BRA,Growing maize industry,XAS,0.000687642970339387,GHA,2013
50,BRA,Growing cereals n.e.c industry,XAS,7.899693362250801e-05,GHA,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.005761155510947418,GHA,2013
52,BRA,Growing rice industry,XAS,0.0,GHA,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,4.763188849344823e-07,GHA,2013
54,BRA,Growing sugar beet and cane industry,XAS,0.0004507024230234417,GHA,2013
55,BRA,Growing tobacco industry,XAS,1.8898638973797013e-07,GHA,2013
56,BRA,Growing fibre crops industry,XAS,2.8794079591459318e-05,GHA,2013
57,BRA,Growing crops n.e.c. industry,XAS,2.363098993169636e-05,GHA,2013
58,BRA,Growing grapes industry,XAS,9.261030821989429e-10,GHA,2013
59,BRA,Growing fruits and nuts industry,XAS,0.0,GHA,2013
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,GHA,2013
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,5.356316668847954e-09,GHA,2013
62,BRA,Seeds and plant propagation industry,XAS,0.0,GHA,2013
63,BRA,Raising of cattle industry,XAS,0.00016817241177659033,GHA,2013
64,BRA,Growing wheat industry,AFG,0.004809472350317559,GHA,2013
65,BRA,Growing maize industry,AFG,0.003031473984431553,GHA,2013
66,BRA,Growing cereals n.e.c industry,AFG,5.196276161647948e-05,GHA,2013
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.00445172191710393,GHA,2013
68,BRA,Growing rice industry,AFG,0.0,GHA,2013
69,BRA,"Growing vegetables, roots, tubers industry",AFG,1.5656431584630909e-06,GHA,2013
70,BRA,Growing sugar beet and cane industry,AFG,0.0003258620779726321,GHA,2013
71,BRA,Growing tobacco industry,AFG,7.447932205005749e-07,GHA,2013
72,BRA,Growing fibre crops industry,AFG,8.249732334438975e-05,GHA,2013
73,BRA,Growing crops n.e.c. industry,AFG,1.6334907865352905e-05,GHA,2013
74,BRA,Growing grapes industry,AFG,2.7360404274230107e-09,GHA,2013
75,BRA,Growing fruits and nuts industry,AFG,0.0,GHA,2013
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,GHA,2013
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.465658258546384e-08,GHA,2013
78,BRA,Seeds and plant propagation industry,AFG,0.0,GHA,2013
79,BRA,Raising of cattle industry,AFG,0.00014816683731068374,GHA,2013
80,BRA,Growing wheat industry,AGO,0.003158132327446023,GHA,2013
81,BRA,Growing maize industry,AGO,0.0037046691788145225,GHA,2013
82,BRA,Growing cereals n.e.c industry,AGO,0.00026158084958243335,GHA,2013
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0202547718139821,GHA,2013
84,BRA,Growing rice industry,AGO,0.0,GHA,2013
85,BRA,"Growing vegetables, roots, tubers industry",AGO,8.306002091624178e-06,GHA,2013
86,BRA,Growing sugar beet and cane industry,AGO,0.0013371306825955998,GHA,2013
87,BRA,Growing tobacco industry,AGO,9.310364291355817e-06,GHA,2013
88,BRA,Growing fibre crops industry,AGO,0.0003927129419332268,GHA,2013
89,BRA,Growing crops n.e.c. industry,AGO,0.00010325048536602896,GHA,2013
90,BRA,Growing grapes industry,AGO,1.1124327173023224e-08,GHA,2013
91,BRA,Growing fruits and nuts industry,AGO,0.0,GHA,2013
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,GHA,2013
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.019979434973293e-07,GHA,2013
94,BRA,Seeds and plant propagation industry,AGO,0.0,GHA,2013
95,BRA,Raising of cattle industry,AGO,0.0007232066741483527,GHA,2013
96,BRA,Growing wheat industry,ALB,0.00010200216048128763,GHA,2013
97,BRA,Growing maize industry,ALB,9.50411187966592e-05,GHA,2013
98,BRA,Growing cereals n.e.c industry,ALB,7.071399661282674e-06,GHA,2013
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.0003188841686958407,GHA,2013
100,BRA,Growing rice industry,ALB,0.0,GHA,2013
101,BRA,"Growing vegetables, roots, tubers industry",ALB,1.2745177761461492e-07,GHA,2013
102,BRA,Growing sugar beet and cane industry,ALB,5.318863798332287e-05,GHA,2013
103,BRA,Growing tobacco industry,ALB,5.220573100527009e-08,GHA,2013
104,BRA,Growing fibre crops industry,ALB,5.381445692113912e-06,GHA,2013
105,BRA,Growing crops n.e.c. industry,ALB,3.904707580834316e-06,GHA,2013
106,BRA,Growing grapes industry,ALB,2.2043691114254752e-10,GHA,2013
107,BRA,Growing fruits and nuts industry,ALB,0.0,GHA,2013
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,0.0,GHA,2013
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,1.457159841508033e-09,GHA,2013
110,BRA,Seeds and plant propagation industry,ALB,0.0,GHA,2013
111,BRA,Raising of cattle industry,ALB,1.6544813601905194e-05,GHA,2013
112,BRA,Growing wheat industry,ARE,0.03119137949468018,GHA,2013
113,BRA,Growing maize industry,ARE,0.016576194720113322,GHA,2013
114,BRA,Growing cereals n.e.c industry,ARE,0.0009634194830825194,GHA,2013
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.07642849139723881,GHA,2013
116,BRA,Growing rice industry,ARE,0.0,GHA,2013
117,BRA,"Growing vegetables, roots, tubers industry",ARE,1.1058230604224579e-05,GHA,2013
118,BRA,Growing sugar beet and cane industry,ARE,0.005465345428219356,GHA,2013
119,BRA,Growing tobacco industry,ARE,5.4344811664115995e-06,GHA,2013
120,BRA,Growing fibre crops industry,ARE,0.0005947714625754769,GHA,2013
121,BRA,Growing crops n.e.c. industry,ARE,0.0002918994148325056,GHA,2013
122,BRA,Growing grapes industry,ARE,1.9631426928282603e-08,GHA,2013
123,BRA,Growing fruits and nuts industry,ARE,0.0,GHA,2013
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0,GHA,2013
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.4051494367050288e-07,GHA,2013
126,BRA,Seeds and plant propagation industry,ARE,0.0,GHA,2013
127,BRA,Raising of cattle industry,ARE,0.0022530428563194258,GHA,2013
128,BRA,Growing wheat industry,ARG,0.0009917208230908422,GHA,2013
129,BRA,Growing maize industry,ARG,0.0008866076003776463,GHA,2013
130,BRA,Growing cereals n.e.c industry,ARG,6.765031794401528e-05,GHA,2013
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0036950575945970854,GHA,2013
132,BRA,Growing rice industry,ARG,0.0,GHA,2013
133,BRA,"Growing vegetables, roots, tubers industry",ARG,1.6327464427879301e-06,GHA,2013
134,BRA,Growing sugar beet and cane industry,ARG,0.00039592122546752717,GHA,2013
135,BRA,Growing tobacco industry,ARG,6.481173731445774e-07,GHA,2013
136,BRA,Growing fibre crops industry,ARG,5.8363672862393376e-05,GHA,2013
137,BRA,Growing crops n.e.c. industry,ARG,3.894799242482175e-05,GHA,2013
138,BRA,Growing grapes industry,ARG,2.923718654896614e-09,GHA,2013
139,BRA,Growing fruits and nuts industry,ARG,0.0,GHA,2013
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,0.0,GHA,2013
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,1.561264024197428e-08,GHA,2013
142,BRA,Seeds and plant propagation industry,ARG,0.0,GHA,2013
143,BRA,Raising of cattle industry,ARG,0.00017018210065279098,GHA,2013
144,BRA,Growing wheat industry,ARM,0.0002637236541024204,GHA,2013
145,BRA,Growing maize industry,ARM,0.000184609837116072,GHA,2013
146,BRA,Growing cereals n.e.c industry,ARM,8.020627659960113e-06,GHA,2013
147,BRA,Growing leguminous crops and oil seeds industry,ARM,0.00043127084613536374,GHA,2013
148,BRA,Growing rice industry,ARM,0.0,GHA,2013
149,BRA,"Growing vegetables, roots, tubers industry",ARM,1.3867803407099582e-07,GHA,2013
150,BRA,Growing sugar beet and cane industry,ARM,5.3370586057330695e-05,GHA,2013
151,BRA,Growing tobacco industry,ARM,6.196506284234782e-08,GHA,2013
152,BRA,Growing fibre crops industry,ARM,6.283765323005837e-06,GHA,2013
153,BRA,Growing crops n.e.c. industry,ARM,4.789022034000715e-06,GHA,2013
154,BRA,Growing grapes industry,ARM,2.350789963994269e-10,GHA,2013
155,BRA,Growing fruits and nuts industry,ARM,0.0,GHA,2013
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,0.0,GHA,2013
157,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,1.7334461023586737e-09,GHA,2013
158,BRA,Seeds and plant propagation industry,ARM,0.0,GHA,2013
159,BRA,Raising of cattle industry,ARM,1.9552669647282627e-05,GHA,2013
160,BRA,Growing wheat industry,AUS,0.008279789320789316,GHA,2013
161,BRA,Growing maize industry,AUS,0.008234312275654836,GHA,2013
162,BRA,Growing cereals n.e.c industry,AUS,0.0016428275113063698,GHA,2013
163,BRA,Growing leguminous crops and oil seeds industry,AUS,0.03330937645832653,GHA,2013
164,BRA,Growing rice industry,AUS,0.0,GHA,2013
165,BRA,"Growing vegetables, roots, tubers industry",AUS,1.0379232089447797e-05,GHA,2013
166,BRA,Growing sugar beet and cane industry,AUS,0.005400081848632085,GHA,2013
167,BRA,Growing tobacco industry,AUS,5.803071295095135e-06,GHA,2013
168,BRA,Growing fibre crops industry,AUS,0.00039201483263064866,GHA,2013
169,BRA,Growing crops n.e.c. industry,AUS,0.0017461493270853271,GHA,2013
170,BRA,Growing grapes industry,AUS,1.456286520507552e-08,GHA,2013
171,BRA,Growing fruits and nuts industry,AUS,0.0,GHA,2013
172,BRA,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0,GHA,2013
173,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,9.645361533923187e-08,GHA,2013
174,BRA,Seeds and plant propagation industry,AUS,0.0,GHA,2013
175,BRA,Raising of cattle industry,AUS,0.0028231898175173713,GHA,2013
176,BRA,Growing wheat industry,AUT,0.005600939867578611,GHA,2013
177,BRA,Growing maize industry,AUT,0.005936517435487096,GHA,2013
178,BRA,Growing cereals n.e.c industry,AUT,0.000754638008563767,GHA,2013
179,BRA,Growing leguminous crops and oil seeds industry,AUT,0.02578695248156418,GHA,2013
180,BRA,Growing rice industry,AUT,0.0,GHA,2013
181,BRA,"Growing vegetables, roots, tubers industry",AUT,7.072662230138009e-06,GHA,2013
182,BRA,Growing sugar beet and cane industry,AUT,0.005056759803083254,GHA,2013
183,BRA,Growing tobacco industry,AUT,3.0066028928620534e-06,GHA,2013
184,BRA,Growing fibre crops industry,AUT,0.0002945997269359799,GHA,2013
185,BRA,Growing crops n.e.c. industry,AUT,0.000513255158326857,GHA,2013
186,BRA,Growing grapes industry,AUT,1.2538199338968762e-08,GHA,2013
187,BRA,Growing fruits and nuts industry,AUT,0.0,GHA,2013
188,BRA,"Growing beverage crops (coffee, tea etc) industry",AUT,0.0,GHA,2013
189,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,7.514370857879316e-08,GHA,2013
190,BRA,Seeds and plant propagation industry,AUT,0.0,GHA,2013
191,BRA,Raising of cattle industry,AUT,0.0015613674941908674,GHA,2013
192,BRA,Growing wheat industry,AZE,0.00030378984026137627,GHA,2013
193,BRA,Growing maize industry,AZE,0.00024979730282498585,GHA,2013
194,BRA,Growing cereals n.e.c industry,AZE,1.733672342212353e-05,GHA,2013
195,BRA,Growing leguminous crops and oil seeds industry,AZE,0.0006219215587285718,GHA,2013
196,BRA,Growing rice industry,AZE,0.0,GHA,2013
197,BRA,"Growing vegetables, roots, tubers industry",AZE,2.3239035815006042e-07,GHA,2013
198,BRA,Growing sugar beet and cane industry,AZE,0.00010324335799119795,GHA,2013
199,BRA,Growing tobacco industry,AZE,1.0040815541217243e-07,GHA,2013
200,BRA,Growing fibre crops industry,AZE,9.715857430411315e-06,GHA,2013
201,BRA,Growing crops n.e.c. industry,AZE,1.27303686444067e-05,GHA,2013
202,BRA,Growing grapes industry,AZE,4.02224757406808e-10,GHA,2013
203,BRA,Growing fruits and nuts industry,AZE,0.0,GHA,2013
204,BRA,"Growing beverage crops (coffee, tea etc) industry",AZE,0.0,GHA,2013
205,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,2.719074650770635e-09,GHA,2013
206,BRA,Seeds and plant propagation industry,AZE,0.0,GHA,2013
207,BRA,Raising of cattle industry,AZE,3.735217626836793e-05,GHA,2013
208,BRA,Growing wheat industry,BDI,1.7936147061371577e-05,GHA,2013
209,BRA,Growing maize industry,BDI,1.6476127487561082e-05,GHA,2013
210,BRA,Growing cereals n.e.c industry,BDI,1.2442437670507992e-06,GHA,2013
211,BRA,Growing leguminous crops and oil seeds industry,BDI,5.554111648304926e-05,GHA,2013
212,BRA,Growing rice industry,BDI,0.0,GHA,2013
213,BRA,"Growing vegetables, roots, tubers industry",BDI,2.5871756580042888e-08,GHA,2013
214,BRA,Growing sugar beet and cane industry,BDI,7.1787051020337564e-06,GHA,2013
215,BRA,Growing tobacco industry,BDI,1.1209612305462403e-08,GHA,2013
216,BRA,Growing fibre crops industry,BDI,9.849429419581892e-07,GHA,2013
217,BRA,Growing crops n.e.c. industry,BDI,7.757723732829148e-07,GHA,2013
218,BRA,Growing grapes industry,BDI,4.425327405502277e-11,GHA,2013
219,BRA,Growing fruits and nuts industry,BDI,0.0,GHA,2013
220,BRA,"Growing beverage crops (coffee, tea etc) industry",BDI,0.0,GHA,2013
221,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",BDI,7.461438906785567e-10,GHA,2013
222,BRA,Seeds and plant propagation industry,BDI,0.0,GHA,2013
223,BRA,Raising of cattle industry,BDI,2.929364273902801e-06,GHA,2013
224,BRA,Growing wheat industry,BEL,0.023054634326347377,GHA,2013
225,BRA,Growing maize industry,BEL,0.018887575246183157,GHA,2013
226,BRA,Growing cereals n.e.c industry,BEL,0.0021667119455920083,GHA,2013
227,BRA,Growing leguminous crops and oil seeds industry,BEL,0.09958500662070541,GHA,2013
228,BRA,Growing rice industry,BEL,0.0,GHA,2013
229,BRA,"Growing vegetables, roots, tubers industry",BEL,1.8787382982688763e-05,GHA,2013
230,BRA,Growing sugar beet and cane industry,BEL,0.015714350107175902,GHA,2013
231,BRA,Growing tobacco industry,BEL,8.180262555230805e-06,GHA,2013
232,BRA,Growing fibre crops industry,BEL,0.0008753573732457934,GHA,2013
233,BRA,Growing crops n.e.c. industry,BEL,0.0013261024531946392,GHA,2013
234,BRA,Growing grapes industry,BEL,3.328845573287633e-08,GHA,2013
235,BRA,Growing fruits and nuts industry,BEL,0.0,GHA,2013
236,BRA,"Growing beverage crops (coffee, tea etc) industry",BEL,0.0,GHA,2013
237,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",BEL,1.9882291908294647e-07,GHA,2013
238,BRA,Seeds and plant propagation industry,BEL,0.0,GHA,2013
239,BRA,Raising of cattle industry,BEL,0.004794826612802443,GHA,2013
240,BRA,Growing wheat industry,BEN,0.0022417797418039466,GHA,2013
241,BRA,Growing maize industry,BEN,0.0019539351340823598,GHA,2013
242,BRA,Growing cereals n.e.c industry,BEN,0.0002332590257550621,GHA,2013
