,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0006408031032375518,MDG,2013
1,BRA,Growing maize industry,XAM,0.00020178753937551876,MDG,2013
2,BRA,Growing cereals n.e.c industry,XAM,1.2747191056373244e-05,MDG,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0029163226200264567,MDG,2013
4,BRA,Growing rice industry,XAM,0.0,MDG,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,2.57331471521884e-07,MDG,2013
6,BRA,Growing sugar beet and cane industry,XAM,0.00023617317867250746,MDG,2013
7,BRA,Growing tobacco industry,XAM,6.642489722977508e-08,MDG,2013
8,BRA,Growing fibre crops industry,XAM,1.7555480918576776e-05,MDG,2013
9,BRA,Growing crops n.e.c. industry,XAM,5.004937127710938e-06,MDG,2013
10,BRA,Growing grapes industry,XAM,4.763608204874125e-10,MDG,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,MDG,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,MDG,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.595077387360901e-09,MDG,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,MDG,2013
15,BRA,Raising of cattle industry,XAM,0.00015198404658489385,MDG,2013
16,BRA,Growing wheat industry,XEU,1.1365291531327721e-05,MDG,2013
17,BRA,Growing maize industry,XEU,9.232307698022747e-06,MDG,2013
18,BRA,Growing cereals n.e.c industry,XEU,3.584109913279651e-07,MDG,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00025771067949023824,MDG,2013
20,BRA,Growing rice industry,XEU,0.0,MDG,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.4492246900387474e-08,MDG,2013
22,BRA,Growing sugar beet and cane industry,XEU,5.550207290050151e-06,MDG,2013
23,BRA,Growing tobacco industry,XEU,1.0723822349355708e-08,MDG,2013
24,BRA,Growing fibre crops industry,XEU,2.3210045460245115e-06,MDG,2013
25,BRA,Growing crops n.e.c. industry,XEU,1.347730440237337e-07,MDG,2013
26,BRA,Growing grapes industry,XEU,4.41421645820555e-11,MDG,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,MDG,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,MDG,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.162318463586799e-10,MDG,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,MDG,2013
31,BRA,Raising of cattle industry,XEU,2.4943994623582697e-06,MDG,2013
32,BRA,Growing wheat industry,XAF,0.001369485409124838,MDG,2013
33,BRA,Growing maize industry,XAF,0.0011696292814331074,MDG,2013
34,BRA,Growing cereals n.e.c industry,XAF,3.670142605916566e-05,MDG,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.024899522228198957,MDG,2013
36,BRA,Growing rice industry,XAF,0.0,MDG,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,2.389632152165094e-06,MDG,2013
38,BRA,Growing sugar beet and cane industry,XAF,0.0007301187933535225,MDG,2013
39,BRA,Growing tobacco industry,XAF,1.0302133328589488e-06,MDG,2013
40,BRA,Growing fibre crops industry,XAF,0.00020052784554984557,MDG,2013
41,BRA,Growing crops n.e.c. industry,XAF,1.5196821611019079e-05,MDG,2013
42,BRA,Growing grapes industry,XAF,4.2465092893212594e-09,MDG,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,MDG,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,MDG,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.59666345255435e-08,MDG,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,MDG,2013
47,BRA,Raising of cattle industry,XAF,0.0003212278494186374,MDG,2013
48,BRA,Growing wheat industry,XAS,4.991236967369053e-05,MDG,2013
49,BRA,Growing maize industry,XAS,4.0334079327143335e-05,MDG,2013
50,BRA,Growing cereals n.e.c industry,XAS,1.4432260999942662e-06,MDG,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0013958005310054948,MDG,2013
52,BRA,Growing rice industry,XAS,0.0,MDG,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,9.651568469198893e-08,MDG,2013
54,BRA,Growing sugar beet and cane industry,XAS,2.3737895123403303e-05,MDG,2013
55,BRA,Growing tobacco industry,XAS,4.703183076859926e-08,MDG,2013
56,BRA,Growing fibre crops industry,XAS,1.0271871026441045e-05,MDG,2013
57,BRA,Growing crops n.e.c. industry,XAS,5.331478917573019e-07,MDG,2013
58,BRA,Growing grapes industry,XAS,1.614667060688636e-10,MDG,2013
59,BRA,Growing fruits and nuts industry,XAS,0.0,MDG,2013
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,MDG,2013
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.673066820076601e-09,MDG,2013
62,BRA,Seeds and plant propagation industry,XAS,0.0,MDG,2013
63,BRA,Raising of cattle industry,XAS,1.1645857480797289e-05,MDG,2013
64,BRA,Growing wheat industry,AFG,1.715211677632275e-05,MDG,2013
65,BRA,Growing maize industry,AFG,2.1117816659388227e-05,MDG,2013
66,BRA,Growing cereals n.e.c industry,AFG,7.940638304621801e-07,MDG,2013
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.00039932854927753666,MDG,2013
68,BRA,Growing rice industry,AFG,0.0,MDG,2013
69,BRA,"Growing vegetables, roots, tubers industry",AFG,4.334203355319708e-08,MDG,2013
70,BRA,Growing sugar beet and cane industry,AFG,1.999070562890163e-05,MDG,2013
71,BRA,Growing tobacco industry,AFG,1.487992049072959e-08,MDG,2013
72,BRA,Growing fibre crops industry,AFG,2.487135221912997e-06,MDG,2013
73,BRA,Growing crops n.e.c. industry,AFG,3.7017983896026605e-07,MDG,2013
74,BRA,Growing grapes industry,AFG,8.361899190418925e-11,MDG,2013
75,BRA,Growing fruits and nuts industry,AFG,0.0,MDG,2013
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,MDG,2013
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,9.320761140557439e-10,MDG,2013
78,BRA,Seeds and plant propagation industry,AFG,0.0,MDG,2013
79,BRA,Raising of cattle industry,AFG,5.25226099207384e-06,MDG,2013
80,BRA,Growing wheat industry,AGO,5.7388135408927615e-05,MDG,2013
81,BRA,Growing maize industry,AGO,5.796929463357984e-05,MDG,2013
82,BRA,Growing cereals n.e.c industry,AGO,2.386601109129293e-06,MDG,2013
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0008136944564536026,MDG,2013
84,BRA,Growing rice industry,AGO,0.0,MDG,2013
85,BRA,"Growing vegetables, roots, tubers industry",AGO,1.244384838183192e-07,MDG,2013
86,BRA,Growing sugar beet and cane industry,AGO,4.3412204689724396e-05,MDG,2013
87,BRA,Growing tobacco industry,AGO,4.844001734224855e-08,MDG,2013
88,BRA,Growing fibre crops industry,AGO,6.702045189928741e-06,MDG,2013
89,BRA,Growing crops n.e.c. industry,AGO,8.649225342026908e-07,MDG,2013
90,BRA,Growing grapes industry,AGO,2.040497014564294e-10,MDG,2013
91,BRA,Growing fruits and nuts industry,AGO,0.0,MDG,2013
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,MDG,2013
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.0422757211569065e-09,MDG,2013
94,BRA,Seeds and plant propagation industry,AGO,0.0,MDG,2013
95,BRA,Raising of cattle industry,AGO,1.6555443405181302e-05,MDG,2013
96,BRA,Growing wheat industry,ALB,5.12380650689127e-06,MDG,2013
97,BRA,Growing maize industry,ALB,4.757524395944166e-06,MDG,2013
98,BRA,Growing cereals n.e.c industry,ALB,2.275416354954257e-07,MDG,2013
99,BRA,Growing leguminous crops and oil seeds industry,ALB,8.679271873557738e-05,MDG,2013
100,BRA,Growing rice industry,ALB,0.0,MDG,2013
101,BRA,"Growing vegetables, roots, tubers industry",ALB,1.4849203030722581e-08,MDG,2013
102,BRA,Growing sugar beet and cane industry,ALB,3.070919088919834e-06,MDG,2013
103,BRA,Growing tobacco industry,ALB,5.42257721739695e-09,MDG,2013
104,BRA,Growing fibre crops industry,ALB,8.312450742026668e-07,MDG,2013
105,BRA,Growing crops n.e.c. industry,ALB,8.481073255389777e-08,MDG,2013
106,BRA,Growing grapes industry,ALB,2.5507614416250862e-11,MDG,2013
107,BRA,Growing fruits and nuts industry,ALB,0.0,MDG,2013
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,0.0,MDG,2013
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,2.58632226241138e-10,MDG,2013
110,BRA,Seeds and plant propagation industry,ALB,0.0,MDG,2013
111,BRA,Raising of cattle industry,ALB,1.4320566909484086e-06,MDG,2013
112,BRA,Growing wheat industry,ARE,0.0014961138996629926,MDG,2013
113,BRA,Growing maize industry,ARE,0.001438842299094755,MDG,2013
114,BRA,Growing cereals n.e.c industry,ARE,5.196360961620137e-05,MDG,2013
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.028954407765095835,MDG,2013
116,BRA,Growing rice industry,ARE,0.0,MDG,2013
117,BRA,"Growing vegetables, roots, tubers industry",ARE,3.652792676437112e-06,MDG,2013
118,BRA,Growing sugar beet and cane industry,ARE,0.000993265589339928,MDG,2013
119,BRA,Growing tobacco industry,ARE,1.0420729015570032e-06,MDG,2013
120,BRA,Growing fibre crops industry,ARE,0.0002997494490808658,MDG,2013
121,BRA,Growing crops n.e.c. industry,ARE,2.4216004744130788e-05,MDG,2013
122,BRA,Growing grapes industry,ARE,7.165506748814055e-09,MDG,2013
123,BRA,Growing fruits and nuts industry,ARE,0.0,MDG,2013
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0,MDG,2013
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.227286581714497e-07,MDG,2013
126,BRA,Seeds and plant propagation industry,ARE,0.0,MDG,2013
127,BRA,Raising of cattle industry,ARE,0.00032645852491488463,MDG,2013
128,BRA,Growing wheat industry,ARG,7.56256069916377e-05,MDG,2013
129,BRA,Growing maize industry,ARG,9.045942541558062e-05,MDG,2013
130,BRA,Growing cereals n.e.c industry,ARG,3.0818577232748035e-06,MDG,2013
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0016501430030395868,MDG,2013
132,BRA,Growing rice industry,ARG,0.0,MDG,2013
133,BRA,"Growing vegetables, roots, tubers industry",ARG,1.657850043538764e-07,MDG,2013
