,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,1.8883661121384074e-05,MWI,2013
1,BRA,Growing maize industry,XAM,2.48292357397579e-05,MWI,2013
2,BRA,Growing cereals n.e.c industry,XAM,2.004343182572368e-06,MWI,2013
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.00020637215172068226,MWI,2013
4,BRA,Growing rice industry,XAM,0.0,MWI,2013
5,BRA,"Growing vegetables, roots, tubers industry",XAM,8.853851604818216e-08,MWI,2013
6,BRA,Growing sugar beet and cane industry,XAM,6.856752199441137e-06,MWI,2013
7,BRA,Growing tobacco industry,XAM,4.2531897197028304e-08,MWI,2013
8,BRA,Growing fibre crops industry,XAM,4.7334699750436244e-06,MWI,2013
9,BRA,Growing crops n.e.c. industry,XAM,8.559991299903766e-07,MWI,2013
10,BRA,Growing grapes industry,XAM,1.2951890421306864e-10,MWI,2013
11,BRA,Growing fruits and nuts industry,XAM,0.0,MWI,2013
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,MWI,2013
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.041154792381049e-09,MWI,2013
14,BRA,Seeds and plant propagation industry,XAM,0.0,MWI,2013
15,BRA,Raising of cattle industry,XAM,7.339838230179751e-06,MWI,2013
16,BRA,Growing wheat industry,XEU,5.184665734967274e-06,MWI,2013
17,BRA,Growing maize industry,XEU,5.338697181911345e-06,MWI,2013
18,BRA,Growing cereals n.e.c industry,XEU,3.3972316270819187e-07,MWI,2013
19,BRA,Growing leguminous crops and oil seeds industry,XEU,3.719935730130354e-05,MWI,2013
20,BRA,Growing rice industry,XEU,0.0,MWI,2013
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.6762309218040264e-08,MWI,2013
22,BRA,Growing sugar beet and cane industry,XEU,1.2114662970458622e-06,MWI,2013
23,BRA,Growing tobacco industry,XEU,7.608947829992693e-09,MWI,2013
24,BRA,Growing fibre crops industry,XEU,9.550819084978165e-07,MWI,2013
25,BRA,Growing crops n.e.c. industry,XEU,1.5068682594395157e-07,MWI,2013
26,BRA,Growing grapes industry,XEU,2.3699674715472025e-11,MWI,2013
27,BRA,Growing fruits and nuts industry,XEU,0.0,MWI,2013
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,MWI,2013
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.447738802038552e-10,MWI,2013
30,BRA,Seeds and plant propagation industry,XEU,0.0,MWI,2013
31,BRA,Raising of cattle industry,XEU,1.3403677089044695e-06,MWI,2013
32,BRA,Growing wheat industry,XAF,0.00014817674566555933,MWI,2013
33,BRA,Growing maize industry,XAF,0.00013472225330180603,MWI,2013
34,BRA,Growing cereals n.e.c industry,XAF,1.1638091924147913e-05,MWI,2013
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0012492823067940789,MWI,2013
36,BRA,Growing rice industry,XAF,0.0,MWI,2013
37,BRA,"Growing vegetables, roots, tubers industry",XAF,3.7023674777593016e-07,MWI,2013
38,BRA,Growing sugar beet and cane industry,XAF,3.8084151118934034e-05,MWI,2013
39,BRA,Growing tobacco industry,XAF,2.045307263995807e-07,MWI,2013
40,BRA,Growing fibre crops industry,XAF,2.7592021134765998e-05,MWI,2013
41,BRA,Growing crops n.e.c. industry,XAF,5.61451806012931e-06,MWI,2013
42,BRA,Growing grapes industry,XAF,6.475993652597169e-10,MWI,2013
43,BRA,Growing fruits and nuts industry,XAF,0.0,MWI,2013
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,MWI,2013
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.1959481718533451e-08,MWI,2013
46,BRA,Seeds and plant propagation industry,XAF,0.0,MWI,2013
47,BRA,Raising of cattle industry,XAF,4.172594064831723e-05,MWI,2013
48,BRA,Growing wheat industry,XAS,1.2531181509372217e-05,MWI,2013
49,BRA,Growing maize industry,XAS,1.5269962865242316e-05,MWI,2013
50,BRA,Growing cereals n.e.c industry,XAS,1.2861461567332101e-06,MWI,2013
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.00013247222847027968,MWI,2013
52,BRA,Growing rice industry,XAS,0.0,MWI,2013
53,BRA,"Growing vegetables, roots, tubers industry",XAS,4.684497576853563e-08,MWI,2013
