,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.04652381889261662,CAN,2014
1,BRA,Growing maize industry,XAM,0.045557202158546146,CAN,2014
2,BRA,Growing cereals n.e.c industry,XAM,0.014557285914077416,CAN,2014
3,BRA,Growing leguminous crops and oil seeds industry,XAM,1.1508305048204193,CAN,2014
4,BRA,Growing rice industry,XAM,0.0,CAN,2014
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.00022114599978994347,CAN,2014
6,BRA,Growing sugar beet and cane industry,XAM,0.04225721433873752,CAN,2014
7,BRA,Growing tobacco industry,XAM,0.00010245076342289239,CAN,2014
8,BRA,Growing fibre crops industry,XAM,0.010675835290318068,CAN,2014
9,BRA,Growing crops n.e.c. industry,XAM,0.004223856171444745,CAN,2014
10,BRA,Growing grapes industry,XAM,0.0,CAN,2014
11,BRA,Growing fruits and nuts industry,XAM,0.0,CAN,2014
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,CAN,2014
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.3368890016501395e-05,CAN,2014
14,BRA,Seeds and plant propagation industry,XAM,0.0,CAN,2014
15,BRA,Raising of cattle industry,XAM,0.04329507840447727,CAN,2014
16,BRA,Growing wheat industry,XEU,0.0005346035447169716,CAN,2014
17,BRA,Growing maize industry,XEU,0.0008745198399443034,CAN,2014
18,BRA,Growing cereals n.e.c industry,XEU,0.0002880192998285904,CAN,2014
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.020124311517486934,CAN,2014
20,BRA,Growing rice industry,XEU,0.0,CAN,2014
21,BRA,"Growing vegetables, roots, tubers industry",XEU,5.145775421843102e-06,CAN,2014
22,BRA,Growing sugar beet and cane industry,XEU,0.0009549938486336375,CAN,2014
23,BRA,Growing tobacco industry,XEU,2.4551364400992537e-06,CAN,2014
24,BRA,Growing fibre crops industry,XEU,0.00018426744826822652,CAN,2014
