,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.00013520773625002127,IRQ,2015
1,BRA,Growing maize industry,XAM,3.986088954318711e-05,IRQ,2015
2,BRA,Growing cereals n.e.c industry,XAM,4.449803119866636e-06,IRQ,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0013718406472884638,IRQ,2015
4,BRA,Growing rice industry,XAM,0.0,IRQ,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.3059792040103503e-06,IRQ,2015
6,BRA,Growing sugar beet and cane industry,XAM,2.5024169517570607e-05,IRQ,2015
7,BRA,Growing tobacco industry,XAM,4.5010170495725674e-07,IRQ,2015
8,BRA,Growing fibre crops industry,XAM,3.678342634321072e-05,IRQ,2015
9,BRA,Growing crops n.e.c. industry,XAM,2.1960367134994453e-06,IRQ,2015
10,BRA,Growing grapes industry,XAM,0.0,IRQ,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,IRQ,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,3.402154310386156e-06,IRQ,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.821946705359277e-06,IRQ,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,IRQ,2015
15,BRA,Raising of cattle industry,XAM,5.919464472134213e-05,IRQ,2015
16,BRA,Growing wheat industry,XEU,7.17218456279024e-05,IRQ,2015
17,BRA,Growing maize industry,XEU,1.3367528228654434e-05,IRQ,2015
18,BRA,Growing cereals n.e.c industry,XEU,1.8993079951213382e-06,IRQ,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.000595188502413726,IRQ,2015
20,BRA,Growing rice industry,XEU,0.0,IRQ,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,4.961392117507661e-07,IRQ,2015
22,BRA,Growing sugar beet and cane industry,XEU,1.5881525306375936e-05,IRQ,2015
23,BRA,Growing tobacco industry,XEU,1.6824243227041856e-07,IRQ,2015
24,BRA,Growing fibre crops industry,XEU,1.748606174815653e-05,IRQ,2015
25,BRA,Growing crops n.e.c. industry,XEU,8.93312428633822e-07,IRQ,2015
26,BRA,Growing grapes industry,XEU,0.0,IRQ,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,IRQ,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,1.6260994401742729e-06,IRQ,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.3903040615992504e-07,IRQ,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,IRQ,2015
31,BRA,Raising of cattle industry,XEU,3.570072943885282e-05,IRQ,2015
32,BRA,Growing wheat industry,XAF,0.00018342417966784848,IRQ,2015
33,BRA,Growing maize industry,XAF,5.617247332673779e-05,IRQ,2015
34,BRA,Growing cereals n.e.c industry,XAF,6.946054491310323e-06,IRQ,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0020122240445070542,IRQ,2015
36,BRA,Growing rice industry,XAF,0.0,IRQ,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.9694914995272087e-06,IRQ,2015
38,BRA,Growing sugar beet and cane industry,XAF,3.775174135989072e-05,IRQ,2015
39,BRA,Growing tobacco industry,XAF,7.272029567323508e-07,IRQ,2015
40,BRA,Growing fibre crops industry,XAF,5.630524292417407e-05,IRQ,2015
41,BRA,Growing crops n.e.c. industry,XAF,3.729973575299727e-06,IRQ,2015
42,BRA,Growing grapes industry,XAF,0.0,IRQ,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,IRQ,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,4.29276501105661e-06,IRQ,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.240587042754002e-07,IRQ,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,IRQ,2015
47,BRA,Raising of cattle industry,XAF,8.391698837055429e-05,IRQ,2015
48,BRA,Growing wheat industry,XAS,0.0002102106364297747,IRQ,2015
49,BRA,Growing maize industry,XAS,7.329098826559384e-05,IRQ,2015
50,BRA,Growing cereals n.e.c industry,XAS,8.455005635876651e-06,IRQ,2015
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.002462432707853888,IRQ,2015
52,BRA,Growing rice industry,XAS,0.0,IRQ,2015
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.3583465567905408e-06,IRQ,2015
54,BRA,Growing sugar beet and cane industry,XAS,4.3060647792520076e-05,IRQ,2015
55,BRA,Growing tobacco industry,XAS,8.621815810606888e-07,IRQ,2015
56,BRA,Growing fibre crops industry,XAS,6.132522484494319e-05,IRQ,2015
57,BRA,Growing crops n.e.c. industry,XAS,4.867464617452463e-06,IRQ,2015
58,BRA,Growing grapes industry,XAS,0.0,IRQ,2015
59,BRA,Growing fruits and nuts industry,XAS,0.0,IRQ,2015
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,4.2757991347177616e-06,IRQ,2015
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.034147854579609e-07,IRQ,2015
62,BRA,Seeds and plant propagation industry,XAS,0.0,IRQ,2015
63,BRA,Raising of cattle industry,XAS,9.241725885974448e-05,IRQ,2015
64,BRA,Growing wheat industry,AFG,0.00011853336869909794,IRQ,2015
65,BRA,Growing maize industry,AFG,2.3883442019227035e-05,IRQ,2015
66,BRA,Growing cereals n.e.c industry,AFG,3.0023756605035633e-06,IRQ,2015
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0008264309998528201,IRQ,2015
68,BRA,Growing rice industry,AFG,0.0,IRQ,2015
69,BRA,"Growing vegetables, roots, tubers industry",AFG,7.516971485273678e-07,IRQ,2015
70,BRA,Growing sugar beet and cane industry,AFG,2.170013827874301e-05,IRQ,2015
71,BRA,Growing tobacco industry,AFG,2.153144553690523e-07,IRQ,2015
72,BRA,Growing fibre crops industry,AFG,2.248058882033551e-05,IRQ,2015
73,BRA,Growing crops n.e.c. industry,AFG,2.4767236996353624e-06,IRQ,2015
74,BRA,Growing grapes industry,AFG,0.0,IRQ,2015
75,BRA,Growing fruits and nuts industry,AFG,0.0,IRQ,2015
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,1.914577186490868e-06,IRQ,2015
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,6.734715553016563e-07,IRQ,2015
78,BRA,Seeds and plant propagation industry,AFG,0.0,IRQ,2015
79,BRA,Raising of cattle industry,AFG,5.4443782301812834e-05,IRQ,2015
80,BRA,Growing wheat industry,AGO,0.0012515085979437808,IRQ,2015
81,BRA,Growing maize industry,AGO,0.00037173461237994046,IRQ,2015
82,BRA,Growing cereals n.e.c industry,AGO,3.213923739532088e-05,IRQ,2015
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.013305863770743585,IRQ,2015
84,BRA,Growing rice industry,AGO,0.0,IRQ,2015
85,BRA,"Growing vegetables, roots, tubers industry",AGO,6.694831483611437e-06,IRQ,2015
86,BRA,Growing sugar beet and cane industry,AGO,0.0001939236166740504,IRQ,2015
87,BRA,Growing tobacco industry,AGO,2.2162652352838383e-06,IRQ,2015
88,BRA,Growing fibre crops industry,AGO,0.0004307468069131587,IRQ,2015
89,BRA,Growing crops n.e.c. industry,AGO,5.261221566359471e-05,IRQ,2015
90,BRA,Growing grapes industry,AGO,0.0,IRQ,2015
91,BRA,Growing fruits and nuts industry,AGO,0.0,IRQ,2015
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,1.4785217938586004e-05,IRQ,2015
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.013202449009319e-06,IRQ,2015
94,BRA,Seeds and plant propagation industry,AGO,0.0,IRQ,2015
95,BRA,Raising of cattle industry,AGO,0.0006252750133068797,IRQ,2015
96,BRA,Growing wheat industry,ALB,5.195139298452761e-05,IRQ,2015
97,BRA,Growing maize industry,ALB,1.4437122983334426e-05,IRQ,2015
98,BRA,Growing cereals n.e.c industry,ALB,1.4690495636509623e-06,IRQ,2015
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.0004646641093828834,IRQ,2015
100,BRA,Growing rice industry,ALB,0.0,IRQ,2015
101,BRA,"Growing vegetables, roots, tubers industry",ALB,4.243603391551244e-07,IRQ,2015
102,BRA,Growing sugar beet and cane industry,ALB,7.774907115332636e-06,IRQ,2015
103,BRA,Growing tobacco industry,ALB,1.4082102762968861e-07,IRQ,2015
104,BRA,Growing fibre crops industry,ALB,1.1184838503865554e-05,IRQ,2015
105,BRA,Growing crops n.e.c. industry,ALB,8.770590461687886e-07,IRQ,2015
106,BRA,Growing grapes industry,ALB,0.0,IRQ,2015
107,BRA,Growing fruits and nuts industry,ALB,0.0,IRQ,2015
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,1.6068804825313784e-06,IRQ,2015
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,1.0624365594545873e-06,IRQ,2015
110,BRA,Seeds and plant propagation industry,ALB,0.0,IRQ,2015
111,BRA,Raising of cattle industry,ALB,2.0890843047717175e-05,IRQ,2015
112,BRA,Growing wheat industry,ARE,0.0035228482380945895,IRQ,2015
113,BRA,Growing maize industry,ARE,0.0007377611801502834,IRQ,2015
114,BRA,Growing cereals n.e.c industry,ARE,7.870216549679389e-05,IRQ,2015
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.025007778070488238,IRQ,2015
116,BRA,Growing rice industry,ARE,0.0,IRQ,2015
117,BRA,"Growing vegetables, roots, tubers industry",ARE,2.1137347616821505e-05,IRQ,2015
118,BRA,Growing sugar beet and cane industry,ARE,0.0005636156011259243,IRQ,2015
119,BRA,Growing tobacco industry,ARE,6.703749241012321e-06,IRQ,2015
120,BRA,Growing fibre crops industry,ARE,0.0006909728293140201,IRQ,2015
121,BRA,Growing crops n.e.c. industry,ARE,5.777653780629191e-05,IRQ,2015
122,BRA,Growing grapes industry,ARE,0.0,IRQ,2015
123,BRA,Growing fruits and nuts industry,ARE,0.0,IRQ,2015
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,5.098065349557534e-05,IRQ,2015
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,6.562049868179264e-06,IRQ,2015
126,BRA,Seeds and plant propagation industry,ARE,0.0,IRQ,2015
127,BRA,Raising of cattle industry,ARE,0.0013916317473774318,IRQ,2015
128,BRA,Growing wheat industry,ARG,0.00033656138825438907,IRQ,2015
129,BRA,Growing maize industry,ARG,9.692736605221976e-05,IRQ,2015
130,BRA,Growing cereals n.e.c industry,ARG,9.312990830674206e-06,IRQ,2015
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0029468110651479917,IRQ,2015
132,BRA,Growing rice industry,ARG,0.0,IRQ,2015
133,BRA,"Growing vegetables, roots, tubers industry",ARG,3.0145393314298355e-06,IRQ,2015
134,BRA,Growing sugar beet and cane industry,ARG,5.233539666803131e-05,IRQ,2015
135,BRA,Growing tobacco industry,ARG,8.950711653559079e-07,IRQ,2015
136,BRA,Growing fibre crops industry,ARG,8.03279594722323e-05,IRQ,2015
137,BRA,Growing crops n.e.c. industry,ARG,5.277177583340868e-06,IRQ,2015
138,BRA,Growing grapes industry,ARG,0.0,IRQ,2015
139,BRA,Growing fruits and nuts industry,ARG,0.0,IRQ,2015
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,5.932140481519872e-06,IRQ,2015
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,1.1068181502534835e-05,IRQ,2015
142,BRA,Seeds and plant propagation industry,ARG,0.0,IRQ,2015
143,BRA,Raising of cattle industry,ARG,0.00012897275354329307,IRQ,2015
144,BRA,Growing wheat industry,ARM,0.0008200716226886945,IRQ,2015
145,BRA,Growing maize industry,ARM,0.0003230736831903682,IRQ,2015
146,BRA,Growing cereals n.e.c industry,ARM,1.832757867771586e-05,IRQ,2015
147,BRA,Growing leguminous crops and oil seeds industry,ARM,0.00848158947821985,IRQ,2015
148,BRA,Growing rice industry,ARM,0.0,IRQ,2015
149,BRA,"Growing vegetables, roots, tubers industry",ARM,5.6886272486724355e-06,IRQ,2015
150,BRA,Growing sugar beet and cane industry,ARM,0.00011741943925269037,IRQ,2015
151,BRA,Growing tobacco industry,ARM,1.6411368214685355e-06,IRQ,2015
152,BRA,Growing fibre crops industry,ARM,0.0002156080314028556,IRQ,2015
153,BRA,Growing crops n.e.c. industry,ARM,7.709328106415728e-06,IRQ,2015
154,BRA,Growing grapes industry,ARM,0.0,IRQ,2015
155,BRA,Growing fruits and nuts industry,ARM,0.0,IRQ,2015
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,1.7249726052507416e-05,IRQ,2015
157,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,1.6469871577945376e-06,IRQ,2015
158,BRA,Seeds and plant propagation industry,ARM,0.0,IRQ,2015
159,BRA,Raising of cattle industry,ARM,0.00025360388916151604,IRQ,2015
160,BRA,Growing wheat industry,AUS,0.0028023380981993576,IRQ,2015
161,BRA,Growing maize industry,AUS,0.0008237622060443921,IRQ,2015
162,BRA,Growing cereals n.e.c industry,AUS,7.64628968229561e-05,IRQ,2015
163,BRA,Growing leguminous crops and oil seeds industry,AUS,0.024271019840388035,IRQ,2015
164,BRA,Growing rice industry,AUS,0.0,IRQ,2015
165,BRA,"Growing vegetables, roots, tubers industry",AUS,2.1208500340781252e-05,IRQ,2015
166,BRA,Growing sugar beet and cane industry,AUS,0.00044803846562364017,IRQ,2015
167,BRA,Growing tobacco industry,AUS,6.994618858070279e-06,IRQ,2015
168,BRA,Growing fibre crops industry,AUS,0.000622075315507469,IRQ,2015
169,BRA,Growing crops n.e.c. industry,AUS,4.855997133589693e-05,IRQ,2015
170,BRA,Growing grapes industry,AUS,0.0,IRQ,2015
171,BRA,Growing fruits and nuts industry,AUS,0.0,IRQ,2015
172,BRA,"Growing beverage crops (coffee, tea etc) industry",AUS,4.429902148508663e-05,IRQ,2015
173,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,5.36042863237323e-05,IRQ,2015
174,BRA,Seeds and plant propagation industry,AUS,0.0,IRQ,2015
175,BRA,Raising of cattle industry,AUS,0.0011054569116909268,IRQ,2015
176,BRA,Growing wheat industry,AUT,0.0034960277328742943,IRQ,2015
177,BRA,Growing maize industry,AUT,0.0005762851786025125,IRQ,2015
178,BRA,Growing cereals n.e.c industry,AUT,7.372767833824741e-05,IRQ,2015
179,BRA,Growing leguminous crops and oil seeds industry,AUT,0.029120220151818605,IRQ,2015
