,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,9.231360497909405e-05,LAO,2015
1,BRA,Growing maize industry,XAM,5.537287298409639e-06,LAO,2015
2,BRA,Growing cereals n.e.c industry,XAM,6.671912364665524e-07,LAO,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0008610421139862988,LAO,2015
4,BRA,Growing rice industry,XAM,0.0,LAO,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,3.948294062184501e-07,LAO,2015
6,BRA,Growing sugar beet and cane industry,XAM,4.178921794624056e-06,LAO,2015
7,BRA,Growing tobacco industry,XAM,2.0075129533425726e-07,LAO,2015
8,BRA,Growing fibre crops industry,XAM,1.544608495889376e-05,LAO,2015
9,BRA,Growing crops n.e.c. industry,XAM,6.607343073227381e-07,LAO,2015
10,BRA,Growing grapes industry,XAM,0.0,LAO,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,LAO,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,8.07544454930136e-07,LAO,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.4657137718722617e-08,LAO,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,LAO,2015
15,BRA,Raising of cattle industry,XAM,9.910439782523376e-06,LAO,2015
16,BRA,Growing wheat industry,XEU,2.094791731494097e-05,LAO,2015
17,BRA,Growing maize industry,XEU,1.2629647397542434e-06,LAO,2015
18,BRA,Growing cereals n.e.c industry,XEU,1.520231345662982e-07,LAO,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00021794250330777157,LAO,2015
20,BRA,Growing rice industry,XEU,0.0,LAO,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,9.317599779264278e-08,LAO,2015
22,BRA,Growing sugar beet and cane industry,XEU,9.072406171328114e-07,LAO,2015
23,BRA,Growing tobacco industry,XEU,5.028024211819794e-08,LAO,2015
24,BRA,Growing fibre crops industry,XEU,3.669626974909588e-06,LAO,2015
25,BRA,Growing crops n.e.c. industry,XEU,1.5686244170253869e-07,LAO,2015
26,BRA,Growing grapes industry,XEU,0.0,LAO,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,LAO,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,1.9056992319400292e-07,LAO,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.6991084676236455e-09,LAO,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,LAO,2015
31,BRA,Raising of cattle industry,XEU,2.101670737030337e-06,LAO,2015
32,BRA,Growing wheat industry,XAF,6.338381694389919e-05,LAO,2015
33,BRA,Growing maize industry,XAF,5.577837932361132e-06,LAO,2015
34,BRA,Growing cereals n.e.c industry,XAF,7.047325332842819e-07,LAO,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0009042631345825837,LAO,2015
36,BRA,Growing rice industry,XAF,0.0,LAO,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,3.855604737256214e-07,LAO,2015
38,BRA,Growing sugar beet and cane industry,XAF,4.242578846219037e-06,LAO,2015
39,BRA,Growing tobacco industry,XAF,1.9562576807764792e-07,LAO,2015
40,BRA,Growing fibre crops industry,XAF,1.5740640894405978e-05,LAO,2015
41,BRA,Growing crops n.e.c. industry,XAF,6.68686311220973e-07,LAO,2015
42,BRA,Growing grapes industry,XAF,0.0,LAO,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,LAO,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,7.415901357235867e-07,LAO,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.7498781677529465e-08,LAO,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,LAO,2015
47,BRA,Raising of cattle industry,XAF,1.1918636465935563e-05,LAO,2015
48,BRA,Growing wheat industry,XAS,0.0005014281238907911,LAO,2015
49,BRA,Growing maize industry,XAS,4.431589317512769e-05,LAO,2015
50,BRA,Growing cereals n.e.c industry,XAS,6.0584229590107025e-06,LAO,2015
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.006774451979417472,LAO,2015
52,BRA,Growing rice industry,XAS,0.0,LAO,2015
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.8391213197018697e-06,LAO,2015
54,BRA,Growing sugar beet and cane industry,XAS,3.442338542365109e-05,LAO,2015
55,BRA,Growing tobacco industry,XAS,1.5136482117833736e-06,LAO,2015
56,BRA,Growing fibre crops industry,XAS,0.00011203778950722651,LAO,2015
57,BRA,Growing crops n.e.c. industry,XAS,5.475236379231259e-06,LAO,2015
58,BRA,Growing grapes industry,XAS,0.0,LAO,2015
59,BRA,Growing fruits and nuts industry,XAS,0.0,LAO,2015
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,5.346090348450069e-06,LAO,2015
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.974917740172308e-07,LAO,2015
62,BRA,Seeds and plant propagation industry,XAS,0.0,LAO,2015
63,BRA,Raising of cattle industry,XAS,0.00011045865648972705,LAO,2015
64,BRA,Growing wheat industry,AFG,4.024861295307707e-05,LAO,2015
65,BRA,Growing maize industry,AFG,2.8285530429001153e-06,LAO,2015
66,BRA,Growing cereals n.e.c industry,AFG,3.7331628683507346e-07,LAO,2015
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.00047951944160553575,LAO,2015
68,BRA,Growing rice industry,AFG,0.0,LAO,2015
69,BRA,"Growing vegetables, roots, tubers industry",AFG,2.147990518746408e-07,LAO,2015
70,BRA,Growing sugar beet and cane industry,AFG,2.1728207364890256e-06,LAO,2015
71,BRA,Growing tobacco industry,AFG,1.0249632177056581e-07,LAO,2015
72,BRA,Growing fibre crops industry,AFG,7.563253282853736e-06,LAO,2015
73,BRA,Growing crops n.e.c. industry,AFG,3.8661413392666146e-07,LAO,2015
74,BRA,Growing grapes industry,AFG,0.0,LAO,2015
75,BRA,Growing fruits and nuts industry,AFG,0.0,LAO,2015
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,4.226658148368604e-07,LAO,2015
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.112730964723222e-08,LAO,2015
78,BRA,Seeds and plant propagation industry,AFG,0.0,LAO,2015
79,BRA,Raising of cattle industry,AFG,6.0804461944740055e-06,LAO,2015
80,BRA,Growing wheat industry,AGO,0.0004984705322700431,LAO,2015
81,BRA,Growing maize industry,AGO,2.5181244066910716e-05,LAO,2015
82,BRA,Growing cereals n.e.c industry,AGO,2.980577620388845e-06,LAO,2015
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0031290368884324066,LAO,2015
84,BRA,Growing rice industry,AGO,0.0,LAO,2015
85,BRA,"Growing vegetables, roots, tubers industry",AGO,2.1447045841924523e-06,LAO,2015
86,BRA,Growing sugar beet and cane industry,AGO,1.6960003934702685e-05,LAO,2015
87,BRA,Growing tobacco industry,AGO,7.938636657770056e-07,LAO,2015
88,BRA,Growing fibre crops industry,AGO,7.451883747635547e-05,LAO,2015
89,BRA,Growing crops n.e.c. industry,AGO,2.431380181655821e-06,LAO,2015
