,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0012675801685528433,PER,2015
1,BRA,Growing maize industry,XAM,0.008648762862951066,PER,2015
2,BRA,Growing cereals n.e.c industry,XAM,0.0004273751385586432,PER,2015
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.060189648980950965,PER,2015
4,BRA,Growing rice industry,XAM,0.0,PER,2015
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.7570889108906687e-05,PER,2015
6,BRA,Growing sugar beet and cane industry,XAM,0.0017549526211788973,PER,2015
7,BRA,Growing tobacco industry,XAM,7.906981862082377e-06,PER,2015
8,BRA,Growing fibre crops industry,XAM,0.0007656062719138564,PER,2015
9,BRA,Growing crops n.e.c. industry,XAM,0.00015959328683868134,PER,2015
10,BRA,Growing grapes industry,XAM,0.0,PER,2015
11,BRA,Growing fruits and nuts industry,XAM,0.0,PER,2015
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,3.243227760087709e-05,PER,2015
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.247423750459524e-06,PER,2015
14,BRA,Seeds and plant propagation industry,XAM,0.0,PER,2015
15,BRA,Raising of cattle industry,XAM,0.00557894412630005,PER,2015
16,BRA,Growing wheat industry,XEU,0.00023247537215698286,PER,2015
17,BRA,Growing maize industry,XEU,0.0009620931321495599,PER,2015
18,BRA,Growing cereals n.e.c industry,XEU,0.00012961002008208896,PER,2015
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.004838111983875022,PER,2015
20,BRA,Growing rice industry,XEU,0.0,PER,2015
21,BRA,"Growing vegetables, roots, tubers industry",XEU,1.6566404915031922e-06,PER,2015
22,BRA,Growing sugar beet and cane industry,XEU,0.00034922572868313373,PER,2015
23,BRA,Growing tobacco industry,XEU,5.873578829153735e-07,PER,2015
24,BRA,Growing fibre crops industry,XEU,5.606130874175504e-05,PER,2015
25,BRA,Growing crops n.e.c. industry,XEU,4.577012347996781e-05,PER,2015
26,BRA,Growing grapes industry,XEU,0.0,PER,2015
27,BRA,Growing fruits and nuts industry,XEU,0.0,PER,2015
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,3.786486421354261e-06,PER,2015
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.4111156029724044e-07,PER,2015
30,BRA,Seeds and plant propagation industry,XEU,0.0,PER,2015
31,BRA,Raising of cattle industry,XEU,0.0007980004569586097,PER,2015
32,BRA,Growing wheat industry,XAF,7.08657391682958e-05,PER,2015
33,BRA,Growing maize industry,XAF,0.00022596552479896013,PER,2015
34,BRA,Growing cereals n.e.c industry,XAF,2.1427444469596595e-05,PER,2015
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0030058154259993666,PER,2015
36,BRA,Growing rice industry,XAF,0.0,PER,2015
37,BRA,"Growing vegetables, roots, tubers industry",XAF,7.626888272689876e-07,PER,2015
38,BRA,Growing sugar beet and cane industry,XAF,9.703902810148162e-05,PER,2015
39,BRA,Growing tobacco industry,XAF,3.818561472845298e-07,PER,2015
40,BRA,Growing fibre crops industry,XAF,3.443967616608196e-05,PER,2015
41,BRA,Growing crops n.e.c. industry,XAF,7.262058315795635e-06,PER,2015
42,BRA,Growing grapes industry,XAF,0.0,PER,2015
43,BRA,Growing fruits and nuts industry,XAF,0.0,PER,2015
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,2.1085013366130778e-06,PER,2015
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.904096444046293e-07,PER,2015
46,BRA,Seeds and plant propagation industry,XAF,0.0,PER,2015
47,BRA,Raising of cattle industry,XAF,0.00027028602285572535,PER,2015
