,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,BRN,2016
1,BRA,Growing maize industry,XAM,0.006584886024352789,BRN,2016
2,BRA,Growing cereals n.e.c industry,XAM,9.9610560174315e-06,BRN,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.000951889094188373,BRN,2016
4,BRA,Growing rice industry,XAM,6.525156797155519e-08,BRN,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.8425662664382654e-07,BRN,2016
6,BRA,Growing sugar beet and cane industry,XAM,9.312375817348573e-06,BRN,2016
7,BRA,Growing tobacco industry,XAM,1.3389307260751588e-06,BRN,2016
8,BRA,Growing fibre crops industry,XAM,0.0,BRN,2016
9,BRA,Growing crops n.e.c. industry,XAM,8.89087554196364e-07,BRN,2016
10,BRA,Growing grapes industry,XAM,0.0,BRN,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,BRN,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,8.147010791577979e-06,BRN,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.0663822193172105e-07,BRN,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,BRN,2016
15,BRA,Raising of cattle industry,XAM,1.962761575546201e-05,BRN,2016
16,BRA,Growing wheat industry,XEU,0.0,BRN,2016
17,BRA,Growing maize industry,XEU,0.001631701996409514,BRN,2016
18,BRA,Growing cereals n.e.c industry,XEU,3.6122920215300286e-06,BRN,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0003049944354470371,BRN,2016
20,BRA,Growing rice industry,XEU,3.18346790481293e-08,BRN,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,6.306145217387333e-08,BRN,2016
22,BRA,Growing sugar beet and cane industry,XEU,2.6689869831433494e-06,BRN,2016
23,BRA,Growing tobacco industry,XEU,3.976460029462674e-07,BRN,2016
24,BRA,Growing fibre crops industry,XEU,0.0,BRN,2016
25,BRA,Growing crops n.e.c. industry,XEU,2.676141199044866e-07,BRN,2016
26,BRA,Growing grapes industry,XEU,0.0,BRN,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,BRN,2016
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,2.1013179420705775e-06,BRN,2016
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.564978353889596e-08,BRN,2016
30,BRA,Seeds and plant propagation industry,XEU,0.0,BRN,2016
31,BRA,Raising of cattle industry,XEU,6.270118692089574e-06,BRN,2016
32,BRA,Growing wheat industry,XAF,0.0,BRN,2016
33,BRA,Growing maize industry,XAF,0.005563664764305999,BRN,2016
34,BRA,Growing cereals n.e.c industry,XAF,1.1308302926759597e-05,BRN,2016
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0010965799953250041,BRN,2016
36,BRA,Growing rice industry,XAF,7.796665247189935e-08,BRN,2016
37,BRA,"Growing vegetables, roots, tubers industry",XAF,2.0776763201622785e-07,BRN,2016
38,BRA,Growing sugar beet and cane industry,XAF,8.907826154913438e-06,BRN,2016
39,BRA,Growing tobacco industry,XAF,1.2565582071376086e-06,BRN,2016
40,BRA,Growing fibre crops industry,XAF,0.0,BRN,2016
41,BRA,Growing crops n.e.c. industry,XAF,9.599192941328902e-07,BRN,2016
42,BRA,Growing grapes industry,XAF,0.0,BRN,2016
43,BRA,Growing fruits and nuts industry,XAF,0.0,BRN,2016
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,7.057777352201131e-06,BRN,2016
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.252580550307673e-07,BRN,2016
46,BRA,Seeds and plant propagation industry,XAF,0.0,BRN,2016
47,BRA,Raising of cattle industry,XAF,2.0970978829605017e-05,BRN,2016
48,BRA,Growing wheat industry,XAS,0.0,BRN,2016
49,BRA,Growing maize industry,XAS,0.4077658783041962,BRN,2016
50,BRA,Growing cereals n.e.c industry,XAS,0.001100661473785715,BRN,2016
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.1057216749766787,BRN,2016
52,BRA,Growing rice industry,XAS,6.692331566334416e-06,BRN,2016
53,BRA,"Growing vegetables, roots, tubers industry",XAS,2.0845567123417687e-05,BRN,2016
54,BRA,Growing sugar beet and cane industry,XAS,0.0007431369800118035,BRN,2016
55,BRA,Growing tobacco industry,XAS,0.00010666524562512492,BRN,2016
56,BRA,Growing fibre crops industry,XAS,0.0,BRN,2016
57,BRA,Growing crops n.e.c. industry,XAS,9.77779013159401e-05,BRN,2016
58,BRA,Growing grapes industry,XAS,0.0,BRN,2016
59,BRA,Growing fruits and nuts industry,XAS,0.0,BRN,2016
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0005347513330319313,BRN,2016
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.2273253482105209e-05,BRN,2016
62,BRA,Seeds and plant propagation industry,XAS,0.0,BRN,2016
63,BRA,Raising of cattle industry,XAS,0.0020085469655561346,BRN,2016
64,BRA,Growing wheat industry,AFG,0.0,BRN,2016
65,BRA,Growing maize industry,AFG,0.005236151355365833,BRN,2016
66,BRA,Growing cereals n.e.c industry,AFG,1.2255944156807816e-05,BRN,2016
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.001108093788212904,BRN,2016
68,BRA,Growing rice industry,AFG,8.744085520040715e-08,BRN,2016
69,BRA,"Growing vegetables, roots, tubers industry",AFG,2.236161370868239e-07,BRN,2016
70,BRA,Growing sugar beet and cane industry,AFG,8.843757106710993e-06,BRN,2016
71,BRA,Growing tobacco industry,AFG,1.276204654359295e-06,BRN,2016
72,BRA,Growing fibre crops industry,AFG,0.0,BRN,2016
73,BRA,Growing crops n.e.c. industry,AFG,1.0167324198669244e-06,BRN,2016
74,BRA,Growing grapes industry,AFG,0.0,BRN,2016
75,BRA,Growing fruits and nuts industry,AFG,0.0,BRN,2016
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,6.746374477598844e-06,BRN,2016
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.290591214921114e-07,BRN,2016
78,BRA,Seeds and plant propagation industry,AFG,0.0,BRN,2016
79,BRA,Raising of cattle industry,AFG,2.2098361656664496e-05,BRN,2016
80,BRA,Growing wheat industry,AGO,0.0,BRN,2016
81,BRA,Growing maize industry,AGO,0.006904280447431805,BRN,2016
82,BRA,Growing cereals n.e.c industry,AGO,1.8731233689842302e-05,BRN,2016
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0015486810862266399,BRN,2016
84,BRA,Growing rice industry,AGO,1.7278021635108352e-07,BRN,2016
85,BRA,"Growing vegetables, roots, tubers industry",AGO,3.220723748944418e-07,BRN,2016
86,BRA,Growing sugar beet and cane industry,AGO,1.2406726334572536e-05,BRN,2016
87,BRA,Growing tobacco industry,AGO,1.783349808967793e-06,BRN,2016
88,BRA,Growing fibre crops industry,AGO,0.0,BRN,2016
89,BRA,Growing crops n.e.c. industry,AGO,1.3394881762378097e-06,BRN,2016
90,BRA,Growing grapes industry,AGO,0.0,BRN,2016
91,BRA,Growing fruits and nuts industry,AGO,0.0,BRN,2016
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,9.012781731167892e-06,BRN,2016
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.8251371825060065e-07,BRN,2016
94,BRA,Seeds and plant propagation industry,AGO,0.0,BRN,2016
95,BRA,Raising of cattle industry,AGO,3.1046039935366877e-05,BRN,2016
96,BRA,Growing wheat industry,ALB,0.0,BRN,2016
97,BRA,Growing maize industry,ALB,0.0026449838102935567,BRN,2016
98,BRA,Growing cereals n.e.c industry,ALB,4.300489216090179e-06,BRN,2016
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.00038239909328948644,BRN,2016
100,BRA,Growing rice industry,ALB,3.163891955428693e-08,BRN,2016
101,BRA,"Growing vegetables, roots, tubers industry",ALB,7.674634005691895e-08,BRN,2016
102,BRA,Growing sugar beet and cane industry,ALB,3.819243248211998e-06,BRN,2016
103,BRA,Growing tobacco industry,ALB,5.343208010133335e-07,BRN,2016
104,BRA,Growing fibre crops industry,ALB,0.0,BRN,2016
105,BRA,Growing crops n.e.c. industry,ALB,3.5831755107147423e-07,BRN,2016
106,BRA,Growing grapes industry,ALB,0.0,BRN,2016
107,BRA,Growing fruits and nuts industry,ALB,0.0,BRN,2016
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,3.267683184697039e-06,BRN,2016
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,4.4426199114488306e-08,BRN,2016
110,BRA,Seeds and plant propagation industry,ALB,0.0,BRN,2016
111,BRA,Raising of cattle industry,ALB,8.20568649879122e-06,BRN,2016
112,BRA,Growing wheat industry,ARE,0.0,BRN,2016
113,BRA,Growing maize industry,ARE,0.020642903581054223,BRN,2016
114,BRA,Growing cereals n.e.c industry,ARE,5.204538996611941e-05,BRN,2016
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.004799646764711061,BRN,2016
116,BRA,Growing rice industry,ARE,3.8503875753046296e-07,BRN,2016
117,BRA,"Growing vegetables, roots, tubers industry",ARE,9.56892527392983e-07,BRN,2016
118,BRA,Growing sugar beet and cane industry,ARE,3.6224868773568396e-05,BRN,2016
119,BRA,Growing tobacco industry,ARE,5.348673559960347e-06,BRN,2016
120,BRA,Growing fibre crops industry,ARE,0.0,BRN,2016
121,BRA,Growing crops n.e.c. industry,ARE,4.263545032385984e-06,BRN,2016
122,BRA,Growing grapes industry,ARE,0.0,BRN,2016
123,BRA,Growing fruits and nuts industry,ARE,0.0,BRN,2016
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,2.6957600181717303e-05,BRN,2016
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,5.577429498183453e-07,BRN,2016
126,BRA,Seeds and plant propagation industry,ARE,0.0,BRN,2016
127,BRA,Raising of cattle industry,ARE,9.219681121463985e-05,BRN,2016
128,BRA,Growing wheat industry,ARG,0.0,BRN,2016
129,BRA,Growing maize industry,ARG,0.0056616007301239085,BRN,2016
130,BRA,Growing cereals n.e.c industry,ARG,1.151795536459027e-05,BRN,2016
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0011235750084885327,BRN,2016
132,BRA,Growing rice industry,ARG,7.63172566270369e-08,BRN,2016
133,BRA,"Growing vegetables, roots, tubers industry",ARG,2.1826880726058095e-07,BRN,2016
134,BRA,Growing sugar beet and cane industry,ARG,9.051402773103644e-06,BRN,2016
135,BRA,Growing tobacco industry,ARG,1.299146437910055e-06,BRN,2016
136,BRA,Growing fibre crops industry,ARG,0.0,BRN,2016
137,BRA,Growing crops n.e.c. industry,ARG,9.981231196756421e-07,BRN,2016
138,BRA,Growing grapes industry,ARG,0.0,BRN,2016
139,BRA,Growing fruits and nuts industry,ARG,0.0,BRN,2016
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,7.2147293836159235e-06,BRN,2016
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,1.276032578229374e-07,BRN,2016
142,BRA,Seeds and plant propagation industry,ARG,0.0,BRN,2016
143,BRA,Raising of cattle industry,ARG,2.1535383915586902e-05,BRN,2016
144,BRA,Growing wheat industry,ARM,0.0,BRN,2016
145,BRA,Growing maize industry,ARM,0.0030528545516478665,BRN,2016
146,BRA,Growing cereals n.e.c industry,ARM,4.765937018844353e-06,BRN,2016
147,BRA,Growing leguminous crops and oil seeds industry,ARM,0.00045829699716895805,BRN,2016
148,BRA,Growing rice industry,ARM,2.831045817961054e-08,BRN,2016
149,BRA,"Growing vegetables, roots, tubers industry",ARM,8.936203304685439e-08,BRN,2016
150,BRA,Growing sugar beet and cane industry,ARM,4.370542072155107e-06,BRN,2016
151,BRA,Growing tobacco industry,ARM,6.168497054390234e-07,BRN,2016
152,BRA,Growing fibre crops industry,ARM,0.0,BRN,2016
153,BRA,Growing crops n.e.c. industry,ARM,4.351499138191382e-07,BRN,2016
154,BRA,Growing grapes industry,ARM,0.0,BRN,2016
155,BRA,Growing fruits and nuts industry,ARM,0.0,BRN,2016
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,3.7750624628476954e-06,BRN,2016
157,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,5.2532539704734615e-08,BRN,2016
158,BRA,Seeds and plant propagation industry,ARM,0.0,BRN,2016
159,BRA,Raising of cattle industry,ARM,9.52379500962336e-06,BRN,2016
160,BRA,Growing wheat industry,AUS,0.0,BRN,2016
161,BRA,Growing maize industry,AUS,0.7925386480775105,BRN,2016
162,BRA,Growing cereals n.e.c industry,AUS,0.0009937534357679747,BRN,2016
163,BRA,Growing leguminous crops and oil seeds industry,AUS,0.10024562582706308,BRN,2016
164,BRA,Growing rice industry,AUS,5.547161883121921e-06,BRN,2016
165,BRA,"Growing vegetables, roots, tubers industry",AUS,1.74651204503946e-05,BRN,2016
166,BRA,Growing sugar beet and cane industry,AUS,0.0010413322513612544,BRN,2016
167,BRA,Growing tobacco industry,AUS,0.000130662559091885,BRN,2016
168,BRA,Growing fibre crops industry,AUS,0.0,BRN,2016
169,BRA,Growing crops n.e.c. industry,AUS,9.954839172917914e-05,BRN,2016
170,BRA,Growing grapes industry,AUS,0.0,BRN,2016
171,BRA,Growing fruits and nuts industry,AUS,0.0,BRN,2016
172,BRA,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0009262843341650513,BRN,2016
173,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,1.0612265253517133e-05,BRN,2016
174,BRA,Seeds and plant propagation industry,AUS,0.0,BRN,2016
175,BRA,Raising of cattle industry,AUS,0.0020775350885801603,BRN,2016
176,BRA,Growing wheat industry,AUT,0.0,BRN,2016
177,BRA,Growing maize industry,AUT,0.005585782883965368,BRN,2016
178,BRA,Growing cereals n.e.c industry,AUT,1.298508898154674e-05,BRN,2016
179,BRA,Growing leguminous crops and oil seeds industry,AUT,0.0012852080548972063,BRN,2016
180,BRA,Growing rice industry,AUT,8.732049502086651e-08,BRN,2016
181,BRA,"Growing vegetables, roots, tubers industry",AUT,2.549189028877263e-07,BRN,2016
182,BRA,Growing sugar beet and cane industry,AUT,9.527861725777795e-06,BRN,2016
