,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,MOZ,2016
1,BRA,Growing maize industry,XAM,0.0004629217224792393,MOZ,2016
2,BRA,Growing cereals n.e.c industry,XAM,2.3605057280690406e-05,MOZ,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0017523166714107808,MOZ,2016
4,BRA,Growing rice industry,XAM,4.2914364925838295e-07,MOZ,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,8.81085596633998e-07,MOZ,2016
6,BRA,Growing sugar beet and cane industry,XAM,7.843512935379246e-06,MOZ,2016
7,BRA,Growing tobacco industry,XAM,5.285505064880092e-07,MOZ,2016
8,BRA,Growing fibre crops industry,XAM,0.0,MOZ,2016
9,BRA,Growing crops n.e.c. industry,XAM,2.0717351087085036e-06,MOZ,2016
10,BRA,Growing grapes industry,XAM,0.0,MOZ,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,MOZ,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,1.6372172333849059e-06,MOZ,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.0549695219295104e-07,MOZ,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,MOZ,2016
15,BRA,Raising of cattle industry,XAM,3.73967826135953e-05,MOZ,2016
16,BRA,Growing wheat industry,XEU,0.0,MOZ,2016
17,BRA,Growing maize industry,XEU,9.700291211781486e-05,MOZ,2016
18,BRA,Growing cereals n.e.c industry,XEU,4.091956220525274e-06,MOZ,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.00036941359122367366,MOZ,2016
20,BRA,Growing rice industry,XEU,9.829385251720405e-08,MOZ,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,2.1114730808024855e-07,MOZ,2016
22,BRA,Growing sugar beet and cane industry,XEU,1.373758980423477e-06,MOZ,2016
23,BRA,Growing tobacco industry,XEU,1.0858521251298158e-07,MOZ,2016
24,BRA,Growing fibre crops industry,XEU,0.0,MOZ,2016
25,BRA,Growing crops n.e.c. industry,XEU,2.5105611173025977e-07,MOZ,2016
26,BRA,Growing grapes industry,XEU,0.0,MOZ,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,MOZ,2016
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,3.149099832852563e-07,MOZ,2016
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.947234813433806e-08,MOZ,2016
30,BRA,Seeds and plant propagation industry,XEU,0.0,MOZ,2016
31,BRA,Raising of cattle industry,XEU,6.85470789443285e-06,MOZ,2016
32,BRA,Growing wheat industry,XAF,0.0,MOZ,2016
33,BRA,Growing maize industry,XAF,0.005779780381759122,MOZ,2016
34,BRA,Growing cereals n.e.c industry,XAF,0.00020982512836304246,MOZ,2016
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.02314625599908248,MOZ,2016
36,BRA,Growing rice industry,XAF,5.920740422055974e-06,MOZ,2016
37,BRA,"Growing vegetables, roots, tubers industry",XAF,1.31171304365816e-05,MOZ,2016
38,BRA,Growing sugar beet and cane industry,XAF,6.866086606442652e-05,MOZ,2016
39,BRA,Growing tobacco industry,XAF,4.414876629525158e-06,MOZ,2016
40,BRA,Growing fibre crops industry,XAF,0.0,MOZ,2016
41,BRA,Growing crops n.e.c. industry,XAF,2.495227792652155e-05,MOZ,2016
42,BRA,Growing grapes industry,XAF,0.0,MOZ,2016
43,BRA,Growing fruits and nuts industry,XAF,0.0,MOZ,2016
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,1.91295255441307e-05,MOZ,2016
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.56825167169285e-07,MOZ,2016
46,BRA,Seeds and plant propagation industry,XAF,0.0,MOZ,2016
47,BRA,Raising of cattle industry,XAF,0.00040591177607697396,MOZ,2016
48,BRA,Growing wheat industry,XAS,0.0,MOZ,2016
49,BRA,Growing maize industry,XAS,0.00045866118777358733,MOZ,2016
50,BRA,Growing cereals n.e.c industry,XAS,1.8794779741180305e-05,MOZ,2016
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.001877084783390454,MOZ,2016
52,BRA,Growing rice industry,XAS,4.551738205637024e-07,MOZ,2016
53,BRA,"Growing vegetables, roots, tubers industry",XAS,9.836598977895303e-07,MOZ,2016
54,BRA,Growing sugar beet and cane industry,XAS,6.418566124133904e-06,MOZ,2016
55,BRA,Growing tobacco industry,XAS,4.980441571086002e-07,MOZ,2016
56,BRA,Growing fibre crops industry,XAS,0.0,MOZ,2016
57,BRA,Growing crops n.e.c. industry,XAS,1.1238256204166186e-06,MOZ,2016
58,BRA,Growing grapes industry,XAS,0.0,MOZ,2016
59,BRA,Growing fruits and nuts industry,XAS,0.0,MOZ,2016
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,1.8744041901173424e-06,MOZ,2016
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.45960262084504e-08,MOZ,2016
