,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,TJK,2016
1,BRA,Growing maize industry,XAM,9.58797183909033e-05,TJK,2016
2,BRA,Growing cereals n.e.c industry,XAM,1.458271837141799e-06,TJK,2016
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0002275864529334283,TJK,2016
4,BRA,Growing rice industry,XAM,4.256733852034727e-09,TJK,2016
5,BRA,"Growing vegetables, roots, tubers industry",XAM,1.529712797366676e-08,TJK,2016
6,BRA,Growing sugar beet and cane industry,XAM,6.408543768969332e-07,TJK,2016
7,BRA,Growing tobacco industry,XAM,8.759733815537117e-08,TJK,2016
8,BRA,Growing fibre crops industry,XAM,0.0,TJK,2016
9,BRA,Growing crops n.e.c. industry,XAM,2.0061451270625917e-07,TJK,2016
10,BRA,Growing grapes industry,XAM,0.0,TJK,2016
11,BRA,Growing fruits and nuts industry,XAM,0.0,TJK,2016
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,2.531286532691028e-07,TJK,2016
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.5511057445522274e-08,TJK,2016
14,BRA,Seeds and plant propagation industry,XAM,0.0,TJK,2016
15,BRA,Raising of cattle industry,XAM,7.713521905608e-06,TJK,2016
16,BRA,Growing wheat industry,XEU,0.0,TJK,2016
17,BRA,Growing maize industry,XEU,1.158269778245129e-05,TJK,2016
18,BRA,Growing cereals n.e.c industry,XEU,2.2290922132262157e-07,TJK,2016
19,BRA,Growing leguminous crops and oil seeds industry,XEU,6.707400494930712e-05,TJK,2016
20,BRA,Growing rice industry,XEU,8.858205900479451e-10,TJK,2016
21,BRA,"Growing vegetables, roots, tubers industry",XEU,3.0399328411965367e-09,TJK,2016
22,BRA,Growing sugar beet and cane industry,XEU,9.772418407595517e-08,TJK,2016
23,BRA,Growing tobacco industry,XEU,2.1644846651520895e-08,TJK,2016
24,BRA,Growing fibre crops industry,XEU,0.0,TJK,2016
25,BRA,Growing crops n.e.c. industry,XEU,2.5502108226568165e-08,TJK,2016
26,BRA,Growing grapes industry,XEU,0.0,TJK,2016
27,BRA,Growing fruits and nuts industry,XEU,0.0,TJK,2016
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,6.254257294669053e-08,TJK,2016
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.6356468015339065e-09,TJK,2016
30,BRA,Seeds and plant propagation industry,XEU,0.0,TJK,2016
31,BRA,Raising of cattle industry,XEU,9.500695457467124e-07,TJK,2016
32,BRA,Growing wheat industry,XAF,0.0,TJK,2016
33,BRA,Growing maize industry,XAF,2.0528185692466914e-05,TJK,2016
34,BRA,Growing cereals n.e.c industry,XAF,3.6101829090880286e-07,TJK,2016
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0001246832980133336,TJK,2016
36,BRA,Growing rice industry,XAF,1.1525949638866578e-09,TJK,2016
37,BRA,"Growing vegetables, roots, tubers industry",XAF,3.6824772202932367e-09,TJK,2016
38,BRA,Growing sugar beet and cane industry,XAF,1.5688664892233377e-07,TJK,2016
39,BRA,Growing tobacco industry,XAF,2.4259917370821618e-08,TJK,2016
40,BRA,Growing fibre crops industry,XAF,0.0,TJK,2016
41,BRA,Growing crops n.e.c. industry,XAF,4.766056425393731e-08,TJK,2016
42,BRA,Growing grapes industry,XAF,0.0,TJK,2016
43,BRA,Growing fruits and nuts industry,XAF,0.0,TJK,2016
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,6.595351002232078e-08,TJK,2016
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.628675297382181e-09,TJK,2016
46,BRA,Seeds and plant propagation industry,XAF,0.0,TJK,2016
47,BRA,Raising of cattle industry,XAF,1.7453324209342345e-06,TJK,2016
48,BRA,Growing wheat industry,XAS,0.0,TJK,2016
49,BRA,Growing maize industry,XAS,3.177033273595605e-05,TJK,2016
50,BRA,Growing cereals n.e.c industry,XAS,9.570616432567937e-07,TJK,2016
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0001597898077841329,TJK,2016
52,BRA,Growing rice industry,XAS,4.048218537378298e-09,TJK,2016
53,BRA,"Growing vegetables, roots, tubers industry",XAS,1.1544332866943802e-08,TJK,2016
54,BRA,Growing sugar beet and cane industry,XAS,4.0092708624661925e-07,TJK,2016
55,BRA,Growing tobacco industry,XAS,1.243269663267474e-07,TJK,2016
56,BRA,Growing fibre crops industry,XAS,0.0,TJK,2016
57,BRA,Growing crops n.e.c. industry,XAS,6.999834166859686e-08,TJK,2016
58,BRA,Growing grapes industry,XAS,0.0,TJK,2016
59,BRA,Growing fruits and nuts industry,XAS,0.0,TJK,2016
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,1.751918776369698e-07,TJK,2016
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.4229686106756176e-08,TJK,2016
62,BRA,Seeds and plant propagation industry,XAS,0.0,TJK,2016
63,BRA,Raising of cattle industry,XAS,3.1057154118761834e-06,TJK,2016
64,BRA,Growing wheat industry,AFG,0.0,TJK,2016
65,BRA,Growing maize industry,AFG,0.0035698722117898673,TJK,2016
66,BRA,Growing cereals n.e.c industry,AFG,5.325603965799375e-05,TJK,2016
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.011460476718693558,TJK,2016
68,BRA,Growing rice industry,AFG,2.311531763283816e-07,TJK,2016
69,BRA,"Growing vegetables, roots, tubers industry",AFG,1.4881505789406217e-06,TJK,2016
70,BRA,Growing sugar beet and cane industry,AFG,1.7687064111889332e-05,TJK,2016
71,BRA,Growing tobacco industry,AFG,3.817224319199867e-06,TJK,2016
72,BRA,Growing fibre crops industry,AFG,0.0,TJK,2016
73,BRA,Growing crops n.e.c. industry,AFG,8.3411301458887e-06,TJK,2016
74,BRA,Growing grapes industry,AFG,0.0,TJK,2016
75,BRA,Growing fruits and nuts industry,AFG,0.0,TJK,2016
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,8.922909201713856e-06,TJK,2016
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,8.451399022197147e-07,TJK,2016
78,BRA,Seeds and plant propagation industry,AFG,0.0,TJK,2016
79,BRA,Raising of cattle industry,AFG,0.00010628428992170398,TJK,2016
80,BRA,Growing wheat industry,AGO,0.0,TJK,2016
81,BRA,Growing maize industry,AGO,0.00011663616218474376,TJK,2016
82,BRA,Growing cereals n.e.c industry,AGO,2.572132157972939e-06,TJK,2016
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0004804132576871141,TJK,2016
84,BRA,Growing rice industry,AGO,7.971796261134426e-09,TJK,2016
85,BRA,"Growing vegetables, roots, tubers industry",AGO,2.653641519890096e-08,TJK,2016
86,BRA,Growing sugar beet and cane industry,AGO,9.896274039301968e-07,TJK,2016
87,BRA,Growing tobacco industry,AGO,1.7594900173203e-07,TJK,2016
88,BRA,Growing fibre crops industry,AGO,0.0,TJK,2016
89,BRA,Growing crops n.e.c. industry,AGO,3.9504941806801e-07,TJK,2016
90,BRA,Growing grapes industry,AGO,0.0,TJK,2016
91,BRA,Growing fruits and nuts industry,AGO,0.0,TJK,2016
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,5.265977935781235e-07,TJK,2016
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,3.067731214075843e-08,TJK,2016
94,BRA,Seeds and plant propagation industry,AGO,0.0,TJK,2016
95,BRA,Raising of cattle industry,AGO,1.1038821646667647e-05,TJK,2016
96,BRA,Growing wheat industry,ALB,0.0,TJK,2016
97,BRA,Growing maize industry,ALB,0.0012219782961580816,TJK,2016
98,BRA,Growing cereals n.e.c industry,ALB,2.521971829339464e-05,TJK,2016
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.005318515218817156,TJK,2016
100,BRA,Growing rice industry,ALB,1.2036894226024514e-07,TJK,2016
101,BRA,"Growing vegetables, roots, tubers industry",ALB,3.362341762142372e-07,TJK,2016
102,BRA,Growing sugar beet and cane industry,ALB,1.1852599846479304e-05,TJK,2016
103,BRA,Growing tobacco industry,ALB,4.0318095735728975e-06,TJK,2016
104,BRA,Growing fibre crops industry,ALB,0.0,TJK,2016
105,BRA,Growing crops n.e.c. industry,ALB,2.18360251637706e-06,TJK,2016
106,BRA,Growing grapes industry,ALB,0.0,TJK,2016
107,BRA,Growing fruits and nuts industry,ALB,0.0,TJK,2016
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,1.1738896258407627e-05,TJK,2016
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,5.767916018914673e-07,TJK,2016
110,BRA,Seeds and plant propagation industry,ALB,0.0,TJK,2016
111,BRA,Raising of cattle industry,ALB,8.837161249934768e-05,TJK,2016
112,BRA,Growing wheat industry,ARE,0.0,TJK,2016
113,BRA,Growing maize industry,ARE,0.0018914575336310307,TJK,2016
114,BRA,Growing cereals n.e.c industry,ARE,4.4596164347057174e-05,TJK,2016
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.00830514428577521,TJK,2016
116,BRA,Growing rice industry,ARE,1.8194040695531805e-07,TJK,2016
117,BRA,"Growing vegetables, roots, tubers industry",ARE,5.213262669188564e-07,TJK,2016
118,BRA,Growing sugar beet and cane industry,ARE,1.8989953350306834e-05,TJK,2016
119,BRA,Growing tobacco industry,ARE,5.831819925214366e-06,TJK,2016
120,BRA,Growing fibre crops industry,ARE,0.0,TJK,2016
121,BRA,Growing crops n.e.c. industry,ARE,5.9370933100097374e-06,TJK,2016
122,BRA,Growing grapes industry,ARE,0.0,TJK,2016
123,BRA,Growing fruits and nuts industry,ARE,0.0,TJK,2016
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,1.6960849484993067e-05,TJK,2016
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,8.444556643845041e-07,TJK,2016
126,BRA,Seeds and plant propagation industry,ARE,0.0,TJK,2016
127,BRA,Raising of cattle industry,ARE,0.00014175176132778415,TJK,2016
128,BRA,Growing wheat industry,ARG,0.0,TJK,2016
129,BRA,Growing maize industry,ARG,9.577924404558655e-05,TJK,2016
130,BRA,Growing cereals n.e.c industry,ARG,3.2050884026884634e-06,TJK,2016
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0005479427982228629,TJK,2016
132,BRA,Growing rice industry,ARG,7.47582544045515e-09,TJK,2016
133,BRA,"Growing vegetables, roots, tubers industry",ARG,2.7871583228605086e-08,TJK,2016
134,BRA,Growing sugar beet and cane industry,ARG,1.2508660709889522e-06,TJK,2016
135,BRA,Growing tobacco industry,ARG,1.3936801223560753e-07,TJK,2016
136,BRA,Growing fibre crops industry,ARG,0.0,TJK,2016
137,BRA,Growing crops n.e.c. industry,ARG,2.3823120008679427e-07,TJK,2016
138,BRA,Growing grapes industry,ARG,0.0,TJK,2016
139,BRA,Growing fruits and nuts industry,ARG,0.0,TJK,2016
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,4.6320686065054404e-07,TJK,2016
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,2.6901114551547026e-08,TJK,2016
142,BRA,Seeds and plant propagation industry,ARG,0.0,TJK,2016
143,BRA,Raising of cattle industry,ARG,1.1740396797384512e-05,TJK,2016
144,BRA,Growing wheat industry,ARM,0.0,TJK,2016
145,BRA,Growing maize industry,ARM,8.522025444127302e-05,TJK,2016
146,BRA,Growing cereals n.e.c industry,ARM,2.109263080190109e-06,TJK,2016
147,BRA,Growing leguminous crops and oil seeds industry,ARM,0.0011219707421464907,TJK,2016
148,BRA,Growing rice industry,ARM,8.230276492751691e-09,TJK,2016
149,BRA,"Growing vegetables, roots, tubers industry",ARM,2.4055210473172447e-08,TJK,2016
150,BRA,Growing sugar beet and cane industry,ARM,8.675725166587126e-07,TJK,2016
151,BRA,Growing tobacco industry,ARM,1.1683415203894378e-07,TJK,2016
