,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,1.7679444336775878e-06,BTN,2019
1,BRA,Growing maize industry,XAM,3.572337888774714e-06,BTN,2019
2,BRA,Growing cereals n.e.c industry,XAM,7.793117933759918e-08,BTN,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,9.010788565386605e-06,BTN,2019
4,BRA,Growing rice industry,XAM,0.0,BTN,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,BTN,2019
6,BRA,Growing sugar beet and cane industry,XAM,3.644528151019371e-08,BTN,2019
7,BRA,Growing tobacco industry,XAM,6.531993878086686e-09,BTN,2019
8,BRA,Growing fibre crops industry,XAM,2.7361849028074437e-06,BTN,2019
9,BRA,Growing crops n.e.c. industry,XAM,8.135007913762547e-09,BTN,2019
10,BRA,Growing grapes industry,XAM,3.6530124473002194e-11,BTN,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,BTN,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,8.322899414809528e-08,BTN,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.0649011688629101e-09,BTN,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,BTN,2019
15,BRA,Raising of cattle industry,XAM,8.982288815485982e-08,BTN,2019
16,BRA,Growing wheat industry,XEU,3.4885285403565594e-07,BTN,2019
17,BRA,Growing maize industry,XEU,6.784335185340514e-07,BTN,2019
18,BRA,Growing cereals n.e.c industry,XEU,1.4701395458964022e-08,BTN,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,1.6676511091694707e-06,BTN,2019
20,BRA,Growing rice industry,XEU,0.0,BTN,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,BTN,2019
22,BRA,Growing sugar beet and cane industry,XEU,6.892562605417527e-09,BTN,2019
23,BRA,Growing tobacco industry,XEU,1.266149634220694e-09,BTN,2019
24,BRA,Growing fibre crops industry,XEU,5.070531307373818e-07,BTN,2019
25,BRA,Growing crops n.e.c. industry,XEU,1.5448602914990519e-09,BTN,2019
26,BRA,Growing grapes industry,XEU,6.96383349754096e-12,BTN,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,BTN,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,1.6054652116020034e-08,BTN,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.0052277528297415e-10,BTN,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,BTN,2019
31,BRA,Raising of cattle industry,XEU,1.690957157088618e-08,BTN,2019
32,BRA,Growing wheat industry,XAF,1.0716368620491615e-06,BTN,2019
33,BRA,Growing maize industry,XAF,3.4187564425446667e-06,BTN,2019
34,BRA,Growing cereals n.e.c industry,XAF,9.534300190233417e-08,BTN,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,1.1453484539714387e-05,BTN,2019
36,BRA,Growing rice industry,XAF,0.0,BTN,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,BTN,2019
38,BRA,Growing sugar beet and cane industry,XAF,4.376169736104541e-08,BTN,2019
39,BRA,Growing tobacco industry,XAF,4.945771696004397e-09,BTN,2019
40,BRA,Growing fibre crops industry,XAF,2.8906412408624367e-06,BTN,2019
41,BRA,Growing crops n.e.c. industry,XAF,1.0659012299406895e-08,BTN,2019
42,BRA,Growing grapes industry,XAF,2.9845075816467195e-11,BTN,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,BTN,2019
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,6.646871961595113e-08,BTN,2019
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.1195509406865109e-09,BTN,2019
46,BRA,Seeds and plant propagation industry,XAF,0.0,BTN,2019
47,BRA,Raising of cattle industry,XAF,1.0805188743403905e-07,BTN,2019
48,BRA,Growing wheat industry,XAS,7.070186624031299e-06,BTN,2019
49,BRA,Growing maize industry,XAS,1.4306319765284242e-05,BTN,2019
50,BRA,Growing cereals n.e.c industry,XAS,4.836433533699617e-07,BTN,2019
51,BRA,Growing leguminous crops and oil seeds industry,XAS,4.5316649539072205e-05,BTN,2019
52,BRA,Growing rice industry,XAS,0.0,BTN,2019
53,BRA,"Growing vegetables, roots, tubers industry",XAS,0.0,BTN,2019
54,BRA,Growing sugar beet and cane industry,XAS,2.282100806076487e-07,BTN,2019
55,BRA,Growing tobacco industry,XAS,2.370356998129262e-08,BTN,2019
56,BRA,Growing fibre crops industry,XAS,1.2000842381398946e-05,BTN,2019
57,BRA,Growing crops n.e.c. industry,XAS,4.0120926608644314e-08,BTN,2019
58,BRA,Growing grapes industry,XAS,1.3097252455937073e-10,BTN,2019
59,BRA,Growing fruits and nuts industry,XAS,0.0,BTN,2019
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,3.0951194849271975e-07,BTN,2019
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,5.582521972488616e-09,BTN,2019
62,BRA,Seeds and plant propagation industry,XAS,0.0,BTN,2019
63,BRA,Raising of cattle industry,XAS,5.717169107112531e-07,BTN,2019
64,BRA,Growing wheat industry,AFG,3.8851909887099016e-07,BTN,2019
65,BRA,Growing maize industry,AFG,1.0248047359772416e-06,BTN,2019
66,BRA,Growing cereals n.e.c industry,AFG,2.9533602786559474e-08,BTN,2019
67,BRA,Growing leguminous crops and oil seeds industry,AFG,2.689625393801417e-06,BTN,2019
68,BRA,Growing rice industry,AFG,0.0,BTN,2019
69,BRA,"Growing vegetables, roots, tubers industry",AFG,0.0,BTN,2019
70,BRA,Growing sugar beet and cane industry,AFG,1.3131516620096697e-08,BTN,2019
71,BRA,Growing tobacco industry,AFG,1.5177671312378072e-09,BTN,2019
72,BRA,Growing fibre crops industry,AFG,8.171886455677858e-07,BTN,2019
73,BRA,Growing crops n.e.c. industry,AFG,2.4950439632974583e-09,BTN,2019
74,BRA,Growing grapes industry,AFG,9.100876285260082e-12,BTN,2019
75,BRA,Growing fruits and nuts industry,AFG,0.0,BTN,2019
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,2.054820409164e-08,BTN,2019
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.881054911582674e-10,BTN,2019
78,BRA,Seeds and plant propagation industry,AFG,0.0,BTN,2019
79,BRA,Raising of cattle industry,AFG,3.123722114430148e-08,BTN,2019
80,BRA,Growing wheat industry,AGO,2.6231131270579004e-06,BTN,2019
81,BRA,Growing maize industry,AGO,5.828045661454389e-06,BTN,2019
82,BRA,Growing cereals n.e.c industry,AGO,1.4146142887012298e-07,BTN,2019
83,BRA,Growing leguminous crops and oil seeds industry,AGO,1.562179525961426e-05,BTN,2019
84,BRA,Growing rice industry,AGO,0.0,BTN,2019
85,BRA,"Growing vegetables, roots, tubers industry",AGO,0.0,BTN,2019
86,BRA,Growing sugar beet and cane industry,AGO,6.512880928331007e-08,BTN,2019
87,BRA,Growing tobacco industry,AGO,1.0056077784961778e-08,BTN,2019
88,BRA,Growing fibre crops industry,AGO,4.539730424089232e-06,BTN,2019
89,BRA,Growing crops n.e.c. industry,AGO,1.4528577470980211e-08,BTN,2019
90,BRA,Growing grapes industry,AGO,5.613390255425929e-11,BTN,2019
91,BRA,Growing fruits and nuts industry,AGO,0.0,BTN,2019
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,1.2832436171418538e-07,BTN,2019
