,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,BRA,Growing wheat industry,XAM,0.0,DYE,2019
1,BRA,Growing maize industry,XAM,0.0,DYE,2019
2,BRA,Growing cereals n.e.c industry,XAM,0.0,DYE,2019
3,BRA,Growing leguminous crops and oil seeds industry,XAM,0.0,DYE,2019
4,BRA,Growing rice industry,XAM,0.0,DYE,2019
5,BRA,"Growing vegetables, roots, tubers industry",XAM,0.0,DYE,2019
6,BRA,Growing sugar beet and cane industry,XAM,0.0,DYE,2019
7,BRA,Growing tobacco industry,XAM,0.0,DYE,2019
8,BRA,Growing fibre crops industry,XAM,0.0,DYE,2019
9,BRA,Growing crops n.e.c. industry,XAM,0.0,DYE,2019
10,BRA,Growing grapes industry,XAM,0.0,DYE,2019
11,BRA,Growing fruits and nuts industry,XAM,0.0,DYE,2019
12,BRA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0,DYE,2019
13,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0,DYE,2019
14,BRA,Seeds and plant propagation industry,XAM,0.0,DYE,2019
15,BRA,Raising of cattle industry,XAM,0.0,DYE,2019
16,BRA,Growing wheat industry,XEU,0.0,DYE,2019
17,BRA,Growing maize industry,XEU,0.0,DYE,2019
18,BRA,Growing cereals n.e.c industry,XEU,0.0,DYE,2019
19,BRA,Growing leguminous crops and oil seeds industry,XEU,0.0,DYE,2019
20,BRA,Growing rice industry,XEU,0.0,DYE,2019
21,BRA,"Growing vegetables, roots, tubers industry",XEU,0.0,DYE,2019
22,BRA,Growing sugar beet and cane industry,XEU,0.0,DYE,2019
23,BRA,Growing tobacco industry,XEU,0.0,DYE,2019
24,BRA,Growing fibre crops industry,XEU,0.0,DYE,2019
25,BRA,Growing crops n.e.c. industry,XEU,0.0,DYE,2019
26,BRA,Growing grapes industry,XEU,0.0,DYE,2019
27,BRA,Growing fruits and nuts industry,XEU,0.0,DYE,2019
28,BRA,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,DYE,2019
29,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0,DYE,2019
30,BRA,Seeds and plant propagation industry,XEU,0.0,DYE,2019
31,BRA,Raising of cattle industry,XEU,0.0,DYE,2019
32,BRA,Growing wheat industry,XAF,0.0,DYE,2019
33,BRA,Growing maize industry,XAF,0.0,DYE,2019
34,BRA,Growing cereals n.e.c industry,XAF,0.0,DYE,2019
35,BRA,Growing leguminous crops and oil seeds industry,XAF,0.0,DYE,2019
36,BRA,Growing rice industry,XAF,0.0,DYE,2019
37,BRA,"Growing vegetables, roots, tubers industry",XAF,0.0,DYE,2019
38,BRA,Growing sugar beet and cane industry,XAF,0.0,DYE,2019
39,BRA,Growing tobacco industry,XAF,0.0,DYE,2019
40,BRA,Growing fibre crops industry,XAF,0.0,DYE,2019
41,BRA,Growing crops n.e.c. industry,XAF,0.0,DYE,2019
42,BRA,Growing grapes industry,XAF,0.0,DYE,2019
43,BRA,Growing fruits and nuts industry,XAF,0.0,DYE,2019
44,BRA,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,DYE,2019
45,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0,DYE,2019
46,BRA,Seeds and plant propagation industry,XAF,0.0,DYE,2019
47,BRA,Raising of cattle industry,XAF,0.0,DYE,2019
48,BRA,Growing wheat industry,XAS,0.0,DYE,2019
49,BRA,Growing maize industry,XAS,0.0,DYE,2019
50,BRA,Growing cereals n.e.c industry,XAS,0.0,DYE,2019
51,BRA,Growing leguminous crops and oil seeds industry,XAS,0.0,DYE,2019
52,BRA,Growing rice industry,XAS,0.0,DYE,2019
53,BRA,"Growing vegetables, roots, tubers industry",XAS,0.0,DYE,2019
54,BRA,Growing sugar beet and cane industry,XAS,0.0,DYE,2019
55,BRA,Growing tobacco industry,XAS,0.0,DYE,2019
56,BRA,Growing fibre crops industry,XAS,0.0,DYE,2019
57,BRA,Growing crops n.e.c. industry,XAS,0.0,DYE,2019
58,BRA,Growing grapes industry,XAS,0.0,DYE,2019
59,BRA,Growing fruits and nuts industry,XAS,0.0,DYE,2019
60,BRA,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,DYE,2019
61,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,DYE,2019
62,BRA,Seeds and plant propagation industry,XAS,0.0,DYE,2019
63,BRA,Raising of cattle industry,XAS,0.0,DYE,2019
64,BRA,Growing wheat industry,AFG,0.0,DYE,2019
65,BRA,Growing maize industry,AFG,0.0,DYE,2019
66,BRA,Growing cereals n.e.c industry,AFG,0.0,DYE,2019
67,BRA,Growing leguminous crops and oil seeds industry,AFG,0.0,DYE,2019
68,BRA,Growing rice industry,AFG,0.0,DYE,2019
69,BRA,"Growing vegetables, roots, tubers industry",AFG,0.0,DYE,2019
70,BRA,Growing sugar beet and cane industry,AFG,0.0,DYE,2019
71,BRA,Growing tobacco industry,AFG,0.0,DYE,2019
72,BRA,Growing fibre crops industry,AFG,0.0,DYE,2019
73,BRA,Growing crops n.e.c. industry,AFG,0.0,DYE,2019
74,BRA,Growing grapes industry,AFG,0.0,DYE,2019
75,BRA,Growing fruits and nuts industry,AFG,0.0,DYE,2019
76,BRA,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,DYE,2019
77,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.0,DYE,2019
78,BRA,Seeds and plant propagation industry,AFG,0.0,DYE,2019
79,BRA,Raising of cattle industry,AFG,0.0,DYE,2019
80,BRA,Growing wheat industry,AGO,0.0,DYE,2019
81,BRA,Growing maize industry,AGO,0.0,DYE,2019
82,BRA,Growing cereals n.e.c industry,AGO,0.0,DYE,2019
83,BRA,Growing leguminous crops and oil seeds industry,AGO,0.0,DYE,2019
84,BRA,Growing rice industry,AGO,0.0,DYE,2019
85,BRA,"Growing vegetables, roots, tubers industry",AGO,0.0,DYE,2019
86,BRA,Growing sugar beet and cane industry,AGO,0.0,DYE,2019
87,BRA,Growing tobacco industry,AGO,0.0,DYE,2019
88,BRA,Growing fibre crops industry,AGO,0.0,DYE,2019
89,BRA,Growing crops n.e.c. industry,AGO,0.0,DYE,2019
90,BRA,Growing grapes industry,AGO,0.0,DYE,2019
91,BRA,Growing fruits and nuts industry,AGO,0.0,DYE,2019
92,BRA,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0,DYE,2019
93,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0,DYE,2019
94,BRA,Seeds and plant propagation industry,AGO,0.0,DYE,2019
95,BRA,Raising of cattle industry,AGO,0.0,DYE,2019
96,BRA,Growing wheat industry,ALB,0.0,DYE,2019
97,BRA,Growing maize industry,ALB,0.0,DYE,2019
98,BRA,Growing cereals n.e.c industry,ALB,0.0,DYE,2019
99,BRA,Growing leguminous crops and oil seeds industry,ALB,0.0,DYE,2019
100,BRA,Growing rice industry,ALB,0.0,DYE,2019
101,BRA,"Growing vegetables, roots, tubers industry",ALB,0.0,DYE,2019
102,BRA,Growing sugar beet and cane industry,ALB,0.0,DYE,2019
103,BRA,Growing tobacco industry,ALB,0.0,DYE,2019
104,BRA,Growing fibre crops industry,ALB,0.0,DYE,2019
105,BRA,Growing crops n.e.c. industry,ALB,0.0,DYE,2019
106,BRA,Growing grapes industry,ALB,0.0,DYE,2019
107,BRA,Growing fruits and nuts industry,ALB,0.0,DYE,2019
108,BRA,"Growing beverage crops (coffee, tea etc) industry",ALB,0.0,DYE,2019
109,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,0.0,DYE,2019
110,BRA,Seeds and plant propagation industry,ALB,0.0,DYE,2019
111,BRA,Raising of cattle industry,ALB,0.0,DYE,2019
112,BRA,Growing wheat industry,ARE,0.0,DYE,2019
113,BRA,Growing maize industry,ARE,0.0,DYE,2019
114,BRA,Growing cereals n.e.c industry,ARE,0.0,DYE,2019
115,BRA,Growing leguminous crops and oil seeds industry,ARE,0.0,DYE,2019
116,BRA,Growing rice industry,ARE,0.0,DYE,2019
117,BRA,"Growing vegetables, roots, tubers industry",ARE,0.0,DYE,2019
118,BRA,Growing sugar beet and cane industry,ARE,0.0,DYE,2019
119,BRA,Growing tobacco industry,ARE,0.0,DYE,2019
120,BRA,Growing fibre crops industry,ARE,0.0,DYE,2019
121,BRA,Growing crops n.e.c. industry,ARE,0.0,DYE,2019
122,BRA,Growing grapes industry,ARE,0.0,DYE,2019
123,BRA,Growing fruits and nuts industry,ARE,0.0,DYE,2019
124,BRA,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0,DYE,2019
125,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0,DYE,2019
126,BRA,Seeds and plant propagation industry,ARE,0.0,DYE,2019
127,BRA,Raising of cattle industry,ARE,0.0,DYE,2019
128,BRA,Growing wheat industry,ARG,0.0,DYE,2019
129,BRA,Growing maize industry,ARG,0.0,DYE,2019
130,BRA,Growing cereals n.e.c industry,ARG,0.0,DYE,2019
131,BRA,Growing leguminous crops and oil seeds industry,ARG,0.0,DYE,2019
132,BRA,Growing rice industry,ARG,0.0,DYE,2019
133,BRA,"Growing vegetables, roots, tubers industry",ARG,0.0,DYE,2019
134,BRA,Growing sugar beet and cane industry,ARG,0.0,DYE,2019
135,BRA,Growing tobacco industry,ARG,0.0,DYE,2019
136,BRA,Growing fibre crops industry,ARG,0.0,DYE,2019
137,BRA,Growing crops n.e.c. industry,ARG,0.0,DYE,2019
138,BRA,Growing grapes industry,ARG,0.0,DYE,2019
139,BRA,Growing fruits and nuts industry,ARG,0.0,DYE,2019
140,BRA,"Growing beverage crops (coffee, tea etc) industry",ARG,0.0,DYE,2019
141,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,0.0,DYE,2019
142,BRA,Seeds and plant propagation industry,ARG,0.0,DYE,2019
143,BRA,Raising of cattle industry,ARG,0.0,DYE,2019
144,BRA,Growing wheat industry,ARM,0.0,DYE,2019
145,BRA,Growing maize industry,ARM,0.0,DYE,2019
146,BRA,Growing cereals n.e.c industry,ARM,0.0,DYE,2019
147,BRA,Growing leguminous crops and oil seeds industry,ARM,0.0,DYE,2019
148,BRA,Growing rice industry,ARM,0.0,DYE,2019
149,BRA,"Growing vegetables, roots, tubers industry",ARM,0.0,DYE,2019
150,BRA,Growing sugar beet and cane industry,ARM,0.0,DYE,2019
151,BRA,Growing tobacco industry,ARM,0.0,DYE,2019
152,BRA,Growing fibre crops industry,ARM,0.0,DYE,2019
153,BRA,Growing crops n.e.c. industry,ARM,0.0,DYE,2019
154,BRA,Growing grapes industry,ARM,0.0,DYE,2019
155,BRA,Growing fruits and nuts industry,ARM,0.0,DYE,2019
156,BRA,"Growing beverage crops (coffee, tea etc) industry",ARM,0.0,DYE,2019
157,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,0.0,DYE,2019
158,BRA,Seeds and plant propagation industry,ARM,0.0,DYE,2019
159,BRA,Raising of cattle industry,ARM,0.0,DYE,2019
160,BRA,Growing wheat industry,AUS,0.0,DYE,2019
161,BRA,Growing maize industry,AUS,0.0,DYE,2019
162,BRA,Growing cereals n.e.c industry,AUS,0.0,DYE,2019
163,BRA,Growing leguminous crops and oil seeds industry,AUS,0.0,DYE,2019
164,BRA,Growing rice industry,AUS,0.0,DYE,2019
165,BRA,"Growing vegetables, roots, tubers industry",AUS,0.0,DYE,2019
166,BRA,Growing sugar beet and cane industry,AUS,0.0,DYE,2019
167,BRA,Growing tobacco industry,AUS,0.0,DYE,2019
168,BRA,Growing fibre crops industry,AUS,0.0,DYE,2019
169,BRA,Growing crops n.e.c. industry,AUS,0.0,DYE,2019
170,BRA,Growing grapes industry,AUS,0.0,DYE,2019
171,BRA,Growing fruits and nuts industry,AUS,0.0,DYE,2019
172,BRA,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0,DYE,2019
173,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.0,DYE,2019
174,BRA,Seeds and plant propagation industry,AUS,0.0,DYE,2019
175,BRA,Raising of cattle industry,AUS,0.0,DYE,2019
176,BRA,Growing wheat industry,AUT,0.0,DYE,2019
177,BRA,Growing maize industry,AUT,0.0,DYE,2019
178,BRA,Growing cereals n.e.c industry,AUT,0.0,DYE,2019
179,BRA,Growing leguminous crops and oil seeds industry,AUT,0.0,DYE,2019
180,BRA,Growing rice industry,AUT,0.0,DYE,2019
181,BRA,"Growing vegetables, roots, tubers industry",AUT,0.0,DYE,2019
182,BRA,Growing sugar beet and cane industry,AUT,0.0,DYE,2019
183,BRA,Growing tobacco industry,AUT,0.0,DYE,2019
184,BRA,Growing fibre crops industry,AUT,0.0,DYE,2019
185,BRA,Growing crops n.e.c. industry,AUT,0.0,DYE,2019
186,BRA,Growing grapes industry,AUT,0.0,DYE,2019
187,BRA,Growing fruits and nuts industry,AUT,0.0,DYE,2019
188,BRA,"Growing beverage crops (coffee, tea etc) industry",AUT,0.0,DYE,2019
189,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.0,DYE,2019
190,BRA,Seeds and plant propagation industry,AUT,0.0,DYE,2019
191,BRA,Raising of cattle industry,AUT,0.0,DYE,2019
192,BRA,Growing wheat industry,AZE,0.0,DYE,2019
193,BRA,Growing maize industry,AZE,0.0,DYE,2019
194,BRA,Growing cereals n.e.c industry,AZE,0.0,DYE,2019
195,BRA,Growing leguminous crops and oil seeds industry,AZE,0.0,DYE,2019
196,BRA,Growing rice industry,AZE,0.0,DYE,2019
197,BRA,"Growing vegetables, roots, tubers industry",AZE,0.0,DYE,2019
198,BRA,Growing sugar beet and cane industry,AZE,0.0,DYE,2019
199,BRA,Growing tobacco industry,AZE,0.0,DYE,2019
200,BRA,Growing fibre crops industry,AZE,0.0,DYE,2019
201,BRA,Growing crops n.e.c. industry,AZE,0.0,DYE,2019
202,BRA,Growing grapes industry,AZE,0.0,DYE,2019
203,BRA,Growing fruits and nuts industry,AZE,0.0,DYE,2019
204,BRA,"Growing beverage crops (coffee, tea etc) industry",AZE,0.0,DYE,2019
205,BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,0.0,DYE,2019
206,BRA,Seeds and plant propagation industry,AZE,0.0,DYE,2019
207,BRA,Raising of cattle industry,AZE,0.0,DYE,2019
208,BRA,Growing wheat industry,BDI,0.0,DYE,2019
209,BRA,Growing maize industry,BDI,0.0,DYE,2019
210,BRA,Growing cereals n.e.c industry,BDI,0.0,DYE,2019
211,BRA,Growing leguminous crops and oil seeds industry,BDI,0.0,DYE,2019
212,BRA,Growing rice industry,BDI,0.0,DYE,2019
213,BRA,"Growing vegetables, roots, tubers industry",BDI,0.0,DYE,2019
214,BRA,Growing sugar beet and cane industry,BDI,0.0,DYE,2019
