,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.7876227837178687e-07,BIH,2012
1,COD,Growing maize industry,XAM,1.5434051625644377e-05,BIH,2012
2,COD,Growing cereals n.e.c industry,XAM,4.080421816865144e-08,BIH,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.397715867332919e-06,BIH,2012
4,COD,Growing rice industry,XAM,5.471183199073374e-06,BIH,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.779299876241553e-06,BIH,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,BIH,2012
7,COD,Growing tobacco industry,XAM,6.521144382966802e-08,BIH,2012
8,COD,Growing fibre crops industry,XAM,1.221604918645612e-06,BIH,2012
9,COD,Growing crops n.e.c. industry,XAM,1.3979813308671364e-08,BIH,2012
10,COD,Growing grapes industry,XAM,0.0,BIH,2012
11,COD,Growing fruits and nuts industry,XAM,3.584339631388893e-05,BIH,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.5004884764888047e-07,BIH,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.48773374417543e-08,BIH,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,BIH,2012
15,COD,Raising of cattle industry,XAM,4.4103417103620714e-05,BIH,2012
16,COD,Growing wheat industry,XEU,1.9245264054865964e-07,BIH,2012
17,COD,Growing maize industry,XEU,1.3996339187658772e-05,BIH,2012
18,COD,Growing cereals n.e.c industry,XEU,8.785821617977931e-08,BIH,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.0376812961700724e-06,BIH,2012
20,COD,Growing rice industry,XEU,6.953086995908439e-06,BIH,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.674593444526317e-06,BIH,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,BIH,2012
23,COD,Growing tobacco industry,XEU,3.315554930964902e-08,BIH,2012
24,COD,Growing fibre crops industry,XEU,1.9487519354544176e-06,BIH,2012
25,COD,Growing crops n.e.c. industry,XEU,1.4038288901245745e-08,BIH,2012
26,COD,Growing grapes industry,XEU,0.0,BIH,2012
27,COD,Growing fruits and nuts industry,XEU,3.4587164039383943e-05,BIH,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.1464580085762937e-07,BIH,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.601381904959672e-08,BIH,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,BIH,2012
31,COD,Raising of cattle industry,XEU,5.7552391585027425e-05,BIH,2012
32,COD,Growing wheat industry,XAF,3.456701417109126e-08,BIH,2012
33,COD,Growing maize industry,XAF,3.0701895070832964e-06,BIH,2012
34,COD,Growing cereals n.e.c industry,XAF,1.5654841225952473e-08,BIH,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,6.252658570723058e-07,BIH,2012
36,COD,Growing rice industry,XAF,1.1571684042995245e-06,BIH,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.613804297609131e-06,BIH,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,BIH,2012
39,COD,Growing tobacco industry,XAF,7.083026188591278e-09,BIH,2012
40,COD,Growing fibre crops industry,XAF,3.2136217254632816e-07,BIH,2012
41,COD,Growing crops n.e.c. industry,XAF,2.3092060456424255e-09,BIH,2012
42,COD,Growing grapes industry,XAF,0.0,BIH,2012
43,COD,Growing fruits and nuts industry,XAF,5.523402913624463e-06,BIH,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,4.264828632529426e-08,BIH,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,6.152333204451782e-09,BIH,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,BIH,2012
47,COD,Raising of cattle industry,XAF,9.721024233108544e-06,BIH,2012
48,COD,Growing wheat industry,XAS,1.65000892879977e-08,BIH,2012
49,COD,Growing maize industry,XAS,1.0995552289106392e-06,BIH,2012
50,COD,Growing cereals n.e.c industry,XAS,6.744484618617318e-09,BIH,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,2.422545066811263e-07,BIH,2012
52,COD,Growing rice industry,XAS,6.145413340612241e-07,BIH,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.930741374471059e-07,BIH,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,BIH,2012
55,COD,Growing tobacco industry,XAS,2.1955102477369208e-09,BIH,2012
56,COD,Growing fibre crops industry,XAS,1.5932004722543209e-07,BIH,2012
