,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.2625954404068096e-07,CHL,2012
1,COD,Growing maize industry,XAM,3.277422051592537e-05,CHL,2012
2,COD,Growing cereals n.e.c industry,XAM,2.7306353977203756e-08,CHL,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.5990553280112005e-06,CHL,2012
4,COD,Growing rice industry,XAM,2.299927253301579e-06,CHL,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,7.787865203353293e-06,CHL,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,CHL,2012
7,COD,Growing tobacco industry,XAM,1.6904557335535237e-08,CHL,2012
8,COD,Growing fibre crops industry,XAM,6.4871317558418425e-06,CHL,2012
9,COD,Growing crops n.e.c. industry,XAM,6.9415932536201895e-09,CHL,2012
10,COD,Growing grapes industry,XAM,0.0,CHL,2012
11,COD,Growing fruits and nuts industry,XAM,1.7087784358518105e-05,CHL,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.1293665960533932e-07,CHL,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.4082507592716096e-08,CHL,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,CHL,2012
15,COD,Raising of cattle industry,XAM,2.3788516942826507e-05,CHL,2012
16,COD,Growing wheat industry,XEU,1.3960556488230468e-08,CHL,2012
17,COD,Growing maize industry,XEU,2.5127939092792656e-06,CHL,2012
18,COD,Growing cereals n.e.c industry,XEU,2.6295938151286902e-09,CHL,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.8535338267658713e-07,CHL,2012
20,COD,Growing rice industry,XEU,2.873568937322428e-07,CHL,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,7.681227706357399e-07,CHL,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,CHL,2012
23,COD,Growing tobacco industry,XEU,1.7216729230912402e-09,CHL,2012
24,COD,Growing fibre crops industry,XEU,6.026238061762381e-07,CHL,2012
25,COD,Growing crops n.e.c. industry,XEU,7.3715122949854e-10,CHL,2012
26,COD,Growing grapes industry,XEU,0.0,CHL,2012
27,COD,Growing fruits and nuts industry,XEU,1.4067443164566605e-06,CHL,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.0166806049119317e-08,CHL,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.3531735003857155e-09,CHL,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,CHL,2012
31,COD,Raising of cattle industry,XEU,2.91049043252919e-06,CHL,2012
32,COD,Growing wheat industry,XAF,1.632246459602389e-08,CHL,2012
33,COD,Growing maize industry,XAF,3.1628906920991485e-06,CHL,2012
34,COD,Growing cereals n.e.c industry,XAF,3.202428142055372e-09,CHL,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,4.5429220376823127e-07,CHL,2012
36,COD,Growing rice industry,XAF,3.106344369285848e-07,CHL,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,9.868764807562597e-07,CHL,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,CHL,2012
39,COD,Growing tobacco industry,XAF,2.1643788283970128e-09,CHL,2012
40,COD,Growing fibre crops industry,XAF,7.992554523653113e-07,CHL,2012
41,COD,Growing crops n.e.c. industry,XAF,8.912749091016464e-10,CHL,2012
42,COD,Growing grapes industry,XAF,0.0,CHL,2012
43,COD,Growing fruits and nuts industry,XAF,1.7440666422639785e-06,CHL,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.3577513916810191e-08,CHL,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.0109008039092654e-09,CHL,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,CHL,2012
47,COD,Raising of cattle industry,XAF,3.278103954458335e-06,CHL,2012
48,COD,Growing wheat industry,XAS,3.466264789996872e-08,CHL,2012
49,COD,Growing maize industry,XAS,1.0315403078437819e-05,CHL,2012
50,COD,Growing cereals n.e.c industry,XAS,7.151394133996321e-09,CHL,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,9.160208223065405e-07,CHL,2012
52,COD,Growing rice industry,XAS,6.213203484809982e-07,CHL,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.0227928560324726e-06,CHL,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,CHL,2012
55,COD,Growing tobacco industry,XAS,4.1959836136832305e-09,CHL,2012
56,COD,Growing fibre crops industry,XAS,1.5519983580386225e-06,CHL,2012
57,COD,Growing crops n.e.c. industry,XAS,1.7018434113319387e-09,CHL,2012
58,COD,Growing grapes industry,XAS,0.0,CHL,2012
59,COD,Growing fruits and nuts industry,XAS,4.515133381082232e-06,CHL,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.761804172208305e-08,CHL,2012
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,6.250243919887121e-09,CHL,2012
62,COD,Seeds and plant propagation industry,XAS,0.0,CHL,2012
63,COD,Raising of cattle industry,XAS,6.442924083377206e-06,CHL,2012
64,COD,Growing wheat industry,AFG,5.6930505022727975e-09,CHL,2012
65,COD,Growing maize industry,AFG,9.157508535092703e-07,CHL,2012
66,COD,Growing cereals n.e.c industry,AFG,1.0504787295368483e-09,CHL,2012
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.517759089959536e-07,CHL,2012
68,COD,Growing rice industry,AFG,1.0774827902456628e-07,CHL,2012
69,COD,"Growing vegetables, roots, tubers industry",AFG,3.392256101558826e-07,CHL,2012
70,COD,Growing sugar beet and cane industry,AFG,0.0,CHL,2012
71,COD,Growing tobacco industry,AFG,7.370850905834877e-10,CHL,2012
72,COD,Growing fibre crops industry,AFG,2.7387015824386814e-07,CHL,2012
73,COD,Growing crops n.e.c. industry,AFG,3.0758286360858153e-10,CHL,2012
74,COD,Growing grapes industry,AFG,0.0,CHL,2012
