,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.118405685783889e-06,GHA,2012
1,COD,Growing maize industry,XAM,2.823244446522913e-05,GHA,2012
2,COD,Growing cereals n.e.c industry,XAM,6.087994285933146e-08,GHA,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.1063659084647551e-05,GHA,2012
4,COD,Growing rice industry,XAM,1.10830194682264e-05,GHA,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,5.561340840782937e-05,GHA,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,GHA,2012
7,COD,Growing tobacco industry,XAM,1.1496770462488948e-07,GHA,2012
8,COD,Growing fibre crops industry,XAM,1.354361642342996e-05,GHA,2012
9,COD,Growing crops n.e.c. industry,XAM,2.2106666032264957e-08,GHA,2012
10,COD,Growing grapes industry,XAM,0.0,GHA,2012
11,COD,Growing fruits and nuts industry,XAM,5.4252069364696904e-05,GHA,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.2053741773559878e-06,GHA,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.77849914131733e-07,GHA,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,GHA,2012
15,COD,Raising of cattle industry,XAM,6.544975720438298e-05,GHA,2012
16,COD,Growing wheat industry,XEU,1.485637194327995e-07,GHA,2012
17,COD,Growing maize industry,XEU,5.415275657117233e-06,GHA,2012
18,COD,Growing cereals n.e.c industry,XEU,1.0961739169303692e-08,GHA,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.5632742010964714e-06,GHA,2012
20,COD,Growing rice industry,XEU,2.157137888581409e-06,GHA,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,8.175691154439382e-06,GHA,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,GHA,2012
23,COD,Growing tobacco industry,XEU,1.4196263184385495e-08,GHA,2012
24,COD,Growing fibre crops industry,XEU,2.056487816915148e-06,GHA,2012
25,COD,Growing crops n.e.c. industry,XEU,4.7523718287006646e-09,GHA,2012
26,COD,Growing grapes industry,XEU,0.0,GHA,2012
27,COD,Growing fruits and nuts industry,XEU,7.6111950559855775e-06,GHA,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.7618055271746086e-07,GHA,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.1329341833511944e-08,GHA,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,GHA,2012
31,COD,Raising of cattle industry,XEU,1.469102627335417e-05,GHA,2012
32,COD,Growing wheat industry,XAF,6.307174261465886e-07,GHA,2012
33,COD,Growing maize industry,XAF,2.0644467222264795e-05,GHA,2012
34,COD,Growing cereals n.e.c industry,XAF,4.4202352019541296e-08,GHA,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,5.972252026561068e-06,GHA,2012
36,COD,Growing rice industry,XAF,7.835111654070076e-06,GHA,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.482652835142615e-05,GHA,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,GHA,2012
39,COD,Growing tobacco industry,XAF,5.995650467223716e-08,GHA,2012
40,COD,Growing fibre crops industry,XAF,9.226978499208305e-06,GHA,2012
41,COD,Growing crops n.e.c. industry,XAF,1.9118991309472395e-08,GHA,2012
42,COD,Growing grapes industry,XAF,0.0,GHA,2012
43,COD,Growing fruits and nuts industry,XAF,3.347088817847834e-05,GHA,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,8.610217288525289e-07,GHA,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.6911682023211368e-07,GHA,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,GHA,2012
47,COD,Raising of cattle industry,XAF,6.16271013652066e-05,GHA,2012
48,COD,Growing wheat industry,XAS,7.449068686356468e-08,GHA,2012
49,COD,Growing maize industry,XAS,4.7551377344437295e-06,GHA,2012
50,COD,Growing cereals n.e.c industry,XAS,6.843718198493415e-09,GHA,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,8.076574051889707e-07,GHA,2012
52,COD,Growing rice industry,XAS,1.1928459988675744e-06,GHA,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,6.257782481159744e-06,GHA,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,GHA,2012
55,COD,Growing tobacco industry,XAS,5.623430033718315e-09,GHA,2012
56,COD,Growing fibre crops industry,XAS,3.6201072790155127e-06,GHA,2012
57,COD,Growing crops n.e.c. industry,XAS,2.5872284706001878e-09,GHA,2012
58,COD,Growing grapes industry,XAS,0.0,GHA,2012
59,COD,Growing fruits and nuts industry,XAS,5.50387513881421e-06,GHA,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,7.201881468272964e-08,GHA,2012
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.9299874360337213e-08,GHA,2012
62,COD,Seeds and plant propagation industry,XAS,0.0,GHA,2012
63,COD,Raising of cattle industry,XAS,1.0519847728678445e-05,GHA,2012
64,COD,Growing wheat industry,AFG,1.750477542834246e-07,GHA,2012
65,COD,Growing maize industry,AFG,1.3373584112714564e-05,GHA,2012
66,COD,Growing cereals n.e.c industry,AFG,2.141349153741827e-08,GHA,2012
67,COD,Growing leguminous crops and oil seeds industry,AFG,2.592349400274932e-06,GHA,2012
68,COD,Growing rice industry,AFG,4.1645459001838135e-06,GHA,2012
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.1250372207696526e-05,GHA,2012
70,COD,Growing sugar beet and cane industry,AFG,0.0,GHA,2012
71,COD,Growing tobacco industry,AFG,1.5119407837312055e-08,GHA,2012
72,COD,Growing fibre crops industry,AFG,4.860680163949431e-06,GHA,2012
73,COD,Growing crops n.e.c. industry,AFG,9.989369832227608e-09,GHA,2012
74,COD,Growing grapes industry,AFG,0.0,GHA,2012
75,COD,Growing fruits and nuts industry,AFG,1.0310242669725358e-05,GHA,2012
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,1.3780590819505106e-07,GHA,2012
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,6.248699117636732e-08,GHA,2012
78,COD,Seeds and plant propagation industry,AFG,0.0,GHA,2012
79,COD,Raising of cattle industry,AFG,3.2539086261156205e-05,GHA,2012
80,COD,Growing wheat industry,AGO,1.2078030112598461e-06,GHA,2012
81,COD,Growing maize industry,AGO,5.333236925393297e-05,GHA,2012
82,COD,Growing cereals n.e.c industry,AGO,1.562952368474228e-07,GHA,2012
83,COD,Growing leguminous crops and oil seeds industry,AGO,1.5417804906111606e-05,GHA,2012
84,COD,Growing rice industry,AGO,2.9525289341724394e-05,GHA,2012
85,COD,"Growing vegetables, roots, tubers industry",AGO,6.291826593494514e-05,GHA,2012
86,COD,Growing sugar beet and cane industry,AGO,0.0,GHA,2012
87,COD,Growing tobacco industry,AGO,1.0593623021047296e-07,GHA,2012
88,COD,Growing fibre crops industry,AGO,1.4968428176969124e-05,GHA,2012
89,COD,Growing crops n.e.c. industry,AGO,7.651631887109423e-08,GHA,2012
90,COD,Growing grapes industry,AGO,0.0,GHA,2012
91,COD,Growing fruits and nuts industry,AGO,4.977723933451964e-05,GHA,2012
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,8.890605708449514e-07,GHA,2012
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.839757896508947e-07,GHA,2012
94,COD,Seeds and plant propagation industry,AGO,0.0,GHA,2012
95,COD,Raising of cattle industry,AGO,0.00026695807074903,GHA,2012
96,COD,Growing wheat industry,ALB,3.02917470960455e-08,GHA,2012
97,COD,Growing maize industry,ALB,9.439783703738384e-07,GHA,2012
98,COD,Growing cereals n.e.c industry,ALB,2.7589105300149095e-09,GHA,2012
99,COD,Growing leguminous crops and oil seeds industry,ALB,3.180261560410199e-07,GHA,2012
100,COD,Growing rice industry,ALB,5.047790689185977e-07,GHA,2012
101,COD,"Growing vegetables, roots, tubers industry",ALB,1.6552454247761419e-06,GHA,2012
102,COD,Growing sugar beet and cane industry,ALB,0.0,GHA,2012
103,COD,Growing tobacco industry,ALB,2.270574258340382e-09,GHA,2012
104,COD,Growing fibre crops industry,ALB,4.4822997531441476e-07,GHA,2012
105,COD,Growing crops n.e.c. industry,ALB,1.0526303255849952e-09,GHA,2012
106,COD,Growing grapes industry,ALB,0.0,GHA,2012
107,COD,Growing fruits and nuts industry,ALB,1.3378714870215961e-06,GHA,2012
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,2.0844581625044036e-08,GHA,2012
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,7.90748335038588e-09,GHA,2012
110,COD,Seeds and plant propagation industry,ALB,0.0,GHA,2012
111,COD,Raising of cattle industry,ALB,4.515695246368337e-06,GHA,2012
112,COD,Growing wheat industry,ARE,2.6755388233498673e-06,GHA,2012
113,COD,Growing maize industry,ARE,0.00010970602934649446,GHA,2012
114,COD,Growing cereals n.e.c industry,ARE,2.5154544752479107e-07,GHA,2012
115,COD,Growing leguminous crops and oil seeds industry,ARE,2.6712168572423182e-05,GHA,2012
116,COD,Growing rice industry,ARE,4.1942991404201666e-05,GHA,2012
117,COD,"Growing vegetables, roots, tubers industry",ARE,0.00017775679067400695,GHA,2012
118,COD,Growing sugar beet and cane industry,ARE,0.0,GHA,2012
119,COD,Growing tobacco industry,ARE,1.536778507716384e-07,GHA,2012
120,COD,Growing fibre crops industry,ARE,6.006770090418221e-05,GHA,2012
121,COD,Growing crops n.e.c. industry,ARE,1.0217270466160122e-07,GHA,2012
122,COD,Growing grapes industry,ARE,0.0,GHA,2012
123,COD,Growing fruits and nuts industry,ARE,0.00012849693845689566,GHA,2012
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,1.8067082839130813e-06,GHA,2012
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,8.43015454436134e-07,GHA,2012
126,COD,Seeds and plant propagation industry,ARE,0.0,GHA,2012
127,COD,Raising of cattle industry,ARE,0.00045075905108613387,GHA,2012
128,COD,Growing wheat industry,ARG,3.474222405119175e-07,GHA,2012
