,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,4.6311254663461195e-07,HND,2012
1,COD,Growing maize industry,XAM,0.00010887854574573689,HND,2012
2,COD,Growing cereals n.e.c industry,XAM,1.0293528766804939e-07,HND,2012
3,COD,Growing leguminous crops and oil seeds industry,XAM,7.79796216819788e-06,HND,2012
4,COD,Growing rice industry,XAM,1.6708438567495386e-05,HND,2012
5,COD,"Growing vegetables, roots, tubers industry",XAM,5.919432517900826e-06,HND,2012
6,COD,Growing sugar beet and cane industry,XAM,0.0,HND,2012
7,COD,Growing tobacco industry,XAM,4.5959605558352405e-08,HND,2012
8,COD,Growing fibre crops industry,XAM,6.565631167007882e-06,HND,2012
9,COD,Growing crops n.e.c. industry,XAM,3.502871369123411e-08,HND,2012
10,COD,Growing grapes industry,XAM,0.0,HND,2012
11,COD,Growing fruits and nuts industry,XAM,1.655951946552136e-05,HND,2012
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.0714743607831809e-07,HND,2012
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.7418035329890152e-08,HND,2012
14,COD,Seeds and plant propagation industry,XAM,0.0,HND,2012
15,COD,Raising of cattle industry,XAM,0.00019620593353377393,HND,2012
16,COD,Growing wheat industry,XEU,4.962002315625926e-08,HND,2012
17,COD,Growing maize industry,XEU,9.230450254708478e-06,HND,2012
18,COD,Growing cereals n.e.c industry,XEU,1.032919083374775e-08,HND,2012
19,COD,Growing leguminous crops and oil seeds industry,XEU,6.756098307855695e-07,HND,2012
20,COD,Growing rice industry,XEU,1.9352272534569613e-06,HND,2012
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.4487104489855893e-07,HND,2012
22,COD,Growing sugar beet and cane industry,XEU,0.0,HND,2012
23,COD,Growing tobacco industry,XEU,4.621610458984745e-09,HND,2012
24,COD,Growing fibre crops industry,XEU,5.020760651386212e-07,HND,2012
25,COD,Growing crops n.e.c. industry,XEU,3.646421762303939e-09,HND,2012
26,COD,Growing grapes industry,XEU,0.0,HND,2012
27,COD,Growing fruits and nuts industry,XEU,7.959024077232618e-07,HND,2012
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,5.991611292026157e-09,HND,2012
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,9.525212208334254e-10,HND,2012
30,COD,Seeds and plant propagation industry,XEU,0.0,HND,2012
31,COD,Raising of cattle industry,XEU,2.4455641397184376e-05,HND,2012
32,COD,Growing wheat industry,XAF,2.1832815652924887e-08,HND,2012
33,COD,Growing maize industry,XAF,8.396573988450983e-06,HND,2012
34,COD,Growing cereals n.e.c industry,XAF,5.522187628189945e-09,HND,2012
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.879394919463191e-07,HND,2012
36,COD,Growing rice industry,XAF,8.332177758723464e-07,HND,2012
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.3918522225795393e-07,HND,2012
38,COD,Growing sugar beet and cane industry,XAF,0.0,HND,2012
39,COD,Growing tobacco industry,XAF,1.8082881450177625e-09,HND,2012
40,COD,Growing fibre crops industry,XAF,1.89176007776404e-07,HND,2012
41,COD,Growing crops n.e.c. industry,XAF,1.6487240174425312e-09,HND,2012
42,COD,Growing grapes industry,XAF,0.0,HND,2012
43,COD,Growing fruits and nuts industry,XAF,3.612344886822378e-07,HND,2012
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,2.552718576171111e-09,HND,2012
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.783273925326373e-10,HND,2012
46,COD,Seeds and plant propagation industry,XAF,0.0,HND,2012
47,COD,Raising of cattle industry,XAF,8.04774291568627e-06,HND,2012
48,COD,Growing wheat industry,XAS,2.6469549055930098e-08,HND,2012
49,COD,Growing maize industry,XAS,2.6566114257889123e-05,HND,2012
50,COD,Growing cereals n.e.c industry,XAS,1.0261333573124019e-08,HND,2012
51,COD,Growing leguminous crops and oil seeds industry,XAS,3.9238496158163425e-07,HND,2012
52,COD,Growing rice industry,XAS,9.507245305357354e-07,HND,2012
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.1704115216009276e-07,HND,2012
54,COD,Growing sugar beet and cane industry,XAS,0.0,HND,2012
55,COD,Growing tobacco industry,XAS,2.0591146372126957e-09,HND,2012
56,COD,Growing fibre crops industry,XAS,3.7902459769381545e-07,HND,2012
57,COD,Growing crops n.e.c. industry,XAS,2.0906130359326346e-09,HND,2012
58,COD,Growing grapes industry,XAS,0.0,HND,2012
59,COD,Growing fruits and nuts industry,XAS,5.578444340279451e-07,HND,2012
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,3.881349679205865e-09,HND,2012
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,6.134150822633016e-10,HND,2012
62,COD,Seeds and plant propagation industry,XAS,0.0,HND,2012
63,COD,Raising of cattle industry,XAS,9.97414304126747e-06,HND,2012
64,COD,Growing wheat industry,AFG,8.913551195767886e-09,HND,2012
65,COD,Growing maize industry,AFG,2.935117605386786e-06,HND,2012
66,COD,Growing cereals n.e.c industry,AFG,2.1976605588283608e-09,HND,2012
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.2660466437694736e-07,HND,2012
68,COD,Growing rice industry,AFG,3.275679155675887e-07,HND,2012
69,COD,"Growing vegetables, roots, tubers industry",AFG,6.865493058828193e-08,HND,2012
70,COD,Growing sugar beet and cane industry,AFG,0.0,HND,2012
71,COD,Growing tobacco industry,AFG,6.941910589422143e-10,HND,2012
72,COD,Growing fibre crops industry,AFG,9.133711446311116e-08,HND,2012
73,COD,Growing crops n.e.c. industry,AFG,6.990744891291512e-10,HND,2012
74,COD,Growing grapes industry,AFG,0.0,HND,2012
75,COD,Growing fruits and nuts industry,AFG,1.87029662525355e-07,HND,2012
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,1.2648219864840373e-09,HND,2012
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.9118532736899941e-10,HND,2012
78,COD,Seeds and plant propagation industry,AFG,0.0,HND,2012
79,COD,Raising of cattle industry,AFG,3.433527267538921e-06,HND,2012
80,COD,Growing wheat industry,AGO,1.1108162311644692e-07,HND,2012
81,COD,Growing maize industry,AGO,2.5055203756881362e-05,HND,2012
82,COD,Growing cereals n.e.c industry,AGO,2.4639568517599264e-08,HND,2012
83,COD,Growing leguminous crops and oil seeds industry,AGO,1.6651061594886566e-06,HND,2012
84,COD,Growing rice industry,AGO,4.168002810389563e-06,HND,2012
85,COD,"Growing vegetables, roots, tubers industry",AGO,1.0523419310721143e-06,HND,2012
86,COD,Growing sugar beet and cane industry,AGO,0.0,HND,2012
87,COD,Growing tobacco industry,AGO,9.321388766389772e-09,HND,2012
88,COD,Growing fibre crops industry,AGO,1.5433200118805136e-06,HND,2012
89,COD,Growing crops n.e.c. industry,AGO,8.713029726781769e-09,HND,2012
90,COD,Growing grapes industry,AGO,0.0,HND,2012
91,COD,Growing fruits and nuts industry,AGO,4.580609347057163e-06,HND,2012
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,1.988193353613079e-08,HND,2012
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,3.0216948500605137e-09,HND,2012
94,COD,Seeds and plant propagation industry,AGO,0.0,HND,2012
95,COD,Raising of cattle industry,AGO,4.256595922234253e-05,HND,2012
96,COD,Growing wheat industry,ALB,1.3938381955297988e-08,HND,2012
97,COD,Growing maize industry,ALB,7.726685613021528e-06,HND,2012
