,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,3.3448685937922434e-07,BEN,2013
1,COD,Growing maize industry,XAM,9.629722424782242e-07,BEN,2013
2,COD,Growing cereals n.e.c industry,XAM,1.0785952972061842e-08,BEN,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.3649917306677285e-06,BEN,2013
4,COD,Growing rice industry,XAM,4.756230142478978e-06,BEN,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,8.092041983627243e-07,BEN,2013
6,COD,Growing sugar beet and cane industry,XAM,9.29574585599485e-08,BEN,2013
7,COD,Growing tobacco industry,XAM,1.0458150912584827e-08,BEN,2013
8,COD,Growing fibre crops industry,XAM,7.129873484426691e-06,BEN,2013
9,COD,Growing crops n.e.c. industry,XAM,6.306256387666346e-08,BEN,2013
10,COD,Growing grapes industry,XAM,0.0,BEN,2013
11,COD,Growing fruits and nuts industry,XAM,8.786859328784426e-06,BEN,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,8.196893749907154e-10,BEN,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.40220833238237e-09,BEN,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,BEN,2013
15,COD,Raising of cattle industry,XAM,8.338590038133079e-06,BEN,2013
16,COD,Growing wheat industry,XEU,8.678352944570432e-08,BEN,2013
17,COD,Growing maize industry,XEU,3.4404421399458427e-07,BEN,2013
18,COD,Growing cereals n.e.c industry,XEU,4.623090302669347e-09,BEN,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,4.499511695604509e-07,BEN,2013
20,COD,Growing rice industry,XEU,2.3177383198984127e-06,BEN,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.6716805150393847e-07,BEN,2013
22,COD,Growing sugar beet and cane industry,XEU,4.0097969485884674e-08,BEN,2013
23,COD,Growing tobacco industry,XEU,3.2752497347613902e-09,BEN,2013
24,COD,Growing fibre crops industry,XEU,6.457806269328011e-07,BEN,2013
25,COD,Growing crops n.e.c. industry,XEU,4.0837595664563645e-08,BEN,2013
26,COD,Growing grapes industry,XEU,0.0,BEN,2013
27,COD,Growing fruits and nuts industry,XEU,1.3749534309264446e-06,BEN,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.9135064550498882e-10,BEN,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.316996528619526e-09,BEN,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,BEN,2013
31,COD,Raising of cattle industry,XEU,5.630040952634196e-06,BEN,2013
32,COD,Growing wheat industry,XAF,5.282686090724639e-07,BEN,2013
