,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.5791156429761614e-07,MOZ,2013
1,COD,Growing maize industry,XAM,4.2957099881984596e-05,MOZ,2013
2,COD,Growing cereals n.e.c industry,XAM,3.098466705489093e-08,MOZ,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,4.273137538735411e-06,MOZ,2013
4,COD,Growing rice industry,XAM,7.090377154049173e-06,MOZ,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.2336627487326397e-05,MOZ,2013
6,COD,Growing sugar beet and cane industry,XAM,1.1181592118305913e-06,MOZ,2013
7,COD,Growing tobacco industry,XAM,1.5136683284005525e-08,MOZ,2013
8,COD,Growing fibre crops industry,XAM,8.517557334904316e-07,MOZ,2013
9,COD,Growing crops n.e.c. industry,XAM,4.095597066313734e-06,MOZ,2013
10,COD,Growing grapes industry,XAM,0.0,MOZ,2013
11,COD,Growing fruits and nuts industry,XAM,0.0002978444750565557,MOZ,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,7.241668811333104e-09,MOZ,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,9.07009058009629e-09,MOZ,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,MOZ,2013
15,COD,Raising of cattle industry,XAM,2.8033651464570743e-05,MOZ,2013
16,COD,Growing wheat industry,XEU,3.7507405394876205e-08,MOZ,2013
17,COD,Growing maize industry,XEU,8.100976955487583e-06,MOZ,2013
18,COD,Growing cereals n.e.c industry,XEU,6.617440091744314e-09,MOZ,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,8.585981541316103e-07,MOZ,2013
20,COD,Growing rice industry,XEU,1.5976870472934991e-06,MOZ,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.8204239030728534e-06,MOZ,2013
22,COD,Growing sugar beet and cane industry,XEU,2.1498669876029657e-07,MOZ,2013
23,COD,Growing tobacco industry,XEU,3.4725946760915092e-09,MOZ,2013
24,COD,Growing fibre crops industry,XEU,1.3865894441069793e-07,MOZ,2013
25,COD,Growing crops n.e.c. industry,XEU,7.369775647449848e-07,MOZ,2013
26,COD,Growing grapes industry,XEU,0.0,MOZ,2013
27,COD,Growing fruits and nuts industry,XEU,6.771084076209227e-05,MOZ,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.9764816790853986e-09,MOZ,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.5730254475148007e-09,MOZ,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,MOZ,2013
31,COD,Raising of cattle industry,XEU,6.437342516992276e-06,MOZ,2013
32,COD,Growing wheat industry,XAF,2.0385023611281417e-06,MOZ,2013
33,COD,Growing maize industry,XAF,0.00034857949610063037,MOZ,2013
34,COD,Growing cereals n.e.c industry,XAF,2.96155354917017e-07,MOZ,2013
35,COD,Growing leguminous crops and oil seeds industry,XAF,3.7119120316951675e-05,MOZ,2013
36,COD,Growing rice industry,XAF,8.621941778311933e-05,MOZ,2013
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.0001368816711118554,MOZ,2013
38,COD,Growing sugar beet and cane industry,XAF,9.485099494828519e-06,MOZ,2013
39,COD,Growing tobacco industry,XAF,1.5182744295535707e-07,MOZ,2013
40,COD,Growing fibre crops industry,XAF,1.3453307582237105e-05,MOZ,2013
41,COD,Growing crops n.e.c. industry,XAF,3.023550706628864e-05,MOZ,2013
42,COD,Growing grapes industry,XAF,0.0,MOZ,2013
43,COD,Growing fruits and nuts industry,XAF,0.003328595993147163,MOZ,2013
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,9.621189209118402e-08,MOZ,2013
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,8.082812142320813e-08,MOZ,2013
46,COD,Seeds and plant propagation industry,XAF,0.0,MOZ,2013
47,COD,Raising of cattle industry,XAF,0.00028906860364641277,MOZ,2013
48,COD,Growing wheat industry,XAS,1.5096742116403216e-07,MOZ,2013
49,COD,Growing maize industry,XAS,3.4517644565731e-05,MOZ,2013
50,COD,Growing cereals n.e.c industry,XAS,2.5917241863986825e-08,MOZ,2013
51,COD,Growing leguminous crops and oil seeds industry,XAS,3.482895495322403e-06,MOZ,2013
52,COD,Growing rice industry,XAS,5.927832869274085e-06,MOZ,2013
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.4424576007963345e-05,MOZ,2013
54,COD,Growing sugar beet and cane industry,XAS,9.399273091654761e-07,MOZ,2013
55,COD,Growing tobacco industry,XAS,1.3058291689412714e-08,MOZ,2013
56,COD,Growing fibre crops industry,XAS,7.53154269405056e-07,MOZ,2013
57,COD,Growing crops n.e.c. industry,XAS,3.241313017224781e-06,MOZ,2013
58,COD,Growing grapes industry,XAS,0.0,MOZ,2013
59,COD,Growing fruits and nuts industry,XAS,0.0003703765599937223,MOZ,2013
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,5.978983487109887e-09,MOZ,2013
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,6.946520399280313e-09,MOZ,2013
62,COD,Seeds and plant propagation industry,XAS,0.0,MOZ,2013
63,COD,Raising of cattle industry,XAS,2.411177692195122e-05,MOZ,2013
64,COD,Growing wheat industry,AFG,4.231538301838786e-08,MOZ,2013
65,COD,Growing maize industry,AFG,1.0680020269874976e-05,MOZ,2013
66,COD,Growing cereals n.e.c industry,AFG,7.815955039976419e-09,MOZ,2013
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.0798238800170097e-06,MOZ,2013
68,COD,Growing rice industry,AFG,1.7510615597153721e-06,MOZ,2013
69,COD,"Growing vegetables, roots, tubers industry",AFG,3.846117405900143e-06,MOZ,2013
70,COD,Growing sugar beet and cane industry,AFG,3.3802176723179137e-07,MOZ,2013
71,COD,Growing tobacco industry,AFG,3.9490675659453145e-09,MOZ,2013
72,COD,Growing fibre crops industry,AFG,1.7122141821809698e-07,MOZ,2013
73,COD,Growing crops n.e.c. industry,AFG,9.934825710782795e-07,MOZ,2013
74,COD,Growing grapes industry,AFG,0.0,MOZ,2013
75,COD,Growing fruits and nuts industry,AFG,9.571641986954357e-05,MOZ,2013
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,2.090389052944345e-09,MOZ,2013
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.1686909552825447e-09,MOZ,2013
78,COD,Seeds and plant propagation industry,AFG,0.0,MOZ,2013
79,COD,Raising of cattle industry,AFG,7.050367275221078e-06,MOZ,2013
80,COD,Growing wheat industry,AGO,3.143391184745313e-06,MOZ,2013
81,COD,Growing maize industry,AGO,0.000519559808172593,MOZ,2013
82,COD,Growing cereals n.e.c industry,AGO,4.7332160273875455e-07,MOZ,2013
83,COD,Growing leguminous crops and oil seeds industry,AGO,5.812328319795005e-05,MOZ,2013
84,COD,Growing rice industry,AGO,0.00010697948305214675,MOZ,2013
85,COD,"Growing vegetables, roots, tubers industry",AGO,0.0004203832364221213,MOZ,2013
86,COD,Growing sugar beet and cane industry,AGO,1.4839500071578522e-05,MOZ,2013
87,COD,Growing tobacco industry,AGO,2.589586114694081e-07,MOZ,2013
88,COD,Growing fibre crops industry,AGO,9.1322891755013e-06,MOZ,2013
89,COD,Growing crops n.e.c. industry,AGO,4.51878793079761e-05,MOZ,2013
90,COD,Growing grapes industry,AGO,0.0,MOZ,2013
91,COD,Growing fruits and nuts industry,AGO,0.010998853128264607,MOZ,2013
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,1.0806869003513919e-07,MOZ,2013
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.289872173044698e-07,MOZ,2013
94,COD,Seeds and plant propagation industry,AGO,0.0,MOZ,2013
