,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.3826454187902658e-06,CHE,2015
1,COD,Growing maize industry,XAM,0.00019086211250018918,CHE,2015
2,COD,Growing cereals n.e.c industry,XAM,1.3100710763632362e-07,CHE,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.955419883064905e-05,CHE,2015
4,COD,Growing rice industry,XAM,1.0264938158854286e-05,CHE,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,3.4055097482451946e-05,CHE,2015
6,COD,Growing sugar beet and cane industry,XAM,3.2921857610727228e-06,CHE,2015
7,COD,Growing tobacco industry,XAM,8.593379134610976e-07,CHE,2015
8,COD,Growing fibre crops industry,XAM,4.4302955242022313e-05,CHE,2015
9,COD,Growing crops n.e.c. industry,XAM,2.8125544416290924e-06,CHE,2015
10,COD,Growing grapes industry,XAM,0.0,CHE,2015
11,COD,Growing fruits and nuts industry,XAM,0.00020270377895446472,CHE,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.27052638649716e-06,CHE,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.540496220281138e-08,CHE,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,CHE,2015
15,COD,Raising of cattle industry,XAM,8.450587188751086e-05,CHE,2015
16,COD,Growing wheat industry,XEU,2.6307360366198323e-07,CHE,2015
17,COD,Growing maize industry,XEU,4.42341386292731e-05,CHE,2015
18,COD,Growing cereals n.e.c industry,XEU,2.178363319342983e-08,CHE,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.2680537036075594e-05,CHE,2015
20,COD,Growing rice industry,XEU,2.030402568840301e-06,CHE,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,9.697653284660389e-06,CHE,2015
22,COD,Growing sugar beet and cane industry,XEU,5.195814935167615e-07,CHE,2015
23,COD,Growing tobacco industry,XEU,4.0660364117280444e-07,CHE,2015
24,COD,Growing fibre crops industry,XEU,1.3790998700505072e-05,CHE,2015
25,COD,Growing crops n.e.c. industry,XEU,4.1440011494550714e-07,CHE,2015
26,COD,Growing grapes industry,XEU,0.0,CHE,2015
27,COD,Growing fruits and nuts industry,XEU,3.618410321057307e-05,CHE,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.2453628599561317e-06,CHE,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.8132918261223666e-09,CHE,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,CHE,2015
31,COD,Raising of cattle industry,XEU,1.9184427800048754e-05,CHE,2015
32,COD,Growing wheat industry,XAF,8.527429958795298e-07,CHE,2015
33,COD,Growing maize industry,XAF,0.00017040030729100248,CHE,2015
34,COD,Growing cereals n.e.c industry,XAF,6.691159409803942e-08,CHE,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.4991859492413176e-05,CHE,2015
36,COD,Growing rice industry,XAF,7.2573216049073425e-06,CHE,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,2.7518995735369676e-05,CHE,2015
38,COD,Growing sugar beet and cane industry,XAF,1.8299868286656647e-06,CHE,2015
39,COD,Growing tobacco industry,XAF,6.931006234084378e-07,CHE,2015
40,COD,Growing fibre crops industry,XAF,2.39224741532612e-05,CHE,2015
41,COD,Growing crops n.e.c. industry,XAF,1.41472209596409e-06,CHE,2015
42,COD,Growing grapes industry,XAF,0.0,CHE,2015
43,COD,Growing fruits and nuts industry,XAF,0.00011092115525175383,CHE,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.685376855911627e-06,CHE,2015
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.02626447252291e-08,CHE,2015
46,COD,Seeds and plant propagation industry,XAF,0.0,CHE,2015
47,COD,Raising of cattle industry,XAF,5.631968978295138e-05,CHE,2015
48,COD,Growing wheat industry,XAS,8.104122278803034e-07,CHE,2015
49,COD,Growing maize industry,XAS,0.0001927358646741462,CHE,2015
50,COD,Growing cereals n.e.c industry,XAS,6.133795532129703e-08,CHE,2015
51,COD,Growing leguminous crops and oil seeds industry,XAS,2.5331840850978227e-05,CHE,2015
52,COD,Growing rice industry,XAS,8.280838800055073e-06,CHE,2015
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.48316665813109e-05,CHE,2015
54,COD,Growing sugar beet and cane industry,XAS,1.620601744153291e-06,CHE,2015
55,COD,Growing tobacco industry,XAS,5.881447858731249e-07,CHE,2015
56,COD,Growing fibre crops industry,XAS,2.2433607529881563e-05,CHE,2015
57,COD,Growing crops n.e.c. industry,XAS,1.3315730252208503e-06,CHE,2015
58,COD,Growing grapes industry,XAS,0.0,CHE,2015
59,COD,Growing fruits and nuts industry,XAS,9.862789349100337e-05,CHE,2015
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,5.231871095709678e-06,CHE,2015
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.397861421294883e-09,CHE,2015
62,COD,Seeds and plant propagation industry,XAS,0.0,CHE,2015
63,COD,Raising of cattle industry,XAS,5.9426319163874444e-05,CHE,2015
64,COD,Growing wheat industry,AFG,1.0041703376333494e-07,CHE,2015
65,COD,Growing maize industry,AFG,1.9839490179287494e-05,CHE,2015
66,COD,Growing cereals n.e.c industry,AFG,9.356719015941941e-09,CHE,2015
67,COD,Growing leguminous crops and oil seeds industry,AFG,3.7072364750785603e-06,CHE,2015
68,COD,Growing rice industry,AFG,8.596892731903628e-07,CHE,2015
69,COD,"Growing vegetables, roots, tubers industry",AFG,2.8833936495730482e-06,CHE,2015
70,COD,Growing sugar beet and cane industry,AFG,2.3028468014970448e-07,CHE,2015
71,COD,Growing tobacco industry,AFG,9.237292535622743e-08,CHE,2015
72,COD,Growing fibre crops industry,AFG,6.531323116657771e-06,CHE,2015
73,COD,Growing crops n.e.c. industry,AFG,1.8796727829991598e-07,CHE,2015
74,COD,Growing grapes industry,AFG,0.0,CHE,2015
75,COD,Growing fruits and nuts industry,AFG,1.4281496658138789e-05,CHE,2015
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,5.889209485203448e-07,CHE,2015
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.2359742832251084e-09,CHE,2015
78,COD,Seeds and plant propagation industry,AFG,0.0,CHE,2015
79,COD,Raising of cattle industry,AFG,6.784183754267024e-06,CHE,2015
80,COD,Growing wheat industry,AGO,1.6577524273414063e-06,CHE,2015
81,COD,Growing maize industry,AGO,0.00023765262465515034,CHE,2015
82,COD,Growing cereals n.e.c industry,AGO,1.5337202783813772e-07,CHE,2015
83,COD,Growing leguminous crops and oil seeds industry,AGO,5.1401486667811646e-05,CHE,2015
84,COD,Growing rice industry,AGO,1.5708850820915673e-05,CHE,2015
85,COD,"Growing vegetables, roots, tubers industry",AGO,4.359338106245708e-05,CHE,2015
86,COD,Growing sugar beet and cane industry,AGO,3.89342565949619e-06,CHE,2015
87,COD,Growing tobacco industry,AGO,1.1135353356506674e-06,CHE,2015
88,COD,Growing fibre crops industry,AGO,5.160777746453398e-05,CHE,2015
89,COD,Growing crops n.e.c. industry,AGO,3.1359332729614746e-06,CHE,2015
90,COD,Growing grapes industry,AGO,0.0,CHE,2015
91,COD,Growing fruits and nuts industry,AGO,0.00023444780124354,CHE,2015
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,1.489811128737701e-05,CHE,2015
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.9114666659119024e-08,CHE,2015
94,COD,Seeds and plant propagation industry,AGO,0.0,CHE,2015
95,COD,Raising of cattle industry,AGO,0.00010935043986971796,CHE,2015
96,COD,Growing wheat industry,ALB,2.817517267303063e-07,CHE,2015
97,COD,Growing maize industry,ALB,8.991300945233492e-05,CHE,2015
98,COD,Growing cereals n.e.c industry,ALB,2.795558598773927e-08,CHE,2015
99,COD,Growing leguminous crops and oil seeds industry,ALB,1.030740258209208e-05,CHE,2015
100,COD,Growing rice industry,ALB,2.183026224135417e-06,CHE,2015
101,COD,"Growing vegetables, roots, tubers industry",ALB,7.991481353565841e-06,CHE,2015
102,COD,Growing sugar beet and cane industry,ALB,5.847584448615597e-07,CHE,2015
103,COD,Growing tobacco industry,ALB,3.079723770631064e-07,CHE,2015
104,COD,Growing fibre crops industry,ALB,1.1352186688988398e-05,CHE,2015
105,COD,Growing crops n.e.c. industry,ALB,4.903646717836405e-07,CHE,2015
106,COD,Growing grapes industry,ALB,0.0,CHE,2015
107,COD,Growing fruits and nuts industry,ALB,3.893517081865858e-05,CHE,2015
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,1.4111918768091794e-06,CHE,2015
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,3.3804451953273985e-09,CHE,2015
110,COD,Seeds and plant propagation industry,ALB,0.0,CHE,2015
111,COD,Raising of cattle industry,ALB,1.7637606645008232e-05,CHE,2015
112,COD,Growing wheat industry,ARE,3.725998124258061e-06,CHE,2015
113,COD,Growing maize industry,ARE,0.001423438473896871,CHE,2015
114,COD,Growing cereals n.e.c industry,ARE,3.9703904769977727e-07,CHE,2015
115,COD,Growing leguminous crops and oil seeds industry,ARE,0.0001268274932705442,CHE,2015
116,COD,Growing rice industry,ARE,2.9346489354862953e-05,CHE,2015
117,COD,"Growing vegetables, roots, tubers industry",ARE,0.00010320370038354179,CHE,2015
118,COD,Growing sugar beet and cane industry,ARE,9.140452997174567e-06,CHE,2015
119,COD,Growing tobacco industry,ARE,2.7190650311393465e-06,CHE,2015
120,COD,Growing fibre crops industry,ARE,0.00012998820246819533,CHE,2015
121,COD,Growing crops n.e.c. industry,ARE,7.730038972521063e-06,CHE,2015
122,COD,Growing grapes industry,ARE,0.0,CHE,2015
123,COD,Growing fruits and nuts industry,ARE,0.0005564761871733145,CHE,2015
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,1.5948414152143837e-05,CHE,2015
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,4.4628593866456413e-08,CHE,2015
126,COD,Seeds and plant propagation industry,ARE,0.0,CHE,2015
127,COD,Raising of cattle industry,ARE,0.00022977741707522607,CHE,2015
128,COD,Growing wheat industry,ARG,4.387814721799492e-06,CHE,2015
129,COD,Growing maize industry,ARG,0.0009240754996896501,CHE,2015
130,COD,Growing cereals n.e.c industry,ARG,4.0524930511284784e-07,CHE,2015
131,COD,Growing leguminous crops and oil seeds industry,ARG,0.00022677418818027085,CHE,2015
132,COD,Growing rice industry,ARG,3.164107962764631e-05,CHE,2015
133,COD,"Growing vegetables, roots, tubers industry",ARG,0.0001685771237841726,CHE,2015
134,COD,Growing sugar beet and cane industry,ARG,9.022137234667948e-06,CHE,2015
135,COD,Growing tobacco industry,ARG,3.858757771383065e-06,CHE,2015
136,COD,Growing fibre crops industry,ARG,0.00016326925365662455,CHE,2015
137,COD,Growing crops n.e.c. industry,ARG,7.187830524318312e-06,CHE,2015
138,COD,Growing grapes industry,ARG,0.0,CHE,2015
139,COD,Growing fruits and nuts industry,ARG,0.0006674213269296066,CHE,2015
140,COD,"Growing beverage crops (coffee, tea etc) industry",ARG,1.755981705100903e-05,CHE,2015
141,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,6.747778523695039e-08,CHE,2015
142,COD,Seeds and plant propagation industry,ARG,0.0,CHE,2015
143,COD,Raising of cattle industry,ARG,0.0002581201563278474,CHE,2015
144,COD,Growing wheat industry,ARM,2.5108280358098276e-07,CHE,2015
145,COD,Growing maize industry,ARM,4.4980030967908704e-05,CHE,2015
146,COD,Growing cereals n.e.c industry,ARM,2.3170986756767298e-08,CHE,2015
147,COD,Growing leguminous crops and oil seeds industry,ARM,8.104787964587172e-06,CHE,2015
148,COD,Growing rice industry,ARM,1.9714043375456458e-06,CHE,2015
149,COD,"Growing vegetables, roots, tubers industry",ARM,6.777027385817338e-06,CHE,2015
150,COD,Growing sugar beet and cane industry,ARM,5.557723400707199e-07,CHE,2015
151,COD,Growing tobacco industry,ARM,2.2785451706215149e-07,CHE,2015
152,COD,Growing fibre crops industry,ARM,1.4868551151523711e-05,CHE,2015
153,COD,Growing crops n.e.c. industry,ARM,4.589596310154156e-07,CHE,2015
154,COD,Growing grapes industry,ARM,0.0,CHE,2015
155,COD,Growing fruits and nuts industry,ARM,3.493501614804696e-05,CHE,2015
156,COD,"Growing beverage crops (coffee, tea etc) industry",ARM,9.367795048737794e-07,CHE,2015
157,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,2.912381802451963e-09,CHE,2015
158,COD,Seeds and plant propagation industry,ARM,0.0,CHE,2015
159,COD,Raising of cattle industry,ARM,1.62805052081579e-05,CHE,2015
160,COD,Growing wheat industry,AUS,1.997898677871672e-05,CHE,2015
161,COD,Growing maize industry,AUS,0.004364805520292155,CHE,2015
